MANDT,MATNR,WERKS,LGORT,LABST,UMLME,INSME,EINME,SPEME,RETME,LBKUM
100,MAT00009,P003,SL01,50.0,0,0,0,0,0,50.0
100,MAT00009,P003,SL02,0,0,0,0,0,0,0
100,MAT00009,P003,SL03,0,0,0,0,0,0,0
100,MAT00010,P001,SL01,179.0,0,0,0,0,0,179.0
100,MAT00010,P001,SL02,122.0,0,0,0,0,0,122.0
100,MAT00010,P001,SL03,341.0,0,0,0,0,0,341.0
100,MAT00010,P002,SL01,88.0,0,0,0,0,0,88.0
100,MAT00010,P002,SL02,191.0,0,0,0,0,0,191.0
100,MAT00010,P002,SL03,249.0,0,0,0,0,0,249.0
100,MAT00010,P003,SL01,116.0,0,0,0,0,0,116.0
100,MAT00010,P003,SL02,230.0,0,0,0,0,0,230.0
100,MAT00010,P003,SL03,449.0,0,0,0,0,0,449.0
100,MAT00011,P001,SL01,144.0,0,0,0,0,0,144.0
100,MAT00011,P001,SL02,37.0,0,0,0,0,0,37.0
100,MAT00011,P001,SL03,494.0,0,0,0,0,0,494.0
100,MAT00011,P002,SL01,481.0,0,0,0,0,0,481.0
100,MAT00011,P002,SL02,228.0,0,0,0,0,0,228.0
100,MAT00011,P002,SL03,500.0,0,0,0,0,0,500.0
100,MAT00011,P003,SL01,53.0,0,0,0,0,0,53.0
100,MAT00011,P003,SL02,179.0,0,0,0,0,0,179.0
100,MAT00011,P003,SL03,0,0,0,0,0,0,0
100,MAT00012,P001,SL01,415.0,0,0,0,0,0,415.0
100,MAT00012,P001,SL02,4.0,0,0,0,0,0,4.0
100,MAT00012,P001,SL03,389.0,0,0,0,0,0,389.0
100,MAT00012,P002,SL01,455.0,0,0,0,0,0,455.0
100,MAT00012,P002,SL02,416.0,0,0,0,0,0,416.0
100,MAT00012,P002,SL03,388.0,0,0,0,0,0,388.0
100,MAT00012,P003,SL01,401.0,0,0,0,0,0,401.0
100,MAT00012,P003,SL02,95.0,0,0,0,0,0,95.0
100,MAT00012,P003,SL03,378.0,0,0,0,0,0,378.0
100,MAT00013,P001,SL01,0,0,0,0,0,0,0
100,MAT00013,P001,SL02,49.0,0,0,0,0,0,49.0
100,MAT00013,P001,SL03,20.0,0,0,0,0,0,20.0
100,MAT00013,P002,SL01,17.0,0,0,0,0,0,17.0
100,MAT00013,P002,SL02,66.0,0,0,0,0,0,66.0
100,MAT00013,P002,SL03,163.0,0,0,0,0,0,163.0
100,MAT00013,P003,SL01,100.0,0,0,0,0,0,100.0
100,MAT00013,P003,SL02,438.0,0,0,0,0,0,438.0
100,MAT00013,P003,SL03,251.0,0,0,0,0,0,251.0
100,MAT00014,P001,SL01,82.0,0,0,0,0,0,82.0
100,MAT00014,P001,SL02,472.0,0,0,0,0,0,472.0
100,MAT00014,P001,SL03,148.0,0,0,0,0,0,148.0
100,MAT00014,P002,SL01,402.0,0,0,0,0,0,402.0
100,MAT00014,P002,SL02,38.0,0,0,0,0,0,38.0
100,MAT00014,P002,SL03,113.0,0,0,0,0,0,113.0
100,MAT00014,P003,SL01,337.0,0,0,0,0,0,337.0
100,MAT00014,P003,SL02,423.0,0,0,0,0,0,423.0
100,MAT00014,P003,SL03,45.0,0,0,0,0,0,45.0
100,MAT00015,P001,SL01,0,0,0,0,0,0,0
100,MAT00015,P001,SL02,184.0,0,0,0,0,0,184.0
100,MAT00015,P001,SL03,131.0,0,0,0,0,0,131.0
100,MAT00015,P002,SL01,319.0,0,0,0,0,0,319.0
100,MAT00015,P002,SL02,337.0,0,0,0,0,0,337.0
100,MAT00015,P002,SL03,310.0,0,0,0,0,0,310.0
100,MAT00015,P003,SL01,164.0,0,0,0,0,0,164.0
100,MAT00015,P003,SL02,324.0,0,0,0,0,0,324.0
100,MAT00015,P003,SL03,232.0,0,0,0,0,0,232.0
100,MAT00016,P001,SL01,0,0,0,0,0,0,0
100,MAT00016,P001,SL02,0,0,0,0,0,0,0
100,MAT00016,P001,SL03,0,0,0,0,0,0,0
100,MAT00016,P002,SL01,117.0,0,0,0,0,0,117.0
100,MAT00016,P002,SL02,194.0,0,0,0,0,0,194.0
100,MAT00016,P002,SL03,475.0,0,0,0,0,0,475.0
100,MAT00016,P003,SL01,270.0,0,0,0,0,0,270.0
100,MAT00016,P003,SL02,363.0,0,0,0,0,0,363.0
100,MAT00016,P003,SL03,327.0,0,0,0,0,0,327.0
100,MAT00017,P001,SL01,308.0,0,0,0,0,0,308.0
100,MAT00017,P001,SL02,140.0,0,0,0,0,0,140.0
100,MAT00017,P001,SL03,109.0,0,0,0,0,0,109.0
100,MAT00017,P002,SL01,118.0,0,0,0,0,0,118.0
100,MAT00017,P002,SL02,490.0,0,0,0,0,0,490.0
100,MAT00017,P002,SL03,451.0,0,0,0,0,0,451.0
100,MAT00017,P003,SL01,30.0,0,0,0,0,0,30.0
100,MAT00017,P003,SL02,484.0,0,0,0,0,0,484.0
100,MAT00017,P003,SL03,0,0,0,0,0,0,0
100,MAT00018,P001,SL01,106.0,0,0,0,0,0,106.0
100,MAT00018,P001,SL02,0,0,0,0,0,0,0
100,MAT00018,P001,SL03,167.0,0,0,0,0,0,167.0
100,MAT00018,P002,SL01,393.0,0,0,0,0,0,393.0
100,MAT00018,P002,SL02,415.0,0,0,0,0,0,415.0
100,MAT00018,P002,SL03,293.0,0,0,0,0,0,293.0
100,MAT00018,P003,SL01,116.0,0,0,0,0,0,116.0
100,MAT00018,P003,SL02,394.0,0,0,0,0,0,394.0
100,MAT00018,P003,SL03,139.0,0,0,0,0,0,139.0
100,MAT00019,P001,SL01,494.0,0,0,0,0,0,494.0
100,MAT00019,P001,SL02,0,0,0,0,0,0,0
100,MAT00019,P001,SL03,0,0,0,0,0,0,0
100,MAT00019,P002,SL01,179.0,0,0,0,0,0,179.0
100,MAT00019,P002,SL02,0,0,0,0,0,0,0
100,MAT00019,P002,SL03,0,0,0,0,0,0,0
100,MAT00019,P003,SL01,0,0,0,0,0,0,0
100,MAT00019,P003,SL02,32.0,0,0,0,0,0,32.0
100,MAT00019,P003,SL03,181.0,0,0,0,0,0,181.0
100,MAT00020,P001,SL01,226.0,0,0,0,0,0,226.0
100,MAT00020,P001,SL02,308.0,0,0,0,0,0,308.0
100,MAT00020,P001,SL03,454.0,0,0,0,0,0,454.0
100,MAT00020,P002,SL01,151.0,0,0,0,0,0,151.0
100,MAT00020,P002,SL02,16.0,0,0,0,0,0,16.0
100,MAT00020,P002,SL03,424.0,0,0,0,0,0,424.0
100,MAT00020,P003,SL01,54.0,0,0,0,0,0,54.0
100,MAT00020,P003,SL02,222.0,0,0,0,0,0,222.0
100,MAT00020,P003,SL03,0,0,0,0,0,0,0
100,MAT00021,P001,SL01,63.0,0,0,0,0,0,63.0
100,MAT00021,P001,SL02,293.0,0,0,0,0,0,293.0
100,MAT00021,P001,SL03,190.0,0,0,0,0,0,190.0
100,MAT00021,P002,SL01,147.0,0,0,0,0,0,147.0
100,MAT00021,P002,SL02,215.0,0,0,0,0,0,215.0
100,MAT00021,P002,SL03,57.0,0,0,0,0,0,57.0
100,MAT00021,P003,SL01,439.0,0,0,0,0,0,439.0
100,MAT00021,P003,SL02,433.0,0,0,0,0,0,433.0
100,MAT00021,P003,SL03,444.0,0,0,0,0,0,444.0
100,MAT00022,P001,SL01,414.0,0,0,0,0,0,414.0
100,MAT00022,P001,SL02,365.0,0,0,0,0,0,365.0
100,MAT00022,P001,SL03,156.0,0,0,0,0,0,156.0
100,MAT00022,P002,SL01,477.0,0,0,0,0,0,477.0
100,MAT00022,P002,SL02,0,0,0,0,0,0,0
100,MAT00022,P002,SL03,43.0,0,0,0,0,0,43.0
100,MAT00022,P003,SL01,372.0,0,0,0,0,0,372.0
100,MAT00022,P003,SL02,0,0,0,0,0,0,0
100,MAT00022,P003,SL03,478.0,0,0,0,0,0,478.0
100,MAT00023,P001,SL01,335.0,0,0,0,0,0,335.0
100,MAT00023,P001,SL02,437.0,0,0,0,0,0,437.0
100,MAT00023,P001,SL03,211.0,0,0,0,0,0,211.0
100,MAT00023,P002,SL01,26.0,0,0,0,0,0,26.0
100,MAT00023,P002,SL02,0,0,0,0,0,0,0
100,MAT00023,P002,SL03,254.0,0,0,0,0,0,254.0
100,MAT00023,P003,SL01,241.0,0,0,0,0,0,241.0
100,MAT00023,P003,SL02,175.0,0,0,0,0,0,175.0
100,MAT00023,P003,SL03,57.0,0,0,0,0,0,57.0
100,MAT00024,P001,SL01,113.0,0,0,0,0,0,113.0
100,MAT00024,P001,SL02,280.0,0,0,0,0,0,280.0
100,MAT00024,P001,SL03,311.0,0,0,0,0,0,311.0
100,MAT00024,P002,SL01,278.0,0,0,0,0,0,278.0
100,MAT00024,P002,SL02,329.0,0,0,0,0,0,329.0
100,MAT00024,P002,SL03,14.0,0,0,0,0,0,14.0
100,MAT00024,P003,SL01,381.0,0,0,0,0,0,381.0
100,MAT00024,P003,SL02,176.0,0,0,0,0,0,176.0
100,MAT00024,P003,SL03,72.0,0,0,0,0,0,72.0
100,MAT00025,P001,SL01,35.0,0,0,0,0,0,35.0
100,MAT00025,P001,SL02,0,0,0,0,0,0,0
100,MAT00025,P001,SL03,265.0,0,0,0,0,0,265.0
100,MAT00025,P002,SL01,227.0,0,0,0,0,0,227.0
100,MAT00025,P002,SL02,156.0,0,0,0,0,0,156.0
100,MAT00025,P002,SL03,471.0,0,0,0,0,0,471.0
100,MAT00025,P003,SL01,442.0,0,0,0,0,0,442.0
100,MAT00025,P003,SL02,0,0,0,0,0,0,0
100,MAT00025,P003,SL03,41.0,0,0,0,0,0,41.0
100,MAT00026,P001,SL01,212.0,0,0,0,0,0,212.0
100,MAT00026,P001,SL02,207.0,0,0,0,0,0,207.0
100,MAT00026,P001,SL03,256.0,0,0,0,0,0,256.0
100,MAT00026,P002,SL01,55.0,0,0,0,0,0,55.0
100,MAT00026,P002,SL02,297.0,0,0,0,0,0,297.0
100,MAT00026,P002,SL03,154.0,0,0,0,0,0,154.0
100,MAT00026,P003,SL01,0,0,0,0,0,0,0
100,MAT00026,P003,SL02,102.0,0,0,0,0,0,102.0
100,MAT00026,P003,SL03,384.0,0,0,0,0,0,384.0
100,MAT00027,P001,SL01,0,0,0,0,0,0,0
100,MAT00027,P001,SL02,249.0,0,0,0,0,0,249.0
100,MAT00027,P001,SL03,65.0,0,0,0,0,0,65.0
100,MAT00027,P002,SL01,115.0,0,0,0,0,0,115.0
100,MAT00027,P002,SL02,334.0,0,0,0,0,0,334.0
100,MAT00027,P002,SL03,199.0,0,0,0,0,0,199.0
100,MAT00027,P003,SL01,218.0,0,0,0,0,0,218.0
100,MAT00027,P003,SL02,39.0,0,0,0,0,0,39.0
100,MAT00027,P003,SL03,215.0,0,0,0,0,0,215.0
100,MAT00028,P001,SL01,320.0,0,0,0,0,0,320.0
100,MAT00028,P001,SL02,203.0,0,0,0,0,0,203.0
100,MAT00028,P001,SL03,86.0,0,0,0,0,0,86.0
100,MAT00028,P002,SL01,230.0,0,0,0,0,0,230.0
100,MAT00028,P002,SL02,181.0,0,0,0,0,0,181.0
100,MAT00028,P002,SL03,53.0,0,0,0,0,0,53.0
100,MAT00028,P003,SL01,0,0,0,0,0,0,0
100,MAT00028,P003,SL02,435.0,0,0,0,0,0,435.0
100,MAT00028,P003,SL03,111.0,0,0,0,0,0,111.0
100,MAT00029,P001,SL01,38.0,0,0,0,0,0,38.0
100,MAT00029,P001,SL02,265.0,0,0,0,0,0,265.0
100,MAT00029,P001,SL03,388.0,0,0,0,0,0,388.0
100,MAT00029,P002,SL01,479.0,0,0,0,0,0,479.0
100,MAT00029,P002,SL02,0,0,0,0,0,0,0
100,MAT00029,P002,SL03,128.0,0,0,0,0,0,128.0
100,MAT00029,P003,SL01,76.0,0,0,0,0,0,76.0
100,MAT00029,P003,SL02,38.0,0,0,0,0,0,38.0
100,MAT00029,P003,SL03,314.0,0,0,0,0,0,314.0
100,MAT00030,P001,SL01,282.0,0,0,0,0,0,282.0
100,MAT00030,P001,SL02,341.0,0,0,0,0,0,341.0
100,MAT00030,P001,SL03,321.0,0,0,0,0,0,321.0
100,MAT00030,P002,SL01,162.0,0,0,0,0,0,162.0
100,MAT00030,P002,SL02,158.0,0,0,0,0,0,158.0
100,MAT00030,P002,SL03,234.0,0,0,0,0,0,234.0
100,MAT00030,P003,SL01,398.0,0,0,0,0,0,398.0
100,MAT00030,P003,SL02,0,0,0,0,0,0,0
100,MAT00030,P003,SL03,0,0,0,0,0,0,0
100,MAT00031,P001,SL01,184.0,0,0,0,0,0,184.0
100,MAT00031,P001,SL02,322.0,0,0,0,0,0,322.0
100,MAT00031,P001,SL03,45.0,0,0,0,0,0,45.0
100,MAT00031,P002,SL01,192.0,0,0,0,0,0,192.0
100,MAT00031,P002,SL02,477.0,0,0,0,0,0,477.0
100,MAT00031,P002,SL03,21.0,0,0,0,0,0,21.0
100,MAT00031,P003,SL01,286.0,0,0,0,0,0,286.0
100,MAT00031,P003,SL02,303.0,0,0,0,0,0,303.0
100,MAT00031,P003,SL03,479.0,0,0,0,0,0,479.0
100,MAT00032,P001,SL01,405.0,0,0,0,0,0,405.0
100,MAT00032,P001,SL02,0,0,0,0,0,0,0
100,MAT00032,P001,SL03,0,0,0,0,0,0,0
100,MAT00032,P002,SL01,354.0,0,0,0,0,0,354.0
100,MAT00032,P002,SL02,262.0,0,0,0,0,0,262.0
100,MAT00032,P002,SL03,182.0,0,0,0,0,0,182.0
100,MAT00032,P003,SL01,194.0,0,0,0,0,0,194.0
100,MAT00032,P003,SL02,0,0,0,0,0,0,0
100,MAT00032,P003,SL03,315.0,0,0,0,0,0,315.0
100,MAT00033,P001,SL01,165.0,0,0,0,0,0,165.0
100,MAT00033,P001,SL02,193.0,0,0,0,0,0,193.0
100,MAT00033,P001,SL03,426.0,0,0,0,0,0,426.0
100,MAT00033,P002,SL01,301.0,0,0,0,0,0,301.0
100,MAT00033,P002,SL02,41.0,0,0,0,0,0,41.0
100,MAT00033,P002,SL03,458.0,0,0,0,0,0,458.0
100,MAT00033,P003,SL01,328.0,0,0,0,0,0,328.0
100,MAT00033,P003,SL02,64.0,0,0,0,0,0,64.0
100,MAT00033,P003,SL03,42.0,0,0,0,0,0,42.0
100,MAT00034,P001,SL01,322.0,0,0,0,0,0,322.0
100,MAT00034,P001,SL02,64.0,0,0,0,0,0,64.0
100,MAT00034,P001,SL03,474.0,0,0,0,0,0,474.0
100,MAT00034,P002,SL01,0,0,0,0,0,0,0
100,MAT00034,P002,SL02,335.0,0,0,0,0,0,335.0
100,MAT00034,P002,SL03,9.0,0,0,0,0,0,9.0
100,MAT00034,P003,SL01,476.0,0,0,0,0,0,476.0
100,MAT00034,P003,SL02,383.0,0,0,0,0,0,383.0
100,MAT00034,P003,SL03,500.0,0,0,0,0,0,500.0
100,MAT00035,P001,SL01,148.0,0,0,0,0,0,148.0
100,MAT00035,P001,SL02,254.0,0,0,0,0,0,254.0
100,MAT00035,P001,SL03,369.0,0,0,0,0,0,369.0
100,MAT00035,P002,SL01,331.0,0,0,0,0,0,331.0
100,MAT00035,P002,SL02,309.0,0,0,0,0,0,309.0
100,MAT00035,P002,SL03,77.0,0,0,0,0,0,77.0
100,MAT00035,P003,SL01,346.0,0,0,0,0,0,346.0
100,MAT00035,P003,SL02,451.0,0,0,0,0,0,451.0
100,MAT00035,P003,SL03,22.0,0,0,0,0,0,22.0
100,MAT00036,P001,SL01,360.0,0,0,0,0,0,360.0
100,MAT00036,P001,SL02,305.0,0,0,0,0,0,305.0
100,MAT00036,P001,SL03,392.0,0,0,0,0,0,392.0
100,MAT00036,P002,SL01,120.0,0,0,0,0,0,120.0
100,MAT00036,P002,SL02,392.0,0,0,0,0,0,392.0
100,MAT00036,P002,SL03,97.0,0,0,0,0,0,97.0
100,MAT00036,P003,SL01,285.0,0,0,0,0,0,285.0
100,MAT00036,P003,SL02,385.0,0,0,0,0,0,385.0
100,MAT00036,P003,SL03,251.0,0,0,0,0,0,251.0
