MANDT,VBELN,POSNR,MATNR,ARKTX,KWMENG,MEINS,NETWR,WAERK,WERKS,LGORT,ROUTE,PSTYV,ABGRU,LFSTA,FKSTA,GBSTA,NETPR,KPEIN,ERNAM,OBJNR,ERDAT,FAKSP,ERZET,VGTYP,VGBEL,VGPOS,FKREL,KDMAT,BRGEW,NTGEW,GEWEI,VRKME
100,1000000007,20,MAT00024,Material MAT00024,60.0,EA,16347.0,USD,P001,SL03,1,TAN,,C,C,C,272.45,1,SALEUSER1,OR1000000007000020,2024-06-14,,12:44:51,,8000000007.0,20.0,B,,61.92,52.88,KG,KG
100,1000000008,10,MAT00031,Material MAT00031,108.0,EA,169624.8,USD,P001,SL01,2,TAN,,C,C,C,1570.6,1,SALEUSER2,OR1000000008000010,2024-02-14,,07:17:31,B,8000000008.0,10.0,A,,42.5,64.47,KG,EA
100,1000000009,10,MAT00023,Material MAT00023,175.0,EA,270718.0,USD,P001,SL03,2,TAN,,C,C,C,1546.96,1,SALEUSER2,OR1000000009000010,2024-08-15,,15:47:40,,8000000009.0,10.0,C,,33.53,60.9,KG,EA
100,1000000010,10,MAT00031,Material MAT00031,89.0,EA,7375.43,USD,P001,SL01,5,TAN,,C,C,C,82.87,1,SALEUSER1,OR1000000010000010,2024-02-26,,09:33:54,C,8000000010.0,10.0,C,,26.9,60.18,KG,PC
100,1000000010,20,MAT00030,Material MAT00030,89.0,EA,133519.58,USD,P001,SL01,5,TAN,,C,C,C,1500.22,1,SALEUSER1,OR1000000010000020,2024-02-26,,15:08:30,C,8000000010.0,20.0,A,CUST-MAT-1610,40.69,21.06,KG,PC
100,1000000011,10,MAT00032,Material MAT00032,91.0,EA,91515.06,USD,P002,SL02,1,TAN,,C,C,C,1005.66,1,SALEUSER3,OR1000000011000010,2024-02-28,,08:56:37,C,8000000011.0,10.0,C,,78.73,7.29,KG,EA
100,1000000012,10,MAT00033,Material MAT00033,37.0,EA,11578.41,USD,P001,SL02,5,TAN,,C,C,C,312.93,1,SALEUSER2,OR1000000012000010,2024-04-25,,15:10:15,B,8000000012.0,10.0,B,,7.29,68.65,KG,L
100,1000000013,10,MAT00027,Material MAT00027,8.0,EA,9836.48,USD,P002,SL03,2,TAN,,C,C,C,1229.56,1,SALEUSER2,OR1000000013000010,2024-06-08,,08:06:56,B,8000000013.0,10.0,A,,35.88,68.45,KG,EA
100,1000000014,10,MAT00030,Material MAT00030,66.0,EA,19870.62,USD,P001,SL03,5,TAN,,C,C,C,301.07,1,SALEUSER2,OR1000000014000010,2024-05-13,,11:00:52,C,8000000014.0,10.0,B,CUST-MAT-5657,64.17,4.11,KG,L
100,1000000015,10,MAT00027,Material MAT00027,18.0,EA,7748.1,USD,P001,SL03,4,TAN,,C,C,C,430.45,1,SALEUSER2,OR1000000015000010,2024-02-16,,10:32:58,C,8000000015.0,10.0,C,CUST-MAT-3893,31.14,20.4,KG,KG
100,1000000016,10,MAT00016,Material MAT00016,10.0,EA,5377.1,USD,P003,SL02,2,TAN,,C,C,C,537.71,1,SALEUSER2,OR1000000016000010,2024-03-02,,07:20:12,B,8000000016.0,10.0,B,,11.25,23.85,KG,EA
100,1000000016,20,MAT00022,Material MAT00022,130.0,EA,143963.3,USD,P003,SL02,4,TAN,,C,C,C,1107.41,1,SALEUSER2,OR1000000016000020,2024-03-02,,15:40:55,,8000000016.0,20.0,D,,40.39,71.23,KG,L
100,1000000017,10,MAT00022,Material MAT00022,169.0,EA,184397.59,USD,P003,SL01,5,TAN,,C,C,C,1091.11,1,SALEUSER3,OR1000000017000010,2024-09-04,,08:48:48,,8000000017.0,10.0,C,CUST-MAT-6402,52.99,67.38,KG,ST
100,1000000018,10,MAT00025,Material MAT00025,85.0,EA,10923.35,USD,P001,SL01,3,TAN,,C,C,C,128.51,1,SALEUSER2,OR1000000018000010,2024-04-02,,10:37:21,B,8000000018.0,10.0,C,,42.73,65.06,KG,ST
100,1000000018,20,MAT00016,Material MAT00016,128.0,EA,163330.56,USD,P001,SL01,1,TAN,,C,C,C,1276.02,1,SALEUSER2,OR1000000018000020,2024-04-02,,16:00:45,,8000000018.0,20.0,A,,93.54,40.66,KG,PC
100,1000000019,10,MAT00024,Material MAT00024,74.0,EA,48925.84,USD,P003,SL02,2,TAN,1.0,A,A,C,661.16,1,SALEUSER3,OR1000000019000010,2024-03-13,,13:05:04,B,,,B,CUST-MAT-1355,0.89,82.13,KG,ST
100,1000000020,10,MAT00023,Material MAT00023,102.0,EA,57262.8,USD,P001,SL03,4,TAN,,C,C,C,561.4,1,SALEUSER3,OR1000000020000010,2024-03-14,,17:38:54,B,8000000020.0,10.0,B,,80.91,88.53,KG,L
100,1000000021,10,MAT00031,Material MAT00031,156.0,EA,308600.76,USD,P003,SL02,3,TAN,,C,C,C,1978.21,1,SALEUSER2,OR1000000021000010,2024-04-30,,06:03:33,B,8000000021.0,10.0,B,,56.62,80.66,KG,PC
100,1000000022,10,MAT00021,Material MAT00021,127.0,EA,7123.43,USD,P003,SL03,3,TAN,,C,C,C,56.09,1,SALEUSER2,OR1000000022000010,2024-01-12,,06:22:08,,8000000022.0,10.0,A,,20.73,23.84,KG,ST
100,1000000023,10,MAT00018,Material MAT00018,170.0,EA,319518.4,USD,P003,SL02,2,TAN,,C,C,C,1879.52,1,SALEUSER1,OR1000000023000010,2024-01-21,,12:17:23,,8000000023.0,10.0,B,,73.67,78.16,KG,PC
100,1000000024,10,MAT00021,Material MAT00021,78.0,EA,154420.5,USD,P002,SL03,2,TAN,,C,C,C,1979.75,1,SALEUSER1,OR1000000024000010,2024-08-04,,16:42:13,C,8000000024.0,10.0,C,,81.84,10.56,KG,PC
100,1000000024,20,MAT00026,Material MAT00026,83.0,EA,159206.45,USD,P002,SL03,3,TAN,,C,C,C,1918.15,1,SALEUSER1,OR1000000024000020,2024-08-04,,14:12:15,,8000000024.0,20.0,B,,6.2,0.13,KG,EA
100,1000000025,10,MAT00031,Material MAT00031,61.0,EA,41336.04,USD,P003,SL01,1,TAN,,C,C,C,677.64,1,SALEUSER1,OR1000000025000010,2024-04-02,,06:50:06,B,8000000025.0,10.0,D,,11.11,48.9,KG,L
100,1000000026,10,MAT00028,Material MAT00028,138.0,EA,19884.42,USD,P001,SL01,1,TAN,,C,C,C,144.09,1,SALEUSER1,OR1000000026000010,2024-09-07,,16:27:20,C,8000000026.0,10.0,C,,78.45,80.73,KG,KG
100,1000000027,10,MAT00018,Material MAT00018,32.0,EA,16855.36,USD,P002,SL02,4,TAN,,C,C,C,526.73,1,SALEUSER3,OR1000000027000010,2024-04-24,,06:41:25,,8000000027.0,10.0,C,,83.73,77.3,KG,KG
100,1000000028,10,MAT00023,Material MAT00023,199.0,EA,176290.12,USD,P001,SL03,1,TAN,,C,C,C,885.88,1,SALEUSER1,OR1000000028000010,2024-05-18,,15:59:26,C,8000000028.0,10.0,D,,8.68,52.84,KG,PC
100,1000000029,10,MAT00021,Material MAT00021,108.0,EA,169458.48,USD,P002,SL03,3,TAN,,C,C,C,1569.06,1,SALEUSER1,OR1000000029000010,2024-08-19,,15:19:01,C,8000000029.0,10.0,D,,73.67,63.11,KG,EA
100,1000000029,20,MAT00033,Material MAT00033,123.0,EA,122212.8,USD,P002,SL03,3,TAN,,C,C,C,993.6,1,SALEUSER1,OR1000000029000020,2024-08-19,,14:13:45,,8000000029.0,20.0,D,,57.6,88.49,KG,ST
100,1000000030,10,MAT00030,Material MAT00030,28.0,EA,13450.08,USD,P002,SL01,5,TAN,,C,C,C,480.36,1,SALEUSER2,OR1000000030000010,2024-08-11,,11:16:53,C,8000000030.0,10.0,B,,65.26,65.31,KG,EA
100,1000000031,10,MAT00017,Material MAT00017,166.0,EA,120549.2,USD,P001,SL01,3,TAN,,C,C,C,726.2,1,SALEUSER1,OR1000000031000010,2024-09-25,,08:40:51,C,8000000031.0,10.0,A,CUST-MAT-7994,15.61,19.63,KG,ST
100,1000000032,10,MAT00021,Material MAT00021,130.0,EA,10192.0,USD,P003,SL01,1,TAN,,C,C,C,78.4,1,SALEUSER1,OR1000000032000010,2024-06-27,,12:46:51,B,8000000032.0,10.0,A,,92.2,10.62,KG,EA
100,1000000033,10,MAT00016,Material MAT00016,184.0,EA,329965.36,USD,P002,SL03,4,TAN,,C,C,C,1793.29,1,SALEUSER1,OR1000000033000010,2024-07-13,,08:26:46,C,8000000033.0,10.0,C,,14.54,8.44,KG,EA
100,1000000034,10,MAT00016,Material MAT00016,195.0,EA,336084.45,USD,P003,SL01,5,TAN,,C,C,C,1723.51,1,SALEUSER2,OR1000000034000010,2024-02-15,,13:03:37,,8000000034.0,10.0,C,,52.48,31.07,KG,EA
100,1000000035,10,MAT00024,Material MAT00024,132.0,EA,46559.04,USD,P001,SL02,1,TAN,,C,C,C,352.72,1,SALEUSER3,OR1000000035000010,2024-09-15,,06:26:42,B,8000000035.0,10.0,A,CUST-MAT-4432,75.96,1.86,KG,EA
100,1000000036,10,MAT00030,Material MAT00030,98.0,EA,195307.14,USD,P001,SL01,4,TAN,,C,C,C,1992.93,1,SALEUSER1,OR1000000036000010,2024-02-16,,16:29:35,B,8000000036.0,10.0,C,,79.21,30.75,KG,L
100,1000000036,20,MAT00016,Material MAT00016,73.0,EA,122958.28,USD,P001,SL01,1,TAN,,C,C,C,1684.36,1,SALEUSER1,OR1000000036000020,2024-02-16,,14:35:32,B,8000000036.0,20.0,C,CUST-MAT-8705,21.58,26.13,KG,PC
100,1000000037,10,MAT00025,Material MAT00025,36.0,EA,71240.4,USD,P001,SL02,5,TAN,,C,C,C,1978.9,1,SALEUSER2,OR1000000037000010,2024-04-25,8.0,11:27:20,B,8000000037.0,10.0,B,,77.25,43.58,KG,EA
100,1000000038,10,MAT00032,Material MAT00032,156.0,EA,125040.24,USD,P001,SL01,3,TAN,,C,C,C,801.54,1,SALEUSER2,OR1000000038000010,2024-02-18,,10:24:09,C,8000000038.0,10.0,A,CUST-MAT-8502,60.06,41.01,KG,EA
100,1000000038,20,MAT00017,Material MAT00017,36.0,EA,5092.92,USD,P001,SL01,5,TAN,,C,C,C,141.47,1,SALEUSER2,OR1000000038000020,2024-02-18,,17:26:05,,8000000038.0,20.0,B,CUST-MAT-9569,48.01,70.17,KG,KG
100,1000000039,10,MAT00023,Material MAT00023,64.0,EA,84549.76,USD,P002,SL01,3,TAN,,C,C,C,1321.09,1,SALEUSER1,OR1000000039000010,2024-01-26,,10:37:32,,8000000039.0,10.0,C,CUST-MAT-1616,41.08,52.57,KG,ST
100,1000000040,10,MAT00032,Material MAT00032,17.0,EA,8876.72,USD,P001,SL01,5,TAN,,C,C,C,522.16,1,SALEUSER1,OR1000000040000010,2024-04-17,,16:23:27,B,8000000040.0,10.0,B,,4.98,84.54,KG,KG
100,1000000041,10,MAT00027,Material MAT00027,176.0,EA,32255.52,USD,P002,SL03,2,TAN,,C,C,C,183.27,1,SALEUSER3,OR1000000041000010,2024-06-29,,15:25:12,,8000000041.0,10.0,D,,62.88,73.6,KG,PC
100,1000000042,10,MAT00022,Material MAT00022,150.0,EA,113163.0,USD,P002,SL01,1,TAN,,C,C,C,754.42,1,SALEUSER3,OR1000000042000010,2024-07-07,,06:59:59,,8000000042.0,10.0,C,,76.65,64.66,KG,ST
100,1000000043,10,MAT00028,Material MAT00028,96.0,EA,126110.4,USD,P002,SL03,1,TAN,,C,C,C,1313.65,1,SALEUSER2,OR1000000043000010,2024-04-27,,10:28:09,B,8000000043.0,10.0,B,CUST-MAT-9333,43.65,26.97,KG,ST
100,1000000044,10,MAT00026,Material MAT00026,29.0,EA,44496.15,USD,P003,SL02,2,TAN,,C,C,C,1534.35,1,SALEUSER1,OR1000000044000010,2024-07-16,,17:25:24,B,8000000044.0,10.0,A,,69.45,43.01,KG,ST
100,1000000045,10,MAT00021,Material MAT00021,199.0,EA,247585.85,USD,P001,SL02,3,TAN,,C,C,C,1244.15,1,SALEUSER3,OR1000000045000010,2024-09-19,,17:43:43,,8000000045.0,10.0,A,CUST-MAT-5501,95.5,74.89,KG,ST
100,1000000046,10,MAT00025,Material MAT00025,62.0,EA,49379.9,USD,P001,SL03,1,TAN,,C,C,C,796.45,1,SALEUSER3,OR1000000046000010,2024-05-29,,16:44:36,C,8000000046.0,10.0,B,,80.47,9.56,KG,EA
100,1000000047,10,MAT00026,Material MAT00026,178.0,EA,296382.46,USD,P001,SL03,2,TAN,1.0,A,A,C,1665.07,1,SALEUSER2,OR1000000047000010,2024-08-10,,11:13:04,C,,,D,,87.44,4.71,KG,ST
100,1000000048,10,MAT00016,Material MAT00016,118.0,EA,212345.72,USD,P001,SL01,1,TAN,,C,C,C,1799.54,1,SALEUSER2,OR1000000048000010,2024-09-23,,08:31:01,B,8000000048.0,10.0,D,,97.09,85.81,KG,ST
100,1000000049,10,MAT00022,Material MAT00022,136.0,EA,12495.68,USD,P002,SL02,4,TAN,,C,C,C,91.88,1,SALEUSER2,OR1000000049000010,2024-02-12,8.0,07:03:00,,8000000049.0,10.0,A,,27.53,51.89,KG,KG
100,1000000050,10,MAT00018,Material MAT00018,35.0,EA,46023.95,USD,P003,SL01,3,TAN,,C,C,C,1314.97,1,SALEUSER1,OR1000000050000010,2024-01-14,,06:56:03,C,8000000050.0,10.0,A,,79.38,35.36,KG,EA
100,1000000051,10,MAT00027,Material MAT00027,95.0,EA,120390.65,USD,P002,SL03,4,TAN,,C,C,C,1267.27,1,SALEUSER1,OR1000000051000010,2024-06-14,,09:28:54,,8000000051.0,10.0,C,,19.73,79.31,KG,L
100,1000000051,20,MAT00031,Material MAT00031,93.0,EA,75511.35,USD,P002,SL03,3,TAN,,C,C,C,811.95,1,SALEUSER1,OR1000000051000020,2024-06-14,,06:21:01,,8000000051.0,20.0,A,,30.07,32.65,KG,PC
100,1000000052,10,MAT00018,Material MAT00018,66.0,EA,28165.5,USD,P002,SL03,2,TAN,,C,C,C,426.75,1,SALEUSER3,OR1000000052000010,2024-01-28,,10:43:58,C,8000000052.0,10.0,D,,0.6,60.66,KG,EA
100,1000000053,10,MAT00021,Material MAT00021,23.0,EA,28074.03,USD,P003,SL01,3,TAN,,C,C,C,1220.61,1,SALEUSER1,OR1000000053000010,2024-03-28,,10:03:41,B,8000000053.0,10.0,B,,83.87,31.66,KG,PC
100,1000000053,20,MAT00022,Material MAT00022,200.0,EA,297222.0,USD,P003,SL01,3,TAN,,C,C,C,1486.11,1,SALEUSER1,OR1000000053000020,2024-03-28,,14:23:35,B,8000000053.0,20.0,A,CUST-MAT-1268,33.43,30.79,KG,KG
100,1000000054,10,MAT00030,Material MAT00030,77.0,EA,88897.27,USD,P002,SL03,2,TAN,1.0,A,A,C,1154.51,1,SALEUSER1,OR1000000054000010,2024-05-15,,06:38:06,,,,D,,22.0,13.57,KG,ST
100,1000000055,10,MAT00024,Material MAT00024,159.0,EA,49105.56,USD,P001,SL03,3,TAN,,C,C,C,308.84,1,SALEUSER2,OR1000000055000010,2024-07-12,,06:38:06,,8000000055.0,10.0,B,CUST-MAT-1364,74.8,50.92,KG,ST
100,1000000056,10,MAT00018,Material MAT00018,8.0,EA,11128.48,USD,P001,SL03,1,TAN,,C,C,C,1391.06,1,SALEUSER2,OR1000000056000010,2024-03-17,,07:13:30,B,8000000056.0,10.0,D,,37.54,41.09,KG,EA
100,1000000057,10,MAT00031,Material MAT00031,32.0,EA,10084.16,USD,P002,SL01,5,TAN,,C,A,B,315.13,1,SALEUSER1,OR1000000057000010,2024-02-28,,16:31:35,,8000000057.0,10.0,C,,88.13,15.06,KG,PC
100,1000000058,10,MAT00032,Material MAT00032,173.0,EA,13487.08,USD,P002,SL03,2,TAN,,C,C,C,77.96,1,SALEUSER1,OR1000000058000010,2024-09-12,,17:33:32,C,8000000058.0,10.0,A,,39.97,61.51,KG,ST
100,1000000058,20,MAT00021,Material MAT00021,25.0,EA,30795.75,USD,P002,SL03,5,TAN,,C,C,C,1231.83,1,SALEUSER1,OR1000000058000020,2024-09-12,,07:54:55,B,8000000058.0,20.0,D,CUST-MAT-5273,98.68,18.99,KG,PC
100,1000000059,10,MAT00027,Material MAT00027,190.0,EA,155473.2,USD,P003,SL03,2,TAN,,C,C,C,818.28,1,SALEUSER3,OR1000000059000010,2024-04-15,,16:46:10,,8000000059.0,10.0,B,,48.65,45.67,KG,ST
100,1000000059,20,MAT00024,Material MAT00024,10.0,EA,17749.3,USD,P003,SL03,2,TAN,,C,C,C,1774.93,1,SALEUSER3,OR1000000059000020,2024-04-15,,17:24:20,C,8000000059.0,20.0,B,,92.86,24.23,KG,L
100,1000000060,10,MAT00024,Material MAT00024,66.0,EA,126325.32,USD,P003,SL02,4,TAN,,C,C,C,1914.02,1,SALEUSER2,OR1000000060000010,2024-08-12,,08:10:56,,8000000060.0,10.0,A,CUST-MAT-4520,32.7,89.01,KG,EA
100,1000000061,10,MAT00024,Material MAT00024,147.0,EA,28916.37,USD,P002,SL01,4,TAN,,C,C,C,196.71,1,SALEUSER3,OR1000000061000010,2024-05-24,,07:30:54,B,8000000061.0,10.0,D,,27.33,2.32,KG,ST
100,1000000062,10,MAT00020,Material MAT00020,155.0,EA,86595.4,USD,P003,SL01,3,TAN,,C,C,C,558.68,1,SALEUSER3,OR1000000062000010,2024-05-15,,12:43:06,C,8000000062.0,10.0,B,CUST-MAT-8340,88.09,18.37,KG,L
100,1000000063,10,MAT00032,Material MAT00032,36.0,EA,8583.48,USD,P003,SL03,5,TAN,,C,C,C,238.43,1,SALEUSER1,OR1000000063000010,2024-09-28,8.0,15:36:02,C,8000000063.0,10.0,A,CUST-MAT-7425,34.57,1.04,KG,PC
100,1000000064,10,MAT00031,Material MAT00031,12.0,EA,13755.96,USD,P003,SL03,2,TAN,,C,C,C,1146.33,1,SALEUSER2,OR1000000064000010,2024-04-04,,15:58:29,,8000000064.0,10.0,A,,58.62,45.72,KG,ST
100,1000000065,10,MAT00027,Material MAT00027,35.0,EA,39580.8,USD,P003,SL02,3,TAN,,C,C,C,1130.88,1,SALEUSER1,OR1000000065000010,2024-06-22,,11:58:29,C,8000000065.0,10.0,D,,89.26,86.1,KG,EA
100,1000000065,20,MAT00020,Material MAT00020,178.0,EA,237024.8,USD,P003,SL02,1,TAN,,C,C,C,1331.6,1,SALEUSER1,OR1000000065000020,2024-06-22,,12:35:47,,8000000065.0,20.0,B,,4.19,34.28,KG,L
100,1000000066,10,MAT00026,Material MAT00026,129.0,EA,6852.48,USD,P001,SL03,2,TAN,,C,C,C,53.12,1,SALEUSER1,OR1000000066000010,2024-04-10,,09:47:40,B,8000000066.0,10.0,B,,89.06,77.26,KG,EA
100,1000000066,20,MAT00018,Material MAT00018,68.0,EA,115642.16,USD,P001,SL03,1,TAN,,C,C,C,1700.62,1,SALEUSER1,OR1000000066000020,2024-04-10,,13:40:06,,8000000066.0,20.0,B,,48.51,66.77,KG,ST
100,1000000067,10,MAT00021,Material MAT00021,53.0,EA,91403.8,USD,P001,SL02,3,TAN,,C,C,C,1724.6,1,SALEUSER2,OR1000000067000010,2024-06-17,,08:53:29,B,8000000067.0,10.0,A,CUST-MAT-9276,26.81,1.13,KG,PC
100,1000000068,10,MAT00016,Material MAT00016,132.0,EA,38388.24,USD,P001,SL01,4,TAN,,C,C,C,290.82,1,SALEUSER2,OR1000000068000010,2024-01-08,,17:35:39,C,8000000068.0,10.0,B,,74.8,39.11,KG,L
100,1000000069,10,MAT00026,Material MAT00026,45.0,EA,58533.3,USD,P003,SL01,3,TAN,,C,C,C,1300.74,1,SALEUSER1,OR1000000069000010,2024-02-12,,09:59:22,C,8000000069.0,10.0,D,CUST-MAT-2571,99.06,65.15,KG,PC
100,1000000069,20,MAT00016,Material MAT00016,180.0,EA,241331.4,USD,P003,SL01,1,TAN,,C,C,C,1340.73,1,SALEUSER1,OR1000000069000020,2024-02-12,,07:00:11,C,8000000069.0,20.0,A,,63.34,65.63,KG,ST
100,1000000070,10,MAT00027,Material MAT00027,23.0,EA,18754.43,USD,P003,SL01,2,TAN,,C,C,C,815.41,1,SALEUSER2,OR1000000070000010,2024-09-04,,12:18:16,C,8000000070.0,10.0,C,,13.86,16.46,KG,ST
100,1000000071,10,MAT00022,Material MAT00022,125.0,EA,161227.5,USD,P001,SL01,5,TAN,,C,C,C,1289.82,1,SALEUSER2,OR1000000071000010,2024-02-03,,09:56:22,,8000000071.0,10.0,D,CUST-MAT-3960,13.69,77.91,KG,KG
100,1000000072,10,MAT00021,Material MAT00021,149.0,EA,154268.64,USD,P001,SL01,3,TAN,,C,C,C,1035.36,1,SALEUSER2,OR1000000072000010,2024-05-24,,15:35:43,B,8000000072.0,10.0,B,CUST-MAT-4399,62.95,58.53,KG,PC
100,1000000073,10,MAT00022,Material MAT00022,83.0,EA,96753.93,USD,P001,SL02,2,TAN,,C,C,C,1165.71,1,SALEUSER2,OR1000000073000010,2024-07-22,8.0,07:53:48,,8000000073.0,10.0,D,,74.96,77.67,KG,PC
100,1000000074,10,MAT00022,Material MAT00022,181.0,EA,156984.92,USD,P002,SL01,4,TAN,,C,C,C,867.32,1,SALEUSER2,OR1000000074000010,2024-05-06,,10:22:53,C,8000000074.0,10.0,D,,39.57,6.18,KG,KG
100,1000000075,10,MAT00020,Material MAT00020,44.0,EA,68505.36,USD,P001,SL01,4,TAN,,C,C,C,1556.94,1,SALEUSER3,OR1000000075000010,2024-06-15,,14:31:58,C,8000000075.0,10.0,D,,69.71,46.79,KG,ST
100,1000000076,10,MAT00021,Material MAT00021,135.0,EA,199520.55,USD,P001,SL03,4,TAN,,C,C,C,1477.93,1,SALEUSER2,OR1000000076000010,2024-03-22,,06:03:30,C,8000000076.0,10.0,A,,79.35,83.84,KG,EA
100,1000000077,10,MAT00028,Material MAT00028,23.0,EA,33172.67,USD,P001,SL03,2,TAN,,C,C,C,1442.29,1,SALEUSER3,OR1000000077000010,2024-02-16,,10:11:41,B,8000000077.0,10.0,A,,62.44,70.38,KG,EA
100,1000000078,10,MAT00031,Material MAT00031,89.0,EA,70915.2,USD,P001,SL01,3,TAN,,C,C,C,796.8,1,SALEUSER2,OR1000000078000010,2024-08-20,,15:56:33,,8000000078.0,10.0,C,,6.39,42.92,KG,PC
100,1000000079,10,MAT00032,Material MAT00032,97.0,EA,173146.94,USD,P002,SL03,2,TAN,,C,C,C,1785.02,1,SALEUSER3,OR1000000079000010,2024-03-23,,14:47:55,,8000000079.0,10.0,B,,59.97,56.27,KG,KG
100,1000000080,10,MAT00016,Material MAT00016,4.0,EA,7876.8,USD,P001,SL02,2,TAN,,C,C,C,1969.2,1,SALEUSER3,OR1000000080000010,2024-04-23,,08:47:51,,8000000080.0,10.0,D,,15.4,77.62,KG,PC
100,1000000081,10,MAT00018,Material MAT00018,28.0,EA,35917.28,USD,P002,SL02,5,TAN,,C,C,C,1282.76,1,SALEUSER1,OR1000000081000010,2024-01-12,,14:46:51,B,8000000081.0,10.0,D,CUST-MAT-1272,53.12,79.5,KG,KG
100,1000000081,20,MAT00018,Material MAT00018,41.0,EA,7149.17,USD,P002,SL02,5,TAN,,C,C,C,174.37,1,SALEUSER1,OR1000000081000020,2024-01-12,,09:57:29,C,8000000081.0,20.0,A,,98.15,80.14,KG,EA
100,1000000082,10,MAT00032,Material MAT00032,195.0,EA,108889.95,USD,P002,SL01,3,TAN,,C,C,C,558.41,1,SALEUSER1,OR1000000082000010,2024-02-08,,13:21:12,B,8000000082.0,10.0,D,,40.94,39.57,KG,ST
100,1000000083,10,MAT00024,Material MAT00024,104.0,EA,124620.08,USD,P003,SL01,5,TAN,,C,C,C,1198.27,1,SALEUSER2,OR1000000083000010,2024-09-12,,17:59:03,C,8000000083.0,10.0,C,,73.91,33.78,KG,EA
100,1000000084,10,MAT00030,Material MAT00030,157.0,EA,169005.79,USD,P001,SL03,4,TAN,,C,C,C,1076.47,1,SALEUSER3,OR1000000084000010,2024-02-23,,16:50:36,,8000000084.0,10.0,C,,92.56,3.78,KG,L
100,1000000084,20,MAT00022,Material MAT00022,161.0,EA,54199.04,USD,P001,SL03,5,TAN,,C,C,C,336.64,1,SALEUSER3,OR1000000084000020,2024-02-23,,09:59:44,,8000000084.0,20.0,A,,15.44,58.92,KG,PC
100,1000000085,10,MAT00031,Material MAT00031,163.0,EA,78350.84,USD,P002,SL02,4,TAN,,C,A,B,480.68,1,SALEUSER1,OR1000000085000010,2024-02-22,,12:01:07,,8000000085.0,10.0,C,CUST-MAT-6622,50.18,51.3,KG,KG
100,1000000086,10,MAT00027,Material MAT00027,112.0,EA,170876.16,USD,P003,SL01,3,TAN,,C,C,C,1525.68,1,SALEUSER1,OR1000000086000010,2024-09-08,,12:55:22,,8000000086.0,10.0,B,,73.81,80.39,KG,KG
