MANDT,EBELN,EBELP,ETENR,EINDT,SLFDT,LPEIN,MENGE,AMENG,WEMNG,WAMNG,BANFN,BNFPO,FIXKZ,GLMNG,DABMG
100,4500000039,00010,0001,2024-10-14,2024-10-14,T,485.0,0,485.0,485.0,1000000039,00010,X,485.0,0
100,4500000040,00010,0001,2024-06-15,2024-06-15,T,354.0,0,0,0,1000000040,00010,X,354.0,0
100,4500000041,00010,0001,2024-03-12,2024-03-12,T,380.0,0,380.0,380.0,1000000041,00010,X,380.0,0
100,4500000042,00010,0001,2024-07-09,2024-07-09,T,492.0,0,492.0,492.0,1000000042,00010,X,492.0,0
100,4500000043,00010,0001,2024-09-28,2024-09-28,T,432.0,0,0,0,1000000043,00010,X,432.0,0
100,4500000044,00010,0001,2024-09-27,2024-09-27,T,204.0,0,204.0,204.0,,00010,X,204.0,0
100,4500000045,00010,0001,2024-06-11,2024-06-11,T,85.0,0,85.0,85.0,1000000045,00010,X,85.0,0
100,4500000046,00010,0001,2024-03-28,2024-03-28,T,28.0,0,28.0,28.0,1000000046,00010,X,28.0,0
100,4500000047,00010,0001,2024-03-02,2024-03-02,T,357.0,0,357.0,357.0,,00010,X,357.0,0
100,4500000048,00010,0001,2024-07-14,2024-07-14,T,438.0,0,438.0,438.0,1000000048,00010,X,438.0,0
100,4500000048,00020,0001,2024-07-14,2024-07-14,T,136.0,0,136.0,136.0,1000000048,00020,X,136.0,0
100,4500000049,00010,0001,2024-03-29,2024-03-29,T,274.0,0,274.0,274.0,,00010,X,274.0,0
100,4500000049,00020,0001,2024-03-29,2024-03-29,T,181.0,0,181.0,181.0,,00020,X,181.0,0
100,4500000050,00010,0001,2024-09-22,2024-09-22,T,197.0,0,197.0,197.0,1000000050,00010,X,197.0,0
100,4500000050,00020,0001,2024-09-22,2024-09-22,T,93.0,0,93.0,93.0,1000000050,00020,X,93.0,0
100,4500000051,00010,0001,2024-07-24,2024-07-24,T,29.0,0,29.0,29.0,1000000051,00010,X,29.0,0
100,4500000052,00010,0001,2024-07-05,2024-07-05,T,323.0,0,323.0,323.0,,00010,X,323.0,0
100,4500000053,00010,0001,2024-08-24,2024-08-24,T,259.0,0,259.0,259.0,1000000053,00010,X,259.0,0
100,4500000054,00010,0001,2024-03-18,2024-03-18,T,409.0,0,409.0,409.0,1000000054,00010,X,409.0,0
100,4500000055,00010,0001,2024-05-20,2024-05-20,T,393.0,0,393.0,393.0,1000000055,00010,X,393.0,0
100,4500000055,00020,0001,2024-05-20,2024-05-20,T,160.0,0,160.0,160.0,1000000055,00020,X,160.0,0
100,4500000056,00010,0001,2024-10-03,2024-10-03,T,366.0,0,366.0,366.0,1000000056,00010,X,366.0,0
100,4500000057,00010,0001,2024-03-16,2024-03-16,T,475.0,0,0,0,,00010,X,475.0,0
100,4500000058,00010,0001,2024-07-20,2024-07-20,T,70.0,0,70.0,70.0,1000000058,00010,X,70.0,0
100,4500000059,00010,0001,2024-08-31,2024-08-31,T,239.0,0,239.0,239.0,1000000059,00010,X,239.0,0
100,4500000060,00010,0001,2024-05-06,2024-05-06,T,256.0,0,256.0,256.0,1000000060,00010,X,256.0,0
100,4500000061,00010,0001,2024-04-21,2024-04-21,T,300.0,0,300.0,300.0,1000000061,00010,X,300.0,0
100,4500000061,00020,0001,2024-04-21,2024-04-21,T,127.0,0,127.0,127.0,1000000061,00020,X,127.0,0
100,4500000062,00010,0001,2024-07-28,2024-07-28,T,74.0,0,74.0,74.0,1000000062,00010,X,74.0,0
100,4500000063,00010,0001,2024-07-26,2024-07-26,T,239.0,0,239.0,239.0,,00010,X,239.0,0
100,4500000064,00010,0001,2024-02-05,2024-02-05,T,76.0,0,0,0,1000000064,00010,X,76.0,0
100,4500000065,00010,0001,2024-04-04,2024-04-04,T,494.0,0,0,0,1000000065,00010,X,494.0,0
100,4500000066,00010,0001,2024-07-27,2024-07-27,T,372.0,0,372.0,372.0,1000000066,00010,X,372.0,0
100,4500000067,00010,0001,2024-10-31,2024-10-31,T,486.0,0,486.0,486.0,1000000067,00010,X,486.0,0
100,4500000067,00020,0001,2024-10-31,2024-10-31,T,35.0,0,35.0,35.0,1000000067,00020,X,35.0,0
100,4500000068,00010,0001,2024-09-08,2024-09-08,T,325.0,0,325.0,325.0,1000000068,00010,X,325.0,0
100,4500000069,00010,0001,2024-05-08,2024-05-08,T,196.0,0,196.0,196.0,1000000069,00010,X,196.0,0
100,4500000070,00010,0001,2024-05-25,2024-05-25,T,454.0,0,454.0,454.0,1000000070,00010,X,454.0,0
100,4500000071,00010,0001,2024-05-26,2024-05-26,T,442.0,0,442.0,442.0,,00010,X,442.0,0
100,4500000071,00020,0001,2024-05-26,2024-05-26,T,198.0,0,198.0,198.0,,00020,X,198.0,0
100,4500000072,00010,0001,2024-09-16,2024-09-16,T,171.0,0,171.0,171.0,1000000072,00010,X,171.0,0
100,4500000073,00010,0001,2024-08-11,2024-08-11,T,337.0,0,337.0,337.0,1000000073,00010,X,337.0,0
100,4500000074,00010,0001,2024-04-02,2024-04-02,T,355.0,0,355.0,355.0,1000000074,00010,X,355.0,0
100,4500000075,00010,0001,2024-11-09,2024-11-09,T,38.0,0,38.0,38.0,1000000075,00010,X,38.0,0
100,4500000076,00010,0001,2024-05-05,2024-05-05,T,324.0,0,324.0,324.0,1000000076,00010,X,324.0,0
100,4500000077,00010,0001,2024-03-02,2024-03-02,T,362.0,0,362.0,362.0,1000000077,00010,X,362.0,0
100,4500000078,00010,0001,2024-03-18,2024-03-18,T,355.0,0,355.0,355.0,1000000078,00010,X,355.0,0
100,4500000079,00010,0001,2024-08-23,2024-08-23,T,471.0,0,471.0,471.0,,00010,X,471.0,0
100,4500000080,00010,0001,2024-09-25,2024-09-25,T,76.0,0,76.0,76.0,1000000080,00010,X,76.0,0
100,4500000081,00010,0001,2024-05-20,2024-05-20,T,114.0,0,114.0,114.0,,00010,X,114.0,0
100,4500000082,00010,0001,2024-10-12,2024-10-12,T,192.0,0,192.0,192.0,1000000082,00010,X,192.0,0
100,4500000083,00010,0001,2024-05-12,2024-05-12,T,79.0,0,79.0,79.0,1000000083,00010,X,79.0,0
100,4500000084,00010,0001,2024-10-29,2024-10-29,T,13.0,0,13.0,13.0,1000000084,00010,X,13.0,0
100,4500000084,00020,0001,2024-10-29,2024-10-29,T,108.0,0,108.0,108.0,1000000084,00020,X,108.0,0
100,4500000085,00010,0001,2024-09-10,2024-09-10,T,243.0,0,243.0,243.0,1000000085,00010,X,243.0,0
100,4500000086,00010,0001,2024-02-26,2024-02-26,T,481.0,0,481.0,481.0,1000000086,00010,X,481.0,0
100,4500000087,00010,0001,2024-02-26,2024-02-26,T,496.0,0,496.0,496.0,1000000087,00010,X,496.0,0
100,4500000088,00010,0001,2024-07-27,2024-07-27,T,472.0,0,472.0,472.0,1000000088,00010,X,472.0,0
100,4500000089,00010,0001,2024-08-26,2024-08-26,T,452.0,0,452.0,452.0,1000000089,00010,X,452.0,0
100,4500000090,00010,0001,2024-07-09,2024-07-09,T,301.0,0,301.0,301.0,1000000090,00010,X,301.0,0
100,4500000091,00010,0001,2024-05-24,2024-05-24,T,483.0,0,483.0,483.0,1000000091,00010,X,483.0,0
100,4500000092,00010,0001,2024-03-27,2024-03-27,T,255.0,0,255.0,255.0,1000000092,00010,X,255.0,0
100,4500000093,00010,0001,2024-03-18,2024-03-18,T,336.0,0,336.0,336.0,1000000093,00010,X,336.0,0
100,4500000093,00020,0001,2024-03-18,2024-03-18,T,138.0,0,138.0,138.0,1000000093,00020,X,138.0,0
100,4500000094,00010,0001,2024-06-07,2024-06-07,T,243.0,0,243.0,243.0,1000000094,00010,X,243.0,0
100,4500000095,00010,0001,2024-09-11,2024-09-11,T,208.0,0,208.0,208.0,1000000095,00010,X,208.0,0
100,4500000096,00010,0001,2024-08-03,2024-08-03,T,139.0,0,139.0,139.0,1000000096,00010,X,139.0,0
100,4500000097,00010,0001,2024-04-09,2024-04-09,T,100.0,0,100.0,100.0,1000000097,00010,X,100.0,0
100,4500000097,00020,0001,2024-04-09,2024-04-09,T,41.0,0,41.0,41.0,1000000097,00020,X,41.0,0
100,4500000098,00010,0001,2024-09-16,2024-09-16,T,287.0,0,287.0,287.0,1000000098,00010,X,287.0,0
100,4500000098,00020,0001,2024-09-16,2024-09-16,T,112.0,0,112.0,112.0,1000000098,00020,X,112.0,0
100,4500000099,00010,0001,2024-06-18,2024-06-18,T,182.0,0,182.0,182.0,1000000099,00010,X,182.0,0
100,4500000100,00010,0001,2024-04-04,2024-04-04,T,496.0,0,496.0,496.0,1000000100,00010,X,496.0,0
100,4500000101,00010,0001,2024-07-05,2024-07-05,T,170.0,0,170.0,170.0,,00010,X,170.0,0
100,4500000102,00010,0001,2024-04-13,2024-04-13,T,71.0,0,71.0,71.0,1000000102,00010,X,71.0,0
100,4500000102,00020,0001,2024-04-13,2024-04-13,T,78.0,0,78.0,78.0,1000000102,00020,X,78.0,0
100,4500000103,00010,0001,2024-02-19,2024-02-19,T,69.0,0,69.0,69.0,1000000103,00010,X,69.0,0
100,4500000104,00010,0001,2024-03-09,2024-03-09,T,226.0,0,226.0,226.0,1000000104,00010,X,226.0,0
100,4500000105,00010,0001,2024-08-02,2024-08-02,T,425.0,0,425.0,425.0,1000000105,00010,X,425.0,0
100,4500000106,00010,0001,2024-02-17,2024-02-17,T,200.0,0,200.0,200.0,1000000106,00010,X,200.0,0
100,4500000107,00010,0001,2024-09-21,2024-09-21,T,273.0,0,273.0,273.0,1000000107,00010,X,273.0,0
100,4500000108,00010,0001,2024-10-20,2024-10-20,T,162.0,0,162.0,162.0,1000000108,00010,X,162.0,0
100,4500000108,00020,0001,2024-10-20,2024-10-20,T,175.0,0,175.0,175.0,1000000108,00020,X,175.0,0
100,4500000109,00010,0001,2024-04-26,2024-04-26,T,389.0,0,389.0,389.0,1000000109,00010,X,389.0,0
100,4500000109,00020,0001,2024-04-26,2024-04-26,T,12.0,0,12.0,12.0,1000000109,00020,X,12.0,0
100,4500000110,00010,0001,2024-03-10,2024-03-10,T,148.0,0,148.0,148.0,,00010,X,148.0,0
100,4500000111,00010,0001,2024-06-17,2024-06-17,T,124.0,0,124.0,124.0,,00010,X,124.0,0
100,4500000112,00010,0001,2024-11-06,2024-11-06,T,52.0,0,52.0,52.0,,00010,X,52.0,0
100,4500000112,00020,0001,2024-11-06,2024-11-06,T,82.0,0,82.0,82.0,,00020,X,82.0,0
100,4500000113,00010,0001,2024-06-16,2024-06-16,T,87.0,0,87.0,87.0,1000000113,00010,X,87.0,0
100,4500000114,00010,0001,2024-09-16,2024-09-16,T,40.0,0,40.0,40.0,,00010,X,40.0,0
100,4500000115,00010,0001,2024-04-20,2024-04-20,T,92.0,0,92.0,92.0,1000000115,00010,X,92.0,0
100,4500000115,00020,0001,2024-04-20,2024-04-20,T,125.0,0,125.0,125.0,1000000115,00020,X,125.0,0
100,4500000116,00010,0001,2024-08-27,2024-08-27,T,247.0,0,247.0,247.0,1000000116,00010,X,247.0,0
100,4500000117,00010,0001,2024-06-27,2024-06-27,T,459.0,0,459.0,459.0,1000000117,00010,X,459.0,0
100,4500000117,00020,0001,2024-06-27,2024-06-27,T,115.0,0,115.0,115.0,1000000117,00020,X,115.0,0
100,4500000118,00010,0001,2024-07-28,2024-07-28,T,424.0,0,424.0,424.0,1000000118,00010,X,424.0,0
100,4500000119,00010,0001,2024-08-07,2024-08-07,T,396.0,0,396.0,396.0,,00010,X,396.0,0
100,4500000120,00010,0001,2024-06-22,2024-06-22,T,469.0,0,469.0,469.0,1000000120,00010,X,469.0,0
100,4500000121,00010,0001,2024-10-23,2024-10-23,T,194.0,0,194.0,194.0,1000000121,00010,X,194.0,0
100,4500000121,00020,0001,2024-10-23,2024-10-23,T,36.0,0,36.0,36.0,1000000121,00020,X,36.0,0
100,4500000122,00010,0001,2024-06-29,2024-06-29,T,34.0,0,0,0,1000000122,00010,X,34.0,0
100,4500000123,00010,0001,2024-10-01,2024-10-01,T,395.0,0,0,0,1000000123,00010,X,395.0,0
100,4500000124,00010,0001,2024-04-20,2024-04-20,T,406.0,0,406.0,406.0,1000000124,00010,X,406.0,0
100,4500000124,00020,0001,2024-04-20,2024-04-20,T,12.0,0,12.0,12.0,1000000124,00020,X,12.0,0
100,4500000125,00010,0001,2024-03-24,2024-03-24,T,281.0,0,281.0,281.0,,00010,X,281.0,0
100,4500000126,00010,0001,2024-08-02,2024-08-02,T,331.0,0,331.0,331.0,1000000126,00010,X,331.0,0
100,4500000126,00020,0001,2024-08-02,2024-08-02,T,180.0,0,180.0,180.0,1000000126,00020,X,180.0,0
100,4500000127,00010,0001,2024-11-02,2024-11-02,T,193.0,0,193.0,193.0,1000000127,00010,X,193.0,0
100,4500000127,00020,0001,2024-11-02,2024-11-02,T,54.0,0,54.0,54.0,1000000127,00020,X,54.0,0
100,4500000128,00010,0001,2024-05-04,2024-05-04,T,417.0,0,417.0,417.0,1000000128,00010,X,417.0,0
100,4500000129,00010,0001,2024-06-20,2024-06-20,T,484.0,0,484.0,484.0,1000000129,00010,X,484.0,0
100,4500000130,00010,0001,2024-03-22,2024-03-22,T,494.0,0,494.0,494.0,1000000130,00010,X,494.0,0
100,4500000131,00010,0001,2024-08-12,2024-08-12,T,357.0,0,357.0,357.0,1000000131,00010,X,357.0,0
100,4500000132,00010,0001,2024-05-18,2024-05-18,T,54.0,0,54.0,54.0,1000000132,00010,X,54.0,0
100,4500000133,00010,0001,2024-08-25,2024-08-25,T,36.0,0,36.0,36.0,1000000133,00010,X,36.0,0
100,4500000134,00010,0001,2024-06-19,2024-06-19,T,385.0,0,385.0,385.0,1000000134,00010,X,385.0,0
100,4500000135,00010,0001,2024-07-17,2024-07-17,T,257.0,0,257.0,257.0,,00010,X,257.0,0
100,4500000135,00020,0001,2024-07-17,2024-07-17,T,151.0,0,151.0,151.0,,00020,X,151.0,0
100,4500000136,00010,0001,2024-03-21,2024-03-21,T,348.0,0,348.0,348.0,1000000136,00010,X,348.0,0
100,4500000137,00010,0001,2024-03-30,2024-03-30,T,107.0,0,107.0,107.0,1000000137,00010,X,107.0,0
100,4500000138,00010,0001,2024-10-04,2024-10-04,T,261.0,0,261.0,261.0,1000000138,00010,X,261.0,0
100,4500000139,00010,0001,2024-05-10,2024-05-10,T,478.0,0,478.0,478.0,1000000139,00010,X,478.0,0
100,4500000140,00010,0001,2024-02-22,2024-02-22,T,457.0,0,457.0,457.0,,00010,X,457.0,0
100,4500000141,00010,0001,2024-11-25,2024-11-25,T,287.0,0,287.0,287.0,1000000141,00010,X,287.0,0
100,4500000142,00010,0001,2024-05-21,2024-05-21,T,119.0,0,119.0,119.0,,00010,X,119.0,0
100,4500000142,00020,0001,2024-05-21,2024-05-21,T,150.0,0,150.0,150.0,,00020,X,150.0,0
100,4500000143,00010,0001,2024-08-19,2024-08-19,T,242.0,0,242.0,242.0,1000000143,00010,X,242.0,0
100,4500000144,00010,0001,2024-05-07,2024-05-07,T,203.0,0,203.0,203.0,1000000144,00010,X,203.0,0
100,4500000145,00010,0001,2024-04-30,2024-04-30,T,200.0,0,200.0,200.0,1000000145,00010,X,200.0,0
100,4500000146,00010,0001,2024-05-24,2024-05-24,T,360.0,0,360.0,360.0,1000000146,00010,X,360.0,0
100,4500000147,00010,0001,2024-10-14,2024-10-14,T,81.0,0,81.0,81.0,1000000147,00010,X,81.0,0
100,4500000148,00010,0001,2024-09-08,2024-09-08,T,400.0,0,400.0,400.0,1000000148,00010,X,400.0,0
100,4500000149,00010,0001,2024-06-20,2024-06-20,T,154.0,0,154.0,154.0,1000000149,00010,X,154.0,0
100,4500000150,00010,0001,2024-05-17,2024-05-17,T,389.0,0,389.0,389.0,1000000150,00010,X,389.0,0
100,4500000151,00010,0001,2024-08-01,2024-08-01,T,117.0,0,117.0,117.0,1000000151,00010,X,117.0,0
100,4500000152,00010,0001,2024-03-25,2024-03-25,T,167.0,0,167.0,167.0,1000000152,00010,X,167.0,0
100,4500000153,00010,0001,2024-05-12,2024-05-12,T,45.0,0,45.0,45.0,1000000153,00010,X,45.0,0
100,4500000154,00010,0001,2024-03-31,2024-03-31,T,152.0,0,152.0,152.0,1000000154,00010,X,152.0,0
100,4500000155,00010,0001,2024-09-02,2024-09-02,T,282.0,0,282.0,282.0,1000000155,00010,X,282.0,0
100,4500000156,00010,0001,2024-04-30,2024-04-30,T,288.0,0,288.0,288.0,1000000156,00010,X,288.0,0
100,4500000157,00010,0001,2024-07-31,2024-07-31,T,312.0,0,0,0,1000000157,00010,X,312.0,0
100,4500000158,00010,0001,2024-10-07,2024-10-07,T,160.0,0,160.0,160.0,1000000158,00010,X,160.0,0
100,4500000159,00010,0001,2024-06-11,2024-06-11,T,276.0,0,276.0,276.0,1000000159,00010,X,276.0,0
100,4500000159,00020,0001,2024-06-11,2024-06-11,T,52.0,0,52.0,52.0,1000000159,00020,X,52.0,0
100,4500000160,00010,0001,2024-06-17,2024-06-17,T,41.0,0,41.0,41.0,1000000160,00010,X,41.0,0
100,4500000161,00010,0001,2024-06-01,2024-06-01,T,189.0,0,189.0,189.0,1000000161,00010,X,189.0,0
100,4500000162,00010,0001,2024-10-31,2024-10-31,T,84.0,0,84.0,84.0,1000000162,00010,X,84.0,0
100,4500000163,00010,0001,2024-11-13,2024-11-13,T,37.0,0,37.0,37.0,1000000163,00010,X,37.0,0
100,4500000164,00010,0001,2024-10-19,2024-10-19,T,346.0,0,346.0,346.0,1000000164,00010,X,346.0,0
100,4500000165,00010,0001,2024-10-05,2024-10-05,T,274.0,0,0,0,1000000165,00010,X,274.0,0
100,4500000166,00010,0001,2024-06-15,2024-06-15,T,149.0,0,149.0,149.0,1000000166,00010,X,149.0,0
100,4500000167,00010,0001,2024-09-19,2024-09-19,T,145.0,0,145.0,145.0,1000000167,00010,X,145.0,0
100,4500000168,00010,0001,2024-10-24,2024-10-24,T,59.0,0,59.0,59.0,1000000168,00010,X,59.0,0
100,4500000169,00010,0001,2024-11-28,2024-11-28,T,38.0,0,38.0,38.0,1000000169,00010,X,38.0,0
100,4500000169,00020,0001,2024-11-28,2024-11-28,T,52.0,0,52.0,52.0,1000000169,00020,X,52.0,0
100,4500000170,00010,0001,2024-05-30,2024-05-30,T,466.0,0,466.0,466.0,1000000170,00010,X,466.0,0
100,4500000171,00010,0001,2024-10-14,2024-10-14,T,176.0,0,176.0,176.0,1000000171,00010,X,176.0,0
100,4500000172,00010,0001,2024-07-23,2024-07-23,T,412.0,0,412.0,412.0,,00010,X,412.0,0
100,4500000173,00010,0001,2024-07-27,2024-07-27,T,461.0,0,461.0,461.0,1000000173,00010,X,461.0,0
100,4500000173,00020,0001,2024-07-27,2024-07-27,T,83.0,0,83.0,83.0,1000000173,00020,X,83.0,0
100,4500000174,00010,0001,2024-02-14,2024-02-14,T,59.0,0,59.0,59.0,,00010,X,59.0,0
100,4500000175,00010,0001,2024-06-27,2024-06-27,T,222.0,0,222.0,222.0,1000000175,00010,X,222.0,0
100,4500000176,00010,0001,2024-06-04,2024-06-04,T,319.0,0,319.0,319.0,,00010,X,319.0,0
100,4500000177,00010,0001,2024-09-02,2024-09-02,T,249.0,0,249.0,249.0,1000000177,00010,X,249.0,0
100,4500000178,00010,0001,2024-08-10,2024-08-10,T,358.0,0,358.0,358.0,1000000178,00010,X,358.0,0
100,4500000179,00010,0001,2024-04-23,2024-04-23,T,41.0,0,41.0,41.0,1000000179,00010,X,41.0,0
100,4500000180,00010,0001,2024-04-27,2024-04-27,T,94.0,0,94.0,94.0,1000000180,00010,X,94.0,0
100,4500000181,00010,0001,2024-10-10,2024-10-10,T,54.0,0,54.0,54.0,1000000181,00010,X,54.0,0
100,4500000181,00020,0001,2024-10-10,2024-10-10,T,190.0,0,190.0,190.0,1000000181,00020,X,190.0,0
100,4500000182,00010,0001,2024-05-18,2024-05-18,T,316.0,0,316.0,316.0,1000000182,00010,X,316.0,0
100,4500000183,00010,0001,2024-07-02,2024-07-02,T,21.0,0,21.0,21.0,,00010,X,21.0,0
100,4500000184,00010,0001,2024-03-16,2024-03-16,T,141.0,0,141.0,141.0,1000000184,00010,X,141.0,0
100,4500000185,00010,0001,2024-06-01,2024-06-01,T,481.0,0,0,0,1000000185,00010,X,481.0,0
100,4500000186,00010,0001,2024-04-08,2024-04-08,T,485.0,0,485.0,485.0,1000000186,00010,X,485.0,0
100,4500000187,00010,0001,2024-10-16,2024-10-16,T,396.0,0,396.0,396.0,1000000187,00010,X,396.0,0
100,4500000188,00010,0001,2024-10-25,2024-10-25,T,282.0,0,282.0,282.0,1000000188,00010,X,282.0,0
100,4500000189,00010,0001,2024-09-08,2024-09-08,T,254.0,0,254.0,254.0,1000000189,00010,X,254.0,0
100,4500000190,00010,0001,2024-09-02,2024-09-02,T,45.0,0,45.0,45.0,1000000190,00010,X,45.0,0
100,4500000191,00010,0001,2024-05-19,2024-05-19,T,365.0,0,365.0,365.0,1000000191,00010,X,365.0,0
100,4500000191,00020,0001,2024-05-19,2024-05-19,T,177.0,0,177.0,177.0,1000000191,00020,X,177.0,0
100,4500000192,00010,0001,2024-06-15,2024-06-15,T,135.0,0,135.0,135.0,1000000192,00010,X,135.0,0
100,4500000193,00010,0001,2024-03-04,2024-03-04,T,78.0,0,78.0,78.0,1000000193,00010,X,78.0,0
100,4500000194,00010,0001,2024-07-09,2024-07-09,T,392.0,0,392.0,392.0,,00010,X,392.0,0
100,4500000195,00010,0001,2024-04-05,2024-04-05,T,486.0,0,486.0,486.0,1000000195,00010,X,486.0,0
100,4500000196,00010,0001,2024-05-28,2024-05-28,T,290.0,0,290.0,290.0,1000000196,00010,X,290.0,0
100,4500000197,00010,0001,2024-09-15,2024-09-15,T,32.0,0,32.0,32.0,1000000197,00010,X,32.0,0
100,4500000198,00010,0001,2024-11-04,2024-11-04,T,247.0,0,247.0,247.0,1000000198,00010,X,247.0,0
