MANDT,BANFN,BNFPO,BSART,BSTYP,BSAKZ,LOEKZ,STATU,ESTKZ,FRGKZ,FRGZU,FRGST,EKGRP,ERNAM,ERDAT,AFNAM,TXZ01,MATNR,WERKS,LGORT,MENGE,MEINS,LFDAT,BADAT,LIFNR,EKORG,EBELN,EBELP,FRGRL,BWTAR,PSTYP,KNTTP
100,1000000030,00010,NB,B,,,N,B,R,,,100,BUYER03,2024-05-31,BUYER03,PR for material MAT00008,MAT00008,P001,SL03,489.0,EA,2024-06-21,2024-05-31,,1000,4500000030,00010,,,0,
100,1000000030,00020,NB,B,,,N,B,R,,,103,BUYER03,2024-05-31,BUYER03,PR for material MAT00008,MAT00008,P001,SL03,489.0,EA,2024-06-21,2024-05-31,,1000,4500000030,00020,,,0,
100,1000000031,00010,NB,B,,,N,B,R,,,101,BUYER01,2024-05-14,BUYER01,PR for material MAT00015,MAT00015,P002,SL03,238.0,EA,2024-06-03,2024-05-14,,1000,4500000031,00010,,,0,
100,1000000031,00020,NB,B,,,N,B,R,,,100,BUYER01,2024-05-14,BUYER01,PR for material MAT00015,MAT00015,P002,SL03,238.0,EA,2024-06-03,2024-05-14,,1000,4500000031,00020,,,0,
100,1000000032,00010,NB,B,,,N,B,R,,,101,BUYER01,2024-05-01,BUYER01,PR for material MAT00010,MAT00010,P003,SL03,322.0,EA,2024-06-11,2024-05-01,,1000,4500000032,00010,,,0,
100,1000000032,00020,NB,B,,,N,B,R,,,100,BUYER01,2024-05-01,BUYER01,PR for material MAT00010,MAT00010,P003,SL03,322.0,EA,2024-06-11,2024-05-01,,1000,4500000032,00020,,,0,
100,1000000033,00010,NB,B,,,N,B,R,,,102,BUYER01,2024-07-10,BUYER01,PR for material MAT00018,MAT00018,P003,SL03,140.0,EA,2024-08-19,2024-07-10,,1000,4500000033,00010,,,0,
100,1000000034,00010,NB,B,,,N,B,R,,,102,BUYER01,2024-06-07,BUYER01,PR for material MAT00023,MAT00023,P003,SL01,78.0,EA,2024-07-23,2024-06-07,,1000,4500000034,00010,,,0,
100,1000000034,00020,NB,B,,,N,B,R,,,103,BUYER01,2024-06-07,BUYER01,PR for material MAT00023,MAT00023,P003,SL01,78.0,EA,2024-07-23,2024-06-07,,1000,4500000034,00020,,,0,
100,1000000035,00010,NB,B,,,N,B,R,,,103,BUYER02,2024-07-06,BUYER02,PR for material MAT00018,MAT00018,P001,SL03,103.0,EA,2024-08-15,2024-07-06,,1000,4500000035,00010,,,0,
100,1000000036,00010,NB,B,,,N,B,R,,,101,BUYER03,2024-06-21,BUYER03,PR for material MAT00008,MAT00008,P001,SL03,451.0,EA,2024-07-21,2024-06-21,,1000,4500000036,00010,,,0,
100,1000000036,00020,NB,B,,,N,B,R,,,101,BUYER03,2024-06-21,BUYER03,PR for material MAT00008,MAT00008,P001,SL03,451.0,EA,2024-07-21,2024-06-21,,1000,4500000036,00020,,,0,
100,1000000037,00010,NB,B,,,N,B,R,,,103,BUYER01,2024-01-20,BUYER01,PR for material MAT00015,MAT00015,P003,SL03,207.0,EA,2024-03-05,2024-01-20,,1000,4500000037,00010,,,0,
100,1000000038,00010,NB,B,,,N,B,R,,,101,BUYER03,2024-08-12,BUYER03,PR for material MAT00017,MAT00017,P003,SL02,428.0,EA,2024-10-10,2024-08-12,,1000,4500000038,00010,,,0,
100,1000000038,00020,NB,B,,,N,B,R,,,103,BUYER03,2024-08-12,BUYER03,PR for material MAT00017,MAT00017,P003,SL02,428.0,EA,2024-10-10,2024-08-12,,1000,4500000038,00020,,,0,
100,1000000039,00010,NB,B,,,N,B,R,,,102,BUYER03,2024-08-08,BUYER03,PR for material MAT00022,MAT00022,P001,SL02,485.0,EA,2024-10-14,2024-08-08,,1000,4500000039,00010,,,0,
100,1000000040,00010,NB,B,,,N,B,R,,,102,BUYER03,2024-05-20,BUYER03,PR for material MAT00020,MAT00020,P003,SL03,354.0,EA,2024-06-15,2024-05-20,,1000,4500000040,00010,,,0,
100,1000000041,00010,NB,B,,,N,B,R,,,100,BUYER02,2024-02-17,BUYER02,PR for material MAT00011,MAT00011,P001,SL02,380.0,EA,2024-03-12,2024-02-17,,1000,4500000041,00010,,,0,
100,1000000042,00010,NB,B,,,N,B,R,,,101,BUYER03,2024-06-10,BUYER03,PR for material MAT00017,MAT00017,P003,SL03,492.0,EA,2024-07-09,2024-06-10,,1000,4500000042,00010,,,0,
100,1000000043,00010,NB,B,,,N,B,R,,,103,BUYER03,2024-08-15,BUYER03,PR for material MAT00002,MAT00002,P002,SL01,432.0,EA,2024-09-28,2024-08-15,,1000,4500000043,00010,,,0,
100,1000000045,00010,NB,B,,,N,B,R,,,100,BUYER03,2024-05-15,BUYER03,PR for material MAT00005,MAT00005,P001,SL01,85.0,EA,2024-06-11,2024-05-15,,1000,4500000045,00010,,,0,
100,1000000046,00010,NB,B,,,N,B,R,,,102,BUYER02,2024-02-11,BUYER02,PR for material MAT00017,MAT00017,P003,SL01,28.0,EA,2024-03-28,2024-02-11,,1000,4500000046,00010,,,0,
100,1000000048,00010,NB,B,,,N,B,R,,,101,BUYER01,2024-05-13,BUYER01,PR for material MAT00010,MAT00010,P002,SL01,438.0,EA,2024-07-14,2024-05-13,,1000,4500000048,00010,,,0,
100,1000000048,00020,NB,B,,,N,B,R,,,102,BUYER01,2024-05-13,BUYER01,PR for material MAT00010,MAT00010,P002,SL01,438.0,EA,2024-07-14,2024-05-13,,1000,4500000048,00020,,,0,
100,1000000050,00010,NB,B,,,N,B,R,,,101,BUYER02,2024-08-17,BUYER02,PR for material MAT00022,MAT00022,P002,SL01,197.0,EA,2024-09-22,2024-08-17,,1000,4500000050,00010,,,0,
100,1000000050,00020,NB,B,,,N,B,R,,,101,BUYER02,2024-08-17,BUYER02,PR for material MAT00022,MAT00022,P002,SL01,197.0,EA,2024-09-22,2024-08-17,,1000,4500000050,00020,,,0,
100,1000000051,00010,NB,B,,,N,B,R,,,103,BUYER02,2024-06-24,BUYER02,PR for material MAT00004,MAT00004,P001,SL01,29.0,EA,2024-07-24,2024-06-24,,1000,4500000051,00010,,,0,
100,1000000053,00010,NB,B,,,N,B,R,,,100,BUYER02,2024-07-07,BUYER02,PR for material MAT00017,MAT00017,P001,SL03,259.0,EA,2024-08-24,2024-07-07,,1000,4500000053,00010,,,0,
100,1000000054,00010,NB,B,,,N,B,R,,,103,BUYER03,2024-01-27,BUYER03,PR for material MAT00005,MAT00005,P001,SL03,409.0,EA,2024-03-18,2024-01-27,,1000,4500000054,00010,,,0,
100,1000000055,00010,NB,B,,,N,B,R,,,102,BUYER03,2024-04-11,BUYER03,PR for material MAT00021,MAT00021,P002,SL02,393.0,EA,2024-05-20,2024-04-11,,1000,4500000055,00010,,,0,
100,1000000055,00020,NB,B,,,N,B,R,,,102,BUYER03,2024-04-11,BUYER03,PR for material MAT00021,MAT00021,P002,SL02,393.0,EA,2024-05-20,2024-04-11,,1000,4500000055,00020,,,0,
100,1000000056,00010,NB,B,,,N,B,R,,,103,BUYER02,2024-08-19,BUYER02,PR for material MAT00006,MAT00006,P003,SL03,366.0,EA,2024-10-03,2024-08-19,,1000,4500000056,00010,,,0,
100,1000000058,00010,NB,B,,,N,B,R,,,103,BUYER02,2024-05-30,BUYER02,PR for material MAT00020,MAT00020,P003,SL02,70.0,EA,2024-07-20,2024-05-30,,1000,4500000058,00010,,,0,
100,1000000059,00010,NB,B,,,N,B,R,,,101,BUYER01,2024-07-07,BUYER01,PR for material MAT00001,MAT00001,P001,SL01,239.0,EA,2024-08-31,2024-07-07,,1000,4500000059,00010,,,0,
100,1000000060,00010,NB,B,,,N,B,R,,,100,BUYER01,2024-04-07,BUYER01,PR for material MAT00005,MAT00005,P002,SL02,256.0,EA,2024-05-06,2024-04-07,,1000,4500000060,00010,,,0,
100,1000000061,00010,NB,B,,,N,B,R,,,101,BUYER02,2024-02-21,BUYER02,PR for material MAT00020,MAT00020,P001,SL03,300.0,EA,2024-04-21,2024-02-21,,1000,4500000061,00010,,,0,
100,1000000061,00020,NB,B,,,N,B,R,,,102,BUYER02,2024-02-21,BUYER02,PR for material MAT00020,MAT00020,P001,SL03,300.0,EA,2024-04-21,2024-02-21,,1000,4500000061,00020,,,0,
100,1000000062,00010,NB,B,,,N,B,R,,,100,BUYER01,2024-06-16,BUYER01,PR for material MAT00011,MAT00011,P002,SL03,74.0,EA,2024-07-28,2024-06-16,,1000,4500000062,00010,,,0,
100,1000000064,00010,NB,B,,,N,B,R,,,102,BUYER03,2024-01-09,BUYER03,PR for material MAT00018,MAT00018,P003,SL02,76.0,EA,2024-02-05,2024-01-09,,1000,4500000064,00010,,,0,
100,1000000065,00010,NB,B,,,N,B,R,,,102,BUYER03,2024-02-23,BUYER03,PR for material MAT00005,MAT00005,P002,SL03,494.0,EA,2024-04-04,2024-02-23,,1000,4500000065,00010,,,0,
100,1000000066,00010,NB,B,,,N,B,R,,,102,BUYER01,2024-06-16,BUYER01,PR for material MAT00011,MAT00011,P003,SL03,372.0,EA,2024-07-27,2024-06-16,,1000,4500000066,00010,,,0,
100,1000000067,00010,NB,B,,,N,B,R,,,101,BUYER03,2024-09-03,BUYER03,PR for material MAT00020,MAT00020,P003,SL03,486.0,EA,2024-10-31,2024-09-03,,1000,4500000067,00010,,,0,
100,1000000067,00020,NB,B,,,N,B,R,,,100,BUYER03,2024-09-03,BUYER03,PR for material MAT00020,MAT00020,P003,SL03,486.0,EA,2024-10-31,2024-09-03,,1000,4500000067,00020,,,0,
100,1000000068,00010,NB,B,,,N,B,R,,,103,BUYER02,2024-07-04,BUYER02,PR for material MAT00018,MAT00018,P001,SL02,325.0,EA,2024-09-08,2024-07-04,,1000,4500000068,00010,,,0,
100,1000000069,00010,NB,B,,,N,B,R,,,102,BUYER02,2024-03-07,BUYER02,PR for material MAT00010,MAT00010,P003,SL03,196.0,EA,2024-05-08,2024-03-07,,1000,4500000069,00010,,,0,
100,1000000070,00010,NB,B,,,N,B,R,,,101,BUYER03,2024-05-06,BUYER03,PR for material MAT00004,MAT00004,P003,SL02,454.0,EA,2024-05-25,2024-05-06,,1000,4500000070,00010,,,0,
100,1000000072,00010,NB,B,,,N,B,R,,,100,BUYER02,2024-07-30,BUYER02,PR for material MAT00006,MAT00006,P002,SL03,171.0,EA,2024-09-16,2024-07-30,,1000,4500000072,00010,,,0,
100,1000000073,00010,NB,B,,,N,B,R,,,101,BUYER03,2024-07-07,BUYER03,PR for material MAT00009,MAT00009,P003,SL03,337.0,EA,2024-08-11,2024-07-07,,1000,4500000073,00010,,,0,
100,1000000074,00010,NB,B,,,N,B,R,,,100,BUYER03,2024-02-15,BUYER03,PR for material MAT00008,MAT00008,P003,SL02,355.0,EA,2024-04-02,2024-02-15,,1000,4500000074,00010,,,0,
100,1000000075,00010,NB,B,,,N,B,R,,,102,BUYER03,2024-09-23,BUYER03,PR for material MAT00005,MAT00005,P002,SL01,38.0,EA,2024-11-09,2024-09-23,,1000,4500000075,00010,,,0,
100,1000000076,00010,NB,B,,,N,B,R,,,103,BUYER01,2024-04-06,BUYER01,PR for material MAT00014,MAT00014,P002,SL01,324.0,EA,2024-05-05,2024-04-06,,1000,4500000076,00010,,,0,
100,1000000077,00010,NB,B,,,N,B,R,,,103,BUYER02,2024-01-16,BUYER02,PR for material MAT00001,MAT00001,P003,SL01,362.0,EA,2024-03-02,2024-01-16,,1000,4500000077,00010,,,0,
100,1000000078,00010,NB,B,,,N,B,R,,,100,BUYER01,2024-01-22,BUYER01,PR for material MAT00004,MAT00004,P001,SL01,355.0,EA,2024-03-18,2024-01-22,,1000,4500000078,00010,,,0,
100,1000000080,00010,NB,B,,,N,B,R,,,101,BUYER03,2024-08-03,BUYER03,PR for material MAT00018,MAT00018,P001,SL02,76.0,EA,2024-09-25,2024-08-03,,1000,4500000080,00010,,,0,
100,1000000082,00010,NB,B,,,N,B,R,,,101,BUYER02,2024-09-01,BUYER02,PR for material MAT00004,MAT00004,P003,SL02,192.0,EA,2024-10-12,2024-09-01,,1000,4500000082,00010,,,0,
100,1000000083,00010,NB,B,,,N,B,R,,,101,BUYER02,2024-03-31,BUYER02,PR for material MAT00015,MAT00015,P003,SL03,79.0,EA,2024-05-12,2024-03-31,,1000,4500000083,00010,,,0,
100,1000000084,00010,NB,B,,,N,B,R,,,100,BUYER01,2024-09-08,BUYER01,PR for material MAT00002,MAT00002,P003,SL02,13.0,EA,2024-10-29,2024-09-08,,1000,4500000084,00010,,,0,
100,1000000084,00020,NB,B,,,N,B,R,,,100,BUYER01,2024-09-08,BUYER01,PR for material MAT00002,MAT00002,P003,SL02,13.0,EA,2024-10-29,2024-09-08,,1000,4500000084,00020,,,0,
100,1000000085,00010,NB,B,,,N,B,R,,,101,BUYER01,2024-07-30,BUYER01,PR for material MAT00003,MAT00003,P003,SL03,243.0,EA,2024-09-10,2024-07-30,,1000,4500000085,00010,,,0,
100,1000000086,00010,NB,B,,,N,B,R,,,103,BUYER01,2024-01-21,BUYER01,PR for material MAT00018,MAT00018,P001,SL03,481.0,EA,2024-02-26,2024-01-21,,1000,4500000086,00010,,,0,
100,1000000087,00010,NB,B,,,N,B,R,,,102,BUYER01,2024-01-20,BUYER01,PR for material MAT00011,MAT00011,P002,SL03,496.0,EA,2024-02-26,2024-01-20,,1000,4500000087,00010,,,0,
100,1000000088,00010,NB,B,,,N,B,R,,,102,BUYER03,2024-07-07,BUYER03,PR for material MAT00011,MAT00011,P001,SL03,472.0,EA,2024-07-27,2024-07-07,,1000,4500000088,00010,,,0,
100,1000000089,00010,NB,B,,,N,B,R,,,101,BUYER03,2024-08-03,BUYER03,PR for material MAT00010,MAT00010,P002,SL02,452.0,EA,2024-08-26,2024-08-03,,1000,4500000089,00010,,,0,
100,1000000090,00010,NB,B,,,N,B,R,,,100,BUYER02,2024-05-10,BUYER02,PR for material MAT00009,MAT00009,P002,SL01,301.0,EA,2024-07-09,2024-05-10,,1000,4500000090,00010,,,0,
100,1000000091,00010,NB,B,,,N,B,R,,,102,BUYER03,2024-04-16,BUYER03,PR for material MAT00020,MAT00020,P001,SL02,483.0,EA,2024-05-24,2024-04-16,,1000,4500000091,00010,,,0,
100,1000000092,00010,NB,B,,,N,B,R,,,101,BUYER02,2024-02-09,BUYER02,PR for material MAT00010,MAT00010,P003,SL01,255.0,EA,2024-03-27,2024-02-09,,1000,4500000092,00010,,,0,
100,1000000093,00010,NB,B,,,N,B,R,,,100,BUYER03,2024-02-17,BUYER03,PR for material MAT00012,MAT00012,P002,SL03,336.0,EA,2024-03-18,2024-02-17,,1000,4500000093,00010,,,0,
100,1000000093,00020,NB,B,,,N,B,R,,,103,BUYER03,2024-02-17,BUYER03,PR for material MAT00012,MAT00012,P002,SL03,336.0,EA,2024-03-18,2024-02-17,,1000,4500000093,00020,,,0,
100,1000000094,00010,NB,B,,,N,B,R,,,103,BUYER01,2024-04-19,BUYER01,PR for material MAT00015,MAT00015,P002,SL02,243.0,EA,2024-06-07,2024-04-19,,1000,4500000094,00010,,,0,
100,1000000095,00010,NB,B,,,N,B,R,,,103,BUYER01,2024-08-10,BUYER01,PR for material MAT00011,MAT00011,P003,SL01,208.0,EA,2024-09-11,2024-08-10,,1000,4500000095,00010,,,0,
100,1000000096,00010,NB,B,,,N,B,R,,,102,BUYER01,2024-06-19,BUYER01,PR for material MAT00012,MAT00012,P003,SL01,139.0,EA,2024-08-03,2024-06-19,,1000,4500000096,00010,,,0,
100,1000000097,00010,NB,B,,,N,B,R,,,103,BUYER03,2024-03-05,BUYER03,PR for material MAT00011,MAT00011,P003,SL01,100.0,EA,2024-04-09,2024-03-05,,1000,4500000097,00010,,,0,
100,1000000097,00020,NB,B,,,N,B,R,,,103,BUYER03,2024-03-05,BUYER03,PR for material MAT00011,MAT00011,P003,SL01,100.0,EA,2024-04-09,2024-03-05,,1000,4500000097,00020,,,0,
100,1000000098,00010,NB,B,,,N,B,R,,,101,BUYER02,2024-08-19,BUYER02,PR for material MAT00023,MAT00023,P003,SL02,287.0,EA,2024-09-16,2024-08-19,,1000,4500000098,00010,,,0,
100,1000000098,00020,NB,B,,,N,B,R,,,102,BUYER02,2024-08-19,BUYER02,PR for material MAT00023,MAT00023,P003,SL02,287.0,EA,2024-09-16,2024-08-19,,1000,4500000098,00020,,,0,
100,1000000099,00010,NB,B,,,N,B,R,,,103,BUYER02,2024-04-21,BUYER02,PR for material MAT00008,MAT00008,P001,SL02,182.0,EA,2024-06-18,2024-04-21,,1000,4500000099,00010,,,0,
100,1000000100,00010,NB,B,,,N,B,R,,,101,BUYER02,2024-02-22,BUYER02,PR for material MAT00017,MAT00017,P002,SL03,496.0,EA,2024-04-04,2024-02-22,,1000,4500000100,00010,,,0,
100,1000000102,00010,NB,B,,,N,B,R,,,103,BUYER03,2024-02-24,BUYER03,PR for material MAT00002,MAT00002,P002,SL02,71.0,EA,2024-04-13,2024-02-24,,1000,4500000102,00010,,,0,
100,1000000102,00020,NB,B,,,N,B,R,,,103,BUYER03,2024-02-24,BUYER03,PR for material MAT00002,MAT00002,P002,SL02,71.0,EA,2024-04-13,2024-02-24,,1000,4500000102,00020,,,0,
100,1000000103,00010,NB,B,,,N,B,R,,,101,BUYER03,2024-01-09,BUYER03,PR for material MAT00001,MAT00001,P001,SL03,69.0,EA,2024-02-19,2024-01-09,,1000,4500000103,00010,,,0,
100,1000000104,00010,NB,B,,,N,B,R,,,101,BUYER01,2024-01-09,BUYER01,PR for material MAT00003,MAT00003,P003,SL03,226.0,EA,2024-03-09,2024-01-09,,1000,4500000104,00010,,,0,
100,1000000105,00010,NB,B,,,N,B,R,,,102,BUYER01,2024-05-29,BUYER01,PR for material MAT00008,MAT00008,P001,SL02,425.0,EA,2024-08-02,2024-05-29,,1000,4500000105,00010,,,0,
100,1000000106,00010,NB,B,,,N,B,R,,,103,BUYER01,2024-01-11,BUYER01,PR for material MAT00017,MAT00017,P001,SL02,200.0,EA,2024-02-17,2024-01-11,,1000,4500000106,00010,,,0,
100,1000000107,00010,NB,B,,,N,B,R,,,100,BUYER02,2024-07-28,BUYER02,PR for material MAT00014,MAT00014,P003,SL02,273.0,EA,2024-09-21,2024-07-28,,1000,4500000107,00010,,,0,
100,1000000108,00010,NB,B,,,N,B,R,,,101,BUYER01,2024-08-24,BUYER01,PR for material MAT00004,MAT00004,P001,SL01,162.0,EA,2024-10-20,2024-08-24,,1000,4500000108,00010,,,0,
100,1000000108,00020,NB,B,,,N,B,R,,,100,BUYER01,2024-08-24,BUYER01,PR for material MAT00004,MAT00004,P001,SL01,162.0,EA,2024-10-20,2024-08-24,,1000,4500000108,00020,,,0,
100,1000000109,00010,NB,B,,,N,B,R,,,100,BUYER02,2024-03-30,BUYER02,PR for material MAT00016,MAT00016,P003,SL02,389.0,EA,2024-04-26,2024-03-30,,1000,4500000109,00010,,,0,
100,1000000109,00020,NB,B,,,N,B,R,,,101,BUYER02,2024-03-30,BUYER02,PR for material MAT00016,MAT00016,P003,SL02,389.0,EA,2024-04-26,2024-03-30,,1000,4500000109,00020,,,0,
100,1000000113,00010,NB,B,,,N,B,R,,,100,BUYER02,2024-05-19,BUYER02,PR for material MAT00015,MAT00015,P001,SL02,87.0,EA,2024-06-16,2024-05-19,,1000,4500000113,00010,,,0,
100,1000000115,00010,NB,B,,,N,B,R,,,103,BUYER03,2024-03-07,BUYER03,PR for material MAT00011,MAT00011,P002,SL01,92.0,EA,2024-04-20,2024-03-07,,1000,4500000115,00010,,,0,
100,1000000115,00020,NB,B,,,N,B,R,,,103,BUYER03,2024-03-07,BUYER03,PR for material MAT00011,MAT00011,P002,SL01,92.0,EA,2024-04-20,2024-03-07,,1000,4500000115,00020,,,0,
100,1000000116,00010,NB,B,,,N,B,R,,,102,BUYER03,2024-07-06,BUYER03,PR for material MAT00013,MAT00013,P001,SL03,247.0,EA,2024-08-27,2024-07-06,,1000,4500000116,00010,,,0,
100,1000000117,00010,NB,B,,,N,B,R,,,101,BUYER03,2024-05-07,BUYER03,PR for material MAT00008,MAT00008,P001,SL01,459.0,EA,2024-06-27,2024-05-07,,1000,4500000117,00010,,,0,
100,1000000117,00020,NB,B,,,N,B,R,,,103,BUYER03,2024-05-07,BUYER03,PR for material MAT00008,MAT00008,P001,SL01,459.0,EA,2024-06-27,2024-05-07,,1000,4500000117,00020,,,0,
100,1000000118,00010,NB,B,,,N,B,R,,,100,BUYER02,2024-06-27,BUYER02,PR for material MAT00005,MAT00005,P001,SL02,424.0,EA,2024-07-28,2024-06-27,,1000,4500000118,00010,,,0,
100,1000000120,00010,NB,B,,,N,B,R,,,100,BUYER03,2024-04-27,BUYER03,PR for material MAT00020,MAT00020,P001,SL01,469.0,EA,2024-06-22,2024-04-27,,1000,4500000120,00010,,,0,
100,1000000121,00010,NB,B,,,N,B,R,,,101,BUYER02,2024-09-13,BUYER02,PR for material MAT00014,MAT00014,P003,SL02,194.0,EA,2024-10-23,2024-09-13,,1000,4500000121,00010,,,0,
100,1000000121,00020,NB,B,,,N,B,R,,,101,BUYER02,2024-09-13,BUYER02,PR for material MAT00014,MAT00014,P003,SL02,194.0,EA,2024-10-23,2024-09-13,,1000,4500000121,00020,,,0,
100,1000000122,00010,NB,B,,,N,B,R,,,103,BUYER03,2024-05-28,BUYER03,PR for material MAT00022,MAT00022,P003,SL03,34.0,EA,2024-06-29,2024-05-28,,1000,4500000122,00010,,,0,
100,1000000123,00010,NB,B,,,N,B,R,,,102,BUYER01,2024-09-03,BUYER01,PR for material MAT00003,MAT00003,P001,SL01,395.0,EA,2024-10-01,2024-09-03,,1000,4500000123,00010,,,0,
100,1000000124,00010,NB,B,,,N,B,R,,,101,BUYER02,2024-02-23,BUYER02,PR for material MAT00005,MAT00005,P001,SL02,406.0,EA,2024-04-20,2024-02-23,,1000,4500000124,00010,,,0,
