MANDT,CHANGENR,OBJECTCLAS,OBJECTID,CHANGENR2,TABNAME,TABKEY,FNAME,DATATYPE,VALUE_NEW,VALUE_OLD,CHNGIND,TEXT_NEW,TEXT_OLD,MANDANT
100,9000000060,EINKBEHR,5100000222,9000000060,RBKP,10051000002222024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000061,EINKBELEG,4500000225,9000000061,EKPO,100450000022500010,NETPR,DEC,299.97,269.97,U,,,100
100,9000000062,EINKBELEG,4500000227,9000000062,EKPO,100450000022700010,NETPR,DEC,340.89,306.8,U,,,100
100,9000000063,EINKBELEG,4500000229,9000000063,EKPO,100450000022900010,NETPR,DEC,145.87,131.28,U,,,100
100,9000000064,EINKBELEG,4500000232,9000000064,EKPO,100450000023200010,NETPR,DEC,396.01,356.41,U,,,100
100,9000000065,EINKBEHR,5100000232,9000000065,RBKP,10051000002322024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000066,EINKBELEG,4500000233,9000000066,EKPO,100450000023300010,NETPR,DEC,62.1,55.89,U,,,100
100,9000000067,EINKBELEG,4500000234,9000000067,EKPO,100450000023400010,NETPR,DEC,129.39,116.45,U,,,100
100,9000000068,EINKBELEG,4500000235,9000000068,EKPO,100450000023500010,NETPR,DEC,309.16,278.24,U,,,100
100,9000000069,EINKBELEG,4500000239,9000000069,EKPO,100450000023900010,NETPR,DEC,432.48,389.23,U,,,100
100,9000000070,EINKBELEG,4500000241,9000000070,EKPO,100450000024100010,NETPR,DEC,155.33,139.8,U,,,100
100,9000000071,EINKBELEG,4500000251,9000000071,EKPO,100450000025100010,NETPR,DEC,42.7,38.43,U,,,100
100,9000000072,EINKBELEG,4500000252,9000000072,EKPO,100450000025200010,NETPR,DEC,468.8,421.92,U,,,100
100,9000000073,EINKBELEG,4500000253,9000000073,EKPO,100450000025300010,NETPR,DEC,85.73,77.16,U,,,100
100,9000000074,EINKBELEG,4500000255,9000000074,EKPO,100450000025500010,NETPR,DEC,15.03,13.53,U,,,100
100,9000000075,EINKBEHR,5100000256,9000000075,RBKP,10051000002562024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000076,EINKBELEG,4500000259,9000000076,EKPO,100450000025900010,NETPR,DEC,218.11,196.3,U,,,100
100,9000000077,EINKBEHR,5100000259,9000000077,RBKP,10051000002592024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000078,EINKBELEG,4500000260,9000000078,EKPO,100450000026000010,NETPR,DEC,342.81,308.53,U,,,100
100,9000000079,EINKBELEG,4500000262,9000000079,EKPO,100450000026200010,NETPR,DEC,299.61,269.65,U,,,100
100,9000000080,EINKBELEG,4500000270,9000000080,EKPO,100450000027000010,NETPR,DEC,334.49,301.04,U,,,100
100,9000000081,EINKBEHR,5100000271,9000000081,RBKP,10051000002712024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000082,EINKBEHR,5100000274,9000000082,RBKP,10051000002742024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000083,EINKBELEG,4500000275,9000000083,EKPO,100450000027500010,NETPR,DEC,302.63,272.37,U,,,100
100,9000000084,EINKBEHR,5100000276,9000000084,RBKP,10051000002762024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000085,EINKBELEG,4500000277,9000000085,EKPO,100450000027700010,NETPR,DEC,497.65,447.88,U,,,100
100,9000000086,EINKBELEG,4500000279,9000000086,EKPO,100450000027900010,NETPR,DEC,485.19,436.67,U,,,100
100,9000000087,EINKBELEG,4500000283,9000000087,EKPO,100450000028300010,NETPR,DEC,62.1,55.89,U,,,100
100,9000000088,EINKBELEG,4500000287,9000000088,EKPO,100450000028700010,NETPR,DEC,89.39,80.45,U,,,100
100,9000000089,EINKBELEG,4500000293,9000000089,EKPO,100450000029300010,NETPR,DEC,265.45,238.91,U,,,100
100,9000000090,EINKBELEG,4500000298,9000000090,EKPO,100450000029800010,NETPR,DEC,316.14,284.53,U,,,100
100,9000000091,EINKBELEG,4500000299,9000000091,EKPO,100450000029900010,NETPR,DEC,256.29,230.66,U,,,100
100,9000000092,EINKBELEG,4500000300,9000000092,EKPO,100450000030000010,NETPR,DEC,54.6,49.14,U,,,100
100,9000000093,EINKBELEG,4500000301,9000000093,EKPO,100450000030100010,NETPR,DEC,35.42,31.88,U,,,100
100,9000000094,EINKBELEG,4500000304,9000000094,EKPO,100450000030400010,NETPR,DEC,11.0,9.9,U,,,100
100,9000000095,EINKBELEG,4500000305,9000000095,EKPO,100450000030500010,NETPR,DEC,191.54,172.39,U,,,100
100,9000000096,EINKBELEG,4500000309,9000000096,EKPO,100450000030900010,NETPR,DEC,412.6,371.34,U,,,100
100,9000000097,EINKBEHR,5100000311,9000000097,RBKP,10051000003112024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000098,EINKBELEG,4500000313,9000000098,EKPO,100450000031300010,NETPR,DEC,127.12,114.41,U,,,100
100,9000000099,EINKBELEG,4500000314,9000000099,EKPO,100450000031400010,NETPR,DEC,176.51,158.86,U,,,100
100,9000000100,EINKBELEG,4500000315,9000000100,EKPO,100450000031500010,NETPR,DEC,103.92,93.53,U,,,100
100,9000000101,EINKBEHR,5100000320,9000000101,RBKP,10051000003202024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000102,EINKBELEG,4500000321,9000000102,EKPO,100450000032100010,NETPR,DEC,418.81,376.93,U,,,100
100,9000000103,EINKBELEG,4500000326,9000000103,EKPO,100450000032600010,NETPR,DEC,236.46,212.81,U,,,100
100,9000000104,EINKBEHR,5100000327,9000000104,RBKP,10051000003272024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000105,EINKBEHR,5100000328,9000000105,RBKP,10051000003282024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000106,EINKBELEG,4500000329,9000000106,EKPO,100450000032900010,NETPR,DEC,285.41,256.87,U,,,100
100,9000000107,EINKBELEG,4500000330,9000000107,EKPO,100450000033000010,NETPR,DEC,386.1,347.49,U,,,100
100,9000000108,EINKBELEG,4500000348,9000000108,EKPO,100450000034800010,NETPR,DEC,399.71,359.74,U,,,100
100,9000000109,EINKBELEG,4500000349,9000000109,EKPO,100450000034900010,NETPR,DEC,156.2,140.58,U,,,100
100,9000000110,EINKBELEG,4500000351,9000000110,EKPO,100450000035100010,NETPR,DEC,264.53,238.08,U,,,100
100,9000000111,EINKBELEG,4500000354,9000000111,EKPO,100450000035400010,NETPR,DEC,434.05,390.65,U,,,100
100,9000000112,EINKBEHR,5100000368,9000000112,RBKP,10051000003682024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000113,EINKBELEG,4500000369,9000000113,EKPO,100450000036900010,NETPR,DEC,413.73,372.36,U,,,100
100,9000000114,EINKBEHR,5100000369,9000000114,RBKP,10051000003692024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000115,EINKBELEG,4500000370,9000000115,EKPO,100450000037000010,NETPR,DEC,235.1,211.59,U,,,100
100,9000000116,EINKBELEG,4500000381,9000000116,EKPO,100450000038100010,NETPR,DEC,256.07,230.46,U,,,100
100,9000000117,EINKBELEG,4500000382,9000000117,EKPO,100450000038200010,NETPR,DEC,470.67,423.6,U,,,100
100,9000000118,EINKBEHR,5100000384,9000000118,RBKP,10051000003842024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000119,EINKBELEG,4500000385,9000000119,EKPO,100450000038500010,NETPR,DEC,459.56,413.6,U,,,100
100,9000000120,EINKBELEG,4500000386,9000000120,EKPO,100450000038600010,NETPR,DEC,187.13,168.42,U,,,100
100,9000000121,EINKBEHR,5100000390,9000000121,RBKP,10051000003902024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000122,EINKBELEG,4500000393,9000000122,EKPO,100450000039300010,NETPR,DEC,357.91,322.12,U,,,100
100,9000000123,EINKBEHR,5100000393,9000000123,RBKP,10051000003932024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000124,EINKBELEG,4500000394,9000000124,EKPO,100450000039400010,NETPR,DEC,155.49,139.94,U,,,100
100,9000000125,EINKBELEG,4500000398,9000000125,EKPO,100450000039800010,NETPR,DEC,217.63,195.87,U,,,100
100,9000000126,EINKBEHR,5100000398,9000000126,RBKP,10051000003982024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000127,EINKBELEG,4500000402,9000000127,EKPO,100450000040200010,NETPR,DEC,168.2,151.38,U,,,100
100,9000000128,EINKBELEG,4500000405,9000000128,EKPO,100450000040500010,NETPR,DEC,457.92,412.13,U,,,100
100,9000000129,EINKBELEG,4500000422,9000000129,EKPO,100450000042200010,NETPR,DEC,369.0,332.1,U,,,100
100,9000000130,EINKBEHR,5100000430,9000000130,RBKP,10051000004302024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000131,EINKBELEG,4500000433,9000000131,EKPO,100450000043300010,NETPR,DEC,362.42,326.18,U,,,100
100,9000000132,EINKBELEG,4500000434,9000000132,EKPO,100450000043400010,NETPR,DEC,388.07,349.26,U,,,100
100,9000000133,EINKBELEG,4500000440,9000000133,EKPO,100450000044000010,NETPR,DEC,319.99,287.99,U,,,100
100,9000000134,EINKBELEG,4500000444,9000000134,EKPO,100450000044400010,NETPR,DEC,68.77,61.89,U,,,100
100,9000000135,EINKBEHR,5100000445,9000000135,RBKP,10051000004452024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000136,EINKBEHR,5100000448,9000000136,RBKP,10051000004482024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000137,EINKBELEG,4500000452,9000000137,EKPO,100450000045200010,NETPR,DEC,383.72,345.35,U,,,100
100,9000000138,EINKBEHR,5100000453,9000000138,RBKP,10051000004532024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000139,EINKBELEG,4500000458,9000000139,EKPO,100450000045800010,NETPR,DEC,292.07,262.86,U,,,100
100,9000000140,EINKBELEG,4500000459,9000000140,EKPO,100450000045900010,NETPR,DEC,194.88,175.39,U,,,100
100,9000000141,EINKBELEG,4500000467,9000000141,EKPO,100450000046700010,NETPR,DEC,304.46,274.01,U,,,100
100,9000000142,EINKBEHR,5100000467,9000000142,RBKP,10051000004672024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000143,EINKBELEG,4500000468,9000000143,EKPO,100450000046800010,NETPR,DEC,204.04,183.64,U,,,100
100,9000000144,EINKBEHR,5100000470,9000000144,RBKP,10051000004702024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000145,EINKBELEG,4500000471,9000000145,EKPO,100450000047100010,NETPR,DEC,36.71,33.04,U,,,100
100,9000000146,EINKBEHR,5100000472,9000000146,RBKP,10051000004722024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000147,EINKBELEG,4500000482,9000000147,EKPO,100450000048200010,NETPR,DEC,64.47,58.02,U,,,100
100,9000000148,EINKBELEG,4500000485,9000000148,EKPO,100450000048500010,NETPR,DEC,85.68,77.11,U,,,100
100,9000000149,EINKBEHR,5100000488,9000000149,RBKP,10051000004882024,RBSTAT,CHAR,5,,U,Blocked,,100
100,9000000150,EINKBELEG,4500000497,9000000150,EKPO,100450000049700010,NETPR,DEC,441.46,397.31,U,,,100
100,9000000151,EINKBEHR,5100000497,9000000151,RBKP,10051000004972024,RBSTAT,CHAR,5,,U,Blocked,,100
