MANDT,TKNUM,TPNUM,VBELN,POSNR,VSTEL,ROUTE,DISTZ,MEDST,LFART,ERNAM,ERDAT,ERZET
100,5000000007,3,8000000036,0,SP03,R0001,335,KM,LF,WHOUSE01,2024-03-13,103918
100,5000000008,1,8000000142,0,SP03,R0001,28,KM,LF,WHOUSE02,2024-03-20,124924
100,5000000008,2,8000000345,0,SP03,R0001,191,KM,LF,WHOUSE02,2024-03-20,111410
100,5000000009,1,8000000341,0,SP03,R0001,340,KM,LF,WHOUSE02,2024-03-29,121003
100,5000000010,1,8000000317,0,SP03,R0001,341,KM,LF,WHOUSE01,2024-04-02,073033
100,5000000010,2,8000000405,0,SP03,R0001,260,KM,LF,WHOUSE01,2024-04-02,115534
100,5000000011,1,8000000393,0,SP02,R0001,338,KM,LF,WHOUSE01,2024-04-12,123725
100,5000000012,1,8000000256,0,SP02,R0001,374,KM,LF,WHOUSE02,2024-04-17,062550
100,5000000012,2,8000000441,0,SP02,R0001,330,KM,LF,WHOUSE02,2024-04-17,134236
100,5000000013,1,8000000122,0,SP02,R0001,57,KM,LF,WHOUSE01,2024-04-24,081954
100,5000000013,2,8000000064,0,SP02,R0001,228,KM,LF,WHOUSE01,2024-04-24,115256
100,5000000014,1,8000000012,0,SP02,R0001,381,KM,LF,WHOUSE01,2024-05-01,121427
100,5000000014,2,8000000040,0,SP02,R0001,38,KM,LF,WHOUSE01,2024-05-01,154827
100,5000000014,3,8000000480,0,SP02,R0001,345,KM,LF,WHOUSE01,2024-05-01,151631
100,5000000014,4,8000000133,0,SP02,R0001,414,KM,LF,WHOUSE01,2024-05-01,164251
100,5000000015,1,8000000101,0,SP03,R0001,268,KM,LF,WHOUSE01,2024-05-02,184224
100,5000000016,1,8000000037,0,SP03,R0001,479,KM,LF,WHOUSE02,2024-05-09,072927
100,5000000016,2,8000000399,0,SP03,R0001,411,KM,LF,WHOUSE02,2024-05-09,063436
100,5000000017,1,8000000251,0,SP02,R0001,287,KM,LF,WHOUSE02,2024-05-15,122054
100,5000000017,2,8000000080,0,SP02,R0001,363,KM,LF,WHOUSE02,2024-05-15,070657
100,5000000017,3,8000000276,0,SP02,R0001,42,KM,LF,WHOUSE02,2024-05-15,181035
100,5000000018,1,8000000195,0,SP01,R0001,358,KM,LF,WHOUSE01,2024-05-14,072616
100,5000000019,1,8000000191,0,SP03,R0001,478,KM,LF,WHOUSE01,2024-05-20,085528
100,5000000019,2,8000000005,0,SP03,R0001,373,KM,LF,WHOUSE01,2024-05-20,161359
100,5000000019,3,8000000348,0,SP03,R0001,409,KM,LF,WHOUSE01,2024-05-20,174746
100,5000000020,1,8000000185,0,SP03,R0001,83,KM,LF,WHOUSE01,2024-05-29,122207
100,5000000021,1,8000000349,0,SP03,R0001,252,KM,LF,WHOUSE01,2024-06-06,122459
100,5000000021,2,8000000192,0,SP03,R0001,165,KM,LF,WHOUSE01,2024-06-06,171444
100,5000000022,1,8000000186,0,SP02,R0001,257,KM,LF,WHOUSE02,2024-06-05,095730
100,5000000022,2,8000000128,0,SP02,R0001,385,KM,LF,WHOUSE02,2024-06-05,063235
100,5000000022,3,8000000373,0,SP02,R0001,188,KM,LF,WHOUSE02,2024-06-05,060340
100,5000000022,4,8000000224,0,SP02,R0001,254,KM,LF,WHOUSE02,2024-06-05,131125
100,5000000023,1,8000000253,0,SP03,R0001,415,KM,LF,WHOUSE02,2024-06-10,171810
100,5000000023,2,8000000223,0,SP03,R0001,323,KM,LF,WHOUSE02,2024-06-10,130302
100,5000000023,3,8000000304,0,SP03,R0001,446,KM,LF,WHOUSE02,2024-06-10,184150
100,5000000023,4,8000000021,0,SP03,R0001,176,KM,LF,WHOUSE02,2024-06-10,140407
100,5000000024,1,8000000125,0,SP02,R0001,447,KM,LF,WHOUSE02,2024-06-18,155725
100,5000000024,2,8000000152,0,SP02,R0001,404,KM,LF,WHOUSE02,2024-06-18,102247
100,5000000024,3,8000000255,0,SP02,R0001,128,KM,LF,WHOUSE02,2024-06-18,175135
100,5000000025,1,8000000221,0,SP01,R0001,65,KM,LF,WHOUSE01,2024-06-27,071247
100,5000000025,2,8000000188,0,SP01,R0001,392,KM,LF,WHOUSE01,2024-06-27,110440
100,5000000026,1,8000000143,0,SP02,R0001,218,KM,LF,WHOUSE01,2024-07-05,072007
100,5000000027,1,8000000220,0,SP02,R0001,269,KM,LF,WHOUSE01,2024-07-09,120103
100,5000000027,2,8000000202,0,SP02,R0001,44,KM,LF,WHOUSE01,2024-07-09,071443
100,5000000027,3,8000000119,0,SP02,R0001,293,KM,LF,WHOUSE01,2024-07-09,061905
100,5000000028,1,8000000392,0,SP01,R0001,487,KM,LF,WHOUSE01,2024-07-10,181401
100,5000000029,1,8000000445,0,SP01,R0001,82,KM,LF,WHOUSE01,2024-07-15,144504
100,5000000029,2,8000000270,0,SP01,R0001,48,KM,LF,WHOUSE01,2024-07-15,182320
100,5000000030,1,8000000386,0,SP01,R0001,331,KM,LF,WHOUSE01,2024-07-25,075830
100,5000000030,2,8000000209,0,SP01,R0001,454,KM,LF,WHOUSE01,2024-07-25,134517
100,5000000030,3,8000000372,0,SP01,R0001,207,KM,LF,WHOUSE01,2024-07-25,120303
100,5000000031,1,8000000055,0,SP03,R0001,484,KM,LF,WHOUSE02,2024-07-25,074105
100,5000000031,2,8000000274,0,SP03,R0001,342,KM,LF,WHOUSE02,2024-07-25,181529
100,5000000032,1,8000000272,0,SP02,R0001,189,KM,LF,WHOUSE02,2024-07-30,153250
100,5000000032,2,8000000147,0,SP02,R0001,278,KM,LF,WHOUSE02,2024-07-30,105416
100,5000000032,3,8000000033,0,SP02,R0001,44,KM,LF,WHOUSE02,2024-07-30,082819
100,5000000033,1,8000000346,0,SP02,R0001,175,KM,LF,WHOUSE01,2024-07-29,061415
100,5000000033,2,8000000232,0,SP02,R0001,313,KM,LF,WHOUSE01,2024-07-29,114959
100,5000000034,1,8000000466,0,SP03,R0001,382,KM,LF,WHOUSE02,2024-08-06,143109
100,5000000035,1,8000000219,0,SP02,R0001,305,KM,LF,WHOUSE02,2024-08-15,140900
100,5000000035,2,8000000283,0,SP02,R0001,35,KM,LF,WHOUSE02,2024-08-15,081856
100,5000000035,3,8000000292,0,SP02,R0001,328,KM,LF,WHOUSE02,2024-08-15,185222
100,5000000035,4,8000000104,0,SP02,R0001,128,KM,LF,WHOUSE02,2024-08-15,153353
100,5000000035,5,8000000261,0,SP02,R0001,73,KM,LF,WHOUSE02,2024-08-15,144036
100,5000000036,1,8000000435,0,SP03,R0001,393,KM,LF,WHOUSE01,2024-08-13,094857
100,5000000037,1,8000000009,0,SP03,R0001,347,KM,LF,WHOUSE01,2024-08-24,111553
100,5000000038,1,8000000030,0,SP03,R0001,416,KM,LF,WHOUSE01,2024-08-28,131612
100,5000000038,2,8000000239,0,SP03,R0001,133,KM,LF,WHOUSE01,2024-08-28,063314
100,5000000038,3,8000000459,0,SP03,R0001,498,KM,LF,WHOUSE01,2024-08-28,100953
100,5000000038,4,8000000149,0,SP03,R0001,407,KM,LF,WHOUSE01,2024-08-28,150936
100,5000000039,1,8000000198,0,SP03,R0001,337,KM,LF,WHOUSE01,2024-09-07,185056
100,5000000039,2,8000000433,0,SP03,R0001,410,KM,LF,WHOUSE01,2024-09-07,131540
100,5000000040,1,8000000135,0,SP02,R0001,199,KM,LF,WHOUSE02,2024-09-09,062001
100,5000000040,2,8000000229,0,SP02,R0001,178,KM,LF,WHOUSE02,2024-09-09,080038
100,5000000040,3,8000000150,0,SP02,R0001,321,KM,LF,WHOUSE02,2024-09-09,075722
100,5000000040,4,8000000354,0,SP02,R0001,188,KM,LF,WHOUSE02,2024-09-09,181929
100,5000000041,1,8000000250,0,SP03,R0001,111,KM,LF,WHOUSE02,2024-09-16,111503
100,5000000041,2,8000000083,0,SP03,R0001,494,KM,LF,WHOUSE02,2024-09-16,133922
100,5000000041,3,8000000208,0,SP03,R0001,393,KM,LF,WHOUSE02,2024-09-16,100511
100,5000000042,1,8000000464,0,SP02,R0001,455,KM,LF,WHOUSE01,2024-09-25,070433
100,5000000042,2,8000000263,0,SP02,R0001,211,KM,LF,WHOUSE01,2024-09-25,120709
100,5000000043,1,8000000070,0,SP02,R0001,407,KM,LF,WHOUSE02,2024-09-24,154704
100,5000000043,2,8000000493,0,SP02,R0001,351,KM,LF,WHOUSE02,2024-09-24,164841
100,5000000043,3,8000000320,0,SP02,R0001,31,KM,LF,WHOUSE02,2024-09-24,143148
100,5000000044,1,8000000231,0,SP02,R0001,129,KM,LF,WHOUSE02,2024-09-30,073327
100,5000000044,2,8000000206,0,SP02,R0001,99,KM,LF,WHOUSE02,2024-09-30,120431
100,5000000045,1,8000000058,0,SP01,R0001,97,KM,LF,WHOUSE02,2024-10-13,135702
100,5000000046,1,8000000254,0,SP02,R0001,464,KM,LF,WHOUSE01,2024-10-15,112421
100,5000000046,2,8000000381,0,SP02,R0001,103,KM,LF,WHOUSE01,2024-10-15,092937
100,5000000046,3,8000000297,0,SP02,R0001,170,KM,LF,WHOUSE01,2024-10-15,142208
100,5000000046,4,8000000132,0,SP02,R0001,243,KM,LF,WHOUSE01,2024-10-15,082824
100,5000000047,1,8000000098,0,SP01,R0002,252,KM,LF,WHOUSE01,2024-01-16,094104
100,5000000048,1,8000000293,0,SP01,R0002,296,KM,LF,WHOUSE02,2024-01-25,081530
100,5000000049,1,8000000426,0,SP03,R0002,488,KM,LF,WHOUSE02,2024-01-29,151951
100,5000000049,2,8000000446,0,SP03,R0002,252,KM,LF,WHOUSE02,2024-01-29,163311
100,5000000049,3,8000000118,0,SP03,R0002,234,KM,LF,WHOUSE02,2024-01-29,122820
100,5000000049,4,8000000406,0,SP03,R0002,186,KM,LF,WHOUSE02,2024-01-29,174905
100,5000000050,1,8000000315,0,SP01,R0002,393,KM,LF,WHOUSE01,2024-01-30,155438
100,5000000050,2,8000000385,0,SP01,R0002,59,KM,LF,WHOUSE01,2024-01-30,104416
100,5000000051,1,8000000228,0,SP02,R0002,335,KM,LF,WHOUSE01,2024-02-11,064405
100,5000000052,1,8000000211,0,SP01,R0002,388,KM,LF,WHOUSE02,2024-02-15,103344
100,5000000052,2,8000000234,0,SP01,R0002,270,KM,LF,WHOUSE02,2024-02-15,135704
100,5000000053,1,8000000008,0,SP03,R0002,251,KM,LF,WHOUSE02,2024-03-03,130049
100,5000000054,1,8000000483,0,SP02,R0002,71,KM,LF,WHOUSE01,2024-03-05,093750
100,5000000054,2,8000000286,0,SP02,R0002,476,KM,LF,WHOUSE01,2024-03-05,144314
100,5000000054,3,8000000279,0,SP02,R0002,221,KM,LF,WHOUSE01,2024-03-05,183732
100,5000000055,1,8000000257,0,SP01,R0002,64,KM,LF,WHOUSE01,2024-03-10,084531
100,5000000056,1,8000000379,0,SP02,R0002,398,KM,LF,WHOUSE01,2024-03-11,140028
100,5000000056,2,8000000084,0,SP02,R0002,277,KM,LF,WHOUSE01,2024-03-11,061648
100,5000000057,1,8000000388,0,SP03,R0002,483,KM,LF,WHOUSE01,2024-03-18,153601
100,5000000057,2,8000000016,0,SP03,R0002,340,KM,LF,WHOUSE01,2024-03-18,132053
100,5000000057,3,8000000278,0,SP03,R0002,140,KM,LF,WHOUSE01,2024-03-18,105935
100,5000000057,4,8000000011,0,SP03,R0002,107,KM,LF,WHOUSE01,2024-03-18,131459
100,5000000058,1,8000000077,0,SP03,R0002,266,KM,LF,WHOUSE02,2024-03-25,090409
100,5000000058,2,8000000168,0,SP03,R0002,109,KM,LF,WHOUSE02,2024-03-25,060216
100,5000000058,3,8000000100,0,SP03,R0002,90,KM,LF,WHOUSE02,2024-03-25,124045
100,5000000058,4,8000000428,0,SP03,R0002,162,KM,LF,WHOUSE02,2024-03-25,110700
100,5000000059,1,8000000314,0,SP01,R0002,78,KM,LF,WHOUSE02,2024-04-03,183206
100,5000000059,2,8000000106,0,SP01,R0002,345,KM,LF,WHOUSE02,2024-04-03,160638
100,5000000059,3,8000000484,0,SP01,R0002,205,KM,LF,WHOUSE02,2024-04-03,185031
100,5000000059,4,8000000337,0,SP01,R0002,159,KM,LF,WHOUSE02,2024-04-03,074325
100,5000000060,1,8000000302,0,SP02,R0002,473,KM,LF,WHOUSE02,2024-04-09,064611
100,5000000060,2,8000000001,0,SP02,R0002,123,KM,LF,WHOUSE02,2024-04-09,181805
100,5000000061,1,8000000275,0,SP03,R0002,212,KM,LF,WHOUSE01,2024-04-17,151007
100,5000000061,2,8000000363,0,SP03,R0002,366,KM,LF,WHOUSE01,2024-04-17,073708
100,5000000061,3,8000000148,0,SP03,R0002,45,KM,LF,WHOUSE01,2024-04-17,084839
100,5000000062,1,8000000056,0,SP03,R0002,449,KM,LF,WHOUSE01,2024-04-18,071341
100,5000000063,1,8000000398,0,SP03,R0002,222,KM,LF,WHOUSE02,2024-04-24,153019
100,5000000063,2,8000000000,0,SP03,R0002,47,KM,LF,WHOUSE02,2024-04-24,132956
100,5000000063,3,8000000390,0,SP03,R0002,52,KM,LF,WHOUSE02,2024-04-24,184220
100,5000000064,1,8000000053,0,SP01,R0002,376,KM,LF,WHOUSE01,2024-04-25,151802
100,5000000065,1,8000000306,0,SP03,R0002,118,KM,LF,WHOUSE01,2024-04-29,172007
100,5000000065,2,8000000281,0,SP03,R0002,278,KM,LF,WHOUSE01,2024-04-29,102205
100,5000000065,3,8000000307,0,SP03,R0002,409,KM,LF,WHOUSE01,2024-04-29,082515
100,5000000066,1,8000000430,0,SP02,R0002,109,KM,LF,WHOUSE02,2024-05-07,135732
100,5000000066,2,8000000325,0,SP02,R0002,414,KM,LF,WHOUSE02,2024-05-07,083747
100,5000000066,3,8000000161,0,SP02,R0002,365,KM,LF,WHOUSE02,2024-05-07,183324
100,5000000066,4,8000000457,0,SP02,R0002,290,KM,LF,WHOUSE02,2024-05-07,161624
100,5000000066,5,8000000296,0,SP02,R0002,133,KM,LF,WHOUSE02,2024-05-07,133841
100,5000000067,1,8000000312,0,SP01,R0002,292,KM,LF,WHOUSE02,2024-05-14,074752
100,5000000067,2,8000000156,0,SP01,R0002,220,KM,LF,WHOUSE02,2024-05-14,115906
100,5000000067,3,8000000469,0,SP01,R0002,227,KM,LF,WHOUSE02,2024-05-14,140441
100,5000000067,4,8000000264,0,SP01,R0002,109,KM,LF,WHOUSE02,2024-05-14,112311
100,5000000068,1,8000000414,0,SP01,R0002,330,KM,LF,WHOUSE01,2024-05-21,112315
100,5000000068,2,8000000342,0,SP01,R0002,355,KM,LF,WHOUSE01,2024-05-21,122302
100,5000000068,3,8000000006,0,SP01,R0002,264,KM,LF,WHOUSE01,2024-05-21,140903
100,5000000068,4,8000000496,0,SP01,R0002,229,KM,LF,WHOUSE01,2024-05-21,111306
100,5000000069,1,8000000327,0,SP03,R0002,441,KM,LF,WHOUSE02,2024-06-01,162902
100,5000000069,2,8000000074,0,SP03,R0002,119,KM,LF,WHOUSE02,2024-06-01,173751
100,5000000070,1,8000000290,0,SP02,R0002,208,KM,LF,WHOUSE01,2024-06-03,130648
100,5000000070,2,8000000028,0,SP02,R0002,103,KM,LF,WHOUSE01,2024-06-03,183829
100,5000000071,1,8000000351,0,SP01,R0002,255,KM,LF,WHOUSE01,2024-06-03,075837
100,5000000071,2,8000000329,0,SP01,R0002,169,KM,LF,WHOUSE01,2024-06-03,062211
100,5000000072,1,8000000471,0,SP03,R0002,428,KM,LF,WHOUSE02,2024-06-13,063707
100,5000000072,2,8000000205,0,SP03,R0002,305,KM,LF,WHOUSE02,2024-06-13,154126
100,5000000072,3,8000000134,0,SP03,R0002,323,KM,LF,WHOUSE02,2024-06-13,175843
100,5000000072,4,8000000294,0,SP03,R0002,382,KM,LF,WHOUSE02,2024-06-13,173956
100,5000000072,5,8000000203,0,SP03,R0002,314,KM,LF,WHOUSE02,2024-06-13,091719
100,5000000073,1,8000000213,0,SP01,R0002,366,KM,LF,WHOUSE01,2024-06-16,145917
100,5000000074,1,8000000479,0,SP03,R0002,163,KM,LF,WHOUSE02,2024-06-17,150818
100,5000000074,2,8000000417,0,SP03,R0002,52,KM,LF,WHOUSE02,2024-06-17,184655
100,5000000074,3,8000000061,0,SP03,R0002,346,KM,LF,WHOUSE02,2024-06-17,145002
100,5000000074,4,8000000259,0,SP03,R0002,224,KM,LF,WHOUSE02,2024-06-17,180842
100,5000000075,1,8000000367,0,SP01,R0002,244,KM,LF,WHOUSE01,2024-06-24,103604
100,5000000075,2,8000000194,0,SP01,R0002,257,KM,LF,WHOUSE01,2024-06-24,174219
100,5000000076,1,8000000260,0,SP02,R0002,450,KM,LF,WHOUSE02,2024-06-24,105839
100,5000000076,2,8000000046,0,SP02,R0002,383,KM,LF,WHOUSE02,2024-06-24,151114
100,5000000077,1,8000000361,0,SP01,R0002,243,KM,LF,WHOUSE01,2024-07-01,170128
100,5000000077,2,8000000162,0,SP01,R0002,60,KM,LF,WHOUSE01,2024-07-01,091337
100,5000000078,1,8000000051,0,SP01,R0002,374,KM,LF,WHOUSE01,2024-07-07,152414
100,5000000079,1,8000000338,0,SP01,R0002,315,KM,LF,WHOUSE01,2024-07-15,122135
100,5000000079,2,8000000396,0,SP01,R0002,227,KM,LF,WHOUSE01,2024-07-15,114753
100,5000000080,1,8000000285,0,SP02,R0002,88,KM,LF,WHOUSE02,2024-07-26,063046
100,5000000081,1,8000000475,0,SP01,R0002,298,KM,LF,WHOUSE01,2024-08-05,155439
100,5000000081,2,8000000131,0,SP01,R0002,63,KM,LF,WHOUSE01,2024-08-05,125654
100,5000000081,3,8000000301,0,SP01,R0002,79,KM,LF,WHOUSE01,2024-08-05,111300
100,5000000081,4,8000000380,0,SP01,R0002,26,KM,LF,WHOUSE01,2024-08-05,060135
100,5000000081,5,8000000374,0,SP01,R0002,109,KM,LF,WHOUSE01,2024-08-05,164109
100,5000000082,1,8000000333,0,SP03,R0002,67,KM,LF,WHOUSE01,2024-08-16,071119
100,5000000082,2,8000000176,0,SP03,R0002,259,KM,LF,WHOUSE01,2024-08-16,125602
100,5000000083,1,8000000121,0,SP03,R0002,414,KM,LF,WHOUSE01,2024-08-20,101850
100,5000000083,2,8000000321,0,SP03,R0002,215,KM,LF,WHOUSE01,2024-08-20,084838
100,5000000084,1,8000000097,0,SP02,R0002,256,KM,LF,WHOUSE02,2024-08-24,123555
100,5000000084,2,8000000113,0,SP02,R0002,356,KM,LF,WHOUSE02,2024-08-24,183447
100,5000000084,3,8000000060,0,SP02,R0002,397,KM,LF,WHOUSE02,2024-08-24,093438
100,5000000085,1,8000000326,0,SP03,R0002,115,KM,LF,WHOUSE02,2024-08-23,134000
100,5000000085,2,8000000266,0,SP03,R0002,404,KM,LF,WHOUSE02,2024-08-23,071714
100,5000000086,1,8000000042,0,SP03,R0002,480,KM,LF,WHOUSE01,2024-08-26,070454
100,5000000086,2,8000000482,0,SP03,R0002,332,KM,LF,WHOUSE01,2024-08-26,105312
100,5000000087,1,8000000436,0,SP02,R0002,391,KM,LF,WHOUSE02,2024-08-26,105600
100,5000000088,1,8000000246,0,SP02,R0002,170,KM,LF,WHOUSE02,2024-09-02,095351
100,5000000088,2,8000000365,0,SP02,R0002,277,KM,LF,WHOUSE02,2024-09-02,151257
100,5000000089,1,8000000024,0,SP03,R0002,480,KM,LF,WHOUSE01,2024-09-02,170538
100,5000000090,1,8000000461,0,SP03,R0002,286,KM,LF,WHOUSE02,2024-09-10,130304
100,5000000090,2,8000000029,0,SP03,R0002,265,KM,LF,WHOUSE02,2024-09-10,185811
100,5000000091,1,8000000413,0,SP03,R0002,268,KM,LF,WHOUSE01,2024-09-09,111122
100,5000000091,2,8000000311,0,SP03,R0002,361,KM,LF,WHOUSE01,2024-09-09,172535
100,5000000091,3,8000000357,0,SP03,R0002,259,KM,LF,WHOUSE01,2024-09-09,081258
100,5000000092,1,8000000383,0,SP03,R0002,281,KM,LF,WHOUSE02,2024-09-17,070350
100,5000000092,2,8000000236,0,SP03,R0002,310,KM,LF,WHOUSE02,2024-09-17,093957
100,5000000092,3,8000000129,0,SP03,R0002,444,KM,LF,WHOUSE02,2024-09-17,080052
100,5000000093,1,8000000299,0,SP02,R0002,195,KM,LF,WHOUSE02,2024-09-27,083632
100,5000000093,2,8000000473,0,SP02,R0002,149,KM,LF,WHOUSE02,2024-09-27,064109
100,5000000093,3,8000000095,0,SP02,R0002,14,KM,LF,WHOUSE02,2024-09-27,073606
100,5000000094,1,8000000086,0,SP01,R0002,30,KM,LF,WHOUSE01,2024-10-01,062032
100,5000000094,2,8000000489,0,SP01,R0002,481,KM,LF,WHOUSE01,2024-10-01,122714
100,5000000094,3,8000000031,0,SP01,R0002,325,KM,LF,WHOUSE01,2024-10-01,115311
100,5000000094,4,8000000318,0,SP01,R0002,422,KM,LF,WHOUSE01,2024-10-01,155304
100,5000000094,5,8000000339,0,SP01,R0002,198,KM,LF,WHOUSE01,2024-10-01,181809
100,5000000095,1,8000000288,0,SP01,R0002,325,KM,LF,WHOUSE01,2024-10-01,091244
100,5000000095,2,8000000089,0,SP01,R0002,151,KM,LF,WHOUSE01,2024-10-01,070648
100,5000000096,1,8000000093,0,SP03,R0002,93,KM,LF,WHOUSE02,2024-10-06,151317
100,5000000097,1,8000000463,0,SP02,R0002,114,KM,LF,WHOUSE01,2024-10-09,062642
100,5000000097,2,8000000305,0,SP02,R0002,400,KM,LF,WHOUSE01,2024-10-09,103354
100,5000000097,3,8000000425,0,SP02,R0002,403,KM,LF,WHOUSE01,2024-10-09,115114
100,5000000098,1,8000000454,0,SP03,R0002,64,KM,LF,WHOUSE02,2024-10-18,093641
100,5000000099,1,8000000218,0,SP02,R0002,90,KM,LF,WHOUSE02,2024-10-25,171835
100,5000000100,1,8000000164,0,SP01,R0003,185,KM,LF,WHOUSE02,2024-01-19,182924
100,5000000100,2,8000000362,0,SP01,R0003,40,KM,LF,WHOUSE02,2024-01-19,183021
100,5000000101,1,8000000476,0,SP01,R0003,61,KM,LF,WHOUSE01,2024-01-26,153515
100,5000000101,2,8000000107,0,SP01,R0003,91,KM,LF,WHOUSE01,2024-01-26,083359
100,5000000102,1,8000000360,0,SP01,R0003,74,KM,LF,WHOUSE02,2024-01-31,113725
100,5000000103,1,8000000468,0,SP03,R0003,248,KM,LF,WHOUSE01,2024-02-07,174020
100,5000000104,1,8000000069,0,SP01,R0003,40,KM,LF,WHOUSE01,2024-02-13,110931
100,5000000104,2,8000000096,0,SP01,R0003,87,KM,LF,WHOUSE01,2024-02-13,103815
100,5000000105,1,8000000087,0,SP02,R0003,146,KM,LF,WHOUSE02,2024-02-13,071432
100,5000000105,2,8000000238,0,SP02,R0003,428,KM,LF,WHOUSE02,2024-02-13,064947
100,5000000106,1,8000000419,0,SP02,R0003,325,KM,LF,WHOUSE02,2024-02-19,184511
100,5000000106,2,8000000039,0,SP02,R0003,229,KM,LF,WHOUSE02,2024-02-19,144509
100,5000000106,3,8000000082,0,SP02,R0003,154,KM,LF,WHOUSE02,2024-02-19,080401
100,5000000106,4,8000000411,0,SP02,R0003,61,KM,LF,WHOUSE02,2024-02-19,150912
100,5000000107,1,8000000410,0,SP02,R0003,140,KM,LF,WHOUSE01,2024-02-23,082842
100,5000000108,1,8000000422,0,SP03,R0003,461,KM,LF,WHOUSE02,2024-02-26,075726
100,5000000108,2,8000000289,0,SP03,R0003,397,KM,LF,WHOUSE02,2024-02-26,093412
100,5000000109,1,8000000004,0,SP01,R0003,37,KM,LF,WHOUSE01,2024-03-05,141827
100,5000000109,2,8000000171,0,SP01,R0003,270,KM,LF,WHOUSE01,2024-03-05,130541
100,5000000109,3,8000000375,0,SP01,R0003,349,KM,LF,WHOUSE01,2024-03-05,123409
100,5000000109,4,8000000214,0,SP01,R0003,413,KM,LF,WHOUSE01,2024-03-05,060338
100,5000000110,1,8000000303,0,SP01,R0003,471,KM,LF,WHOUSE02,2024-03-12,160426
100,5000000110,2,8000000439,0,SP01,R0003,269,KM,LF,WHOUSE02,2024-03-12,124959
100,5000000110,3,8000000199,0,SP01,R0003,177,KM,LF,WHOUSE02,2024-03-12,172006
100,5000000110,4,8000000401,0,SP01,R0003,200,KM,LF,WHOUSE02,2024-03-12,161518
100,5000000110,5,8000000494,0,SP01,R0003,462,KM,LF,WHOUSE02,2024-03-12,155746
100,5000000111,1,8000000010,0,SP03,R0003,463,KM,LF,WHOUSE01,2024-03-13,143018
100,5000000112,1,8000000486,0,SP03,R0003,484,KM,LF,WHOUSE01,2024-03-20,175000
100,5000000112,2,8000000402,0,SP03,R0003,392,KM,LF,WHOUSE01,2024-03-20,084734
100,5000000113,1,8000000444,0,SP02,R0003,92,KM,LF,WHOUSE01,2024-03-20,150648
100,5000000113,2,8000000170,0,SP02,R0003,74,KM,LF,WHOUSE01,2024-03-20,163817
100,5000000114,1,8000000295,0,SP03,R0003,362,KM,LF,WHOUSE02,2024-03-25,095031
100,5000000115,1,8000000485,0,SP03,R0003,391,KM,LF,WHOUSE01,2024-04-01,104803
100,5000000115,2,8000000123,0,SP03,R0003,54,KM,LF,WHOUSE01,2024-04-01,140926
100,5000000115,3,8000000258,0,SP03,R0003,175,KM,LF,WHOUSE01,2024-04-01,072246
100,5000000116,1,8000000347,0,SP01,R0003,317,KM,LF,WHOUSE01,2024-04-09,131412
100,5000000116,2,8000000431,0,SP01,R0003,75,KM,LF,WHOUSE01,2024-04-09,062252
100,5000000116,3,8000000079,0,SP01,R0003,277,KM,LF,WHOUSE01,2024-04-09,152833
100,5000000116,4,8000000424,0,SP01,R0003,404,KM,LF,WHOUSE01,2024-04-09,122207
100,5000000117,1,8000000109,0,SP03,R0003,381,KM,LF,WHOUSE02,2024-04-20,092707
