MANDT,EBELN,EBELP,ZEKKN,VGABE,GJAHR,BELNR,BUZEI,BEWTP,BWART,BUDAT,MENGE,BPMNG,DMBTR,WRBTR,WAERS,WESBS,BPWES,SHKZG,ELIKZ,CPUDT,MATNR,WERKS,ERNAM
100,4500000010,00010,0,1,2024,5000000020,0001,E,101,2024-09-27,362.0,362.0,71730.3,71730.3,USD,362.0,362.0,S,,2024-09-27,MAT00015,P001,BUYER01
100,4500000010,00010,0,6,2024,5100000010,0001,U,,2024-10-03,362.0,362.0,71730.3,71730.3,USD,0,0,H,,2024-10-03,MAT00015,P001,FINANCE02
100,4500000010,00020,0,1,2024,5000000022,0001,E,101,2024-09-27,29.0,29.0,1798.0,1798.0,USD,29.0,29.0,S,,2024-09-27,MAT00014,P001,FINANCE01
100,4500000010,00020,0,6,2024,5100000010,0001,U,,2024-10-17,29.0,29.0,1798.0,1798.0,USD,0,0,H,,2024-10-17,MAT00014,P001,FINANCE02
100,4500000011,00010,0,1,2024,5000000024,0001,E,101,2024-07-18,317.0,317.0,45822.35,45822.35,USD,317.0,317.0,S,,2024-07-18,MAT00021,P002,SALEUSER2
100,4500000011,00010,0,6,2024,5100000011,0001,U,,2024-07-31,317.0,317.0,45822.35,45822.35,USD,0,0,H,,2024-07-31,MAT00021,P002,FINANCE02
100,4500000012,00010,0,1,2024,5000000026,0001,E,101,2024-03-13,296.0,296.0,103839.76,103839.76,USD,296.0,296.0,S,,2024-03-13,MAT00014,P002,BUYER01
100,4500000012,00010,0,6,2024,5100000012,0001,U,,2024-03-27,296.0,296.0,103839.76,103839.76,USD,0,0,H,,2024-03-27,MAT00014,P002,FINANCE02
100,4500000013,00010,0,1,2024,5000000028,0001,E,101,2024-10-12,343.0,343.0,71385.16,71385.16,USD,343.0,343.0,S,,2024-10-12,MAT00014,P002,BUYER03
100,4500000013,00010,0,6,2024,5100000013,0001,U,,2024-11-01,343.0,343.0,71385.16,71385.16,USD,0,0,H,,2024-11-01,MAT00014,P002,FINANCE01
100,4500000014,00010,0,1,2024,5000000030,0001,E,101,2024-10-04,441.0,441.0,64540.35,64540.35,USD,441.0,441.0,S,,2024-10-04,MAT00007,P002,WHOUSE02
100,4500000014,00010,0,6,2024,5100000014,0001,U,,2024-10-07,441.0,441.0,64540.35,64540.35,USD,0,0,H,,2024-10-07,MAT00007,P002,FINANCE01
100,4500000015,00010,0,1,2024,5000000032,0001,E,101,2024-04-25,238.0,238.0,32263.28,32263.28,USD,238.0,238.0,S,,2024-04-25,MAT00008,P001,FINANCE02
100,4500000015,00010,0,6,2024,5100000015,0001,U,,2024-05-01,238.0,238.0,32263.28,32263.28,USD,0,0,H,,2024-05-01,MAT00008,P001,FINANCE01
100,4500000016,00010,0,1,2024,5000000034,0001,E,101,2024-07-25,405.0,405.0,162060.75,162060.75,USD,405.0,405.0,S,,2024-07-25,MAT00019,P003,FINANCE01
100,4500000016,00010,0,6,2024,5100000016,0001,U,,2024-08-10,405.0,405.0,162060.75,162060.75,USD,0,0,H,,2024-08-10,MAT00019,P003,FINANCE02
100,4500000016,00020,0,1,2024,5000000036,0001,E,101,2024-07-25,26.0,26.0,10002.46,10002.46,USD,26.0,26.0,S,,2024-07-25,MAT00008,P003,WHOUSE02
100,4500000016,00020,0,6,2024,5100000016,0001,U,,2024-08-01,26.0,26.0,10002.46,10002.46,USD,0,0,H,,2024-08-01,MAT00008,P003,FINANCE02
100,4500000017,00010,0,1,2024,5000000038,0001,E,101,2024-06-03,442.0,442.0,57234.58,57234.58,USD,442.0,442.0,S,,2024-06-03,MAT00011,P003,BUYER01
100,4500000017,00010,0,6,2024,5100000017,0001,U,,2024-06-21,442.0,442.0,57234.58,57234.58,USD,0,0,H,,2024-06-21,MAT00011,P003,FINANCE02
100,4500000018,00010,0,1,2024,5000000040,0001,E,101,2024-05-13,209.0,209.0,58946.36,58946.36,USD,209.0,209.0,S,,2024-05-13,MAT00017,P002,WHOUSE02
100,4500000018,00010,0,6,2024,5100000018,0001,U,,2024-05-30,209.0,209.0,58946.36,58946.36,USD,0,0,H,,2024-05-30,MAT00017,P002,FINANCE01
100,4500000019,00010,0,1,2024,5000000042,0001,E,101,2024-08-22,143.0,143.0,19046.17,19046.17,USD,143.0,143.0,S,,2024-08-22,MAT00014,P003,BUYER02
100,4500000019,00010,0,6,2024,5100000019,0001,U,,2024-09-11,143.0,143.0,19046.17,19046.17,USD,0,0,H,,2024-09-11,MAT00014,P003,FINANCE01
100,4500000020,00010,0,1,2024,5000000044,0001,E,101,2024-08-08,357.0,357.0,25714.71,25714.71,USD,357.0,357.0,S,,2024-08-08,MAT00008,P001,SALEUSER2
100,4500000020,00010,0,6,2024,5100000020,0001,U,,2024-08-15,357.0,357.0,25714.71,25714.71,USD,0,0,H,,2024-08-15,MAT00008,P001,FINANCE02
100,4500000021,00010,0,1,2024,5000000046,0001,E,101,2024-08-20,318.0,318.0,11533.86,11533.86,USD,318.0,318.0,S,,2024-08-20,MAT00003,P002,SALEUSER1
100,4500000021,00010,0,6,2024,5100000021,0001,U,,2024-08-26,318.0,318.0,11533.86,11533.86,USD,0,0,H,,2024-08-26,MAT00003,P002,FINANCE02
100,4500000022,00010,0,1,2024,5000000048,0001,E,101,2024-04-14,140.0,140.0,6969.2,6969.2,USD,140.0,140.0,S,,2024-04-14,MAT00020,P003,FINANCE01
100,4500000022,00010,0,6,2024,5100000022,0001,U,,2024-04-19,140.0,140.0,6969.2,6969.2,USD,0,0,H,,2024-04-19,MAT00020,P003,FINANCE01
100,4500000023,00010,0,1,2024,5000000050,0001,E,101,2024-06-01,120.0,120.0,9960.0,9960.0,USD,120.0,120.0,S,,2024-06-01,MAT00009,P001,BUYER01
100,4500000023,00010,0,6,2024,5100000023,0001,U,,2024-06-09,120.0,120.0,9960.0,9960.0,USD,0,0,H,,2024-06-09,MAT00009,P001,FINANCE02
100,4500000024,00010,0,1,2024,5000000052,0001,E,101,2024-03-04,133.0,133.0,7281.75,7281.75,USD,133.0,133.0,S,,2024-03-04,MAT00003,P003,BUYER01
100,4500000024,00010,0,6,2024,5100000024,0001,U,,2024-03-12,133.0,133.0,8478.75,8478.75,USD,0,0,H,,2024-03-12,MAT00003,P003,FINANCE02
100,4500000025,00010,0,1,2024,5000000054,0001,E,101,2024-08-22,151.0,151.0,71444.14,71444.14,USD,151.0,151.0,S,,2024-08-22,MAT00006,P002,SALEUSER3
100,4500000025,00010,0,6,2024,5100000025,0001,U,,2024-09-02,151.0,151.0,71444.14,71444.14,USD,0,0,H,,2024-09-02,MAT00006,P002,FINANCE02
100,4500000026,00010,0,1,2024,5000000056,0001,E,101,2024-09-09,141.0,141.0,10462.2,10462.2,USD,141.0,141.0,S,,2024-09-09,MAT00021,P002,WHOUSE02
100,4500000026,00010,0,6,2024,5100000026,0001,U,,2024-09-15,141.0,141.0,10462.2,10462.2,USD,0,0,H,,2024-09-15,MAT00021,P002,FINANCE01
100,4500000027,00010,0,1,2024,5000000058,0001,E,101,2024-08-04,214.0,214.0,52733.88,52733.88,USD,214.0,214.0,S,,2024-08-04,MAT00016,P002,BUYER03
100,4500000027,00010,0,6,2024,5100000027,0001,U,,2024-08-19,214.0,214.0,52733.88,52733.88,USD,0,0,H,,2024-08-19,MAT00016,P002,FINANCE01
100,4500000027,00020,0,1,2024,5000000060,0001,E,101,2024-08-04,71.0,71.0,22521.91,22521.91,USD,71.0,71.0,S,,2024-08-04,MAT00007,P002,BUYER01
100,4500000027,00020,0,6,2024,5100000027,0001,U,,2024-08-16,71.0,71.0,22521.91,22521.91,USD,0,0,H,,2024-08-16,MAT00007,P002,FINANCE02
100,4500000028,00010,0,1,2024,5000000062,0001,E,101,2024-06-30,429.0,429.0,90639.12,90639.12,USD,429.0,429.0,S,,2024-06-30,MAT00007,P002,WHOUSE01
100,4500000028,00010,0,6,2024,5100000028,0001,U,,2024-07-15,429.0,429.0,90639.12,90639.12,USD,0,0,H,,2024-07-15,MAT00007,P002,FINANCE01
100,4500000029,00010,0,6,2024,5100000029,0001,U,,2024-05-29,47.0,47.0,18468.65,18468.65,USD,0,0,H,,2024-05-29,MAT00001,P001,FINANCE01
100,4500000030,00010,0,1,2024,5000000065,0001,E,101,2024-06-21,489.0,489.0,187081.62,187081.62,USD,489.0,489.0,S,,2024-06-21,MAT00008,P001,SALEUSER2
100,4500000030,00010,0,6,2024,5100000030,0001,U,,2024-06-24,489.0,489.0,187081.62,187081.62,USD,0,0,H,,2024-06-24,MAT00008,P001,FINANCE01
100,4500000030,00020,0,1,2024,5000000067,0001,E,101,2024-06-21,53.0,53.0,9047.1,9047.1,USD,53.0,53.0,S,,2024-06-21,MAT00003,P001,BUYER03
100,4500000030,00020,0,6,2024,5100000030,0001,U,,2024-06-29,53.0,53.0,9047.1,9047.1,USD,0,0,H,,2024-06-29,MAT00003,P001,FINANCE01
100,4500000031,00010,0,1,2024,5000000069,0001,E,101,2024-06-06,238.0,238.0,35923.72,35923.72,USD,238.0,238.0,S,,2024-06-06,MAT00015,P002,FINANCE02
100,4500000031,00010,0,6,2024,5100000031,0001,U,,2024-06-18,238.0,238.0,35923.72,35923.72,USD,0,0,H,,2024-06-18,MAT00015,P002,FINANCE02
100,4500000031,00020,0,1,2024,5000000071,0001,E,101,2024-06-06,26.0,26.0,4126.98,4126.98,USD,26.0,26.0,S,,2024-06-06,MAT00008,P002,FINANCE02
100,4500000031,00020,0,6,2024,5100000031,0001,U,,2024-06-18,26.0,26.0,4126.98,4126.98,USD,0,0,H,,2024-06-18,MAT00008,P002,FINANCE02
100,4500000032,00010,0,1,2024,5000000073,0001,E,101,2024-06-09,322.0,322.0,101185.28,101185.28,USD,322.0,322.0,S,,2024-06-09,MAT00010,P003,WHOUSE02
100,4500000032,00010,0,6,2024,5100000032,0001,U,,2024-06-23,322.0,322.0,106749.44,106749.44,USD,0,0,H,,2024-06-23,MAT00010,P003,FINANCE01
100,4500000032,00020,0,1,2024,5000000075,0001,E,101,2024-06-09,158.0,158.0,55587.56,55587.56,USD,158.0,158.0,S,,2024-06-09,MAT00003,P003,FINANCE01
100,4500000032,00020,0,6,2024,5100000032,0001,U,,2024-06-20,158.0,158.0,62550.62,62550.62,USD,0,0,H,,2024-06-20,MAT00003,P003,FINANCE01
100,4500000033,00010,0,1,2024,5000000077,0001,E,101,2024-08-24,140.0,140.0,9878.4,9878.4,USD,140.0,140.0,S,,2024-08-24,MAT00018,P003,WHOUSE01
100,4500000033,00010,0,6,2024,5100000033,0001,U,,2024-09-07,140.0,140.0,9878.4,9878.4,USD,0,0,H,,2024-09-07,MAT00018,P003,FINANCE01
100,4500000034,00010,0,1,2024,5000000079,0001,E,101,2024-07-20,78.0,78.0,36946.26,36946.26,USD,78.0,78.0,S,,2024-07-20,MAT00023,P003,SALEUSER1
100,4500000034,00010,0,6,2024,5100000034,0001,U,,2024-08-09,78.0,78.0,36946.26,36946.26,USD,0,0,H,,2024-08-09,MAT00023,P003,FINANCE01
100,4500000034,00020,0,1,2024,5000000081,0001,E,101,2024-07-20,87.0,87.0,26054.76,26054.76,USD,87.0,87.0,S,,2024-07-20,MAT00009,P003,WHOUSE01
100,4500000034,00020,0,6,2024,5100000034,0001,U,,2024-07-26,87.0,87.0,26054.76,26054.76,USD,0,0,H,,2024-07-26,MAT00009,P003,FINANCE02
100,4500000035,00010,0,6,2024,5100000035,0001,U,,2024-09-06,103.0,103.0,7195.58,7195.58,USD,0,0,H,,2024-09-06,MAT00018,P001,FINANCE01
100,4500000036,00010,0,1,2024,5000000084,0001,E,101,2024-08-20,451.0,451.0,5136.89,5136.89,USD,451.0,451.0,S,,2024-08-20,MAT00008,P001,BUYER02
100,4500000036,00010,0,6,2024,5100000036,0001,U,,2024-08-23,451.0,451.0,5136.89,5136.89,USD,0,0,H,,2024-08-23,MAT00008,P001,FINANCE01
100,4500000036,00020,0,1,2024,5000000086,0001,E,101,2024-08-20,15.0,15.0,4489.05,4489.05,USD,15.0,15.0,S,,2024-08-20,MAT00005,P001,BUYER02
100,4500000036,00020,0,6,2024,5100000036,0001,U,,2024-08-25,15.0,15.0,4489.05,4489.05,USD,0,0,H,,2024-08-25,MAT00005,P001,FINANCE02
100,4500000037,00010,0,1,2024,5000000088,0001,E,101,2024-03-08,207.0,207.0,71661.33,71661.33,USD,207.0,207.0,S,,2024-03-08,MAT00015,P003,BUYER02
100,4500000037,00010,0,6,2024,5100000037,0001,U,,2024-03-21,207.0,207.0,71661.33,71661.33,USD,0,0,H,,2024-03-21,MAT00015,P003,FINANCE01
100,4500000038,00010,0,1,2024,5000000090,0001,E,101,2024-10-07,428.0,428.0,140790.6,140790.6,USD,428.0,428.0,S,,2024-10-07,MAT00017,P003,WHOUSE01
100,4500000038,00010,0,6,2024,5100000038,0001,U,,2024-10-20,428.0,428.0,140790.6,140790.6,USD,0,0,H,,2024-10-20,MAT00017,P003,FINANCE02
100,4500000038,00020,0,1,2024,5000000092,0001,E,101,2024-10-07,78.0,78.0,5423.34,5423.34,USD,78.0,78.0,S,,2024-10-07,MAT00005,P003,BUYER02
100,4500000038,00020,0,6,2024,5100000038,0001,U,,2024-10-12,78.0,78.0,5423.34,5423.34,USD,0,0,H,,2024-10-12,MAT00005,P003,FINANCE01
100,4500000039,00010,0,1,2024,5000000094,0001,E,101,2024-10-11,485.0,485.0,147537.0,147537.0,USD,485.0,485.0,S,,2024-10-11,MAT00022,P001,FINANCE01
100,4500000039,00010,0,6,2024,5100000039,0001,U,,2024-10-20,485.0,485.0,147537.0,147537.0,USD,0,0,H,,2024-10-20,MAT00022,P001,FINANCE01
100,4500000040,00010,0,6,2024,5100000040,0001,U,,2024-07-06,354.0,354.0,57135.6,57135.6,USD,0,0,H,,2024-07-06,MAT00020,P003,FINANCE01
100,4500000041,00010,0,1,2024,5000000097,0001,E,101,2024-03-10,380.0,380.0,13064.4,13064.4,USD,380.0,380.0,S,,2024-03-10,MAT00011,P001,WHOUSE01
100,4500000041,00010,0,6,2024,5100000041,0001,U,,2024-03-28,380.0,380.0,13064.4,13064.4,USD,0,0,H,,2024-03-28,MAT00011,P001,FINANCE02
100,4500000042,00010,0,1,2024,5000000099,0001,E,101,2024-07-09,492.0,492.0,18125.28,18125.28,USD,492.0,492.0,S,,2024-07-09,MAT00017,P003,BUYER03
100,4500000042,00010,0,6,2024,5100000042,0001,U,,2024-07-20,492.0,492.0,18125.28,18125.28,USD,0,0,H,,2024-07-20,MAT00017,P003,FINANCE02
100,4500000043,00010,0,6,2024,5100000043,0001,U,,2024-10-01,432.0,432.0,126195.84,126195.84,USD,0,0,H,,2024-10-01,MAT00002,P002,FINANCE02
100,4500000044,00010,0,1,2024,5000000102,0001,E,101,2024-09-24,204.0,204.0,33054.12,33054.12,USD,204.0,204.0,S,,2024-09-24,MAT00008,P001,SALEUSER3
100,4500000044,00010,0,6,2024,5100000044,0001,U,,2024-10-02,204.0,204.0,33054.12,33054.12,USD,0,0,H,,2024-10-02,MAT00008,P001,FINANCE01
100,4500000045,00010,0,1,2024,5000000104,0001,E,101,2024-06-12,85.0,85.0,32468.3,32468.3,USD,85.0,85.0,S,,2024-06-12,MAT00005,P001,WHOUSE02
100,4500000045,00010,0,6,2024,5100000045,0001,U,,2024-06-29,85.0,85.0,32468.3,32468.3,USD,0,0,H,,2024-06-29,MAT00005,P001,FINANCE02
100,4500000046,00010,0,1,2024,5000000106,0001,E,101,2024-03-28,28.0,28.0,5339.04,5339.04,USD,28.0,28.0,S,,2024-03-28,MAT00017,P003,BUYER02
100,4500000046,00010,0,6,2024,5100000046,0001,U,,2024-04-16,28.0,28.0,6098.4,6098.4,USD,0,0,H,,2024-04-16,MAT00017,P003,FINANCE02
100,4500000047,00010,0,1,2024,5000000108,0001,E,101,2024-02-29,357.0,357.0,176922.06,176922.06,USD,357.0,357.0,S,,2024-02-29,MAT00011,P001,SALEUSER3
100,4500000047,00010,0,6,2024,5100000047,0001,U,,2024-03-12,357.0,357.0,176922.06,176922.06,USD,0,0,H,,2024-03-12,MAT00011,P001,FINANCE02
100,4500000048,00010,0,1,2024,5000000110,0001,E,101,2024-07-15,438.0,438.0,75927.3,75927.3,USD,438.0,438.0,S,,2024-07-15,MAT00010,P002,WHOUSE01
100,4500000048,00010,0,6,2024,5100000048,0001,U,,2024-07-22,438.0,438.0,75927.3,75927.3,USD,0,0,H,,2024-07-22,MAT00010,P002,FINANCE01
100,4500000048,00020,0,1,2024,5000000112,0001,E,101,2024-07-15,136.0,136.0,45327.44,45327.44,USD,136.0,136.0,S,,2024-07-15,MAT00003,P002,FINANCE01
100,4500000048,00020,0,6,2024,5100000048,0001,U,,2024-07-20,136.0,136.0,45327.44,45327.44,USD,0,0,H,,2024-07-20,MAT00003,P002,FINANCE02
100,4500000049,00010,0,1,2024,5000000114,0001,E,101,2024-04-01,274.0,274.0,101911.56,101911.56,USD,274.0,274.0,S,,2024-04-01,MAT00005,P001,SALEUSER3
100,4500000049,00010,0,6,2024,5100000049,0001,U,,2024-04-08,274.0,274.0,101911.56,101911.56,USD,0,0,H,,2024-04-08,MAT00005,P001,FINANCE02
100,4500000049,00020,0,1,2024,5000000116,0001,E,101,2024-04-01,181.0,181.0,52718.06,52718.06,USD,181.0,181.0,S,,2024-04-01,MAT00013,P001,WHOUSE01
100,4500000049,00020,0,6,2024,5100000049,0001,U,,2024-04-15,181.0,181.0,52718.06,52718.06,USD,0,0,H,,2024-04-15,MAT00013,P001,FINANCE01
100,4500000050,00010,0,1,2024,5000000118,0001,E,101,2024-09-25,197.0,197.0,52886.62,52886.62,USD,197.0,197.0,S,,2024-09-25,MAT00022,P002,BUYER01
100,4500000050,00010,0,6,2024,5100000050,0001,U,,2024-10-13,197.0,197.0,52886.62,52886.62,USD,0,0,H,,2024-10-13,MAT00022,P002,FINANCE02
100,4500000050,00020,0,1,2024,5000000120,0001,E,101,2024-09-25,93.0,93.0,19549.53,19549.53,USD,93.0,93.0,S,,2024-09-25,MAT00005,P002,BUYER02
100,4500000050,00020,0,6,2024,5100000050,0001,U,,2024-10-05,93.0,93.0,19549.53,19549.53,USD,0,0,H,,2024-10-05,MAT00005,P002,FINANCE02
100,4500000051,00010,0,1,2024,5000000122,0001,E,101,2024-08-02,29.0,29.0,13326.08,13326.08,USD,29.0,29.0,S,,2024-08-02,MAT00004,P001,WHOUSE02
100,4500000051,00010,0,6,2024,5100000051,0001,U,,2024-08-19,29.0,29.0,13326.08,13326.08,USD,0,0,H,,2024-08-19,MAT00004,P001,FINANCE01
100,4500000052,00010,0,1,2024,5000000124,0001,E,101,2024-07-05,323.0,323.0,101803.14,101803.14,USD,323.0,323.0,S,,2024-07-05,MAT00008,P002,WHOUSE02
100,4500000052,00010,0,6,2024,5100000052,0001,U,,2024-07-25,323.0,323.0,101803.14,101803.14,USD,0,0,H,,2024-07-25,MAT00008,P002,FINANCE01
100,4500000053,00010,0,1,2024,5000000126,0001,E,101,2024-08-25,259.0,259.0,128018.52,128018.52,USD,259.0,259.0,S,,2024-08-25,MAT00017,P001,BUYER01
100,4500000053,00010,0,6,2024,5100000053,0001,U,,2024-09-09,259.0,259.0,128018.52,128018.52,USD,0,0,H,,2024-09-09,MAT00017,P001,FINANCE02
100,4500000054,00010,0,1,2024,5000000128,0001,E,101,2024-03-17,409.0,409.0,39178.11,39178.11,USD,409.0,409.0,S,,2024-03-17,MAT00005,P001,BUYER03
100,4500000054,00010,0,6,2024,5100000054,0001,U,,2024-03-24,409.0,409.0,39178.11,39178.11,USD,0,0,H,,2024-03-24,MAT00005,P001,FINANCE01
100,4500000055,00010,0,1,2024,5000000130,0001,E,101,2024-05-23,393.0,393.0,170656.32,170656.32,USD,393.0,393.0,S,,2024-05-23,MAT00021,P002,WHOUSE01
100,4500000055,00010,0,6,2024,5100000055,0001,U,,2024-06-07,393.0,393.0,170656.32,170656.32,USD,0,0,H,,2024-06-07,MAT00021,P002,FINANCE02
100,4500000055,00020,0,1,2024,5000000132,0001,E,101,2024-05-23,160.0,160.0,18243.2,18243.2,USD,160.0,160.0,S,,2024-05-23,MAT00015,P002,WHOUSE01
100,4500000055,00020,0,6,2024,5100000055,0001,U,,2024-05-28,160.0,160.0,18243.2,18243.2,USD,0,0,H,,2024-05-28,MAT00015,P002,FINANCE02
100,4500000056,00010,0,1,2024,5000000134,0001,E,101,2024-09-30,366.0,366.0,167148.54,167148.54,USD,366.0,366.0,S,,2024-09-30,MAT00006,P003,BUYER01
100,4500000056,00010,0,6,2024,5100000056,0001,U,,2024-10-15,366.0,366.0,177389.22,177389.22,USD,0,0,H,,2024-10-15,MAT00006,P003,FINANCE02
100,4500000057,00010,0,6,2024,5100000057,0001,U,,2024-03-23,475.0,475.0,91337.75,91337.75,USD,0,0,H,,2024-03-23,MAT00019,P002,FINANCE02
100,4500000058,00010,0,1,2024,5000000137,0001,E,101,2024-07-18,70.0,70.0,29951.6,29951.6,USD,70.0,70.0,S,,2024-07-18,MAT00020,P003,WHOUSE02
100,4500000058,00010,0,6,2024,5100000058,0001,U,,2024-07-31,70.0,70.0,35929.6,35929.6,USD,0,0,H,,2024-07-31,MAT00020,P003,FINANCE02
100,4500000059,00010,0,1,2024,5000000139,0001,E,101,2024-08-30,239.0,239.0,117511.52,117511.52,USD,239.0,239.0,S,,2024-08-30,MAT00001,P001,SALEUSER2
100,4500000059,00010,0,6,2024,5100000059,0001,U,,2024-09-14,239.0,239.0,117511.52,117511.52,USD,0,0,H,,2024-09-14,MAT00001,P001,FINANCE02
100,4500000060,00010,0,1,2024,5000000141,0001,E,101,2024-05-06,256.0,256.0,111467.52,111467.52,USD,256.0,256.0,S,,2024-05-06,MAT00005,P002,BUYER03
100,4500000060,00010,0,6,2024,5100000060,0001,U,,2024-05-14,256.0,256.0,111467.52,111467.52,USD,0,0,H,,2024-05-14,MAT00005,P002,FINANCE02
100,4500000061,00010,0,1,2024,5000000143,0001,E,101,2024-04-19,300.0,300.0,88356.0,88356.0,USD,300.0,300.0,S,,2024-04-19,MAT00020,P001,BUYER02
100,4500000061,00010,0,6,2024,5100000061,0001,U,,2024-04-23,300.0,300.0,88356.0,88356.0,USD,0,0,H,,2024-04-23,MAT00020,P001,FINANCE02
100,4500000061,00020,0,1,2024,5000000145,0001,E,101,2024-04-19,127.0,127.0,15617.19,15617.19,USD,127.0,127.0,S,,2024-04-19,MAT00015,P001,WHOUSE02
100,4500000061,00020,0,6,2024,5100000061,0001,U,,2024-04-29,127.0,127.0,15617.19,15617.19,USD,0,0,H,,2024-04-29,MAT00015,P001,FINANCE02
100,4500000062,00010,0,1,2024,5000000147,0001,E,101,2024-07-28,74.0,74.0,14175.44,14175.44,USD,74.0,74.0,S,,2024-07-28,MAT00011,P002,WHOUSE02
100,4500000062,00010,0,6,2024,5100000062,0001,U,,2024-08-03,74.0,74.0,14175.44,14175.44,USD,0,0,H,,2024-08-03,MAT00011,P002,FINANCE02
100,4500000063,00010,0,1,2024,5000000149,0001,E,101,2024-07-27,239.0,239.0,105339.25,105339.25,USD,239.0,239.0,S,,2024-07-27,MAT00019,P001,BUYER02
100,4500000063,00010,0,6,2024,5100000063,0001,U,,2024-08-11,239.0,239.0,105339.25,105339.25,USD,0,0,H,,2024-08-11,MAT00019,P001,FINANCE02
100,4500000064,00010,0,6,2024,5100000064,0001,U,,2024-02-09,76.0,76.0,10608.84,10608.84,USD,0,0,H,,2024-02-09,MAT00018,P003,FINANCE02
100,4500000065,00010,0,6,2024,5100000065,0001,U,,2024-04-26,494.0,494.0,139969.96,139969.96,USD,0,0,H,,2024-04-26,MAT00005,P002,FINANCE02
100,4500000066,00010,0,1,2024,5000000153,0001,E,101,2024-07-28,372.0,372.0,58262.64,58262.64,USD,372.0,372.0,S,,2024-07-28,MAT00011,P003,FINANCE02
100,4500000066,00010,0,6,2024,5100000066,0001,U,,2024-08-09,372.0,372.0,58262.64,58262.64,USD,0,0,H,,2024-08-09,MAT00011,P003,FINANCE02
