MANDT,BUKRS,BELNR,GJAHR,BLART,BLDAT,BUDAT,MONAT,CPUDT,USNAM,TCODE,BKTXT,WAERS,KURSF,BSTAT,XNETB,GLVOR,AWTYP,AWKEY,HWAER,CPUTM
100,1000,5000000031,2024,RE,2024-06-18,2024-06-18,06,2024-06-18,FINANCE02,MIRO,Invoice for PO 4500000031,USD,1.00,,,RFBU,RMRP,51000000312024,USD,101000
100,1000,5000000031,2024,RE,2024-06-18,2024-06-18,06,2024-06-18,FINANCE02,MIRO,Invoice for PO 4500000031,USD,1.00,,,RFBU,RMRP,51000000312024,USD,101000
100,1000,5000000032,2024,RE,2024-06-23,2024-06-23,06,2024-06-23,FINANCE02,MIRO,Invoice for PO 4500000032,USD,1.00,,,RFBU,RMRP,51000000322024,USD,173317
100,1000,5000000032,2024,RE,2024-06-20,2024-06-20,06,2024-06-20,FINANCE02,MIRO,Invoice for PO 4500000032,USD,1.00,,,RFBU,RMRP,51000000322024,USD,173317
100,1000,5000000033,2024,RE,2024-09-07,2024-09-07,09,2024-09-07,FINANCE01,MIRO,Invoice for PO 4500000033,USD,1.00,,,RFBU,RMRP,51000000332024,USD,083606
100,1000,5000000034,2024,RE,2024-08-09,2024-08-09,08,2024-08-09,FINANCE02,MIRO,Invoice for PO 4500000034,USD,1.00,,,RFBU,RMRP,51000000342024,USD,123035
100,1000,5000000034,2024,RE,2024-07-26,2024-07-26,07,2024-07-26,FINANCE01,MIRO,Invoice for PO 4500000034,USD,1.00,,,RFBU,RMRP,51000000342024,USD,095856
100,1000,5000000035,2024,RE,2024-09-06,2024-09-06,09,2024-09-06,FINANCE02,MIRO,Invoice for PO 4500000035,USD,1.00,,,RFBU,RMRP,51000000352024,USD,162512
100,1000,5000000036,2024,RE,2024-08-23,2024-08-23,08,2024-08-23,FINANCE01,MIRO,Invoice for PO 4500000036,USD,1.00,,,RFBU,RMRP,51000000362024,USD,140211
100,1000,5000000036,2024,RE,2024-08-25,2024-08-25,08,2024-08-25,FINANCE02,MIRO,Invoice for PO 4500000036,USD,1.00,,,RFBU,RMRP,51000000362024,USD,121400
100,1000,5000000037,2024,RE,2024-03-21,2024-03-21,03,2024-03-21,FINANCE02,MIRO,Invoice for PO 4500000037,USD,1.00,,,RFBU,RMRP,51000000372024,USD,082157
100,1000,5000000038,2024,RE,2024-10-20,2024-10-20,10,2024-10-20,FINANCE01,MIRO,Invoice for PO 4500000038,USD,1.00,,,RFBU,RMRP,51000000382024,USD,115040
100,1000,5000000038,2024,RE,2024-10-12,2024-10-12,10,2024-10-12,FINANCE01,MIRO,Invoice for PO 4500000038,USD,1.00,,,RFBU,RMRP,51000000382024,USD,115040
100,1000,5000000039,2024,RE,2024-10-20,2024-10-20,10,2024-10-20,FINANCE01,MIRO,Invoice for PO 4500000039,USD,1.00,,,RFBU,RMRP,51000000392024,USD,110815
100,1000,5000000040,2024,RE,2024-07-06,2024-07-06,07,2024-07-06,FINANCE01,MIRO,Invoice for PO 4500000040,USD,1.00,,,RFBU,RMRP,51000000402024,USD,082724
100,1000,5000000041,2024,RE,2024-03-28,2024-03-28,03,2024-03-28,FINANCE01,MIRO,Invoice for PO 4500000041,USD,1.00,,,RFBU,RMRP,51000000412024,USD,143409
100,1000,5000000042,2024,RE,2024-07-20,2024-07-20,07,2024-07-20,FINANCE01,MIRO,Invoice for PO 4500000042,USD,1.00,,,RFBU,RMRP,51000000422024,USD,164536
100,1000,5000000043,2024,RE,2024-10-01,2024-10-01,10,2024-10-01,FINANCE01,MIRO,Invoice for PO 4500000043,USD,1.00,,,RFBU,RMRP,51000000432024,USD,084606
100,1000,5000000044,2024,RE,2024-10-02,2024-10-02,10,2024-10-02,FINANCE01,MIRO,Invoice for PO 4500000044,USD,1.00,,,RFBU,RMRP,51000000442024,USD,103654
100,1000,5000000045,2024,RE,2024-06-29,2024-06-29,06,2024-06-29,FINANCE02,MIRO,Invoice for PO 4500000045,USD,1.00,,,RFBU,RMRP,51000000452024,USD,142820
100,1000,5000000046,2024,RE,2024-04-16,2024-04-16,04,2024-04-16,FINANCE01,MIRO,Invoice for PO 4500000046,USD,1.00,,,RFBU,RMRP,51000000462024,USD,133958
100,1000,5000000047,2024,RE,2024-03-12,2024-03-12,03,2024-03-12,FINANCE02,MIRO,Invoice for PO 4500000047,USD,1.00,,,RFBU,RMRP,51000000472024,USD,125055
100,1000,5000000048,2024,RE,2024-07-22,2024-07-22,07,2024-07-22,FINANCE02,MIRO,Invoice for PO 4500000048,USD,1.00,,,RFBU,RMRP,51000000482024,USD,150704
100,1000,5000000048,2024,RE,2024-07-20,2024-07-20,07,2024-07-20,FINANCE02,MIRO,Invoice for PO 4500000048,USD,1.00,,,RFBU,RMRP,51000000482024,USD,150704
100,1000,5000000049,2024,RE,2024-04-08,2024-04-08,04,2024-04-08,FINANCE01,MIRO,Invoice for PO 4500000049,USD,1.00,,,RFBU,RMRP,51000000492024,USD,134606
100,1000,5000000049,2024,RE,2024-04-15,2024-04-15,04,2024-04-15,FINANCE02,MIRO,Invoice for PO 4500000049,USD,1.00,,,RFBU,RMRP,51000000492024,USD,160500
100,1000,5000000050,2024,RE,2024-10-13,2024-10-13,10,2024-10-13,FINANCE01,MIRO,Invoice for PO 4500000050,USD,1.00,,,RFBU,RMRP,51000000502024,USD,134028
100,1000,5000000050,2024,RE,2024-10-05,2024-10-05,10,2024-10-05,FINANCE02,MIRO,Invoice for PO 4500000050,USD,1.00,,,RFBU,RMRP,51000000502024,USD,150649
100,1000,5000000051,2024,RE,2024-08-19,2024-08-19,08,2024-08-19,FINANCE02,MIRO,Invoice for PO 4500000051,USD,1.00,,,RFBU,RMRP,51000000512024,USD,160941
100,1000,5000000052,2024,RE,2024-07-25,2024-07-25,07,2024-07-25,FINANCE01,MIRO,Invoice for PO 4500000052,USD,1.00,,,RFBU,RMRP,51000000522024,USD,152108
100,1000,5000000053,2024,RE,2024-09-09,2024-09-09,09,2024-09-09,FINANCE01,MIRO,Invoice for PO 4500000053,USD,1.00,,,RFBU,RMRP,51000000532024,USD,160849
100,1000,5000000054,2024,RE,2024-03-24,2024-03-24,03,2024-03-24,FINANCE02,MIRO,Invoice for PO 4500000054,USD,1.00,,,RFBU,RMRP,51000000542024,USD,131015
100,1000,5000000055,2024,RE,2024-06-07,2024-06-07,06,2024-06-07,FINANCE01,MIRO,Invoice for PO 4500000055,USD,1.00,,,RFBU,RMRP,51000000552024,USD,174721
100,1000,5000000055,2024,RE,2024-05-28,2024-05-28,05,2024-05-28,FINANCE02,MIRO,Invoice for PO 4500000055,USD,1.00,,,RFBU,RMRP,51000000552024,USD,090000
100,1000,5000000056,2024,RE,2024-10-15,2024-10-15,10,2024-10-15,FINANCE01,MIRO,Invoice for PO 4500000056,USD,1.00,,,RFBU,RMRP,51000000562024,USD,144459
100,1000,5000000057,2024,RE,2024-03-23,2024-03-23,03,2024-03-23,FINANCE02,MIRO,Invoice for PO 4500000057,USD,1.00,,,RFBU,RMRP,51000000572024,USD,081912
100,1000,5000000058,2024,RE,2024-07-31,2024-07-31,07,2024-07-31,FINANCE02,MIRO,Invoice for PO 4500000058,USD,1.00,,,RFBU,RMRP,51000000582024,USD,102057
100,1000,5000000059,2024,RE,2024-09-14,2024-09-14,09,2024-09-14,FINANCE02,MIRO,Invoice for PO 4500000059,USD,1.00,,,RFBU,RMRP,51000000592024,USD,124710
100,1000,5000000060,2024,RE,2024-05-14,2024-05-14,05,2024-05-14,FINANCE02,MIRO,Invoice for PO 4500000060,USD,1.00,,,RFBU,RMRP,51000000602024,USD,092928
100,1000,5000000061,2024,RE,2024-04-23,2024-04-23,04,2024-04-23,FINANCE02,MIRO,Invoice for PO 4500000061,USD,1.00,,,RFBU,RMRP,51000000612024,USD,095048
100,1000,5000000061,2024,RE,2024-04-29,2024-04-29,04,2024-04-29,FINANCE01,MIRO,Invoice for PO 4500000061,USD,1.00,,,RFBU,RMRP,51000000612024,USD,080126
100,1000,5000000062,2024,RE,2024-08-03,2024-08-03,08,2024-08-03,FINANCE01,MIRO,Invoice for PO 4500000062,USD,1.00,,,RFBU,RMRP,51000000622024,USD,121134
100,1000,5000000063,2024,RE,2024-08-11,2024-08-11,08,2024-08-11,FINANCE02,MIRO,Invoice for PO 4500000063,USD,1.00,,,RFBU,RMRP,51000000632024,USD,105210
100,1000,5000000064,2024,RE,2024-02-09,2024-02-09,02,2024-02-09,FINANCE01,MIRO,Invoice for PO 4500000064,USD,1.00,,,RFBU,RMRP,51000000642024,USD,090522
100,1000,5000000065,2024,RE,2024-04-26,2024-04-26,04,2024-04-26,FINANCE01,MIRO,Invoice for PO 4500000065,USD,1.00,,,RFBU,RMRP,51000000652024,USD,110722
100,1000,5000000066,2024,RE,2024-08-09,2024-08-09,08,2024-08-09,FINANCE02,MIRO,Invoice for PO 4500000066,USD,1.00,,,RFBU,RMRP,51000000662024,USD,123247
100,1000,5000000067,2024,RE,2024-11-18,2024-11-18,11,2024-11-18,FINANCE01,MIRO,Invoice for PO 4500000067,USD,1.00,,,RFBU,RMRP,51000000672024,USD,155210
100,1000,5000000067,2024,RE,2024-11-21,2024-11-21,11,2024-11-21,FINANCE01,MIRO,Invoice for PO 4500000067,USD,1.00,,,RFBU,RMRP,51000000672024,USD,155210
100,1000,5000000068,2024,RE,2024-09-30,2024-09-30,09,2024-09-30,FINANCE02,MIRO,Invoice for PO 4500000068,USD,1.00,,,RFBU,RMRP,51000000682024,USD,124317
100,1000,5000000069,2024,RE,2024-05-21,2024-05-21,05,2024-05-21,FINANCE02,MIRO,Invoice for PO 4500000069,USD,1.00,,,RFBU,RMRP,51000000692024,USD,101542
100,1000,5000000070,2024,RE,2024-06-14,2024-06-14,06,2024-06-14,FINANCE01,MIRO,Invoice for PO 4500000070,USD,1.00,,,RFBU,RMRP,51000000702024,USD,132920
100,1000,5000000071,2024,RE,2024-06-07,2024-06-07,06,2024-06-07,FINANCE01,MIRO,Invoice for PO 4500000071,USD,1.00,,,RFBU,RMRP,51000000712024,USD,133654
100,1000,5000000071,2024,RE,2024-06-12,2024-06-12,06,2024-06-12,FINANCE01,MIRO,Invoice for PO 4500000071,USD,1.00,,,RFBU,RMRP,51000000712024,USD,133654
100,1000,5000000072,2024,RE,2024-09-30,2024-09-30,09,2024-09-30,FINANCE02,MIRO,Invoice for PO 4500000072,USD,1.00,,,RFBU,RMRP,51000000722024,USD,085641
100,1000,5000000073,2024,RE,2024-08-20,2024-08-20,08,2024-08-20,FINANCE01,MIRO,Invoice for PO 4500000073,USD,1.00,,,RFBU,RMRP,51000000732024,USD,172950
100,1000,5000000074,2024,RE,2024-04-12,2024-04-12,04,2024-04-12,FINANCE02,MIRO,Invoice for PO 4500000074,USD,1.00,,,RFBU,RMRP,51000000742024,USD,112335
100,1000,5000000075,2024,RE,2024-11-13,2024-11-13,11,2024-11-13,FINANCE02,MIRO,Invoice for PO 4500000075,USD,1.00,,,RFBU,RMRP,51000000752024,USD,100141
100,1000,5000000076,2024,RE,2024-05-23,2024-05-23,05,2024-05-23,FINANCE01,MIRO,Invoice for PO 4500000076,USD,1.00,,,RFBU,RMRP,51000000762024,USD,142735
100,1000,5000000077,2024,RE,2024-03-18,2024-03-18,03,2024-03-18,FINANCE01,MIRO,Invoice for PO 4500000077,USD,1.00,,,RFBU,RMRP,51000000772024,USD,140407
100,1000,5000000078,2024,RE,2024-03-24,2024-03-24,03,2024-03-24,FINANCE02,MIRO,Invoice for PO 4500000078,USD,1.00,,,RFBU,RMRP,51000000782024,USD,090404
100,1000,5000000079,2024,RE,2024-09-07,2024-09-07,09,2024-09-07,FINANCE01,MIRO,Invoice for PO 4500000079,USD,1.00,,,RFBU,RMRP,51000000792024,USD,105422
100,1000,5000000080,2024,RE,2024-10-13,2024-10-13,10,2024-10-13,FINANCE01,MIRO,Invoice for PO 4500000080,USD,1.00,,,RFBU,RMRP,51000000802024,USD,112950
100,1000,5000000081,2024,RE,2024-05-26,2024-05-26,05,2024-05-26,FINANCE02,MIRO,Invoice for PO 4500000081,USD,1.00,,,RFBU,RMRP,51000000812024,USD,135822
100,1000,5000000082,2024,RE,2024-10-30,2024-10-30,10,2024-10-30,FINANCE01,MIRO,Invoice for PO 4500000082,USD,1.00,,,RFBU,RMRP,51000000822024,USD,173050
100,1000,5000000083,2024,RE,2024-05-27,2024-05-27,05,2024-05-27,FINANCE01,MIRO,Invoice for PO 4500000083,USD,1.00,,,RFBU,RMRP,51000000832024,USD,104006
100,1000,5000000084,2024,RE,2024-10-29,2024-10-29,10,2024-10-29,FINANCE01,MIRO,Invoice for PO 4500000084,USD,1.00,,,RFBU,RMRP,51000000842024,USD,141731
100,1000,5000000084,2024,RE,2024-10-31,2024-10-31,10,2024-10-31,FINANCE01,MIRO,Invoice for PO 4500000084,USD,1.00,,,RFBU,RMRP,51000000842024,USD,141731
100,1000,5000000085,2024,RE,2024-09-24,2024-09-24,09,2024-09-24,FINANCE01,MIRO,Invoice for PO 4500000085,USD,1.00,,,RFBU,RMRP,51000000852024,USD,165207
100,1000,5000000086,2024,RE,2024-03-04,2024-03-04,03,2024-03-04,FINANCE01,MIRO,Invoice for PO 4500000086,USD,1.00,,,RFBU,RMRP,51000000862024,USD,134936
100,1000,5000000087,2024,RE,2024-04-11,2024-04-11,04,2024-04-11,FINANCE01,MIRO,Invoice for PO 4500000087,USD,1.00,,,RFBU,RMRP,51000000872024,USD,152635
100,1000,5000000088,2024,RE,2024-08-01,2024-08-01,08,2024-08-01,FINANCE02,MIRO,Invoice for PO 4500000088,USD,1.00,,,RFBU,RMRP,51000000882024,USD,110845
100,1000,5000000089,2024,RE,2024-09-05,2024-09-05,09,2024-09-05,FINANCE02,MIRO,Invoice for PO 4500000089,USD,1.00,,,RFBU,RMRP,51000000892024,USD,114725
100,1000,5000000090,2024,RE,2024-07-24,2024-07-24,07,2024-07-24,FINANCE02,MIRO,Invoice for PO 4500000090,USD,1.00,,,RFBU,RMRP,51000000902024,USD,132554
100,1000,5000000091,2024,RE,2024-06-04,2024-06-04,06,2024-06-04,FINANCE02,MIRO,Invoice for PO 4500000091,USD,1.00,,,RFBU,RMRP,51000000912024,USD,171616
100,1000,5000000092,2024,RE,2024-04-14,2024-04-14,04,2024-04-14,FINANCE02,MIRO,Invoice for PO 4500000092,USD,1.00,,,RFBU,RMRP,51000000922024,USD,145703
100,1000,5000000093,2024,RE,2024-03-23,2024-03-23,03,2024-03-23,FINANCE01,MIRO,Invoice for PO 4500000093,USD,1.00,,,RFBU,RMRP,51000000932024,USD,142050
100,1000,5000000093,2024,RE,2024-03-23,2024-03-23,03,2024-03-23,FINANCE02,MIRO,Invoice for PO 4500000093,USD,1.00,,,RFBU,RMRP,51000000932024,USD,162454
100,1000,5000000094,2024,RE,2024-06-10,2024-06-10,06,2024-06-10,FINANCE02,MIRO,Invoice for PO 4500000094,USD,1.00,,,RFBU,RMRP,51000000942024,USD,090600
100,1000,5000000095,2024,RE,2024-09-23,2024-09-23,09,2024-09-23,FINANCE01,MIRO,Invoice for PO 4500000095,USD,1.00,,,RFBU,RMRP,51000000952024,USD,124940
100,1000,5000000096,2024,RE,2024-08-06,2024-08-06,08,2024-08-06,FINANCE02,MIRO,Invoice for PO 4500000096,USD,1.00,,,RFBU,RMRP,51000000962024,USD,092238
100,1000,5000000097,2024,RE,2024-04-22,2024-04-22,04,2024-04-22,FINANCE01,MIRO,Invoice for PO 4500000097,USD,1.00,,,RFBU,RMRP,51000000972024,USD,110400
100,1000,5000000097,2024,RE,2024-04-20,2024-04-20,04,2024-04-20,FINANCE01,MIRO,Invoice for PO 4500000097,USD,1.00,,,RFBU,RMRP,51000000972024,USD,110400
100,1000,5000000098,2024,RE,2024-10-13,2024-10-13,10,2024-10-13,FINANCE02,MIRO,Invoice for PO 4500000098,USD,1.00,,,RFBU,RMRP,51000000982024,USD,151453
100,1000,5000000098,2024,RE,2024-10-13,2024-10-13,10,2024-10-13,FINANCE02,MIRO,Invoice for PO 4500000098,USD,1.00,,,RFBU,RMRP,51000000982024,USD,151453
100,1000,5000000099,2024,RE,2024-06-29,2024-06-29,06,2024-06-29,FINANCE02,MIRO,Invoice for PO 4500000099,USD,1.00,,,RFBU,RMRP,51000000992024,USD,172801
100,1000,5000000100,2024,RE,2024-04-14,2024-04-14,04,2024-04-14,FINANCE01,MIRO,Invoice for PO 4500000100,USD,1.00,,,RFBU,RMRP,51000001002024,USD,095803
100,1000,5000000101,2024,RE,2024-07-19,2024-07-19,07,2024-07-19,FINANCE02,MIRO,Invoice for PO 4500000101,USD,1.00,,,RFBU,RMRP,51000001012024,USD,120445
100,1000,5000000102,2024,RE,2024-04-17,2024-04-17,04,2024-04-17,FINANCE02,MIRO,Invoice for PO 4500000102,USD,1.00,,,RFBU,RMRP,51000001022024,USD,174147
100,1000,5000000102,2024,RE,2024-04-25,2024-04-25,04,2024-04-25,FINANCE01,MIRO,Invoice for PO 4500000102,USD,1.00,,,RFBU,RMRP,51000001022024,USD,103732
100,1000,5000000103,2024,RE,2024-03-08,2024-03-08,03,2024-03-08,FINANCE02,MIRO,Invoice for PO 4500000103,USD,1.00,,,RFBU,RMRP,51000001032024,USD,093350
100,1000,5000000104,2024,RE,2024-03-16,2024-03-16,03,2024-03-16,FINANCE01,MIRO,Invoice for PO 4500000104,USD,1.00,,,RFBU,RMRP,51000001042024,USD,094436
100,1000,5000000105,2024,RE,2024-08-18,2024-08-18,08,2024-08-18,FINANCE01,MIRO,Invoice for PO 4500000105,USD,1.00,,,RFBU,RMRP,51000001052024,USD,103154
100,1000,5000000106,2024,RE,2024-03-04,2024-03-04,03,2024-03-04,FINANCE01,MIRO,Invoice for PO 4500000106,USD,1.00,,,RFBU,RMRP,51000001062024,USD,175218
100,1000,5000000107,2024,RE,2024-10-22,2024-10-22,10,2024-10-22,FINANCE01,MIRO,Invoice for PO 4500000107,USD,1.00,,,RFBU,RMRP,51000001072024,USD,110056
100,1000,5000000108,2024,RE,2024-10-29,2024-10-29,10,2024-10-29,FINANCE02,MIRO,Invoice for PO 4500000108,USD,1.00,,,RFBU,RMRP,51000001082024,USD,144255
100,1000,5000000108,2024,RE,2024-11-08,2024-11-08,11,2024-11-08,FINANCE01,MIRO,Invoice for PO 4500000108,USD,1.00,,,RFBU,RMRP,51000001082024,USD,110133
100,1000,5000000109,2024,RE,2024-05-05,2024-05-05,05,2024-05-05,FINANCE02,MIRO,Invoice for PO 4500000109,USD,1.00,,,RFBU,RMRP,51000001092024,USD,105548
100,1000,5000000109,2024,RE,2024-05-05,2024-05-05,05,2024-05-05,FINANCE02,MIRO,Invoice for PO 4500000109,USD,1.00,,,RFBU,RMRP,51000001092024,USD,105548
100,1000,5000000110,2024,RE,2024-03-30,2024-03-30,03,2024-03-30,FINANCE02,MIRO,Invoice for PO 4500000110,USD,1.00,,,RFBU,RMRP,51000001102024,USD,155248
100,1000,5000000111,2024,RE,2024-06-29,2024-06-29,06,2024-06-29,FINANCE01,MIRO,Invoice for PO 4500000111,USD,1.00,,,RFBU,RMRP,51000001112024,USD,112512
100,1000,5000000112,2024,RE,2024-12-08,2024-12-08,12,2024-12-08,FINANCE02,MIRO,Invoice for PO 4500000112,USD,1.00,,,RFBU,RMRP,51000001122024,USD,122327
100,1000,5000000112,2024,RE,2024-12-14,2024-12-14,12,2024-12-14,FINANCE01,MIRO,Invoice for PO 4500000112,USD,1.00,,,RFBU,RMRP,51000001122024,USD,084317
100,1000,5000000113,2024,RE,2024-06-18,2024-06-18,06,2024-06-18,FINANCE01,MIRO,Invoice for PO 4500000113,USD,1.00,,,RFBU,RMRP,51000001132024,USD,171953
100,1000,5000000114,2024,RE,2024-09-28,2024-09-28,09,2024-09-28,FINANCE02,MIRO,Invoice for PO 4500000114,USD,1.00,,,RFBU,RMRP,51000001142024,USD,104859
100,1000,5000000115,2024,RE,2024-04-25,2024-04-25,04,2024-04-25,FINANCE02,MIRO,Invoice for PO 4500000115,USD,1.00,,,RFBU,RMRP,51000001152024,USD,133721
100,1000,5000000115,2024,RE,2024-05-05,2024-05-05,05,2024-05-05,FINANCE01,MIRO,Invoice for PO 4500000115,USD,1.00,,,RFBU,RMRP,51000001152024,USD,145255
100,1000,5000000116,2024,RE,2024-09-29,2024-09-29,09,2024-09-29,FINANCE02,MIRO,Invoice for PO 4500000116,USD,1.00,,,RFBU,RMRP,51000001162024,USD,082801
100,1000,5000000117,2024,RE,2024-08-06,2024-08-06,08,2024-08-06,FINANCE01,MIRO,Invoice for PO 4500000117,USD,1.00,,,RFBU,RMRP,51000001172024,USD,083213
