MANDT,VBELN,ERDAT,ERZET,ERNAM,LFART,KUNNR,KUNAG,WADAT,WADAT_IST,LFDAT,KODAT,VSTEL,ROUTE,LGNUM,TRATY,TRAID,TPADR,VBTYP,KOUHR,PODAT,NTGEW,BTGEW,GEWEI,VOLUM,VOLEH,POTIM
100,8000000010,2024-02-26,09:00:00,WHOUSE01,LF,C00009,C00009,2024-03-12,2024-03-13,2024-03-12,2024-03-12,SP03,R0003,,,,,J,14:29:16,2024-02-27,4668.74,3486.29,KG,0.659,M3,00:27:30
100,8000000011,2024-02-28,09:00:00,WHOUSE01,LF,C00008,C00008,2024-03-15,2024-03-22,2024-03-15,2024-03-15,SP03,R0002,,,,,J,08:15:30,2024-02-29,3836.28,1807.75,KG,3.094,M3,08:21:32
100,8000000012,2024-04-25,09:00:00,WHOUSE02,LF,C00014,C00014,2024-05-08,2024-05-05,2024-05-08,2024-05-08,SP02,R0001,,,,,J,16:05:26,2024-04-26,952.96,4538.7,KG,39.426,M3,09:31:46
100,8000000013,2024-06-08,09:00:00,WHOUSE01,LF,C00013,C00013,2024-06-23,2024-06-26,2024-06-23,2024-06-23,SP03,R0003,,,,,J,12:46:36,2024-06-09,1060.05,2660.25,KG,5.726,M3,12:03:37
100,8000000014,2024-05-13,09:00:00,WHOUSE01,LF,C00010,C00010,2024-06-09,2024-06-08,2024-06-09,2024-06-09,SP03,R0003,,,,,J,17:35:24,2024-05-14,1596.43,813.91,KG,33.329,M3,09:51:55
100,8000000015,2024-02-16,09:00:00,WHOUSE01,LF,C00009,C00009,2024-02-23,2024-02-23,2024-02-23,2024-02-23,SP03,R0004,,,,,J,06:55:10,2024-02-17,2848.32,1508.89,KG,29.32,M3,08:06:52
100,8000000016,2024-03-02,09:00:00,WHOUSE02,LF,C00012,C00012,2024-03-19,2024-03-18,2024-03-19,2024-03-19,SP01,R0002,,,,,J,06:04:26,2024-03-03,4743.46,1768.36,KG,0.542,M3,04:35:14
100,8000000017,2024-09-04,09:00:00,WHOUSE01,LF,C00012,C00012,2024-09-16,2024-09-17,2024-09-16,2024-09-16,SP03,R0004,,,,,J,11:47:02,2024-09-05,1713.32,5419.24,KG,44.031,M3,07:56:15
100,8000000018,2024-04-02,09:00:00,WHOUSE02,LF,C00003,C00003,2024-04-26,2024-05-18,2024-04-26,2024-04-26,SP02,R0003,,,,,J,16:53:18,2024-04-03,4752.57,3330.98,KG,6.939,M3,14:57:09
100,8000000020,2024-03-14,09:00:00,WHOUSE01,LF,C00004,C00004,2024-04-11,2024-04-10,2024-04-11,2024-04-11,SP01,R0004,,,,,J,14:24:27,2024-03-15,4609.98,2955.27,KG,46.045,M3,03:44:34
100,8000000021,2024-04-30,09:00:00,WHOUSE01,LF,C00005,C00005,2024-05-22,2024-06-11,2024-05-22,2024-05-22,SP02,R0001,,,,,J,11:40:02,2024-05-01,1757.08,4534.86,KG,43.043,M3,16:23:26
100,8000000022,2024-01-12,09:00:00,WHOUSE01,LF,C00011,C00011,2024-02-02,2024-02-05,2024-02-02,2024-02-02,SP01,R0001,,,,,J,15:44:32,2024-01-13,1011.24,3556.38,KG,40.081,M3,23:25:26
100,8000000023,2024-01-21,09:00:00,WHOUSE02,LF,C00003,C00003,2024-02-06,2024-02-08,2024-02-06,2024-02-06,SP03,R0001,,,,,J,11:34:43,2024-01-22,3224.23,5268.0,KG,9.514,M3,18:21:19
100,8000000024,2024-08-04,09:00:00,WHOUSE02,LF,C00012,C00012,2024-09-01,2024-09-02,2024-09-01,2024-09-01,SP03,R0002,,,,,J,14:43:21,2024-08-05,1962.65,3291.56,KG,23.791,M3,02:15:10
100,8000000025,2024-04-02,09:00:00,WHOUSE02,LF,C00008,C00008,2024-04-30,2024-04-28,2024-04-30,2024-04-30,SP01,R0003,,,,,J,09:01:45,2024-04-03,773.96,672.55,KG,23.989,M3,19:30:59
100,8000000026,2024-09-07,09:00:00,WHOUSE02,LF,C00013,C00013,2024-10-04,2024-10-19,2024-10-04,2024-10-04,SP03,R0003,,,,,J,13:35:50,2024-09-08,1466.11,4037.01,KG,5.042,M3,21:04:49
100,8000000027,2024-04-24,09:00:00,WHOUSE02,LF,C00013,C00013,2024-05-23,2024-05-21,2024-05-23,2024-05-23,SP02,R0003,,,,,J,11:55:10,2024-04-25,327.61,4048.4,KG,19.454,M3,10:59:56
100,8000000028,2024-05-18,09:00:00,WHOUSE02,LF,C00012,C00012,2024-06-08,2024-06-05,2024-06-08,2024-06-08,SP03,R0002,,,,,J,13:49:21,2024-05-19,927.98,1081.85,KG,31.706,M3,01:27:25
100,8000000029,2024-08-19,09:00:00,WHOUSE02,LF,C00010,C00010,2024-09-09,2024-09-11,2024-09-09,2024-09-09,SP02,R0002,,,,,J,14:17:19,2024-08-20,979.75,4396.08,KG,27.116,M3,13:09:26
100,8000000030,2024-08-11,09:00:00,WHOUSE02,LF,C00007,C00007,2024-09-04,2024-09-01,2024-09-04,2024-09-04,SP03,R0001,,,,,J,06:58:48,2024-08-12,3293.48,1562.12,KG,40.213,M3,15:01:21
100,8000000031,2024-09-25,09:00:00,WHOUSE02,LF,C00001,C00001,2024-10-02,2024-10-01,2024-10-02,2024-10-02,SP01,R0002,,,,,J,10:27:50,2024-09-26,2199.97,4351.41,KG,7.391,M3,11:07:19
100,8000000032,2024-06-27,09:00:00,WHOUSE01,LF,C00002,C00002,2024-07-09,2024-07-08,2024-07-09,2024-07-09,SP02,R0003,,,,,J,07:51:40,2024-06-28,4357.97,2333.38,KG,6.435,M3,07:31:56
100,8000000033,2024-07-13,09:00:00,WHOUSE02,LF,C00002,C00002,2024-07-31,2024-07-30,2024-07-31,2024-07-31,SP01,R0001,,,,,J,06:30:50,2024-07-14,356.22,4504.4,KG,25.542,M3,15:59:25
100,8000000034,2024-02-15,09:00:00,WHOUSE01,LF,C00011,C00011,2024-03-14,2024-03-13,2024-03-14,2024-03-14,SP01,R0004,,,,,J,14:47:51,2024-02-16,1236.42,71.9,KG,43.073,M3,18:13:25
100,8000000035,2024-09-15,09:00:00,WHOUSE02,LF,C00003,C00003,2024-10-15,2024-10-13,2024-10-15,2024-10-15,SP02,R0004,,,,,J,17:14:30,2024-09-16,2647.5,1444.3,KG,3.493,M3,13:54:15
100,8000000036,2024-02-16,09:00:00,WHOUSE01,LF,C00006,C00006,2024-03-11,2024-03-13,2024-03-11,2024-03-11,SP03,R0001,,,,,J,17:35:50,2024-02-17,2788.7,802.6,KG,25.718,M3,09:15:39
100,8000000037,2024-04-25,09:00:00,WHOUSE02,LF,C00005,C00005,2024-05-12,2024-05-09,2024-05-12,2024-05-12,SP03,R0001,,,,,J,08:27:57,2024-04-26,725.38,150.76,KG,49.369,M3,05:21:10
100,8000000038,2024-02-18,09:00:00,WHOUSE01,LF,C00014,C00014,2024-02-28,2024-02-25,2024-02-28,2024-02-28,SP01,R0001,,,,,J,12:27:50,2024-02-19,4821.24,3588.17,KG,28.351,M3,19:20:37
100,8000000039,2024-01-26,09:00:00,WHOUSE02,LF,C00015,C00015,2024-02-22,2024-02-19,2024-02-22,2024-02-22,SP03,R0003,,,,,J,07:53:52,2024-01-27,293.0,4195.91,KG,12.429,M3,12:54:05
100,8000000040,2024-04-17,09:00:00,WHOUSE01,LF,C00012,C00012,2024-04-28,2024-05-01,2024-04-28,2024-04-28,SP01,R0001,,,,,J,17:59:22,2024-04-18,3426.97,443.96,KG,37.695,M3,03:05:05
100,8000000041,2024-06-29,09:00:00,WHOUSE01,LF,C00012,C00012,2024-07-21,2024-08-11,2024-07-21,2024-07-21,SP03,R0004,,,,,J,09:15:00,2024-06-30,2055.52,2563.59,KG,42.005,M3,23:00:09
100,8000000042,2024-07-07,09:00:00,WHOUSE01,LF,C00013,C00013,2024-08-02,2024-08-26,2024-08-02,2024-08-02,SP03,R0002,,,,,J,15:21:57,2024-07-08,2676.03,5005.02,KG,18.15,M3,17:27:31
100,8000000043,2024-04-27,09:00:00,WHOUSE02,LF,C00003,C00003,2024-05-23,2024-05-20,2024-05-23,2024-05-23,SP02,R0003,,,,,J,10:24:09,2024-04-28,3096.75,822.11,KG,11.345,M3,02:59:50
100,8000000044,2024-07-16,09:00:00,WHOUSE01,LF,C00013,C00013,2024-07-27,2024-08-09,2024-07-27,2024-07-27,SP01,R0003,,,,,J,06:31:05,2024-07-17,857.88,3446.88,KG,13.197,M3,22:41:09
100,8000000045,2024-09-19,09:00:00,WHOUSE02,LF,C00013,C00013,2024-10-08,2024-10-29,2024-10-08,2024-10-08,SP02,R0004,,,,,J,15:09:53,2024-09-20,4664.67,3059.29,KG,3.078,M3,01:00:30
100,8000000046,2024-05-29,09:00:00,WHOUSE02,LF,C00012,C00012,2024-06-23,2024-06-24,2024-06-23,2024-06-23,SP03,R0002,,,,,J,06:06:37,2024-05-30,1858.16,3271.02,KG,21.65,M3,05:02:08
100,8000000048,2024-09-23,09:00:00,WHOUSE02,LF,C00013,C00013,2024-10-09,2024-10-12,2024-10-09,2024-10-09,SP01,R0004,,,,,J,15:14:49,2024-09-24,726.0,4174.44,KG,43.546,M3,09:53:23
100,8000000049,2024-02-12,09:00:00,WHOUSE02,LF,C00003,C00003,2024-03-09,2024-03-07,2024-03-09,2024-03-09,SP02,R0004,,,,,J,16:35:24,2024-02-13,527.93,603.3,KG,39.054,M3,21:43:58
100,8000000050,2024-01-14,09:00:00,WHOUSE02,LF,C00009,C00009,2024-01-27,2024-01-25,2024-01-27,2024-01-27,SP02,R0004,,,,,J,14:52:55,2024-01-15,1175.97,1513.25,KG,1.48,M3,22:22:42
100,8000000051,2024-06-14,09:00:00,WHOUSE01,LF,C00001,C00001,2024-07-08,2024-07-07,2024-07-08,2024-07-08,SP01,R0002,,,,,J,16:50:14,2024-06-15,1912.25,1526.41,KG,33.616,M3,18:05:02
100,8000000052,2024-01-28,09:00:00,WHOUSE02,LF,C00009,C00009,2024-02-19,2024-02-22,2024-02-19,2024-02-19,SP03,R0001,,,,,J,15:32:39,2024-01-29,2817.93,3888.16,KG,46.546,M3,05:57:19
100,8000000053,2024-03-28,09:00:00,WHOUSE01,LF,C00001,C00001,2024-04-26,2024-04-25,2024-04-26,2024-04-26,SP01,R0002,,,,,J,15:12:08,2024-03-29,4070.39,2499.89,KG,19.6,M3,10:06:02
100,8000000055,2024-07-12,09:00:00,WHOUSE01,LF,C00014,C00014,2024-07-26,2024-07-25,2024-07-26,2024-07-26,SP03,R0001,,,,,J,17:19:57,2024-07-13,3845.79,906.0,KG,30.361,M3,18:05:02
100,8000000056,2024-03-17,09:00:00,WHOUSE02,LF,C00012,C00012,2024-03-27,2024-04-18,2024-03-27,2024-03-27,SP03,R0002,,,,,J,10:28:31,2024-03-18,607.01,717.4,KG,43.36,M3,19:00:52
100,8000000057,2024-02-28,09:00:00,WHOUSE02,LF,C00011,C00011,2024-03-15,2024-03-18,2024-03-15,2024-03-15,SP03,R0004,,,,,J,15:29:09,2024-02-29,1130.35,5259.11,KG,37.456,M3,06:50:10
100,8000000058,2024-09-12,09:00:00,WHOUSE01,LF,C00011,C00011,2024-10-11,2024-10-13,2024-10-11,2024-10-11,SP01,R0001,,,,,J,10:07:26,2024-09-13,3145.15,692.05,KG,6.454,M3,12:52:31
100,8000000059,2024-04-15,09:00:00,WHOUSE02,LF,C00015,C00015,2024-05-07,2024-05-06,2024-05-07,2024-05-07,SP01,R0004,,,,,J,11:31:09,2024-04-16,2822.56,4774.14,KG,30.783,M3,03:17:37
100,8000000060,2024-08-12,09:00:00,WHOUSE02,LF,C00002,C00002,2024-08-24,2024-08-25,2024-08-24,2024-08-24,SP03,R0002,,,,,J,10:52:52,2024-08-13,378.88,3044.53,KG,39.544,M3,09:39:53
100,8000000061,2024-05-24,09:00:00,WHOUSE01,LF,C00005,C00005,2024-06-21,2024-06-20,2024-06-21,2024-06-21,SP03,R0002,,,,,J,08:01:56,2024-05-25,3247.82,2036.1,KG,44.448,M3,16:04:53
100,8000000062,2024-05-15,09:00:00,WHOUSE02,LF,C00014,C00014,2024-06-03,2024-06-02,2024-06-03,2024-06-03,SP01,R0004,,,,,J,15:43:02,2024-05-16,4554.95,1742.19,KG,32.337,M3,19:18:08
100,8000000063,2024-09-28,09:00:00,WHOUSE01,LF,C00006,C00006,2024-10-14,2024-10-13,2024-10-14,2024-10-14,SP02,R0003,,,,,J,08:25:24,2024-09-29,4686.68,3966.11,KG,37.796,M3,02:29:38
100,8000000064,2024-04-04,09:00:00,WHOUSE01,LF,C00005,C00005,2024-04-23,2024-04-24,2024-04-23,2024-04-23,SP02,R0001,,,,,J,14:20:23,2024-04-05,3227.5,3031.1,KG,7.949,M3,08:10:41
100,8000000065,2024-06-22,09:00:00,WHOUSE01,LF,C00009,C00009,2024-07-17,2024-07-14,2024-07-17,2024-07-17,SP03,R0003,,,,,J,09:49:03,2024-06-23,1419.52,3463.35,KG,29.989,M3,22:32:06
100,8000000066,2024-04-10,09:00:00,WHOUSE01,LF,C00002,C00002,2024-04-27,2024-05-10,2024-04-27,2024-04-27,SP02,R0003,,,,,J,13:49:59,2024-04-11,3084.08,3559.05,KG,14.453,M3,15:38:14
100,8000000067,2024-06-17,09:00:00,WHOUSE01,LF,C00008,C00008,2024-07-08,2024-07-06,2024-07-08,2024-07-08,SP02,R0004,,,,,J,16:10:04,2024-06-18,2253.86,2182.71,KG,38.678,M3,22:18:02
100,8000000068,2024-01-08,09:00:00,WHOUSE01,LF,C00009,C00009,2024-01-16,2024-01-30,2024-01-16,2024-01-16,SP01,R0001,,,,,J,12:08:53,2024-01-09,3742.87,1804.44,KG,21.694,M3,12:54:21
100,8000000069,2024-02-12,09:00:00,WHOUSE02,LF,C00014,C00014,2024-02-20,2024-02-17,2024-02-20,2024-02-20,SP01,R0003,,,,,J,14:26:46,2024-02-13,3417.58,4600.37,KG,1.643,M3,21:10:44
100,8000000070,2024-09-04,09:00:00,WHOUSE01,LF,C00001,C00001,2024-09-29,2024-09-27,2024-09-29,2024-09-29,SP02,R0001,,,,,J,12:49:44,2024-09-05,3066.92,201.52,KG,3.41,M3,15:51:28
100,8000000071,2024-02-03,09:00:00,WHOUSE01,LF,C00014,C00014,2024-02-29,2024-03-02,2024-02-29,2024-02-29,SP01,R0004,,,,,J,08:17:49,2024-02-04,1732.28,1564.6,KG,4.334,M3,11:32:19
100,8000000072,2024-05-24,09:00:00,WHOUSE01,LF,C00003,C00003,2024-06-06,2024-06-04,2024-06-06,2024-06-06,SP03,R0004,,,,,J,08:50:06,2024-05-25,4940.01,3116.11,KG,44.593,M3,09:41:45
100,8000000073,2024-07-22,09:00:00,WHOUSE01,LF,C00012,C00012,2024-08-04,2024-08-03,2024-08-04,2024-08-04,SP02,R0004,,,,,J,13:13:08,2024-07-23,2280.37,3132.09,KG,7.364,M3,12:26:51
100,8000000074,2024-05-06,09:00:00,WHOUSE02,LF,C00004,C00004,2024-06-01,2024-06-02,2024-06-01,2024-06-01,SP03,R0002,,,,,J,13:37:51,2024-05-07,4597.94,4859.33,KG,32.106,M3,07:50:54
100,8000000075,2024-06-15,09:00:00,WHOUSE01,LF,C00004,C00004,2024-07-15,2024-07-15,2024-07-15,2024-07-15,SP01,R0003,,,,,J,09:56:22,2024-06-16,774.16,318.56,KG,18.539,M3,09:42:20
100,8000000076,2024-03-22,09:00:00,WHOUSE02,LF,C00008,C00008,2024-04-02,2024-04-04,2024-04-02,2024-04-02,SP01,R0004,,,,,J,15:01:26,2024-03-23,2686.91,3948.38,KG,19.724,M3,06:15:29
100,8000000077,2024-02-16,09:00:00,WHOUSE02,LF,C00015,C00015,2024-03-08,2024-03-29,2024-03-08,2024-03-08,SP03,R0002,,,,,J,09:17:19,2024-02-17,1807.07,735.68,KG,23.279,M3,04:45:09
100,8000000078,2024-08-20,09:00:00,WHOUSE02,LF,C00006,C00006,2024-09-10,2024-09-12,2024-09-10,2024-09-10,SP01,R0003,,,,,J,08:19:01,2024-08-21,730.59,362.56,KG,40.36,M3,01:05:03
100,8000000079,2024-03-23,09:00:00,WHOUSE02,LF,C00006,C00006,2024-04-15,2024-04-12,2024-04-15,2024-04-15,SP01,R0003,,,,,J,10:02:30,2024-03-24,3189.1,384.61,KG,45.864,M3,18:56:07
100,8000000080,2024-04-23,09:00:00,WHOUSE02,LF,C00014,C00014,2024-05-14,2024-05-17,2024-05-14,2024-05-14,SP01,R0001,,,,,J,16:06:45,2024-04-24,880.02,843.82,KG,15.244,M3,04:06:28
100,8000000081,2024-01-12,09:00:00,WHOUSE02,LF,C00012,C00012,2024-01-24,2024-01-23,2024-01-24,2024-01-24,SP02,R0004,,,,,J,12:27:24,2024-01-13,4837.18,2881.02,KG,26.811,M3,04:09:46
100,8000000082,2024-02-08,09:00:00,WHOUSE01,LF,C00014,C00014,2024-02-16,2024-02-25,2024-02-16,2024-02-16,SP02,R0003,,,,,J,15:33:54,2024-02-09,4995.71,5171.39,KG,16.422,M3,02:18:49
100,8000000083,2024-09-12,09:00:00,WHOUSE02,LF,C00004,C00004,2024-09-24,2024-09-21,2024-09-24,2024-09-24,SP02,R0001,,,,,J,17:42:36,2024-09-13,4410.87,1301.75,KG,15.476,M3,10:44:20
100,8000000084,2024-02-23,09:00:00,WHOUSE02,LF,C00006,C00006,2024-03-09,2024-03-11,2024-03-09,2024-03-09,SP03,R0002,,,,,J,06:07:56,2024-02-24,1846.71,4153.57,KG,47.43,M3,18:15:45
100,8000000085,2024-02-22,09:00:00,WHOUSE02,LF,C00009,C00009,2024-03-01,2024-03-04,2024-03-01,2024-03-01,SP02,R0001,,,,,J,11:00:18,2024-02-23,114.48,5348.09,KG,25.621,M3,15:27:26
100,8000000086,2024-09-08,09:00:00,WHOUSE02,LF,C00004,C00004,2024-10-04,2024-10-06,2024-10-04,2024-10-04,SP01,R0002,,,,,J,10:47:14,2024-09-09,4029.2,1867.81,KG,19.366,M3,03:59:41
100,8000000087,2024-01-07,09:00:00,WHOUSE01,LF,C00002,C00002,2024-01-19,2024-02-13,2024-01-19,2024-01-19,SP02,R0003,,,,,J,13:51:44,2024-01-08,728.48,2276.58,KG,43.571,M3,21:42:35
100,8000000088,2024-09-14,09:00:00,WHOUSE01,LF,C00011,C00011,2024-09-29,2024-09-30,2024-09-29,2024-09-29,SP02,R0003,,,,,J,07:54:10,2024-09-15,2305.06,4132.67,KG,34.454,M3,23:37:19
100,8000000089,2024-09-09,09:00:00,WHOUSE02,LF,C00001,C00001,2024-10-02,2024-10-01,2024-10-02,2024-10-02,SP03,R0002,,,,,J,08:47:36,2024-09-10,3556.32,2714.6,KG,34.793,M3,22:13:57
100,8000000090,2024-09-28,09:00:00,WHOUSE01,LF,C00003,C00003,2024-10-27,2024-11-04,2024-10-27,2024-10-27,SP03,R0004,,,,,J,13:43:17,2024-09-29,2712.08,3003.57,KG,46.18,M3,15:41:02
100,8000000091,2024-04-03,09:00:00,WHOUSE01,LF,C00007,C00007,2024-04-18,2024-05-10,2024-04-18,2024-04-18,SP01,R0004,,,,,J,15:26:42,2024-04-04,1142.66,2891.44,KG,30.3,M3,11:10:25
100,8000000093,2024-09-14,09:00:00,WHOUSE02,LF,C00001,C00001,2024-10-09,2024-10-06,2024-10-09,2024-10-09,SP03,R0002,,,,,J,17:12:38,2024-09-15,2017.13,3534.3,KG,33.084,M3,06:22:04
100,8000000094,2024-09-26,09:00:00,WHOUSE01,LF,C00008,C00008,2024-10-20,2024-10-20,2024-10-20,2024-10-20,SP03,R0003,,,,,J,10:05:15,2024-09-27,4202.28,2185.19,KG,28.742,M3,01:02:53
100,8000000095,2024-09-08,09:00:00,WHOUSE01,LF,C00005,C00005,2024-09-29,2024-09-28,2024-09-29,2024-09-29,SP03,R0002,,,,,J,15:19:38,2024-09-09,1771.18,862.55,KG,23.519,M3,08:24:11
100,8000000096,2024-01-23,09:00:00,WHOUSE02,LF,C00007,C00007,2024-02-16,2024-02-13,2024-02-16,2024-02-16,SP03,R0003,,,,,J,09:48:59,2024-01-24,4709.99,4527.78,KG,4.64,M3,15:29:42
100,8000000097,2024-08-14,09:00:00,WHOUSE02,LF,C00008,C00008,2024-08-23,2024-08-25,2024-08-23,2024-08-23,SP02,R0002,,,,,J,09:42:36,2024-08-15,2111.49,4481.23,KG,24.535,M3,12:50:45
100,8000000098,2024-01-09,09:00:00,WHOUSE01,LF,C00001,C00001,2024-01-16,2024-01-16,2024-01-16,2024-01-16,SP01,R0002,,,,,J,08:06:34,2024-01-10,2094.45,2473.36,KG,17.186,M3,10:28:08
100,8000000099,2024-08-05,09:00:00,WHOUSE01,LF,C00015,C00015,2024-08-26,2024-08-23,2024-08-26,2024-08-26,SP03,R0003,,,,,J,12:12:27,2024-08-06,3669.91,644.49,KG,25.898,M3,10:47:45
100,8000000100,2024-03-19,09:00:00,WHOUSE02,LF,C00015,C00015,2024-03-28,2024-03-25,2024-03-28,2024-03-28,SP01,R0002,,,,,J,11:52:59,2024-03-20,2225.03,5013.9,KG,31.605,M3,13:42:20
100,8000000101,2024-03-17,09:00:00,WHOUSE01,LF,C00008,C00008,2024-04-14,2024-05-02,2024-04-14,2024-04-14,SP03,R0001,,,,,J,06:37:28,2024-03-18,1948.33,1443.02,KG,12.654,M3,18:55:44
100,8000000102,2024-06-05,09:00:00,WHOUSE01,LF,C00004,C00004,2024-07-04,2024-07-14,2024-07-04,2024-07-04,SP03,R0003,,,,,J,12:37:24,2024-06-06,1824.17,1325.09,KG,13.484,M3,05:00:55
100,8000000103,2024-02-21,09:00:00,WHOUSE01,LF,C00005,C00005,2024-03-12,2024-03-09,2024-03-12,2024-03-12,SP02,R0004,,,,,J,16:13:34,2024-02-22,1636.79,3550.44,KG,13.635,M3,05:16:26
100,8000000104,2024-07-29,09:00:00,WHOUSE01,LF,C00002,C00002,2024-08-10,2024-08-15,2024-08-10,2024-08-10,SP03,R0001,,,,,J,13:04:56,2024-07-30,2000.43,3072.57,KG,14.518,M3,02:31:56
100,8000000105,2024-02-02,09:00:00,WHOUSE02,LF,C00004,C00004,2024-03-01,2024-03-04,2024-03-01,2024-03-01,SP02,R0001,,,,,J,12:20:27,2024-02-03,3619.31,300.03,KG,25.725,M3,10:09:02
100,8000000106,2024-03-07,09:00:00,WHOUSE02,LF,C00009,C00009,2024-04-03,2024-04-03,2024-04-03,2024-04-03,SP02,R0002,,,,,J,08:12:12,2024-03-08,1037.52,4637.8,KG,15.721,M3,04:15:32
100,8000000107,2024-01-15,09:00:00,WHOUSE01,LF,C00011,C00011,2024-01-27,2024-01-28,2024-01-27,2024-01-27,SP01,R0003,,,,,J,15:36:51,2024-01-16,1092.63,1249.65,KG,45.3,M3,19:31:17
100,8000000108,2024-03-26,09:00:00,WHOUSE02,LF,C00014,C00014,2024-04-14,2024-05-03,2024-04-14,2024-04-14,SP03,R0003,,,,,J,07:42:25,2024-03-27,962.92,244.66,KG,45.37,M3,06:46:11
100,8000000109,2024-04-05,09:00:00,WHOUSE01,LF,C00011,C00011,2024-04-19,2024-04-20,2024-04-19,2024-04-19,SP03,R0003,,,,,J,09:35:39,2024-04-06,981.06,1213.88,KG,28.344,M3,13:02:49
100,8000000111,2024-06-03,09:00:00,WHOUSE02,LF,C00002,C00002,2024-06-19,2024-06-16,2024-06-19,2024-06-19,SP02,R0004,,,,,J,14:40:21,2024-06-04,4369.29,1288.87,KG,17.491,M3,00:40:23
100,8000000112,2024-09-15,09:00:00,WHOUSE01,LF,C00009,C00009,2024-10-05,2024-10-02,2024-10-05,2024-10-05,SP02,R0003,,,,,J,13:03:00,2024-09-16,3300.04,849.64,KG,15.387,M3,22:21:51
100,8000000113,2024-08-09,09:00:00,WHOUSE02,LF,C00013,C00013,2024-08-21,2024-08-24,2024-08-21,2024-08-21,SP02,R0002,,,,,J,10:07:56,2024-08-10,3098.19,4789.21,KG,41.304,M3,19:23:21
100,8000000114,2024-03-02,09:00:00,WHOUSE02,LF,C00015,C00015,2024-03-10,2024-03-07,2024-03-10,2024-03-10,SP02,R0004,,,,,J,13:01:22,2024-03-03,4502.77,2759.2,KG,25.932,M3,00:06:30
100,8000000116,2024-07-15,09:00:00,WHOUSE02,LF,C00013,C00013,2024-08-13,2024-08-16,2024-08-13,2024-08-13,SP02,R0004,,,,,J,15:48:21,2024-07-16,2745.55,1784.35,KG,20.636,M3,16:12:13
100,8000000118,2024-01-05,09:00:00,WHOUSE02,LF,C00008,C00008,2024-01-31,2024-01-29,2024-01-31,2024-01-31,SP01,R0002,,,,,J,06:08:45,2024-01-06,3822.24,4160.73,KG,13.269,M3,04:21:43
100,8000000119,2024-06-16,09:00:00,WHOUSE02,LF,C00011,C00011,2024-07-11,2024-07-09,2024-07-11,2024-07-11,SP03,R0001,,,,,J,16:06:00,2024-06-17,2046.96,3690.4,KG,21.25,M3,21:54:47
100,8000000120,2024-07-16,09:00:00,WHOUSE01,LF,C00006,C00006,2024-08-15,2024-08-18,2024-08-15,2024-08-15,SP01,R0004,,,,,J,14:04:49,2024-07-17,3223.56,117.68,KG,32.99,M3,23:32:17
