MANDT,VBELN,POSNR,ETENR,ETTYP,EDATU,LDDAT,WMENG,BMENG,OMENG,ROUTE,MEINS,MBDAT
100,1000000036,000010,0001,BE,2024-02-28,2024-02-28,98.0,98.0,98.0,R0001,EA,2024-02-26
100,1000000036,000020,0001,BE,2024-02-28,2024-02-28,73.0,73.0,73.0,R0001,EA,2024-02-26
100,1000000037,000010,0001,BE,2024-05-16,2024-05-16,36.0,36.0,36.0,R0001,EA,2024-05-14
100,1000000038,000010,0001,BE,2024-02-27,2024-02-27,156.0,156.0,156.0,R0001,EA,2024-02-25
100,1000000038,000020,0001,BE,2024-02-27,2024-02-27,36.0,36.0,36.0,R0001,EA,2024-02-25
100,1000000039,000010,0001,BE,2024-02-08,2024-02-08,64.0,64.0,64.0,R0003,EA,2024-02-07
100,1000000040,000010,0001,BE,2024-04-29,2024-04-29,17.0,17.0,17.0,R0001,EA,2024-04-28
100,1000000041,000010,0001,BE,2024-07-30,2024-07-30,176.0,176.0,176.0,R0004,EA,2024-07-28
100,1000000042,000010,0001,BE,2024-07-15,2024-07-15,150.0,150.0,150.0,R0002,EA,2024-07-13
100,1000000043,000010,0001,BE,2024-05-20,2024-05-20,96.0,96.0,96.0,R0003,EA,2024-05-19
100,1000000044,000010,0001,BE,2024-08-11,2024-08-11,29.0,29.0,29.0,R0003,EA,2024-08-10
100,1000000045,000010,0001,BE,2024-10-20,2024-10-20,199.0,199.0,199.0,R0004,EA,2024-10-18
100,1000000046,000010,0001,BE,2024-06-11,2024-06-11,62.0,62.0,62.0,R0002,EA,2024-06-09
100,1000000047,000010,0001,BE,2024-09-11,2024-09-11,178.0,0,178.0,R0002,EA,2024-09-10
100,1000000048,000010,0001,BE,2024-10-15,2024-10-15,118.0,118.0,118.0,R0004,EA,2024-10-12
100,1000000049,000010,0001,BE,2024-03-06,2024-03-06,136.0,136.0,136.0,R0004,EA,2024-03-03
100,1000000050,000010,0001,BE,2024-01-28,2024-01-28,35.0,35.0,35.0,R0004,EA,2024-01-25
100,1000000051,000010,0001,BE,2024-07-01,2024-07-01,95.0,95.0,95.0,R0002,EA,2024-06-30
100,1000000051,000020,0001,BE,2024-07-01,2024-07-01,93.0,93.0,93.0,R0002,EA,2024-06-30
100,1000000052,000010,0001,BE,2024-02-09,2024-02-09,66.0,66.0,66.0,R0001,EA,2024-02-08
100,1000000053,000010,0001,BE,2024-04-28,2024-04-28,23.0,23.0,23.0,R0002,EA,2024-04-25
100,1000000053,000020,0001,BE,2024-04-28,2024-04-28,200.0,200.0,200.0,R0002,EA,2024-04-26
100,1000000054,000010,0001,BE,2024-06-02,2024-06-02,77.0,0,77.0,R0002,EA,2024-06-01
100,1000000055,000010,0001,BE,2024-08-08,2024-08-08,159.0,159.0,159.0,R0001,EA,2024-08-07
100,1000000056,000010,0001,BE,2024-04-18,2024-04-18,8.0,8.0,8.0,R0002,EA,2024-04-17
100,1000000057,000010,0001,BE,2024-03-22,2024-03-22,32.0,32.0,32.0,R0004,EA,2024-03-19
100,1000000058,000010,0001,BE,2024-09-24,2024-09-24,173.0,173.0,173.0,R0001,EA,2024-09-22
100,1000000058,000020,0001,BE,2024-09-24,2024-09-24,25.0,25.0,25.0,R0001,EA,2024-09-21
100,1000000059,000010,0001,BE,2024-05-11,2024-05-11,190.0,190.0,190.0,R0004,EA,2024-05-08
100,1000000059,000020,0001,BE,2024-05-11,2024-05-11,10.0,10.0,10.0,R0004,EA,2024-05-08
100,1000000060,000010,0001,BE,2024-08-25,2024-08-25,66.0,66.0,66.0,R0002,EA,2024-08-24
100,1000000061,000010,0001,BE,2024-06-07,2024-06-07,147.0,147.0,147.0,R0002,EA,2024-06-04
100,1000000062,000010,0001,BE,2024-05-28,2024-05-28,155.0,155.0,155.0,R0004,EA,2024-05-26
100,1000000063,000010,0001,BE,2024-10-14,2024-10-14,36.0,36.0,36.0,R0003,EA,2024-10-12
100,1000000064,000010,0001,BE,2024-04-14,2024-04-14,12.0,12.0,12.0,R0001,EA,2024-04-12
100,1000000065,000010,0001,BE,2024-07-25,2024-07-25,35.0,35.0,35.0,R0003,EA,2024-07-23
100,1000000065,000020,0001,BE,2024-07-25,2024-07-25,178.0,178.0,178.0,R0003,EA,2024-07-22
100,1000000066,000010,0001,BE,2024-04-26,2024-04-26,129.0,129.0,129.0,R0003,EA,2024-04-24
100,1000000066,000020,0001,BE,2024-04-26,2024-04-26,68.0,68.0,68.0,R0003,EA,2024-04-24
100,1000000067,000010,0001,BE,2024-07-13,2024-07-13,53.0,53.0,53.0,R0004,EA,2024-07-10
100,1000000068,000010,0001,BE,2024-01-28,2024-01-28,132.0,132.0,132.0,R0001,EA,2024-01-25
100,1000000069,000010,0001,BE,2024-03-02,2024-03-02,45.0,45.0,45.0,R0003,EA,2024-03-01
100,1000000069,000020,0001,BE,2024-03-02,2024-03-02,180.0,180.0,180.0,R0003,EA,2024-02-28
100,1000000070,000010,0001,BE,2024-10-02,2024-10-02,23.0,23.0,23.0,R0001,EA,2024-09-29
100,1000000071,000010,0001,BE,2024-03-07,2024-03-07,125.0,125.0,125.0,R0004,EA,2024-03-06
100,1000000072,000010,0001,BE,2024-06-21,2024-06-21,149.0,149.0,149.0,R0004,EA,2024-06-20
100,1000000073,000010,0001,BE,2024-08-01,2024-08-01,83.0,83.0,83.0,R0004,EA,2024-07-29
100,1000000074,000010,0001,BE,2024-05-25,2024-05-25,181.0,181.0,181.0,R0002,EA,2024-05-24
100,1000000075,000010,0001,BE,2024-06-28,2024-06-28,44.0,44.0,44.0,R0003,EA,2024-06-26
100,1000000076,000010,0001,BE,2024-04-23,2024-04-23,135.0,135.0,135.0,R0004,EA,2024-04-20
100,1000000077,000010,0001,BE,2024-03-21,2024-03-21,23.0,23.0,23.0,R0002,EA,2024-03-20
100,1000000078,000010,0001,BE,2024-09-06,2024-09-06,89.0,89.0,89.0,R0003,EA,2024-09-05
100,1000000079,000010,0001,BE,2024-04-06,2024-04-06,97.0,97.0,97.0,R0003,EA,2024-04-05
100,1000000080,000010,0001,BE,2024-05-25,2024-05-25,4.0,4.0,4.0,R0001,EA,2024-05-24
100,1000000081,000010,0001,BE,2024-02-13,2024-02-13,28.0,28.0,28.0,R0004,EA,2024-02-10
100,1000000081,000020,0001,BE,2024-02-13,2024-02-13,41.0,41.0,41.0,R0004,EA,2024-02-12
100,1000000082,000010,0001,BE,2024-03-12,2024-03-12,195.0,195.0,195.0,R0003,EA,2024-03-11
100,1000000083,000010,0001,BE,2024-09-22,2024-09-22,104.0,104.0,104.0,R0001,EA,2024-09-21
100,1000000084,000010,0001,BE,2024-03-15,2024-03-15,157.0,157.0,157.0,R0002,EA,2024-03-13
100,1000000084,000020,0001,BE,2024-03-15,2024-03-15,161.0,161.0,161.0,R0002,EA,2024-03-13
100,1000000085,000010,0001,BE,2024-03-14,2024-03-14,163.0,163.0,163.0,R0001,EA,2024-03-11
100,1000000086,000010,0001,BE,2024-09-30,2024-09-30,112.0,112.0,112.0,R0002,EA,2024-09-27
100,1000000086,000020,0001,BE,2024-09-30,2024-09-30,178.0,178.0,178.0,R0002,EA,2024-09-28
100,1000000087,000010,0001,BE,2024-01-21,2024-01-21,48.0,48.0,48.0,R0003,EA,2024-01-19
100,1000000088,000010,0001,BE,2024-10-04,2024-10-04,176.0,176.0,176.0,R0003,EA,2024-10-03
100,1000000088,000020,0001,BE,2024-10-04,2024-10-04,46.0,46.0,46.0,R0003,EA,2024-10-03
100,1000000089,000010,0001,BE,2024-10-13,2024-10-13,191.0,191.0,191.0,R0002,EA,2024-10-11
100,1000000090,000010,0001,BE,2024-10-09,2024-10-09,112.0,112.0,112.0,R0004,EA,2024-10-06
100,1000000091,000010,0001,BE,2024-04-12,2024-04-12,185.0,185.0,185.0,R0004,EA,2024-04-10
100,1000000091,000020,0001,BE,2024-04-12,2024-04-12,187.0,187.0,187.0,R0004,EA,2024-04-09
100,1000000092,000010,0001,BE,2024-08-19,2024-08-19,1.0,0,1.0,R0001,EA,2024-08-17
100,1000000093,000010,0001,BE,2024-10-02,2024-10-02,112.0,112.0,112.0,R0002,EA,2024-10-01
100,1000000094,000010,0001,BE,2024-10-28,2024-10-28,41.0,41.0,41.0,R0003,EA,2024-10-25
100,1000000094,000020,0001,BE,2024-10-28,2024-10-28,30.0,30.0,30.0,R0003,EA,2024-10-27
100,1000000095,000010,0001,BE,2024-09-25,2024-09-25,81.0,81.0,81.0,R0002,EA,2024-09-23
100,1000000096,000010,0001,BE,2024-02-05,2024-02-05,105.0,105.0,105.0,R0003,EA,2024-02-02
100,1000000096,000020,0001,BE,2024-02-05,2024-02-05,43.0,43.0,43.0,R0003,EA,2024-02-02
100,1000000097,000010,0001,BE,2024-09-18,2024-09-18,137.0,137.0,137.0,R0002,EA,2024-09-15
100,1000000098,000010,0001,BE,2024-02-11,2024-02-11,174.0,174.0,174.0,R0002,EA,2024-02-10
100,1000000099,000010,0001,BE,2024-08-21,2024-08-21,137.0,137.0,137.0,R0003,EA,2024-08-19
100,1000000099,000020,0001,BE,2024-08-21,2024-08-21,115.0,115.0,115.0,R0003,EA,2024-08-20
100,1000000100,000010,0001,BE,2024-04-21,2024-04-21,127.0,127.0,127.0,R0002,EA,2024-04-18
100,1000000101,000010,0001,BE,2024-03-29,2024-03-29,17.0,17.0,17.0,R0001,EA,2024-03-28
100,1000000102,000010,0001,BE,2024-06-17,2024-06-17,112.0,112.0,112.0,R0003,EA,2024-06-14
100,1000000102,000020,0001,BE,2024-06-17,2024-06-17,159.0,159.0,159.0,R0003,EA,2024-06-16
100,1000000103,000010,0001,BE,2024-03-04,2024-03-04,4.0,4.0,4.0,R0004,EA,2024-03-02
100,1000000104,000010,0001,BE,2024-08-13,2024-08-13,180.0,180.0,180.0,R0001,EA,2024-08-12
100,1000000105,000010,0001,BE,2024-02-10,2024-02-10,115.0,115.0,115.0,R0001,EA,2024-02-09
100,1000000106,000010,0001,BE,2024-03-15,2024-03-15,178.0,178.0,178.0,R0002,EA,2024-03-14
100,1000000106,000020,0001,BE,2024-03-15,2024-03-15,16.0,16.0,16.0,R0002,EA,2024-03-14
100,1000000107,000010,0001,BE,2024-02-11,2024-02-11,153.0,153.0,153.0,R0003,EA,2024-02-09
100,1000000108,000010,0001,BE,2024-04-30,2024-04-30,115.0,115.0,115.0,R0003,EA,2024-04-27
100,1000000109,000010,0001,BE,2024-04-25,2024-04-25,192.0,192.0,192.0,R0003,EA,2024-04-22
100,1000000110,000010,0001,BE,2024-07-16,2024-07-16,60.0,0,60.0,R0001,EA,2024-07-13
100,1000000111,000010,0001,BE,2024-06-12,2024-06-12,26.0,26.0,26.0,R0004,EA,2024-06-10
100,1000000112,000010,0001,BE,2024-10-19,2024-10-19,146.0,146.0,146.0,R0003,EA,2024-10-17
100,1000000113,000010,0001,BE,2024-08-31,2024-08-31,137.0,137.0,137.0,R0002,EA,2024-08-30
100,1000000114,000010,0001,BE,2024-03-31,2024-03-31,143.0,143.0,143.0,R0004,EA,2024-03-29
100,1000000115,000010,0001,BE,2024-08-13,2024-08-13,73.0,0,73.0,R0002,EA,2024-08-10
100,1000000116,000010,0001,BE,2024-08-01,2024-08-01,56.0,56.0,56.0,R0004,EA,2024-07-30
100,1000000117,000010,0001,BE,2024-02-17,2024-02-17,118.0,0,118.0,R0003,EA,2024-02-14
100,1000000117,000020,0001,BE,2024-02-17,2024-02-17,82.0,0,82.0,R0003,EA,2024-02-15
100,1000000118,000010,0001,BE,2024-02-05,2024-02-05,23.0,23.0,23.0,R0002,EA,2024-02-03
100,1000000119,000010,0001,BE,2024-07-16,2024-07-16,42.0,42.0,42.0,R0001,EA,2024-07-13
100,1000000120,000010,0001,BE,2024-07-31,2024-07-31,68.0,68.0,68.0,R0004,EA,2024-07-28
100,1000000121,000010,0001,BE,2024-09-01,2024-09-01,120.0,120.0,120.0,R0002,EA,2024-08-30
100,1000000122,000010,0001,BE,2024-04-28,2024-04-28,59.0,59.0,59.0,R0001,EA,2024-04-26
100,1000000122,000020,0001,BE,2024-04-28,2024-04-28,35.0,35.0,35.0,R0001,EA,2024-04-27
100,1000000123,000010,0001,BE,2024-04-11,2024-04-11,99.0,99.0,99.0,R0003,EA,2024-04-08
100,1000000124,000010,0001,BE,2024-06-12,2024-06-12,107.0,107.0,107.0,R0004,EA,2024-06-11
100,1000000125,000010,0001,BE,2024-07-01,2024-07-01,101.0,101.0,101.0,R0001,EA,2024-06-29
100,1000000126,000010,0001,BE,2024-07-16,2024-07-16,71.0,71.0,71.0,R0003,EA,2024-07-13
100,1000000127,000010,0001,BE,2024-09-03,2024-09-03,106.0,106.0,106.0,R0004,EA,2024-09-01
100,1000000128,000010,0001,BE,2024-05-15,2024-05-15,89.0,89.0,89.0,R0001,EA,2024-05-12
100,1000000128,000020,0001,BE,2024-05-15,2024-05-15,89.0,89.0,89.0,R0001,EA,2024-05-13
100,1000000129,000010,0001,BE,2024-09-18,2024-09-18,145.0,145.0,145.0,R0002,EA,2024-09-17
100,1000000130,000010,0001,BE,2024-07-30,2024-07-30,185.0,185.0,185.0,R0004,EA,2024-07-29
100,1000000131,000010,0001,BE,2024-08-07,2024-08-07,169.0,169.0,169.0,R0002,EA,2024-08-06
100,1000000132,000010,0001,BE,2024-10-02,2024-10-02,134.0,134.0,134.0,R0001,EA,2024-09-29
100,1000000133,000010,0001,BE,2024-05-10,2024-05-10,66.0,66.0,66.0,R0001,EA,2024-05-07
100,1000000133,000020,0001,BE,2024-05-10,2024-05-10,83.0,83.0,83.0,R0001,EA,2024-05-07
100,1000000134,000010,0001,BE,2024-06-11,2024-06-11,22.0,22.0,22.0,R0002,EA,2024-06-10
100,1000000135,000010,0001,BE,2024-09-02,2024-09-02,103.0,103.0,103.0,R0001,EA,2024-08-30
100,1000000135,000020,0001,BE,2024-09-02,2024-09-02,99.0,99.0,99.0,R0001,EA,2024-08-31
100,1000000136,000010,0001,BE,2024-06-09,2024-06-09,44.0,44.0,44.0,R0004,EA,2024-06-06
100,1000000137,000010,0001,BE,2024-04-25,2024-04-25,171.0,171.0,171.0,R0003,EA,2024-04-24
100,1000000138,000010,0001,BE,2024-07-18,2024-07-18,186.0,186.0,186.0,R0003,EA,2024-07-17
100,1000000139,000010,0001,BE,2024-08-10,2024-08-10,57.0,57.0,57.0,R0003,EA,2024-08-08
100,1000000140,000010,0001,BE,2024-06-27,2024-06-27,194.0,194.0,194.0,R0004,EA,2024-06-24
100,1000000140,000020,0001,BE,2024-06-27,2024-06-27,3.0,3.0,3.0,R0004,EA,2024-06-24
100,1000000141,000010,0001,BE,2024-02-07,2024-02-07,91.0,91.0,91.0,R0001,EA,2024-02-05
100,1000000142,000010,0001,BE,2024-03-30,2024-03-30,124.0,124.0,124.0,R0001,EA,2024-03-28
100,1000000143,000010,0001,BE,2024-07-12,2024-07-12,159.0,159.0,159.0,R0001,EA,2024-07-11
100,1000000144,000010,0001,BE,2024-06-16,2024-06-16,79.0,79.0,79.0,R0003,EA,2024-06-13
100,1000000145,000010,0001,BE,2024-08-26,2024-08-26,13.0,13.0,13.0,R0003,EA,2024-08-24
100,1000000146,000010,0001,BE,2024-08-17,2024-08-17,100.0,100.0,100.0,R0003,EA,2024-08-14
100,1000000147,000010,0001,BE,2024-08-02,2024-08-02,123.0,123.0,123.0,R0001,EA,2024-07-31
100,1000000147,000020,0001,BE,2024-08-02,2024-08-02,90.0,90.0,90.0,R0001,EA,2024-08-01
100,1000000148,000010,0001,BE,2024-04-16,2024-04-16,123.0,123.0,123.0,R0002,EA,2024-04-14
100,1000000149,000010,0001,BE,2024-08-19,2024-08-19,41.0,41.0,41.0,R0001,EA,2024-08-17
100,1000000149,000020,0001,BE,2024-08-19,2024-08-19,119.0,119.0,119.0,R0001,EA,2024-08-17
100,1000000150,000010,0001,BE,2024-08-28,2024-08-28,82.0,82.0,82.0,R0001,EA,2024-08-26
100,1000000151,000010,0001,BE,2024-06-27,2024-06-27,167.0,167.0,167.0,R0003,EA,2024-06-25
100,1000000151,000020,0001,BE,2024-06-27,2024-06-27,3.0,3.0,3.0,R0003,EA,2024-06-24
100,1000000152,000010,0001,BE,2024-07-12,2024-07-12,127.0,127.0,127.0,R0001,EA,2024-07-11
100,1000000153,000010,0001,BE,2024-03-15,2024-03-15,174.0,174.0,174.0,R0001,EA,2024-03-14
100,1000000153,000020,0001,BE,2024-03-15,2024-03-15,191.0,191.0,191.0,R0001,EA,2024-03-13
100,1000000154,000010,0001,BE,2024-08-26,2024-08-26,149.0,149.0,149.0,R0004,EA,2024-08-24
100,1000000155,000010,0001,BE,2024-08-06,2024-08-06,66.0,66.0,66.0,R0004,EA,2024-08-03
100,1000000156,000010,0001,BE,2024-05-08,2024-05-08,168.0,168.0,168.0,R0002,EA,2024-05-06
100,1000000157,000010,0001,BE,2024-07-20,2024-07-20,190.0,190.0,190.0,R0003,EA,2024-07-18
100,1000000157,000020,0001,BE,2024-07-20,2024-07-20,111.0,111.0,111.0,R0003,EA,2024-07-17
100,1000000158,000010,0001,BE,2024-05-10,2024-05-10,174.0,174.0,174.0,R0004,EA,2024-05-08
100,1000000159,000010,0001,BE,2024-04-05,2024-04-05,195.0,0,195.0,R0004,EA,2024-04-02
100,1000000160,000010,0001,BE,2024-10-06,2024-10-06,66.0,66.0,66.0,R0004,EA,2024-10-05
100,1000000161,000010,0001,BE,2024-05-06,2024-05-06,41.0,41.0,41.0,R0002,EA,2024-05-04
100,1000000162,000010,0001,BE,2024-07-07,2024-07-07,178.0,178.0,178.0,R0002,EA,2024-07-06
100,1000000163,000010,0001,BE,2024-10-03,2024-10-03,168.0,168.0,168.0,R0004,EA,2024-10-01
100,1000000163,000020,0001,BE,2024-10-03,2024-10-03,48.0,48.0,48.0,R0004,EA,2024-10-01
100,1000000164,000010,0001,BE,2024-01-25,2024-01-25,42.0,42.0,42.0,R0003,EA,2024-01-23
100,1000000165,000010,0001,BE,2024-07-15,2024-07-15,35.0,35.0,35.0,R0004,EA,2024-07-14
100,1000000166,000010,0001,BE,2024-07-19,2024-07-19,48.0,48.0,48.0,R0004,EA,2024-07-17
100,1000000167,000010,0001,BE,2024-05-01,2024-05-01,197.0,197.0,197.0,R0004,EA,2024-04-28
100,1000000168,000010,0001,BE,2024-04-05,2024-04-05,69.0,69.0,69.0,R0002,EA,2024-04-04
100,1000000168,000020,0001,BE,2024-04-05,2024-04-05,92.0,92.0,92.0,R0002,EA,2024-04-02
100,1000000169,000010,0001,BE,2024-03-13,2024-03-13,52.0,52.0,52.0,R0004,EA,2024-03-10
100,1000000170,000010,0001,BE,2024-04-05,2024-04-05,52.0,52.0,52.0,R0003,EA,2024-04-03
100,1000000171,000010,0001,BE,2024-03-07,2024-03-07,2.0,2.0,2.0,R0003,EA,2024-03-05
100,1000000171,000020,0001,BE,2024-03-07,2024-03-07,39.0,39.0,39.0,R0003,EA,2024-03-06
100,1000000172,000010,0001,BE,2024-05-19,2024-05-19,5.0,0,5.0,R0003,EA,2024-05-18
100,1000000173,000010,0001,BE,2024-07-25,2024-07-25,53.0,53.0,53.0,R0003,EA,2024-07-22
100,1000000174,000010,0001,BE,2024-05-02,2024-05-02,112.0,112.0,112.0,R0003,EA,2024-04-30
100,1000000175,000010,0001,BE,2024-02-12,2024-02-12,24.0,24.0,24.0,R0004,EA,2024-02-09
100,1000000175,000020,0001,BE,2024-02-12,2024-02-12,26.0,26.0,26.0,R0004,EA,2024-02-10
100,1000000176,000010,0001,BE,2024-08-24,2024-08-24,28.0,28.0,28.0,R0002,EA,2024-08-21
100,1000000177,000010,0001,BE,2024-07-03,2024-07-03,159.0,159.0,159.0,R0003,EA,2024-07-01
100,1000000178,000010,0001,BE,2024-04-13,2024-04-13,124.0,124.0,124.0,R0004,EA,2024-04-12
100,1000000179,000010,0001,BE,2024-08-12,2024-08-12,141.0,141.0,141.0,R0003,EA,2024-08-11
100,1000000180,000010,0001,BE,2024-06-04,2024-06-04,180.0,180.0,180.0,R0003,EA,2024-06-02
100,1000000181,000010,0001,BE,2024-06-28,2024-06-28,62.0,62.0,62.0,R0003,EA,2024-06-25
100,1000000182,000010,0001,BE,2024-05-01,2024-05-01,24.0,24.0,24.0,R0003,EA,2024-04-30
100,1000000183,000010,0001,BE,2024-07-17,2024-07-17,1.0,1.0,1.0,R0004,EA,2024-07-15
100,1000000184,000010,0001,BE,2024-10-28,2024-10-28,81.0,81.0,81.0,R0004,EA,2024-10-26
100,1000000184,000020,0001,BE,2024-10-28,2024-10-28,200.0,200.0,200.0,R0004,EA,2024-10-25
100,1000000185,000010,0001,BE,2024-05-24,2024-05-24,130.0,130.0,130.0,R0001,EA,2024-05-22
100,1000000186,000010,0001,BE,2024-06-01,2024-06-01,174.0,174.0,174.0,R0001,EA,2024-05-31
100,1000000187,000010,0001,BE,2024-05-17,2024-05-17,68.0,68.0,68.0,R0003,EA,2024-05-16
100,1000000188,000010,0001,BE,2024-07-01,2024-07-01,124.0,124.0,124.0,R0001,EA,2024-06-28
100,1000000189,000010,0001,BE,2024-09-02,2024-09-02,108.0,0,108.0,R0002,EA,2024-08-30
100,1000000189,000020,0001,BE,2024-09-02,2024-09-02,49.0,0,49.0,R0002,EA,2024-09-01
100,1000000190,000010,0001,BE,2024-04-16,2024-04-16,20.0,0,20.0,R0001,EA,2024-04-13
100,1000000191,000010,0001,BE,2024-05-01,2024-05-01,123.0,123.0,123.0,R0001,EA,2024-04-30
100,1000000192,000010,0001,BE,2024-05-31,2024-05-31,132.0,132.0,132.0,R0001,EA,2024-05-29
100,1000000193,000010,0001,BE,2024-10-18,2024-10-18,49.0,0,49.0,R0001,EA,2024-10-15
100,1000000194,000010,0001,BE,2024-06-18,2024-06-18,105.0,105.0,105.0,R0002,EA,2024-06-17
100,1000000195,000010,0001,BE,2024-05-21,2024-05-21,58.0,58.0,58.0,R0001,EA,2024-05-18
100,1000000195,000020,0001,BE,2024-05-21,2024-05-21,79.0,79.0,79.0,R0001,EA,2024-05-19
100,1000000196,000010,0001,BE,2024-05-17,2024-05-17,39.0,39.0,39.0,R0003,EA,2024-05-16
100,1000000197,000010,0001,BE,2024-07-14,2024-07-14,74.0,0,74.0,R0003,EA,2024-07-13
100,1000000198,000010,0001,BE,2024-09-14,2024-09-14,84.0,84.0,84.0,R0001,EA,2024-09-13
100,1000000199,000010,0001,BE,2024-03-29,2024-03-29,63.0,63.0,63.0,R0003,EA,2024-03-27
100,1000000199,000020,0001,BE,2024-03-29,2024-03-29,105.0,105.0,105.0,R0003,EA,2024-03-28
100,1000000200,000010,0001,BE,2024-03-04,2024-03-04,66.0,66.0,66.0,R0004,EA,2024-03-01
100,1000000201,000010,0001,BE,2024-09-27,2024-09-27,56.0,56.0,56.0,R0004,EA,2024-09-26
