MANDT,VBELN,POSNR,GBSTA,LFSTA,FKSTA,WBSTA,KOSTA
100,1000000161,000010,C,C,C,,
100,1000000162,000010,C,C,C,,
100,1000000163,000010,C,C,C,,
100,1000000163,000020,C,C,C,,
100,1000000164,000010,C,C,C,,
100,1000000165,000010,C,C,C,,
100,1000000166,000010,C,C,C,,
100,1000000167,000010,C,C,C,,
100,1000000168,000010,C,C,C,,
100,1000000168,000020,C,C,C,,
100,1000000169,000010,C,C,C,,
100,1000000170,000010,C,C,C,,
100,1000000171,000010,C,C,C,,
100,1000000171,000020,C,C,C,,
100,1000000172,000010,C,A,A,,
100,1000000173,000010,C,C,C,,
100,1000000174,000010,C,C,C,,
100,1000000175,000010,C,C,C,,
100,1000000175,000020,C,C,C,,
100,1000000176,000010,B,C,A,,
100,1000000177,000010,C,C,C,,
100,1000000178,000010,C,C,C,,
100,1000000179,000010,C,C,C,,
100,1000000180,000010,C,C,C,,
100,1000000181,000010,C,C,C,,
100,1000000182,000010,C,C,C,,
100,1000000183,000010,C,C,C,,
100,1000000184,000010,C,C,C,,
100,1000000184,000020,C,C,C,,
100,1000000185,000010,C,C,C,,
100,1000000186,000010,C,C,C,,
100,1000000187,000010,C,C,C,,
100,1000000188,000010,C,C,C,,
100,1000000189,000010,C,A,A,,
100,1000000189,000020,C,A,A,,
100,1000000190,000010,C,A,A,,
100,1000000191,000010,C,C,C,,
100,1000000192,000010,C,C,C,,
100,1000000193,000010,C,A,A,,
100,1000000194,000010,C,C,C,,
100,1000000195,000010,C,C,C,,
100,1000000195,000020,C,C,C,,
100,1000000196,000010,C,C,C,,
100,1000000197,000010,C,A,A,,
100,1000000198,000010,C,C,C,,
100,1000000199,000010,C,C,C,,
100,1000000199,000020,C,C,C,,
100,1000000200,000010,C,C,C,,
100,1000000201,000010,C,C,C,,
100,1000000202,000010,C,C,C,,
100,1000000202,000020,C,C,C,,
100,1000000203,000010,C,C,C,,
100,1000000203,000020,C,C,C,,
100,1000000204,000010,C,A,A,,
100,1000000204,000020,C,A,A,,
100,1000000205,000010,C,C,C,,
100,1000000206,000010,C,C,C,,
100,1000000207,000010,C,C,C,,
100,1000000208,000010,C,C,C,,
100,1000000209,000010,B,C,A,,
100,1000000210,000010,C,C,C,,
100,1000000211,000010,C,C,C,,
100,1000000211,000020,C,C,C,,
100,1000000212,000010,C,A,A,,
100,1000000213,000010,B,C,A,,
100,1000000213,000020,B,C,A,,
100,1000000214,000010,C,C,C,,
100,1000000214,000020,C,C,C,,
100,1000000215,000010,C,C,C,,
100,1000000216,000010,C,C,C,,
100,1000000217,000010,C,C,C,,
100,1000000218,000010,C,C,C,,
100,1000000219,000010,C,C,C,,
100,1000000220,000010,C,C,C,,
100,1000000221,000010,C,C,C,,
100,1000000222,000010,C,C,C,,
100,1000000223,000010,C,C,C,,
100,1000000224,000010,C,C,C,,
100,1000000224,000020,C,C,C,,
100,1000000225,000010,C,C,C,,
100,1000000226,000010,C,C,C,,
100,1000000227,000010,C,A,A,,
100,1000000228,000010,C,C,C,,
100,1000000228,000020,C,C,C,,
100,1000000229,000010,C,C,C,,
100,1000000230,000010,C,C,C,,
100,1000000231,000010,C,C,C,,
100,1000000232,000010,C,C,C,,
100,1000000233,000010,C,C,C,,
100,1000000234,000010,C,C,C,,
100,1000000235,000010,C,C,C,,
100,1000000235,000020,C,C,C,,
100,1000000236,000010,C,C,C,,
100,1000000237,000010,C,C,C,,
100,1000000237,000020,C,C,C,,
100,1000000238,000010,C,C,C,,
100,1000000239,000010,C,C,C,,
100,1000000239,000020,C,C,C,,
100,1000000240,000010,C,C,C,,
100,1000000241,000010,C,C,C,,
100,1000000242,000010,C,C,C,,
100,1000000243,000010,C,C,C,,
100,1000000243,000020,C,C,C,,
100,1000000244,000010,C,C,C,,
100,1000000245,000010,C,C,C,,
100,1000000245,000020,C,C,C,,
100,1000000246,000010,C,C,C,,
100,1000000247,000010,C,C,C,,
100,1000000248,000010,C,C,C,,
100,1000000249,000010,C,C,C,,
100,1000000250,000010,C,C,C,,
100,1000000251,000010,C,C,C,,
100,1000000252,000010,C,C,C,,
100,1000000252,000020,C,C,C,,
100,1000000253,000010,C,C,C,,
100,1000000254,000010,C,C,C,,
100,1000000255,000010,C,C,C,,
100,1000000256,000010,B,C,A,,
100,1000000257,000010,C,C,C,,
100,1000000258,000010,C,C,C,,
100,1000000259,000010,C,C,C,,
100,1000000260,000010,C,C,C,,
100,1000000261,000010,B,C,A,,
100,1000000261,000020,B,C,A,,
100,1000000262,000010,C,C,C,,
100,1000000263,000010,C,C,C,,
100,1000000264,000010,C,C,C,,
100,1000000265,000010,C,C,C,,
100,1000000266,000010,C,C,C,,
100,1000000267,000010,B,C,A,,
100,1000000267,000020,B,C,A,,
100,1000000268,000010,C,C,C,,
100,1000000269,000010,C,C,C,,
100,1000000270,000010,C,C,C,,
100,1000000271,000010,C,C,C,,
100,1000000271,000020,C,C,C,,
100,1000000272,000010,B,C,A,,
100,1000000272,000020,B,C,A,,
100,1000000273,000010,C,A,A,,
100,1000000274,000010,C,C,C,,
100,1000000275,000010,C,C,C,,
100,1000000276,000010,C,C,C,,
100,1000000277,000010,C,C,C,,
100,1000000278,000010,C,C,C,,
100,1000000279,000010,C,C,C,,
100,1000000280,000010,C,C,C,,
100,1000000281,000010,C,C,C,,
100,1000000282,000010,C,C,C,,
100,1000000283,000010,C,C,C,,
100,1000000284,000010,C,C,C,,
100,1000000284,000020,C,C,C,,
100,1000000285,000010,C,C,C,,
100,1000000285,000020,C,C,C,,
100,1000000286,000010,C,C,C,,
100,1000000286,000020,C,C,C,,
100,1000000287,000010,C,C,C,,
100,1000000287,000020,C,C,C,,
100,1000000288,000010,C,C,C,,
100,1000000289,000010,C,C,C,,
100,1000000290,000010,C,C,C,,
100,1000000291,000010,C,C,C,,
100,1000000291,000020,C,C,C,,
100,1000000292,000010,C,C,C,,
100,1000000293,000010,C,C,C,,
100,1000000293,000020,C,C,C,,
100,1000000294,000010,C,C,C,,
100,1000000294,000020,C,C,C,,
100,1000000295,000010,C,C,C,,
100,1000000296,000010,C,C,C,,
100,1000000297,000010,C,C,C,,
100,1000000297,000020,C,C,C,,
100,1000000298,000010,C,C,C,,
100,1000000298,000020,C,C,C,,
100,1000000299,000010,C,C,C,,
100,1000000300,000010,C,C,C,,
100,1000000301,000010,C,C,C,,
100,1000000301,000020,C,C,C,,
100,1000000302,000010,C,C,C,,
100,1000000303,000010,C,C,C,,
100,1000000304,000010,C,C,C,,
100,1000000305,000010,C,C,C,,
100,1000000306,000010,C,C,C,,
100,1000000307,000010,C,C,C,,
100,1000000308,000010,C,C,C,,
100,1000000309,000010,C,C,C,,
100,1000000310,000010,C,C,C,,
100,1000000310,000020,C,C,C,,
100,1000000311,000010,C,C,C,,
100,1000000312,000010,C,C,C,,
100,1000000313,000010,C,C,C,,
100,1000000314,000010,C,C,C,,
100,1000000315,000010,C,C,C,,
100,1000000316,000010,C,C,C,,
100,1000000317,000010,C,C,C,,
100,1000000317,000020,C,C,C,,
100,1000000318,000010,C,C,C,,
100,1000000319,000010,C,C,C,,
100,1000000320,000010,C,C,C,,
100,1000000320,000020,C,C,C,,
100,1000000321,000010,C,C,C,,
100,1000000322,000010,C,C,C,,
100,1000000323,000010,C,C,C,,
100,1000000323,000020,C,C,C,,
100,1000000324,000010,C,C,C,,
100,1000000324,000020,C,C,C,,
100,1000000325,000010,C,C,C,,
100,1000000326,000010,C,C,C,,
100,1000000327,000010,B,C,A,,
100,1000000328,000010,C,C,C,,
100,1000000329,000010,C,C,C,,
100,1000000330,000010,C,C,C,,
100,1000000331,000010,C,C,C,,
100,1000000332,000010,C,C,C,,
100,1000000333,000010,C,C,C,,
100,1000000334,000010,C,A,A,,
100,1000000335,000010,C,A,A,,
100,1000000335,000020,C,A,A,,
100,1000000336,000010,B,C,A,,
100,1000000337,000010,C,C,C,,
100,1000000338,000010,C,C,C,,
100,1000000339,000010,C,C,C,,
100,1000000340,000010,B,C,A,,
100,1000000340,000020,B,C,A,,
100,1000000341,000010,B,C,A,,
100,1000000342,000010,C,C,C,,
100,1000000343,000010,C,C,C,,
100,1000000344,000010,B,C,A,,
100,1000000345,000010,C,C,C,,
100,1000000346,000010,C,C,C,,
100,1000000347,000010,C,C,C,,
100,1000000348,000010,C,C,C,,
100,1000000348,000020,C,C,C,,
100,1000000349,000010,C,C,C,,
100,1000000350,000010,C,C,C,,
100,1000000351,000010,C,C,C,,
100,1000000352,000010,C,C,C,,
100,1000000353,000010,C,C,C,,
100,1000000354,000010,C,C,C,,
100,1000000355,000010,C,C,C,,
100,1000000355,000020,C,C,C,,
100,1000000356,000010,C,C,C,,
100,1000000356,000020,C,C,C,,
100,1000000357,000010,C,C,C,,
100,1000000358,000010,C,C,C,,
100,1000000358,000020,C,C,C,,
100,1000000359,000010,C,C,C,,
100,1000000359,000020,C,C,C,,
100,1000000360,000010,C,C,C,,
100,1000000361,000010,B,C,A,,
100,1000000362,000010,C,C,C,,
100,1000000363,000010,C,C,C,,
100,1000000363,000020,C,C,C,,
100,1000000364,000010,C,C,C,,
100,1000000365,000010,C,C,C,,
100,1000000366,000010,C,C,C,,
100,1000000366,000020,C,C,C,,
100,1000000367,000010,C,C,C,,
100,1000000368,000010,C,A,A,,
100,1000000369,000010,C,A,A,,
100,1000000370,000010,C,C,C,,
100,1000000371,000010,C,C,C,,
100,1000000372,000010,C,C,C,,
100,1000000373,000010,C,C,C,,
100,1000000374,000010,C,C,C,,
100,1000000375,000010,C,C,C,,
100,1000000375,000020,C,C,C,,
100,1000000376,000010,C,C,C,,
100,1000000377,000010,C,C,C,,
100,1000000378,000010,B,C,A,,
100,1000000378,000020,B,C,A,,
100,1000000379,000010,C,C,C,,
100,1000000380,000010,B,C,A,,
100,1000000381,000010,C,C,C,,
100,1000000382,000010,B,C,A,,
100,1000000383,000010,B,C,A,,
100,1000000384,000010,C,C,C,,
100,1000000385,000010,B,C,A,,
100,1000000386,000010,C,C,C,,
100,1000000386,000020,C,C,C,,
100,1000000387,000010,C,C,C,,
100,1000000387,000020,C,C,C,,
100,1000000388,000010,C,C,C,,
100,1000000389,000010,C,C,C,,
100,1000000390,000010,C,C,C,,
100,1000000391,000010,C,C,C,,
100,1000000391,000020,C,C,C,,
100,1000000392,000010,C,C,C,,
100,1000000393,000010,C,C,C,,
100,1000000393,000020,C,C,C,,
100,1000000394,000010,C,A,A,,
100,1000000395,000010,C,C,C,,
100,1000000396,000010,C,C,C,,
100,1000000397,000010,C,C,C,,
100,1000000397,000020,C,C,C,,
100,1000000398,000010,C,C,C,,
100,1000000399,000010,C,C,C,,
100,1000000400,000010,C,C,C,,
100,1000000401,000010,B,C,A,,
100,1000000402,000010,C,C,C,,
100,1000000403,000010,C,C,C,,
100,1000000404,000010,B,C,A,,
100,1000000404,000020,B,C,A,,
100,1000000405,000010,C,C,C,,
100,1000000406,000010,C,C,C,,
100,1000000406,000020,C,C,C,,
100,1000000407,000010,C,C,C,,
100,1000000407,000020,C,C,C,,
100,1000000408,000010,C,C,C,,
100,1000000409,000010,C,C,C,,
100,1000000410,000010,C,C,C,,
100,1000000411,000010,C,C,C,,
100,1000000412,000010,B,C,A,,
100,1000000412,000020,B,C,A,,
100,1000000413,000010,C,C,C,,
100,1000000414,000010,C,C,C,,
100,1000000415,000010,C,A,A,,
100,1000000416,000010,C,A,A,,
100,1000000417,000010,C,C,C,,
100,1000000418,000010,C,C,C,,
100,1000000419,000010,C,C,C,,
100,1000000420,000010,C,C,C,,
100,1000000421,000010,C,A,A,,
100,1000000422,000010,C,C,C,,
100,1000000423,000010,C,C,C,,
100,1000000423,000020,C,C,C,,
100,1000000424,000010,C,C,C,,
100,1000000424,000020,C,C,C,,
100,1000000425,000010,C,C,C,,
100,1000000425,000020,C,C,C,,
100,1000000426,000010,C,C,C,,
100,1000000427,000010,C,C,C,,
100,1000000428,000010,C,C,C,,
100,1000000429,000010,C,C,C,,
100,1000000430,000010,C,C,C,,
100,1000000431,000010,C,C,C,,
100,1000000432,000010,C,C,C,,
100,1000000432,000020,C,C,C,,
100,1000000433,000010,C,C,C,,
100,1000000434,000010,C,C,C,,
100,1000000435,000010,B,C,A,,
100,1000000435,000020,B,C,A,,
100,1000000436,000010,C,C,C,,
100,1000000437,000010,C,A,A,,
100,1000000437,000020,C,A,A,,
100,1000000438,000010,C,A,A,,
100,1000000439,000010,C,C,C,,
100,1000000439,000020,C,C,C,,
100,1000000440,000010,B,C,A,,
100,1000000441,000010,B,C,A,,
100,1000000442,000010,C,C,C,,
100,1000000442,000020,C,C,C,,
100,1000000443,000010,B,C,A,,
100,1000000444,000010,C,C,C,,
100,1000000444,000020,C,C,C,,
100,1000000445,000010,C,C,C,,
100,1000000446,000010,C,C,C,,
100,1000000447,000010,C,A,A,,
100,1000000448,000010,C,C,C,,
100,1000000449,000010,C,C,C,,
100,1000000449,000020,C,C,C,,
100,1000000450,000010,C,A,A,,
100,1000000451,000010,C,C,C,,
100,1000000452,000010,C,C,C,,
100,1000000453,000010,C,C,C,,
100,1000000454,000010,C,C,C,,
100,1000000455,000010,C,C,C,,
100,1000000456,000010,C,C,C,,
100,1000000456,000020,C,C,C,,
100,1000000457,000010,C,C,C,,
100,1000000457,000020,C,C,C,,
100,1000000458,000010,C,C,C,,
100,1000000459,000010,C,C,C,,
100,1000000460,000010,C,C,C,,
100,1000000461,000010,C,C,C,,
100,1000000462,000010,C,C,C,,
100,1000000463,000010,C,C,C,,
100,1000000464,000010,C,C,C,,
100,1000000465,000010,C,C,C,,
100,1000000466,000010,C,C,C,,
100,1000000467,000010,C,C,C,,
100,1000000468,000010,C,C,C,,
100,1000000469,000010,C,C,C,,
100,1000000470,000010,C,C,C,,
100,1000000470,000020,C,C,C,,
100,1000000471,000010,C,C,C,,
100,1000000472,000010,C,A,A,,
100,1000000472,000020,C,A,A,,
100,1000000473,000010,C,C,C,,
100,1000000474,000010,C,C,C,,
100,1000000475,000010,C,C,C,,
100,1000000476,000010,C,C,C,,
100,1000000476,000020,C,C,C,,
100,1000000477,000010,B,C,A,,
100,1000000477,000020,B,C,A,,
100,1000000478,000010,C,C,C,,
100,1000000479,000010,C,C,C,,
100,1000000480,000010,C,C,C,,
100,1000000480,000020,C,C,C,,
100,1000000481,000010,C,C,C,,
100,1000000482,000010,C,C,C,,
100,1000000483,000010,C,C,C,,
100,1000000484,000010,C,C,C,,
100,1000000485,000010,C,C,C,,
100,1000000486,000010,B,C,A,,
100,1000000487,000010,C,C,C,,
100,1000000488,000010,C,C,C,,
100,1000000489,000010,C,C,C,,
100,1000000490,000010,C,C,C,,
100,1000000490,000020,C,C,C,,
100,1000000491,000010,C,C,C,,
100,1000000492,000010,C,C,C,,
100,1000000493,000010,C,C,C,,
100,1000000493,000020,C,C,C,,
100,1000000494,000010,C,C,C,,
100,1000000495,000010,C,C,C,,
100,1000000495,000020,C,C,C,,
100,1000000496,000010,C,C,C,,
100,1000000497,000010,C,C,C,,
100,1000000498,000010,C,C,C,,
100,1000000499,000010,C,C,C,,
100,1000000499,000020,C,C,C,,
