MANDT,VBELN,POSNR,MATNR,ARKTX,LFIMG,MEINS,LGMNG,WERKS,LGORT,VGBEL,VGPOS,VGTYP,ERNAM,ERDAT,ERZET,VRKME,NTGEW,GEWEI,VOLUM,VOLEH
100,8000000010,10,MAT00031,Material MAT00031,89.0,EA,89.0,P001,SL01,1000000010,10,C,WHOUSE01,2024-03-13,09:24:05,L,271.19,KG,3.039,M3
100,8000000010,20,MAT00030,Material MAT00030,89.0,EA,89.0,P001,SL01,1000000010,20,C,WHOUSE01,2024-03-13,12:51:40,PC,121.06,KG,5.536,M3
100,8000000011,10,MAT00032,Material MAT00032,91.0,EA,91.0,P002,SL02,1000000011,10,C,WHOUSE01,2024-03-22,09:30:39,KG,398.35,KG,1.447,M3
100,8000000012,10,MAT00033,Material MAT00033,37.0,EA,37.0,P001,SL02,1000000012,10,C,WHOUSE02,2024-05-05,06:31:13,L,156.06,KG,8.968,M3
100,8000000013,10,MAT00027,Material MAT00027,8.0,EA,8.0,P002,SL03,1000000013,10,C,WHOUSE01,2024-06-26,11:24:16,L,255.01,KG,3.258,M3
100,8000000014,10,MAT00030,Material MAT00030,66.0,EA,66.0,P001,SL03,1000000014,10,C,WHOUSE01,2024-06-08,11:58:52,ST,313.39,KG,3.643,M3
100,8000000015,10,MAT00027,Material MAT00027,18.0,EA,18.0,P001,SL03,1000000015,10,C,WHOUSE01,2024-02-23,11:36:32,EA,21.24,KG,9.642,M3
100,8000000016,10,MAT00016,Material MAT00016,10.0,EA,10.0,P003,SL02,1000000016,10,C,WHOUSE02,2024-03-18,17:15:08,L,15.7,KG,7.896,M3
100,8000000016,20,MAT00022,Material MAT00022,130.0,EA,130.0,P003,SL02,1000000016,20,C,WHOUSE02,2024-03-18,06:09:15,L,479.65,KG,8.558,M3
100,8000000017,10,MAT00022,Material MAT00022,169.0,EA,169.0,P003,SL01,1000000017,10,C,WHOUSE01,2024-09-17,15:38:39,KG,239.73,KG,5.406,M3
100,8000000018,10,MAT00025,Material MAT00025,85.0,EA,85.0,P001,SL01,1000000018,10,C,WHOUSE02,2024-05-18,17:37:13,PC,112.64,KG,3.209,M3
100,8000000018,20,MAT00016,Material MAT00016,128.0,EA,128.0,P001,SL01,1000000018,20,C,WHOUSE02,2024-05-18,08:24:20,M,4.25,KG,9.398,M3
100,8000000020,10,MAT00023,Material MAT00023,102.0,EA,102.0,P001,SL03,1000000020,10,C,WHOUSE01,2024-04-10,11:29:46,ST,426.25,KG,2.675,M3
100,8000000021,10,MAT00031,Material MAT00031,156.0,EA,156.0,P003,SL02,1000000021,10,C,WHOUSE01,2024-06-11,07:26:50,EA,217.69,KG,1.23,M3
100,8000000022,10,MAT00021,Material MAT00021,127.0,EA,127.0,P003,SL03,1000000022,10,C,WHOUSE01,2024-02-05,06:08:41,PC,195.95,KG,7.251,M3
100,8000000023,10,MAT00018,Material MAT00018,170.0,EA,170.0,P003,SL02,1000000023,10,C,WHOUSE02,2024-02-08,06:16:49,ST,442.73,KG,4.636,M3
100,8000000024,10,MAT00021,Material MAT00021,78.0,EA,78.0,P002,SL03,1000000024,10,C,WHOUSE02,2024-09-02,13:38:02,EA,32.24,KG,7.439,M3
100,8000000024,20,MAT00026,Material MAT00026,83.0,EA,83.0,P002,SL03,1000000024,20,C,WHOUSE02,2024-09-02,16:09:41,ST,28.52,KG,4.936,M3
100,8000000025,10,MAT00031,Material MAT00031,61.0,EA,61.0,P003,SL01,1000000025,10,C,WHOUSE02,2024-04-28,15:47:51,M,417.02,KG,1.624,M3
100,8000000026,10,MAT00028,Material MAT00028,138.0,EA,138.0,P001,SL01,1000000026,10,C,WHOUSE02,2024-10-19,12:43:06,EA,381.86,KG,3.937,M3
100,8000000027,10,MAT00018,Material MAT00018,32.0,EA,32.0,P002,SL02,1000000027,10,C,WHOUSE02,2024-05-21,16:51:06,M,252.45,KG,2.479,M3
100,8000000028,10,MAT00023,Material MAT00023,199.0,EA,199.0,P001,SL03,1000000028,10,C,WHOUSE02,2024-06-05,13:18:08,KG,38.45,KG,0.205,M3
100,8000000029,10,MAT00021,Material MAT00021,108.0,EA,108.0,P002,SL03,1000000029,10,C,WHOUSE02,2024-09-11,16:05:52,KG,334.49,KG,3.333,M3
100,8000000029,20,MAT00033,Material MAT00033,123.0,EA,123.0,P002,SL03,1000000029,20,C,WHOUSE02,2024-09-11,08:41:43,M,407.34,KG,8.656,M3
100,8000000030,10,MAT00030,Material MAT00030,28.0,EA,28.0,P002,SL01,1000000030,10,C,WHOUSE02,2024-09-01,13:13:45,PC,168.09,KG,5.78,M3
100,8000000031,10,MAT00017,Material MAT00017,166.0,EA,166.0,P001,SL01,1000000031,10,C,WHOUSE02,2024-10-01,07:42:17,PC,484.78,KG,9.531,M3
100,8000000032,10,MAT00021,Material MAT00021,130.0,EA,130.0,P003,SL01,1000000032,10,C,WHOUSE01,2024-07-08,12:59:03,PC,427.37,KG,4.986,M3
100,8000000033,10,MAT00016,Material MAT00016,184.0,EA,184.0,P002,SL03,1000000033,10,C,WHOUSE02,2024-07-30,09:00:33,M,24.91,KG,7.158,M3
100,8000000034,10,MAT00016,Material MAT00016,195.0,EA,195.0,P003,SL01,1000000034,10,C,WHOUSE01,2024-03-13,15:26:35,PC,34.04,KG,1.174,M3
100,8000000035,10,MAT00024,Material MAT00024,91.0,EA,91.0,P001,SL02,1000000035,10,C,WHOUSE02,2024-10-13,07:57:22,L,264.38,KG,8.934,M3
100,8000000036,10,MAT00030,Material MAT00030,98.0,EA,98.0,P001,SL01,1000000036,10,C,WHOUSE01,2024-03-13,12:58:03,EA,306.42,KG,6.04,M3
100,8000000036,20,MAT00016,Material MAT00016,73.0,EA,73.0,P001,SL01,1000000036,20,C,WHOUSE01,2024-03-13,10:58:22,PC,140.34,KG,8.481,M3
100,8000000037,10,MAT00025,Material MAT00025,36.0,EA,36.0,P001,SL02,1000000037,10,C,WHOUSE02,2024-05-09,11:58:37,ST,147.22,KG,5.827,M3
100,8000000038,10,MAT00032,Material MAT00032,156.0,EA,156.0,P001,SL01,1000000038,10,C,WHOUSE01,2024-02-25,15:56:41,PC,303.66,KG,0.037,M3
100,8000000038,20,MAT00017,Material MAT00017,36.0,EA,36.0,P001,SL01,1000000038,20,C,WHOUSE01,2024-02-25,14:06:11,KG,429.06,KG,5.715,M3
100,8000000039,10,MAT00023,Material MAT00023,64.0,EA,64.0,P002,SL01,1000000039,10,C,WHOUSE02,2024-02-19,12:04:04,KG,161.37,KG,4.407,M3
100,8000000040,10,MAT00032,Material MAT00032,17.0,EA,17.0,P001,SL01,1000000040,10,C,WHOUSE01,2024-05-01,07:45:36,EA,227.12,KG,1.629,M3
100,8000000041,10,MAT00027,Material MAT00027,100.0,EA,100.0,P002,SL03,1000000041,10,C,WHOUSE01,2024-08-11,10:52:29,EA,387.05,KG,3.318,M3
100,8000000042,10,MAT00022,Material MAT00022,150.0,EA,150.0,P002,SL01,1000000042,10,C,WHOUSE01,2024-08-26,17:27:01,L,431.59,KG,6.671,M3
100,8000000043,10,MAT00028,Material MAT00028,96.0,EA,96.0,P002,SL03,1000000043,10,C,WHOUSE02,2024-05-20,08:59:48,EA,261.38,KG,5.963,M3
100,8000000044,10,MAT00026,Material MAT00026,29.0,EA,29.0,P003,SL02,1000000044,10,C,WHOUSE01,2024-08-09,17:42:28,EA,436.05,KG,7.6,M3
100,8000000045,10,MAT00021,Material MAT00021,199.0,EA,199.0,P001,SL02,1000000045,10,C,WHOUSE02,2024-10-29,14:24:31,M,474.76,KG,9.108,M3
100,8000000046,10,MAT00025,Material MAT00025,62.0,EA,62.0,P001,SL03,1000000046,10,C,WHOUSE02,2024-06-24,13:20:57,L,321.39,KG,7.19,M3
100,8000000048,10,MAT00016,Material MAT00016,118.0,EA,118.0,P001,SL01,1000000048,10,C,WHOUSE02,2024-10-12,14:18:57,PC,313.86,KG,2.15,M3
100,8000000049,10,MAT00022,Material MAT00022,136.0,EA,136.0,P002,SL02,1000000049,10,C,WHOUSE02,2024-03-07,12:07:34,EA,26.1,KG,7.082,M3
100,8000000050,10,MAT00018,Material MAT00018,35.0,EA,35.0,P003,SL01,1000000050,10,C,WHOUSE02,2024-01-25,13:10:34,PC,184.81,KG,8.177,M3
100,8000000051,10,MAT00027,Material MAT00027,95.0,EA,95.0,P002,SL03,1000000051,10,C,WHOUSE01,2024-07-07,16:19:38,PC,319.11,KG,1.391,M3
100,8000000051,20,MAT00031,Material MAT00031,93.0,EA,93.0,P002,SL03,1000000051,20,C,WHOUSE01,2024-07-07,17:30:01,ST,135.79,KG,9.513,M3
100,8000000052,10,MAT00018,Material MAT00018,66.0,EA,66.0,P002,SL03,1000000052,10,C,WHOUSE02,2024-02-22,06:57:52,EA,447.96,KG,9.459,M3
100,8000000053,10,MAT00021,Material MAT00021,23.0,EA,23.0,P003,SL01,1000000053,10,C,WHOUSE01,2024-04-25,16:42:17,L,220.88,KG,5.194,M3
100,8000000053,20,MAT00022,Material MAT00022,200.0,EA,200.0,P003,SL01,1000000053,20,C,WHOUSE01,2024-04-25,16:26:50,ST,299.82,KG,1.315,M3
100,8000000055,10,MAT00024,Material MAT00024,159.0,EA,159.0,P001,SL03,1000000055,10,C,WHOUSE01,2024-07-25,11:46:32,ST,195.98,KG,0.291,M3
100,8000000056,10,MAT00018,Material MAT00018,8.0,EA,8.0,P001,SL03,1000000056,10,C,WHOUSE02,2024-04-18,16:04:56,L,30.03,KG,6.755,M3
100,8000000057,10,MAT00031,Material MAT00031,32.0,EA,32.0,P002,SL01,1000000057,10,C,WHOUSE02,2024-03-18,16:59:33,ST,471.52,KG,9.721,M3
100,8000000058,10,MAT00032,Material MAT00032,173.0,EA,173.0,P002,SL03,1000000058,10,C,WHOUSE01,2024-10-13,13:46:40,KG,442.83,KG,1.356,M3
100,8000000058,20,MAT00021,Material MAT00021,25.0,EA,25.0,P002,SL03,1000000058,20,C,WHOUSE01,2024-10-13,17:19:27,PC,363.28,KG,3.649,M3
100,8000000059,10,MAT00027,Material MAT00027,190.0,EA,190.0,P003,SL03,1000000059,10,C,WHOUSE02,2024-05-06,13:01:30,M,381.72,KG,7.295,M3
100,8000000059,20,MAT00024,Material MAT00024,10.0,EA,10.0,P003,SL03,1000000059,20,C,WHOUSE02,2024-05-06,15:32:09,M,206.41,KG,7.264,M3
100,8000000060,10,MAT00024,Material MAT00024,66.0,EA,66.0,P003,SL02,1000000060,10,C,WHOUSE02,2024-08-25,15:47:06,KG,65.88,KG,0.552,M3
100,8000000061,10,MAT00024,Material MAT00024,147.0,EA,147.0,P002,SL01,1000000061,10,C,WHOUSE01,2024-06-20,07:40:32,PC,69.46,KG,1.893,M3
100,8000000062,10,MAT00020,Material MAT00020,155.0,EA,155.0,P003,SL01,1000000062,10,C,WHOUSE02,2024-06-02,17:07:30,KG,10.71,KG,0.386,M3
100,8000000063,10,MAT00032,Material MAT00032,36.0,EA,36.0,P003,SL03,1000000063,10,C,WHOUSE01,2024-10-13,16:49:59,M,399.53,KG,0.454,M3
100,8000000064,10,MAT00031,Material MAT00031,12.0,EA,12.0,P003,SL03,1000000064,10,C,WHOUSE01,2024-04-24,17:44:29,ST,373.19,KG,7.612,M3
100,8000000065,10,MAT00027,Material MAT00027,27.0,EA,27.0,P003,SL02,1000000065,10,C,WHOUSE01,2024-07-14,06:40:32,KG,246.55,KG,4.895,M3
100,8000000065,20,MAT00020,Material MAT00020,114.0,EA,114.0,P003,SL02,1000000065,20,C,WHOUSE01,2024-07-14,06:02:11,PC,313.07,KG,8.11,M3
100,8000000066,10,MAT00026,Material MAT00026,129.0,EA,129.0,P001,SL03,1000000066,10,C,WHOUSE01,2024-05-10,07:25:16,ST,237.6,KG,6.863,M3
100,8000000066,20,MAT00018,Material MAT00018,68.0,EA,68.0,P001,SL03,1000000066,20,C,WHOUSE01,2024-05-10,15:56:18,EA,192.85,KG,4.661,M3
100,8000000067,10,MAT00021,Material MAT00021,53.0,EA,53.0,P001,SL02,1000000067,10,C,WHOUSE01,2024-07-06,14:00:00,M,24.8,KG,5.04,M3
100,8000000068,10,MAT00016,Material MAT00016,132.0,EA,132.0,P001,SL01,1000000068,10,C,WHOUSE01,2024-01-30,14:59:22,L,81.32,KG,8.638,M3
100,8000000069,10,MAT00026,Material MAT00026,45.0,EA,45.0,P003,SL01,1000000069,10,C,WHOUSE02,2024-02-17,09:25:05,KG,349.94,KG,4.389,M3
100,8000000069,20,MAT00016,Material MAT00016,180.0,EA,180.0,P003,SL01,1000000069,20,C,WHOUSE02,2024-02-17,16:50:18,KG,301.3,KG,6.839,M3
100,8000000070,10,MAT00027,Material MAT00027,23.0,EA,23.0,P003,SL01,1000000070,10,C,WHOUSE01,2024-09-27,07:05:56,ST,384.79,KG,6.936,M3
100,8000000071,10,MAT00022,Material MAT00022,125.0,EA,125.0,P001,SL01,1000000071,10,C,WHOUSE01,2024-03-02,14:49:55,EA,132.51,KG,7.223,M3
100,8000000072,10,MAT00021,Material MAT00021,149.0,EA,149.0,P001,SL01,1000000072,10,C,WHOUSE01,2024-06-04,17:26:20,KG,199.24,KG,8.786,M3
100,8000000073,10,MAT00022,Material MAT00022,83.0,EA,83.0,P001,SL02,1000000073,10,C,WHOUSE01,2024-08-03,07:15:27,ST,262.47,KG,6.677,M3
100,8000000074,10,MAT00022,Material MAT00022,181.0,EA,181.0,P002,SL01,1000000074,10,C,WHOUSE02,2024-06-02,14:42:36,M,267.23,KG,3.58,M3
100,8000000075,10,MAT00020,Material MAT00020,44.0,EA,44.0,P001,SL01,1000000075,10,C,WHOUSE01,2024-07-15,11:32:39,PC,34.51,KG,2.376,M3
100,8000000076,10,MAT00021,Material MAT00021,135.0,EA,135.0,P001,SL03,1000000076,10,C,WHOUSE02,2024-04-04,06:26:01,ST,98.44,KG,5.355,M3
100,8000000077,10,MAT00028,Material MAT00028,23.0,EA,23.0,P001,SL03,1000000077,10,C,WHOUSE02,2024-03-29,16:29:28,L,102.13,KG,9.244,M3
100,8000000078,10,MAT00031,Material MAT00031,89.0,EA,89.0,P001,SL01,1000000078,10,C,WHOUSE02,2024-09-12,08:40:02,ST,116.82,KG,7.989,M3
100,8000000079,10,MAT00032,Material MAT00032,97.0,EA,97.0,P002,SL03,1000000079,10,C,WHOUSE02,2024-04-12,11:23:27,KG,468.68,KG,9.226,M3
100,8000000080,10,MAT00016,Material MAT00016,4.0,EA,4.0,P001,SL02,1000000080,10,C,WHOUSE02,2024-05-17,16:35:47,PC,477.14,KG,7.905,M3
100,8000000081,10,MAT00018,Material MAT00018,23.0,EA,23.0,P002,SL02,1000000081,10,C,WHOUSE02,2024-01-23,16:12:27,PC,157.79,KG,8.138,M3
100,8000000081,20,MAT00018,Material MAT00018,29.0,EA,29.0,P002,SL02,1000000081,20,C,WHOUSE02,2024-01-23,15:27:57,ST,357.74,KG,0.414,M3
100,8000000082,10,MAT00032,Material MAT00032,195.0,EA,195.0,P002,SL01,1000000082,10,C,WHOUSE01,2024-02-25,07:08:00,ST,86.45,KG,0.183,M3
100,8000000083,10,MAT00024,Material MAT00024,104.0,EA,104.0,P003,SL01,1000000083,10,C,WHOUSE02,2024-09-21,06:29:28,ST,173.03,KG,9.78,M3
100,8000000084,10,MAT00030,Material MAT00030,157.0,EA,157.0,P001,SL03,1000000084,10,C,WHOUSE02,2024-03-11,06:28:01,ST,480.55,KG,2.371,M3
100,8000000084,20,MAT00022,Material MAT00022,161.0,EA,161.0,P001,SL03,1000000084,20,C,WHOUSE02,2024-03-11,16:29:13,L,55.25,KG,3.885,M3
100,8000000085,10,MAT00031,Material MAT00031,163.0,EA,163.0,P002,SL02,1000000085,10,C,WHOUSE02,2024-03-04,10:38:32,M,272.8,KG,0.829,M3
100,8000000086,10,MAT00027,Material MAT00027,112.0,EA,112.0,P003,SL01,1000000086,10,C,WHOUSE02,2024-10-06,16:56:11,L,40.5,KG,5.731,M3
100,8000000086,20,MAT00017,Material MAT00017,178.0,EA,178.0,P003,SL01,1000000086,20,C,WHOUSE02,2024-10-06,11:48:21,KG,6.31,KG,7.945,M3
100,8000000087,10,MAT00017,Material MAT00017,48.0,EA,48.0,P001,SL03,1000000087,10,C,WHOUSE01,2024-02-13,13:25:31,EA,424.92,KG,3.214,M3
100,8000000088,10,MAT00032,Material MAT00032,176.0,EA,176.0,P002,SL02,1000000088,10,C,WHOUSE01,2024-09-30,06:48:36,KG,449.66,KG,4.608,M3
100,8000000088,20,MAT00030,Material MAT00030,46.0,EA,46.0,P002,SL02,1000000088,20,C,WHOUSE01,2024-09-30,13:43:10,M,82.97,KG,3.475,M3
100,8000000089,10,MAT00019,Material MAT00019,191.0,EA,191.0,P002,SL01,1000000089,10,C,WHOUSE02,2024-10-01,08:36:13,ST,51.73,KG,8.72,M3
100,8000000090,10,MAT00029,Material MAT00029,112.0,EA,112.0,P001,SL03,1000000090,10,C,WHOUSE01,2024-11-04,12:10:41,KG,301.86,KG,9.541,M3
100,8000000091,10,MAT00028,Material MAT00028,185.0,EA,185.0,P002,SL03,1000000091,10,C,WHOUSE01,2024-05-10,07:14:23,L,1.23,KG,8.721,M3
100,8000000091,20,MAT00016,Material MAT00016,187.0,EA,187.0,P002,SL03,1000000091,20,C,WHOUSE01,2024-05-10,07:16:38,ST,57.2,KG,5.709,M3
100,8000000093,10,MAT00029,Material MAT00029,112.0,EA,112.0,P002,SL01,1000000093,10,C,WHOUSE02,2024-10-06,12:34:13,ST,375.42,KG,9.286,M3
100,8000000094,10,MAT00017,Material MAT00017,41.0,EA,41.0,P001,SL02,1000000094,10,C,WHOUSE01,2024-10-20,13:56:11,PC,119.75,KG,0.945,M3
100,8000000094,20,MAT00019,Material MAT00019,30.0,EA,30.0,P001,SL02,1000000094,20,C,WHOUSE01,2024-10-20,09:39:32,M,257.13,KG,7.792,M3
100,8000000095,10,MAT00027,Material MAT00027,81.0,EA,81.0,P003,SL03,1000000095,10,C,WHOUSE01,2024-09-28,10:14:53,KG,335.15,KG,6.433,M3
100,8000000096,10,MAT00029,Material MAT00029,105.0,EA,105.0,P001,SL02,1000000096,10,C,WHOUSE02,2024-02-13,09:18:34,EA,67.05,KG,1.683,M3
100,8000000096,20,MAT00027,Material MAT00027,43.0,EA,43.0,P001,SL02,1000000096,20,C,WHOUSE02,2024-02-13,08:18:34,L,248.38,KG,9.269,M3
100,8000000097,10,MAT00027,Material MAT00027,137.0,EA,137.0,P003,SL02,1000000097,10,C,WHOUSE02,2024-08-25,14:23:42,L,287.14,KG,9.419,M3
100,8000000098,10,MAT00019,Material MAT00019,93.0,EA,93.0,P003,SL01,1000000098,10,C,WHOUSE01,2024-01-16,16:10:30,EA,173.14,KG,7.495,M3
100,8000000099,10,MAT00023,Material MAT00023,80.0,EA,80.0,P002,SL02,1000000099,10,C,WHOUSE01,2024-08-23,10:37:43,M,61.51,KG,6.643,M3
100,8000000099,20,MAT00033,Material MAT00033,58.0,EA,58.0,P002,SL02,1000000099,20,C,WHOUSE01,2024-08-23,11:04:26,EA,109.91,KG,0.934,M3
100,8000000100,10,MAT00018,Material MAT00018,127.0,EA,127.0,P002,SL02,1000000100,10,C,WHOUSE02,2024-03-25,12:03:52,M,38.09,KG,1.996,M3
100,8000000101,10,MAT00023,Material MAT00023,13.0,EA,13.0,P001,SL02,1000000101,10,C,WHOUSE01,2024-05-02,17:56:22,L,334.27,KG,2.779,M3
100,8000000102,10,MAT00028,Material MAT00028,112.0,EA,112.0,P001,SL01,1000000102,10,C,WHOUSE01,2024-07-14,11:17:57,ST,149.07,KG,8.68,M3
100,8000000102,20,MAT00019,Material MAT00019,159.0,EA,159.0,P001,SL01,1000000102,20,C,WHOUSE01,2024-07-14,10:26:39,M,133.03,KG,5.119,M3
100,8000000103,10,MAT00023,Material MAT00023,4.0,EA,4.0,P002,SL01,1000000103,10,C,WHOUSE01,2024-03-09,13:28:24,KG,25.54,KG,0.576,M3
100,8000000104,10,MAT00024,Material MAT00024,180.0,EA,180.0,P003,SL01,1000000104,10,C,WHOUSE01,2024-08-15,17:44:29,L,480.66,KG,8.234,M3
100,8000000105,10,MAT00017,Material MAT00017,115.0,EA,115.0,P003,SL01,1000000105,10,C,WHOUSE02,2024-03-04,10:55:52,L,432.41,KG,9.117,M3
100,8000000106,10,MAT00020,Material MAT00020,178.0,EA,178.0,P003,SL01,1000000106,10,C,WHOUSE02,2024-04-03,11:12:19,L,162.19,KG,5.77,M3
100,8000000106,20,MAT00024,Material MAT00024,16.0,EA,16.0,P003,SL01,1000000106,20,C,WHOUSE02,2024-04-03,14:13:30,EA,71.28,KG,9.922,M3
100,8000000107,10,MAT00028,Material MAT00028,153.0,EA,153.0,P003,SL01,1000000107,10,C,WHOUSE01,2024-01-28,17:27:50,KG,198.4,KG,0.836,M3
100,8000000108,10,MAT00021,Material MAT00021,115.0,EA,115.0,P001,SL02,1000000108,10,C,WHOUSE02,2024-05-03,13:56:48,M,255.62,KG,6.871,M3
100,8000000109,10,MAT00024,Material MAT00024,192.0,EA,192.0,P001,SL01,1000000109,10,C,WHOUSE01,2024-04-20,16:08:08,KG,486.57,KG,5.004,M3
100,8000000111,10,MAT00030,Material MAT00030,14.0,EA,14.0,P003,SL02,1000000111,10,C,WHOUSE02,2024-06-16,08:01:45,ST,48.16,KG,6.091,M3
100,8000000112,10,MAT00033,Material MAT00033,146.0,EA,146.0,P002,SL01,1000000112,10,C,WHOUSE01,2024-10-02,06:12:08,ST,138.42,KG,1.161,M3
100,8000000113,10,MAT00030,Material MAT00030,137.0,EA,137.0,P003,SL03,1000000113,10,C,WHOUSE02,2024-08-24,06:23:27,L,497.47,KG,3.984,M3
100,8000000114,10,MAT00021,Material MAT00021,143.0,EA,143.0,P001,SL03,1000000114,10,C,WHOUSE02,2024-03-07,07:03:48,L,119.02,KG,6.337,M3
100,8000000116,10,MAT00018,Material MAT00018,56.0,EA,56.0,P002,SL02,1000000116,10,C,WHOUSE02,2024-08-16,06:43:40,PC,103.24,KG,7.32,M3
100,8000000118,10,MAT00022,Material MAT00022,23.0,EA,23.0,P002,SL01,1000000118,10,C,WHOUSE02,2024-01-29,06:59:07,ST,125.81,KG,1.164,M3
100,8000000119,10,MAT00019,Material MAT00019,42.0,EA,42.0,P002,SL03,1000000119,10,C,WHOUSE02,2024-07-09,16:32:24,KG,51.71,KG,1.582,M3
100,8000000120,10,MAT00027,Material MAT00027,68.0,EA,68.0,P003,SL01,1000000120,10,C,WHOUSE01,2024-08-18,16:26:01,L,235.73,KG,8.669,M3
100,8000000121,10,MAT00022,Material MAT00022,120.0,EA,120.0,P002,SL03,1000000121,10,C,WHOUSE01,2024-08-25,10:43:36,KG,55.03,KG,9.241,M3
100,8000000122,10,MAT00021,Material MAT00021,59.0,EA,59.0,P002,SL01,1000000122,10,C,WHOUSE01,2024-04-25,09:44:06,ST,71.74,KG,9.602,M3
100,8000000122,20,MAT00022,Material MAT00022,35.0,EA,35.0,P002,SL01,1000000122,20,C,WHOUSE01,2024-04-25,16:17:12,EA,232.14,KG,4.107,M3
100,8000000123,10,MAT00032,Material MAT00032,99.0,EA,99.0,P001,SL01,1000000123,10,C,WHOUSE02,2024-04-01,15:56:56,ST,395.68,KG,7.529,M3
100,8000000124,10,MAT00024,Material MAT00024,107.0,EA,107.0,P002,SL01,1000000124,10,C,WHOUSE01,2024-06-25,13:23:08,EA,333.97,KG,1.405,M3
100,8000000125,10,MAT00022,Material MAT00022,101.0,EA,101.0,P002,SL03,1000000125,10,C,WHOUSE01,2024-06-23,09:29:13,M,85.99,KG,1.161,M3
100,8000000126,10,MAT00017,Material MAT00017,71.0,EA,71.0,P003,SL01,1000000126,10,C,WHOUSE01,2024-07-14,07:12:42,M,94.14,KG,7.716,M3
100,8000000127,10,MAT00020,Material MAT00020,80.0,EA,80.0,P001,SL02,1000000127,10,C,WHOUSE01,2024-09-07,08:44:47,L,7.99,KG,6.738,M3
100,8000000128,10,MAT00022,Material MAT00022,89.0,EA,89.0,P002,SL03,1000000128,10,C,WHOUSE02,2024-06-05,07:27:27,M,81.58,KG,1.168,M3
100,8000000128,20,MAT00017,Material MAT00017,89.0,EA,89.0,P002,SL03,1000000128,20,C,WHOUSE02,2024-06-05,12:39:47,L,47.04,KG,3.832,M3
100,8000000129,10,MAT00033,Material MAT00033,145.0,EA,145.0,P002,SL01,1000000129,10,C,WHOUSE02,2024-09-19,10:03:41,L,246.3,KG,1.054,M3
100,8000000130,10,MAT00018,Material MAT00018,185.0,EA,185.0,P003,SL01,1000000130,10,C,WHOUSE02,2024-07-25,07:18:27,PC,410.5,KG,9.134,M3
100,8000000131,10,MAT00025,Material MAT00025,94.0,EA,94.0,P002,SL03,1000000131,10,C,WHOUSE01,2024-08-06,10:25:46,PC,268.59,KG,0.428,M3
100,8000000132,10,MAT00024,Material MAT00024,134.0,EA,134.0,P002,SL03,1000000132,10,C,WHOUSE01,2024-10-16,17:06:00,PC,92.01,KG,6.179,M3
100,8000000133,10,MAT00023,Material MAT00023,66.0,EA,66.0,P003,SL03,1000000133,10,C,WHOUSE02,2024-05-05,09:55:18,PC,314.5,KG,0.329,M3
100,8000000133,20,MAT00024,Material MAT00024,83.0,EA,83.0,P003,SL03,1000000133,20,C,WHOUSE02,2024-05-05,06:57:18,EA,131.29,KG,1.369,M3
