MANDT,VBELN,POSNR,ZTERM,ZBD1T,ZBD1P,INCO1,INCO2,KDGRP
100,1000000119,000000,N030,30,2.000,DAP,Destination,01
100,1000000120,000000,N030,30,2.000,DAP,Destination,01
100,1000000121,000000,N014,30,2.000,DAP,Destination,01
100,1000000122,000000,N060,30,2.000,DAP,Destination,01
100,1000000123,000000,N060,30,2.000,DAP,Destination,01
100,1000000124,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000125,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000126,000000,N014,30,2.000,DAP,Destination,01
100,1000000127,000000,N030,30,2.000,DAP,Destination,01
100,1000000128,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000129,000000,N014,30,2.000,DAP,Destination,01
100,1000000130,000000,N014,30,2.000,DAP,Destination,01
100,1000000131,000000,N060,30,2.000,DAP,Destination,01
100,1000000132,000000,N030,30,2.000,DAP,Destination,01
100,1000000133,000000,N030,30,2.000,DAP,Destination,01
100,1000000134,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000135,000000,N060,30,2.000,DAP,Destination,01
100,1000000136,000000,N060,30,2.000,DAP,Destination,01
100,1000000137,000000,N060,30,2.000,DAP,Destination,01
100,1000000138,000000,N014,30,2.000,DAP,Destination,01
100,1000000139,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000140,000000,N014,30,2.000,DAP,Destination,01
100,1000000141,000000,N014,30,2.000,DAP,Destination,01
100,1000000142,000000,N030,30,2.000,DAP,Destination,01
100,1000000143,000000,N014,30,2.000,DAP,Destination,01
100,1000000144,000000,N030,30,2.000,DAP,Destination,01
100,1000000145,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000146,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000147,000000,N060,30,2.000,DAP,Destination,01
100,1000000148,000000,N014,30,2.000,DAP,Destination,01
100,1000000149,000000,N030,30,2.000,DAP,Destination,01
100,1000000150,000000,N030,30,2.000,DAP,Destination,01
100,1000000151,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000152,000000,N060,30,2.000,DAP,Destination,01
100,1000000153,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000154,000000,N060,30,2.000,DAP,Destination,01
100,1000000155,000000,N060,30,2.000,DAP,Destination,01
100,1000000156,000000,N030,30,2.000,DAP,Destination,01
100,1000000157,000000,N014,30,2.000,DAP,Destination,01
100,1000000158,000000,N060,30,2.000,DAP,Destination,01
100,1000000159,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000160,000000,N060,30,2.000,DAP,Destination,01
100,1000000161,000000,N060,30,2.000,DAP,Destination,01
100,1000000162,000000,N030,30,2.000,DAP,Destination,01
100,1000000163,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000164,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000165,000000,N030,30,2.000,DAP,Destination,01
100,1000000166,000000,N060,30,2.000,DAP,Destination,01
100,1000000167,000000,N060,30,2.000,DAP,Destination,01
100,1000000168,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000169,000000,N060,30,2.000,DAP,Destination,01
100,1000000170,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000171,000000,N030,30,2.000,DAP,Destination,01
100,1000000172,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000173,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000174,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000175,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000176,000000,N030,30,2.000,DAP,Destination,01
100,1000000177,000000,N014,30,2.000,DAP,Destination,01
100,1000000178,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000179,000000,N014,30,2.000,DAP,Destination,01
100,1000000180,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000181,000000,N060,30,2.000,DAP,Destination,01
100,1000000182,000000,N014,30,2.000,DAP,Destination,01
100,1000000183,000000,N060,30,2.000,DAP,Destination,01
100,1000000184,000000,N014,30,2.000,DAP,Destination,01
100,1000000185,000000,N060,30,2.000,DAP,Destination,01
100,1000000186,000000,N060,30,2.000,DAP,Destination,01
100,1000000187,000000,N060,30,2.000,DAP,Destination,01
100,1000000188,000000,N030,30,2.000,DAP,Destination,01
100,1000000189,000000,N030,30,2.000,DAP,Destination,01
100,1000000190,000000,N060,30,2.000,DAP,Destination,01
100,1000000191,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000192,000000,N014,30,2.000,DAP,Destination,01
100,1000000193,000000,N030,30,2.000,DAP,Destination,01
100,1000000194,000000,N014,30,2.000,DAP,Destination,01
100,1000000195,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000196,000000,N014,30,2.000,DAP,Destination,01
100,1000000197,000000,N030,30,2.000,DAP,Destination,01
100,1000000198,000000,N060,30,2.000,DAP,Destination,01
100,1000000199,000000,N014,30,2.000,DAP,Destination,01
100,1000000200,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000201,000000,N060,30,2.000,DAP,Destination,01
100,1000000202,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000203,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000204,000000,N060,30,2.000,DAP,Destination,01
100,1000000205,000000,N030,30,2.000,DAP,Destination,01
100,1000000206,000000,N060,30,2.000,DAP,Destination,01
100,1000000207,000000,N030,30,2.000,DAP,Destination,01
100,1000000208,000000,N060,30,2.000,DAP,Destination,01
100,1000000209,000000,N060,30,2.000,DAP,Destination,01
100,1000000210,000000,N014,30,2.000,DAP,Destination,01
100,1000000211,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000212,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000213,000000,N060,30,2.000,DAP,Destination,01
100,1000000214,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000215,000000,N030,30,2.000,DAP,Destination,01
100,1000000216,000000,N030,30,2.000,DAP,Destination,01
100,1000000217,000000,N060,30,2.000,DAP,Destination,01
100,1000000218,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000219,000000,N030,30,2.000,DAP,Destination,01
100,1000000220,000000,N030,30,2.000,DAP,Destination,01
100,1000000221,000000,N030,30,2.000,DAP,Destination,01
100,1000000222,000000,N060,30,2.000,DAP,Destination,01
100,1000000223,000000,N030,30,2.000,DAP,Destination,01
100,1000000224,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000225,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000226,000000,N014,30,2.000,DAP,Destination,01
100,1000000227,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000228,000000,N014,30,2.000,DAP,Destination,01
100,1000000229,000000,N030,30,2.000,DAP,Destination,01
100,1000000230,000000,N014,30,2.000,DAP,Destination,01
100,1000000231,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000232,000000,N030,30,2.000,DAP,Destination,01
100,1000000233,000000,N014,30,2.000,DAP,Destination,01
100,1000000234,000000,N014,30,2.000,DAP,Destination,01
100,1000000235,000000,N014,30,2.000,DAP,Destination,01
100,1000000236,000000,N014,30,2.000,DAP,Destination,01
100,1000000237,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000238,000000,N014,30,2.000,DAP,Destination,01
100,1000000239,000000,N014,30,2.000,DAP,Destination,01
100,1000000240,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000241,000000,N030,30,2.000,DAP,Destination,01
100,1000000242,000000,N060,30,2.000,DAP,Destination,01
100,1000000243,000000,N014,30,2.000,DAP,Destination,01
100,1000000244,000000,N030,30,2.000,DAP,Destination,01
100,1000000245,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000246,000000,N030,30,2.000,DAP,Destination,01
100,1000000247,000000,N014,30,2.000,DAP,Destination,01
100,1000000248,000000,N014,30,2.000,DAP,Destination,01
100,1000000249,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000250,000000,N014,30,2.000,DAP,Destination,01
100,1000000251,000000,N060,30,2.000,DAP,Destination,01
100,1000000252,000000,N060,30,2.000,DAP,Destination,01
100,1000000253,000000,N030,30,2.000,DAP,Destination,01
100,1000000254,000000,N030,30,2.000,DAP,Destination,01
100,1000000255,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000256,000000,N060,30,2.000,DAP,Destination,01
100,1000000257,000000,N014,30,2.000,DAP,Destination,01
100,1000000258,000000,N014,30,2.000,DAP,Destination,01
100,1000000259,000000,N014,30,2.000,DAP,Destination,01
100,1000000260,000000,N060,30,2.000,DAP,Destination,01
100,1000000261,000000,N014,30,2.000,DAP,Destination,01
100,1000000262,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000263,000000,N060,30,2.000,DAP,Destination,01
100,1000000264,000000,N060,30,2.000,DAP,Destination,01
100,1000000265,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000266,000000,N014,30,2.000,DAP,Destination,01
100,1000000267,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000268,000000,N030,30,2.000,DAP,Destination,01
100,1000000269,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000270,000000,N030,30,2.000,DAP,Destination,01
100,1000000271,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000272,000000,N060,30,2.000,DAP,Destination,01
100,1000000273,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000274,000000,N030,30,2.000,DAP,Destination,01
100,1000000275,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000276,000000,N014,30,2.000,DAP,Destination,01
100,1000000277,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000278,000000,N030,30,2.000,DAP,Destination,01
100,1000000279,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000280,000000,N030,30,2.000,DAP,Destination,01
100,1000000281,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000282,000000,N014,30,2.000,DAP,Destination,01
100,1000000283,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000284,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000285,000000,N014,30,2.000,DAP,Destination,01
100,1000000286,000000,N030,30,2.000,DAP,Destination,01
100,1000000287,000000,N030,30,2.000,DAP,Destination,01
100,1000000288,000000,N060,30,2.000,DAP,Destination,01
100,1000000289,000000,N030,30,2.000,DAP,Destination,01
100,1000000290,000000,N030,30,2.000,DAP,Destination,01
100,1000000291,000000,N014,30,2.000,DAP,Destination,01
100,1000000292,000000,N014,30,2.000,DAP,Destination,01
100,1000000293,000000,N030,30,2.000,DAP,Destination,01
100,1000000294,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000295,000000,N014,30,2.000,DAP,Destination,01
100,1000000296,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000297,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000298,000000,N060,30,2.000,DAP,Destination,01
100,1000000299,000000,N014,30,2.000,DAP,Destination,01
100,1000000300,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000301,000000,N014,30,2.000,DAP,Destination,01
100,1000000302,000000,N060,30,2.000,DAP,Destination,01
100,1000000303,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000304,000000,N060,30,2.000,DAP,Destination,01
100,1000000305,000000,N014,30,2.000,DAP,Destination,01
100,1000000306,000000,N060,30,2.000,DAP,Destination,01
100,1000000307,000000,N060,30,2.000,DAP,Destination,01
100,1000000308,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000309,000000,N060,30,2.000,DAP,Destination,01
100,1000000310,000000,N060,30,2.000,DAP,Destination,01
100,1000000311,000000,N014,30,2.000,DAP,Destination,01
100,1000000312,000000,N060,30,2.000,DAP,Destination,01
100,1000000313,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000314,000000,N014,30,2.000,DAP,Destination,01
100,1000000315,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000316,000000,N060,30,2.000,DAP,Destination,01
100,1000000317,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000318,000000,N030,30,2.000,DAP,Destination,01
100,1000000319,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000320,000000,N060,30,2.000,DAP,Destination,01
100,1000000321,000000,N014,30,2.000,DAP,Destination,01
100,1000000322,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000323,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000324,000000,N014,30,2.000,DAP,Destination,01
100,1000000325,000000,N030,30,2.000,DAP,Destination,01
100,1000000326,000000,N014,30,2.000,DAP,Destination,01
100,1000000327,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000328,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000329,000000,N014,30,2.000,DAP,Destination,01
100,1000000330,000000,N030,30,2.000,DAP,Destination,01
100,1000000331,000000,N060,30,2.000,DAP,Destination,01
100,1000000332,000000,N060,30,2.000,DAP,Destination,01
100,1000000333,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000334,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000335,000000,N014,30,2.000,DAP,Destination,01
100,1000000336,000000,N060,30,2.000,DAP,Destination,01
100,1000000337,000000,N030,30,2.000,DAP,Destination,01
100,1000000338,000000,N060,30,2.000,DAP,Destination,01
100,1000000339,000000,N030,30,2.000,DAP,Destination,01
100,1000000340,000000,N014,30,2.000,DAP,Destination,01
100,1000000341,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000342,000000,N014,30,2.000,DAP,Destination,01
100,1000000343,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000344,000000,N014,30,2.000,DAP,Destination,01
100,1000000345,000000,N014,30,2.000,DAP,Destination,01
100,1000000346,000000,N014,30,2.000,DAP,Destination,01
100,1000000347,000000,N014,30,2.000,DAP,Destination,01
100,1000000348,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000349,000000,N030,30,2.000,DAP,Destination,01
100,1000000350,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000351,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000352,000000,N060,30,2.000,DAP,Destination,01
100,1000000353,000000,N060,30,2.000,DAP,Destination,01
100,1000000354,000000,N030,30,2.000,DAP,Destination,01
100,1000000355,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000356,000000,N060,30,2.000,DAP,Destination,01
100,1000000357,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000358,000000,N060,30,2.000,DAP,Destination,01
100,1000000359,000000,N030,30,2.000,DAP,Destination,01
100,1000000360,000000,N030,30,2.000,DAP,Destination,01
100,1000000361,000000,N060,30,2.000,DAP,Destination,01
100,1000000362,000000,N014,30,2.000,DAP,Destination,01
100,1000000363,000000,N060,30,2.000,DAP,Destination,01
100,1000000364,000000,N060,30,2.000,DAP,Destination,01
100,1000000365,000000,N060,30,2.000,DAP,Destination,01
100,1000000366,000000,N060,30,2.000,DAP,Destination,01
100,1000000367,000000,N030,30,2.000,DAP,Destination,01
100,1000000368,000000,N014,30,2.000,DAP,Destination,01
100,1000000369,000000,N030,30,2.000,DAP,Destination,01
100,1000000370,000000,N030,30,2.000,DAP,Destination,01
100,1000000371,000000,N030,30,2.000,DAP,Destination,01
100,1000000372,000000,N060,30,2.000,DAP,Destination,01
100,1000000373,000000,N030,30,2.000,DAP,Destination,01
100,1000000374,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000375,000000,N030,30,2.000,DAP,Destination,01
100,1000000376,000000,N014,30,2.000,DAP,Destination,01
100,1000000377,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000378,000000,N060,30,2.000,DAP,Destination,01
100,1000000379,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000380,000000,N030,30,2.000,DAP,Destination,01
100,1000000381,000000,N060,30,2.000,DAP,Destination,01
100,1000000382,000000,N014,30,2.000,DAP,Destination,01
100,1000000383,000000,N060,30,2.000,DAP,Destination,01
100,1000000384,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000385,000000,N014,30,2.000,DAP,Destination,01
100,1000000386,000000,N030,30,2.000,DAP,Destination,01
100,1000000387,000000,N014,30,2.000,DAP,Destination,01
100,1000000388,000000,N060,30,2.000,DAP,Destination,01
100,1000000389,000000,N014,30,2.000,DAP,Destination,01
100,1000000390,000000,N014,30,2.000,DAP,Destination,01
100,1000000391,000000,N060,30,2.000,DAP,Destination,01
100,1000000392,000000,N014,30,2.000,DAP,Destination,01
100,1000000393,000000,N060,30,2.000,DAP,Destination,01
100,1000000394,000000,N060,30,2.000,DAP,Destination,01
100,1000000395,000000,N014,30,2.000,DAP,Destination,01
100,1000000396,000000,N060,30,2.000,DAP,Destination,01
100,1000000397,000000,N014,30,2.000,DAP,Destination,01
100,1000000398,000000,N030,30,2.000,DAP,Destination,01
100,1000000399,000000,N060,30,2.000,DAP,Destination,01
100,1000000400,000000,N030,30,2.000,DAP,Destination,01
100,1000000401,000000,N030,30,2.000,DAP,Destination,01
100,1000000402,000000,N014,30,2.000,DAP,Destination,01
100,1000000403,000000,N060,30,2.000,DAP,Destination,01
100,1000000404,000000,N030,30,2.000,DAP,Destination,01
100,1000000405,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000406,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000407,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000408,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000409,000000,N060,30,2.000,DAP,Destination,01
100,1000000410,000000,N014,30,2.000,DAP,Destination,01
100,1000000411,000000,N030,30,2.000,DAP,Destination,01
100,1000000412,000000,N030,30,2.000,DAP,Destination,01
100,1000000413,000000,N030,30,2.000,DAP,Destination,01
100,1000000414,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000415,000000,N060,30,2.000,DAP,Destination,01
100,1000000416,000000,N014,30,2.000,DAP,Destination,01
100,1000000417,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000418,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000419,000000,N060,30,2.000,DAP,Destination,01
100,1000000420,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000421,000000,N030,30,2.000,DAP,Destination,01
100,1000000422,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000423,000000,N060,30,2.000,DAP,Destination,01
100,1000000424,000000,N014,30,2.000,DAP,Destination,01
100,1000000425,000000,N030,30,2.000,DAP,Destination,01
100,1000000426,000000,N060,30,2.000,DAP,Destination,01
100,1000000427,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000428,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000429,000000,N060,30,2.000,DAP,Destination,01
100,1000000430,000000,N030,30,2.000,DAP,Destination,01
100,1000000431,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000432,000000,N030,30,2.000,DAP,Destination,01
100,1000000433,000000,N060,30,2.000,DAP,Destination,01
100,1000000434,000000,N030,30,2.000,DAP,Destination,01
100,1000000435,000000,N030,30,2.000,DAP,Destination,01
100,1000000436,000000,N030,30,2.000,DAP,Destination,01
100,1000000437,000000,N030,30,2.000,DAP,Destination,01
100,1000000438,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000439,000000,N014,30,2.000,DAP,Destination,01
100,1000000440,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000441,000000,N014,30,2.000,DAP,Destination,01
100,1000000442,000000,N014,30,2.000,DAP,Destination,01
100,1000000443,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000444,000000,N014,30,2.000,DAP,Destination,01
100,1000000445,000000,N060,30,2.000,DAP,Destination,01
100,1000000446,000000,N060,30,2.000,DAP,Destination,01
100,1000000447,000000,N030,30,2.000,DAP,Destination,01
100,1000000448,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000449,000000,N014,30,2.000,DAP,Destination,01
100,1000000450,000000,N030,30,2.000,DAP,Destination,01
100,1000000451,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000452,000000,N060,30,2.000,DAP,Destination,01
100,1000000453,000000,N030,30,2.000,DAP,Destination,01
100,1000000454,000000,N030,30,2.000,DAP,Destination,01
100,1000000455,000000,N030,30,2.000,DAP,Destination,01
100,1000000456,000000,N030,30,2.000,DAP,Destination,01
100,1000000457,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000458,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000459,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000460,000000,2/10N30,30,2.000,DAP,Destination,01
100,1000000461,000000,N030,30,2.000,DAP,Destination,01
100,1000000462,000000,N030,30,2.000,DAP,Destination,01
100,1000000463,000000,N014,30,2.000,DAP,Destination,01
100,1000000464,000000,N014,30,2.000,DAP,Destination,01
