MANDT,EBELN,EBELP,LOEKZ,STATU,AEDAT,TXZ01,MATNR,EMATN,BUKRS,WERKS,LGORT,MATKL,MENGE,MEINS,BPRME,NETPR,PEINH,NETWR,BRTWR,WEBAZ,MWSKZ,ELIKZ,EREKZ,PSTYP,KNTTP,WEPOS,REPOS,WEBRE,BSTYP,BANFN,BNFPO
100,4500000010,00020,,,2024-08-10,Material MAT00014,MAT00014,MAT00014,1000,P001,SL02,MG04,29.0,EA,EA,62.0,1,1798.0,1977.8,14,I1,,,0,,X,X,X,F,1000000010,00020
100,4500000011,00010,,,2024-06-01,Material MAT00021,MAT00021,MAT00021,1000,P002,SL02,MG02,317.0,EA,EA,144.55,1,45822.35,50404.59,14,I1,,,0,,X,X,X,F,1000000011,00010
100,4500000012,00010,,,2024-02-01,Material MAT00014,MAT00014,MAT00014,1000,P002,SL02,MG04,296.0,EA,EA,350.81,1,103839.76,114223.74,14,I1,,,0,,X,X,X,F,,
100,4500000013,00010,,,2024-09-05,Material MAT00014,MAT00014,MAT00014,1000,P002,SL01,MG04,343.0,EA,EA,208.12,1,71385.16,78523.68,14,I1,,,0,,X,X,X,F,,
100,4500000014,00010,,,2024-08-27,Material MAT00007,MAT00007,MAT00007,1000,P002,SL02,MG01,441.0,EA,EA,146.35,1,64540.35,70994.39,14,I1,,,0,,X,X,X,F,1000000014,00010
100,4500000015,00010,,,2024-03-08,Material MAT00008,MAT00008,MAT00008,1000,P001,SL03,MG02,238.0,EA,EA,135.56,1,32263.28,35489.61,14,I1,,,0,,X,X,X,F,,
100,4500000016,00010,,,2024-05-05,Material MAT00019,MAT00019,MAT00019,1000,P003,SL01,MG03,405.0,EA,EA,400.15,1,162060.75,178266.83,14,I1,,,0,,X,X,X,F,,
100,4500000016,00020,,,2024-05-05,Material MAT00008,MAT00008,MAT00008,1000,P003,SL01,MG06,26.0,EA,EA,384.71,1,10002.46,11002.71,14,I1,,,0,,X,X,X,F,,
100,4500000017,00010,,,2024-05-16,Material MAT00011,MAT00011,MAT00011,1000,P003,SL03,MG03,442.0,EA,EA,129.49,1,57234.58,62958.04,14,I1,,,0,,X,X,X,F,1000000017,00010
100,4500000018,00010,,,2024-04-12,Material MAT00017,MAT00017,MAT00017,1000,P002,SL03,MG06,209.0,EA,EA,282.04,1,58946.36,64841.0,14,I1,,,0,,X,X,X,F,1000000018,00010
100,4500000019,00010,,,2024-06-25,Material MAT00014,MAT00014,MAT00014,1000,P003,SL03,MG03,143.0,EA,EA,133.19,1,19046.17,20950.79,14,I1,,,0,,X,X,X,F,1000000019,00010
100,4500000020,00010,,,2024-07-09,Material MAT00008,MAT00008,MAT00008,1000,P001,SL01,MG05,357.0,EA,EA,72.03,1,25714.71,28286.18,14,I1,,,0,,X,X,X,F,1000000020,00010
100,4500000021,00010,,,2024-08-01,Material MAT00003,MAT00003,MAT00003,1000,P002,SL02,MG01,318.0,EA,EA,36.27,1,11533.86,12687.25,14,I1,,,0,,X,X,X,F,1000000021,00010
100,4500000022,00010,,,2024-02-22,Material MAT00020,MAT00020,MAT00020,1000,P003,SL03,MG02,140.0,EA,EA,49.78,1,6969.2,7666.12,14,I1,,,0,,X,X,X,F,,
100,4500000023,00010,,,2024-04-19,Material MAT00009,MAT00009,MAT00009,1000,P001,SL03,MG01,120.0,EA,EA,83.0,1,9960.0,10956.0,14,I1,,,0,,X,X,X,F,1000000023,00010
100,4500000024,00010,,,2024-01-29,Material MAT00003,MAT00003,MAT00003,1000,P003,SL02,MG05,133.0,EA,EA,54.75,1,7281.75,8009.93,14,I1,,,0,,X,X,X,F,1000000024,00010
100,4500000025,00010,,,2024-06-25,Material MAT00006,MAT00006,MAT00006,1000,P002,SL03,MG01,151.0,EA,EA,473.14,1,71444.14,78588.55,14,I1,,,0,,X,X,X,F,1000000025,00010
100,4500000026,00010,,,2024-08-25,Material MAT00021,MAT00021,MAT00021,1000,P002,SL03,MG06,141.0,EA,EA,74.2,1,10462.2,11508.42,14,I1,,,0,,X,X,X,F,1000000026,00010
100,4500000027,00010,,,2024-06-07,Material MAT00016,MAT00016,MAT00016,1000,P002,SL01,MG05,214.0,EA,EA,246.42,1,52733.88,58007.27,14,I1,,,0,,X,X,X,F,1000000027,00010
100,4500000027,00020,,,2024-06-07,Material MAT00007,MAT00007,MAT00007,1000,P002,SL01,MG03,71.0,EA,EA,317.21,1,22521.91,24774.1,14,I1,,,0,,X,X,X,F,1000000027,00020
100,4500000028,00010,,,2024-05-11,Material MAT00007,MAT00007,MAT00007,1000,P002,SL02,MG06,429.0,EA,EA,211.28,1,90639.12,99703.03,14,I1,,,0,,X,X,X,F,1000000028,00010
100,4500000029,00010,,,2024-03-22,Material MAT00001,MAT00001,MAT00001,1000,P001,SL03,MG05,47.0,EA,EA,392.95,1,18468.65,20315.51,14,I1,,,0,,X,X,X,F,1000000029,00010
100,4500000030,00010,,,2024-06-02,Material MAT00008,MAT00008,MAT00008,1000,P001,SL03,MG06,489.0,EA,EA,382.58,1,187081.62,205789.78,14,I1,,,0,,X,X,X,F,1000000030,00010
100,4500000030,00020,,,2024-06-02,Material MAT00003,MAT00003,MAT00003,1000,P001,SL03,MG06,53.0,EA,EA,170.7,1,9047.1,9951.81,14,I1,,,0,,X,X,X,F,1000000030,00020
100,4500000031,00010,,,2024-05-20,Material MAT00015,MAT00015,MAT00015,1000,P002,SL03,MG03,238.0,EA,EA,150.94,1,35923.72,39516.09,14,I1,,,0,,X,X,X,F,1000000031,00010
100,4500000031,00020,,,2024-05-20,Material MAT00008,MAT00008,MAT00008,1000,P002,SL03,MG03,26.0,EA,EA,158.73,1,4126.98,4539.68,14,I1,,,0,,X,X,X,F,1000000031,00020
100,4500000032,00010,,,2024-05-06,Material MAT00010,MAT00010,MAT00010,1000,P003,SL03,MG03,322.0,EA,EA,314.24,1,101185.28,111303.81,14,I1,,,0,,X,X,X,F,1000000032,00010
100,4500000032,00020,,,2024-05-06,Material MAT00003,MAT00003,MAT00003,1000,P003,SL03,MG03,158.0,EA,EA,351.82,1,55587.56,61146.32,14,I1,,,0,,X,X,X,F,1000000032,00020
100,4500000033,00010,,,2024-07-11,Material MAT00018,MAT00018,MAT00018,1000,P003,SL03,MG05,140.0,EA,EA,70.56,1,9878.4,10866.24,14,I1,,,0,,X,X,X,F,1000000033,00010
100,4500000034,00010,,,2024-06-13,Material MAT00023,MAT00023,MAT00023,1000,P003,SL01,MG01,78.0,EA,EA,473.67,1,36946.26,40640.89,14,I1,,,0,,X,X,X,F,1000000034,00010
100,4500000034,00020,,,2024-06-13,Material MAT00009,MAT00009,MAT00009,1000,P003,SL01,MG02,87.0,EA,EA,299.48,1,26054.76,28660.24,14,I1,,,0,,X,X,X,F,1000000034,00020
100,4500000035,00010,,,2024-07-07,Material MAT00018,MAT00018,MAT00018,1000,P001,SL03,MG06,103.0,EA,EA,69.86,1,7195.58,7915.14,14,I1,,,0,,X,X,X,F,1000000035,00010
100,4500000036,00010,,,2024-06-28,Material MAT00008,MAT00008,MAT00008,1000,P001,SL03,MG02,451.0,EA,EA,11.39,1,5136.89,5650.58,14,I1,,,0,,X,X,X,F,1000000036,00010
100,4500000036,00020,,,2024-06-28,Material MAT00005,MAT00005,MAT00005,1000,P001,SL03,MG05,15.0,EA,EA,299.27,1,4489.05,4937.95,14,I1,,,0,,X,X,X,F,1000000036,00020
100,4500000037,00010,,,2024-01-21,Material MAT00015,MAT00015,MAT00015,1000,P003,SL03,MG01,207.0,EA,EA,346.19,1,71661.33,78827.46,14,I1,,,0,,X,X,X,F,1000000037,00010
100,4500000038,00010,,,2024-08-13,Material MAT00017,MAT00017,MAT00017,1000,P003,SL02,MG02,428.0,EA,EA,328.95,1,140790.6,154869.66,14,I1,,,0,,X,X,X,F,1000000038,00010
100,4500000038,00020,,,2024-08-13,Material MAT00005,MAT00005,MAT00005,1000,P003,SL02,MG04,78.0,EA,EA,69.53,1,5423.34,5965.67,14,I1,,,0,,X,X,X,F,1000000038,00020
100,4500000039,00010,,,2024-08-15,Material MAT00022,MAT00022,MAT00022,1000,P001,SL02,MG05,485.0,EA,EA,304.2,1,147537.0,162290.7,14,I1,,,0,,X,X,X,F,1000000039,00010
100,4500000040,00010,,,2024-05-21,Material MAT00020,MAT00020,MAT00020,1000,P003,SL03,MG01,354.0,EA,EA,161.4,1,57135.6,62849.16,14,I1,,,0,,X,X,X,F,1000000040,00010
100,4500000041,00010,,,2024-02-18,Material MAT00011,MAT00011,MAT00011,1000,P001,SL02,MG04,380.0,EA,EA,34.38,1,13064.4,14370.84,14,I1,,,0,,X,X,X,F,1000000041,00010
100,4500000042,00010,,,2024-06-11,Material MAT00017,MAT00017,MAT00017,1000,P003,SL03,MG02,492.0,EA,EA,36.84,1,18125.28,19937.81,14,I1,,,0,,X,X,X,F,1000000042,00010
100,4500000043,00010,,,2024-08-16,Material MAT00002,MAT00002,MAT00002,1000,P002,SL01,MG03,432.0,EA,EA,292.12,1,126195.84,138815.42,14,I1,,,0,,X,X,X,F,1000000043,00010
100,4500000044,00010,,,2024-08-11,Material MAT00008,MAT00008,MAT00008,1000,P001,SL02,MG02,204.0,EA,EA,162.03,1,33054.12,36359.53,14,I1,,,0,,X,X,X,F,,
100,4500000045,00010,,,2024-05-17,Material MAT00005,MAT00005,MAT00005,1000,P001,SL01,MG06,85.0,EA,EA,381.98,1,32468.3,35715.13,14,I1,,,0,,X,X,X,F,1000000045,00010
100,4500000046,00010,,,2024-02-14,Material MAT00017,MAT00017,MAT00017,1000,P003,SL01,MG06,28.0,EA,EA,190.68,1,5339.04,5872.94,14,I1,,,0,,X,X,X,F,1000000046,00010
100,4500000047,00010,,,2024-02-15,Material MAT00011,MAT00011,MAT00011,1000,P001,SL02,MG03,357.0,EA,EA,495.58,1,176922.06,194614.27,14,I1,,,0,,X,X,X,F,,
100,4500000048,00010,,,2024-05-19,Material MAT00010,MAT00010,MAT00010,1000,P002,SL01,MG06,438.0,EA,EA,173.35,1,75927.3,83520.03,14,I1,,,0,,X,X,X,F,1000000048,00010
100,4500000048,00020,,,2024-05-19,Material MAT00003,MAT00003,MAT00003,1000,P002,SL01,MG06,136.0,EA,EA,333.29,1,45327.44,49860.18,14,I1,,,0,,X,X,X,F,1000000048,00020
100,4500000049,00010,,,2024-02-12,Material MAT00005,MAT00005,MAT00005,1000,P001,SL01,MG06,274.0,EA,EA,371.94,1,101911.56,112102.72,14,I1,,,0,,X,X,X,F,,
100,4500000049,00020,,,2024-02-12,Material MAT00013,MAT00013,MAT00013,1000,P001,SL01,MG01,181.0,EA,EA,291.26,1,52718.06,57989.87,14,I1,,,0,,X,X,X,F,,
100,4500000050,00010,,,2024-08-21,Material MAT00022,MAT00022,MAT00022,1000,P002,SL01,MG03,197.0,EA,EA,268.46,1,52886.62,58175.28,14,I1,,,0,,X,X,X,F,1000000050,00010
100,4500000050,00020,,,2024-08-21,Material MAT00005,MAT00005,MAT00005,1000,P002,SL01,MG04,93.0,EA,EA,210.21,1,19549.53,21504.48,14,I1,,,0,,X,X,X,F,1000000050,00020
100,4500000051,00010,,,2024-07-01,Material MAT00004,MAT00004,MAT00004,1000,P001,SL01,MG06,29.0,EA,EA,459.52,1,13326.08,14658.69,14,I1,,,0,,X,X,X,F,1000000051,00010
100,4500000052,00010,,,2024-06-06,Material MAT00008,MAT00008,MAT00008,1000,P002,SL01,MG01,323.0,EA,EA,315.18,1,101803.14,111983.45,14,I1,,,0,,X,X,X,F,,
100,4500000053,00010,,,2024-07-08,Material MAT00017,MAT00017,MAT00017,1000,P001,SL03,MG04,259.0,EA,EA,494.28,1,128018.52,140820.37,14,I1,,,0,,X,X,X,F,1000000053,00010
100,4500000054,00010,,,2024-01-30,Material MAT00005,MAT00005,MAT00005,1000,P001,SL03,MG06,409.0,EA,EA,95.79,1,39178.11,43095.92,14,I1,,,0,,X,X,X,F,1000000054,00010
100,4500000055,00010,,,2024-04-14,Material MAT00021,MAT00021,MAT00021,1000,P002,SL02,MG03,393.0,EA,EA,434.24,1,170656.32,187721.95,14,I1,,,0,,X,X,X,F,1000000055,00010
100,4500000055,00020,,,2024-04-14,Material MAT00015,MAT00015,MAT00015,1000,P002,SL02,MG01,160.0,EA,EA,114.02,1,18243.2,20067.52,14,I1,,,0,,X,X,X,F,1000000055,00020
100,4500000056,00010,,,2024-08-22,Material MAT00006,MAT00006,MAT00006,1000,P003,SL03,MG06,366.0,EA,EA,456.69,1,167148.54,183863.39,14,I1,,,0,,X,X,X,F,1000000056,00010
100,4500000057,00010,,,2024-01-19,Material MAT00019,MAT00019,MAT00019,1000,P002,SL02,MG05,475.0,EA,EA,192.29,1,91337.75,100471.53,14,I1,,,0,,X,X,X,F,,
100,4500000058,00010,,,2024-06-05,Material MAT00020,MAT00020,MAT00020,1000,P003,SL02,MG06,70.0,EA,EA,427.88,1,29951.6,32946.76,14,I1,,,0,,X,X,X,F,1000000058,00010
100,4500000059,00010,,,2024-07-12,Material MAT00001,MAT00001,MAT00001,1000,P001,SL01,MG01,239.0,EA,EA,491.68,1,117511.52,129262.67,14,I1,,,0,,X,X,X,F,1000000059,00010
100,4500000060,00010,,,2024-04-14,Material MAT00005,MAT00005,MAT00005,1000,P002,SL02,MG03,256.0,EA,EA,435.42,1,111467.52,122614.27,14,I1,,,0,,X,X,X,F,1000000060,00010
100,4500000061,00010,,,2024-02-26,Material MAT00020,MAT00020,MAT00020,1000,P001,SL03,MG01,300.0,EA,EA,294.52,1,88356.0,97191.6,14,I1,,,0,,X,X,X,F,1000000061,00010
100,4500000061,00020,,,2024-02-26,Material MAT00015,MAT00015,MAT00015,1000,P001,SL03,MG03,127.0,EA,EA,122.97,1,15617.19,17178.91,14,I1,,,0,,X,X,X,F,1000000061,00020
100,4500000062,00010,,,2024-06-22,Material MAT00011,MAT00011,MAT00011,1000,P002,SL03,MG02,74.0,EA,EA,191.56,1,14175.44,15592.98,14,I1,,,0,,X,X,X,F,1000000062,00010
100,4500000063,00010,,,2024-06-11,Material MAT00019,MAT00019,MAT00019,1000,P001,SL01,MG01,239.0,EA,EA,440.75,1,105339.25,115873.18,14,I1,,,0,,X,X,X,F,,
100,4500000064,00010,,,2024-01-16,Material MAT00018,MAT00018,MAT00018,1000,P003,SL02,MG03,76.0,EA,EA,139.59,1,10608.84,11669.72,14,I1,,,0,,X,X,X,F,1000000064,00010
100,4500000065,00010,,,2024-02-27,Material MAT00005,MAT00005,MAT00005,1000,P002,SL03,MG02,494.0,EA,EA,283.34,1,139969.96,153966.96,14,I1,,,0,,X,X,X,F,1000000065,00010
100,4500000066,00010,,,2024-06-18,Material MAT00011,MAT00011,MAT00011,1000,P003,SL03,MG06,372.0,EA,EA,156.62,1,58262.64,64088.9,14,I1,,,0,,X,X,X,F,1000000066,00010
100,4500000067,00010,,,2024-09-06,Material MAT00020,MAT00020,MAT00020,1000,P003,SL03,MG02,486.0,EA,EA,293.45,1,142616.7,156878.37,14,I1,,,0,,X,X,X,F,1000000067,00010
100,4500000067,00020,,,2024-09-06,Material MAT00007,MAT00007,MAT00007,1000,P003,SL03,MG04,35.0,EA,EA,279.3,1,9775.5,10753.05,14,I1,,,0,,X,X,X,F,1000000067,00020
100,4500000068,00010,,,2024-07-10,Material MAT00018,MAT00018,MAT00018,1000,P001,SL02,MG02,325.0,EA,EA,349.72,1,113659.0,125024.9,14,I1,,,0,,X,X,X,F,1000000068,00010
100,4500000069,00010,,,2024-03-12,Material MAT00010,MAT00010,MAT00010,1000,P003,SL03,MG03,196.0,EA,EA,490.28,1,96094.88,105704.37,14,I1,,,0,,X,X,X,F,1000000069,00010
100,4500000070,00010,,,2024-05-08,Material MAT00004,MAT00004,MAT00004,1000,P003,SL02,MG01,454.0,EA,EA,120.58,1,54743.32,60217.65,14,I1,,,0,,X,X,X,F,1000000070,00010
100,4500000071,00010,,,2024-05-01,Material MAT00003,MAT00003,MAT00003,1000,P002,SL03,MG04,442.0,EA,EA,96.14,1,42493.88,46743.27,14,I1,,,0,,X,X,X,F,,
100,4500000071,00020,,,2024-05-01,Material MAT00008,MAT00008,MAT00008,1000,P002,SL03,MG04,198.0,EA,EA,221.89,1,43934.22,48327.64,14,I1,,,0,,X,X,X,F,,
100,4500000072,00010,,,2024-08-06,Material MAT00006,MAT00006,MAT00006,1000,P002,SL03,MG02,171.0,EA,EA,206.41,1,35296.11,38825.72,14,I1,,,0,,X,X,X,F,1000000072,00010
100,4500000073,00010,,,2024-07-13,Material MAT00009,MAT00009,MAT00009,1000,P003,SL03,MG06,337.0,EA,EA,238.04,1,80219.48,88241.43,14,I1,,,0,,X,X,X,F,1000000073,00010
100,4500000074,00010,,,2024-02-20,Material MAT00008,MAT00008,MAT00008,1000,P003,SL02,MG05,355.0,EA,EA,48.27,1,17135.85,18849.44,14,I1,,,0,,X,X,X,F,1000000074,00010
100,4500000075,00010,,,2024-09-27,Material MAT00005,MAT00005,MAT00005,1000,P002,SL01,MG04,38.0,EA,EA,236.57,1,8989.66,9888.63,14,I1,,,0,,X,X,X,F,1000000075,00010
100,4500000076,00010,,,2024-04-13,Material MAT00014,MAT00014,MAT00014,1000,P002,SL01,MG04,324.0,EA,EA,367.35,1,119021.4,130923.54,14,I1,,,0,,X,X,X,F,1000000076,00010
100,4500000077,00010,,,2024-01-19,Material MAT00001,MAT00001,MAT00001,1000,P003,SL01,MG02,362.0,EA,EA,217.82,1,78850.84,86735.92,14,I1,,,0,,X,X,X,F,1000000077,00010
100,4500000078,00010,,,2024-01-26,Material MAT00004,MAT00004,MAT00004,1000,P001,SL01,MG04,355.0,EA,EA,33.85,1,12016.75,13218.43,14,I1,,,0,,X,X,X,F,1000000078,00010
100,4500000079,00010,,,2024-08-06,Material MAT00021,MAT00021,MAT00021,1000,P003,SL03,MG06,471.0,EA,EA,338.96,1,159650.16,175615.18,14,I1,,,0,,X,X,X,F,,
100,4500000080,00010,,,2024-08-07,Material MAT00018,MAT00018,MAT00018,1000,P001,SL02,MG06,76.0,EA,EA,129.0,1,9804.0,10784.4,14,I1,,,0,,X,X,X,F,1000000080,00010
100,4500000081,00010,,,2024-04-17,Material MAT00016,MAT00016,MAT00016,1000,P003,SL03,MG06,114.0,EA,EA,103.11,1,11754.54,12929.99,14,I1,,,0,,X,X,X,F,,
100,4500000082,00010,,,2024-09-08,Material MAT00004,MAT00004,MAT00004,1000,P003,SL02,MG01,192.0,EA,EA,212.83,1,40863.36,44949.7,14,I1,,,0,,X,X,X,F,1000000082,00010
100,4500000083,00010,,,2024-04-06,Material MAT00015,MAT00015,MAT00015,1000,P003,SL03,MG05,79.0,EA,EA,277.81,1,21946.99,24141.69,14,I1,,,0,,X,X,X,F,1000000083,00010
100,4500000084,00010,,,2024-09-14,Material MAT00002,MAT00002,MAT00002,1000,P003,SL02,MG05,13.0,EA,EA,280.31,1,3644.03,4008.43,14,I1,,,0,,X,X,X,F,1000000084,00010
100,4500000084,00020,,,2024-09-14,Material MAT00010,MAT00010,MAT00010,1000,P003,SL02,MG03,108.0,EA,EA,327.93,1,35416.44,38958.08,14,I1,,,0,,X,X,X,F,1000000084,00020
100,4500000085,00010,,,2024-08-03,Material MAT00003,MAT00003,MAT00003,1000,P003,SL03,MG04,243.0,EA,EA,322.01,1,78248.43,86073.27,14,I1,,,0,,X,X,X,F,1000000085,00010
100,4500000086,00010,,,2024-01-23,Material MAT00018,MAT00018,MAT00018,1000,P001,SL03,MG03,481.0,EA,EA,297.65,1,143169.65,157486.62,14,I1,,,0,,X,X,X,F,1000000086,00010
100,4500000087,00010,,,2024-01-26,Material MAT00011,MAT00011,MAT00011,1000,P002,SL03,MG04,496.0,EA,EA,250.4,1,124198.4,136618.24,14,I1,,,0,,X,X,X,F,1000000087,00010
100,4500000088,00010,,,2024-07-08,Material MAT00011,MAT00011,MAT00011,1000,P001,SL03,MG02,472.0,EA,EA,227.92,1,107578.24,118336.06,14,I1,,,0,,X,X,X,F,1000000088,00010
100,4500000089,00010,,,2024-08-07,Material MAT00010,MAT00010,MAT00010,1000,P002,SL02,MG06,452.0,EA,EA,453.55,1,205004.6,225505.06,14,I1,,,0,,X,X,X,F,1000000089,00010
100,4500000090,00010,,,2024-05-16,Material MAT00009,MAT00009,MAT00009,1000,P002,SL01,MG03,301.0,EA,EA,105.82,1,31851.82,35037.0,14,I1,,,0,,X,X,X,F,1000000090,00010
100,4500000091,00010,,,2024-04-20,Material MAT00020,MAT00020,MAT00020,1000,P001,SL02,MG05,483.0,EA,EA,484.68,1,234100.44,257510.48,14,I1,,,0,,X,X,X,F,1000000091,00010
100,4500000092,00010,,,2024-02-16,Material MAT00010,MAT00010,MAT00010,1000,P003,SL01,MG06,255.0,EA,EA,320.33,1,81684.15,89852.57,14,I1,,,0,,X,X,X,F,1000000092,00010
100,4500000093,00010,,,2024-02-18,Material MAT00012,MAT00012,MAT00012,1000,P002,SL03,MG04,336.0,EA,EA,91.51,1,30747.36,33822.1,14,I1,,,0,,X,X,X,F,1000000093,00010
100,4500000093,00020,,,2024-02-18,Material MAT00013,MAT00013,MAT00013,1000,P002,SL03,MG02,138.0,EA,EA,279.27,1,38539.26,42393.19,14,I1,,,0,,X,X,X,F,1000000093,00020
100,4500000094,00010,,,2024-04-24,Material MAT00015,MAT00015,MAT00015,1000,P002,SL02,MG01,243.0,EA,EA,224.7,1,54602.1,60062.31,14,I1,,,0,,X,X,X,F,1000000094,00010
100,4500000095,00010,,,2024-08-14,Material MAT00011,MAT00011,MAT00011,1000,P003,SL01,MG01,208.0,EA,EA,100.38,1,20879.04,22966.94,14,I1,,,0,,X,X,X,F,1000000095,00010
100,4500000096,00010,,,2024-06-21,Material MAT00012,MAT00012,MAT00012,1000,P003,SL01,MG05,139.0,EA,EA,432.69,1,60143.91,66158.3,14,I1,,,0,,X,X,X,F,1000000096,00010
100,4500000097,00010,,,2024-03-07,Material MAT00011,MAT00011,MAT00011,1000,P003,SL01,MG05,100.0,EA,EA,349.78,1,34978.0,38475.8,14,I1,,,0,,X,X,X,F,1000000097,00010
100,4500000097,00020,,,2024-03-07,Material MAT00003,MAT00003,MAT00003,1000,P003,SL01,MG05,41.0,EA,EA,338.37,1,13873.17,15260.49,14,I1,,,0,,X,X,X,F,1000000097,00020
100,4500000098,00010,,,2024-08-23,Material MAT00023,MAT00023,MAT00023,1000,P003,SL02,MG03,287.0,EA,EA,399.98,1,114794.26,126273.69,14,I1,,,0,,X,X,X,F,1000000098,00010
100,4500000098,00020,,,2024-08-23,Material MAT00008,MAT00008,MAT00008,1000,P003,SL02,MG01,112.0,EA,EA,54.15,1,6064.8,6671.28,14,I1,,,0,,X,X,X,F,1000000098,00020
100,4500000099,00010,,,2024-04-28,Material MAT00008,MAT00008,MAT00008,1000,P001,SL02,MG05,182.0,EA,EA,358.27,1,65205.14,71725.65,14,I1,,,0,,X,X,X,F,1000000099,00010
100,4500000100,00010,,,2024-02-24,Material MAT00017,MAT00017,MAT00017,1000,P002,SL03,MG02,496.0,EA,EA,434.85,1,215685.6,237254.16,14,I1,,,0,,X,X,X,F,1000000100,00010
100,4500000101,00010,,,2024-05-23,Material MAT00017,MAT00017,MAT00017,1000,P003,SL01,MG06,170.0,EA,EA,11.21,1,1905.7,2096.27,14,I1,,,0,,X,X,X,F,,
100,4500000102,00010,,,2024-03-01,Material MAT00002,MAT00002,MAT00002,1000,P002,SL02,MG04,71.0,EA,EA,430.25,1,30547.75,33602.53,14,I1,,,0,,X,X,X,F,1000000102,00010
100,4500000102,00020,,,2024-03-01,Material MAT00002,MAT00002,MAT00002,1000,P002,SL02,MG02,78.0,EA,EA,362.48,1,28273.44,31100.78,14,I1,,,0,,X,X,X,F,1000000102,00020
100,4500000103,00010,,,2024-01-15,Material MAT00001,MAT00001,MAT00001,1000,P001,SL03,MG01,69.0,EA,EA,431.57,1,29778.33,32756.16,14,I1,,,0,,X,X,X,F,1000000103,00010
100,4500000104,00010,,,2024-01-14,Material MAT00003,MAT00003,MAT00003,1000,P003,SL03,MG05,226.0,EA,EA,363.99,1,82261.74,90487.91,14,I1,,,0,,X,X,X,F,1000000104,00010
100,4500000105,00010,,,2024-06-05,Material MAT00008,MAT00008,MAT00008,1000,P001,SL02,MG05,425.0,EA,EA,332.62,1,141363.5,155499.85,14,I1,,,0,,X,X,X,F,1000000105,00010
100,4500000106,00010,,,2024-01-14,Material MAT00017,MAT00017,MAT00017,1000,P001,SL02,MG05,200.0,EA,EA,421.1,1,84220.0,92642.0,14,I1,,,0,,X,X,X,F,1000000106,00010
100,4500000107,00010,,,2024-07-29,Material MAT00014,MAT00014,MAT00014,1000,P003,SL02,MG01,273.0,EA,EA,84.81,1,23153.13,25468.44,14,I1,,,0,,X,X,X,F,1000000107,00010
100,4500000108,00010,,,2024-08-29,Material MAT00004,MAT00004,MAT00004,1000,P001,SL01,MG06,162.0,EA,EA,373.43,1,60495.66,66545.23,14,I1,,,0,,X,X,X,F,1000000108,00010
