MANDT,MBLNR,MJAHR,VGART,BLART,BLAUM,BLDAT,BUDAT,CPUDT,CPUTM,USNAM,TCODE,XBLNR,BKTXT
100,4900000105,2023,WE,WE,,2023-01-17,2023-01-17,2023-01-17,094400,WHOUSE01,MIGO,REF-4900000105,
100,4900000106,2024,WE,WE,,2024-02-02,2024-02-02,2024-02-02,131000,WHOUSE01,MIGO,REF-4900000106,
100,4900000107,2023,UML,WA,,2023-01-30,2023-01-30,2023-01-30,163600,WHOUSE02,MIGO,REF-4900000107,
100,4900000108,2023,WE,WE,,2023-05-30,2023-05-30,2023-05-30,171200,WHOUSE01,MIGO,REF-4900000108,
100,4900000109,2024,WE,WE,,2024-11-02,2024-11-02,2024-11-02,111300,WHOUSE01,MIGO,REF-4900000109,
100,4900000110,2024,WE,WE,,2024-08-23,2024-08-23,2024-08-23,155100,WHOUSE01,MIGO,REF-4900000110,
100,4900000111,2024,WE,WE,,2024-03-13,2024-03-13,2024-03-13,170900,WHOUSE01,MIGO,REF-4900000111,
100,4900000112,2023,WE,WE,,2023-02-23,2023-02-23,2023-02-23,125200,WHOUSE02,MIGO,REF-4900000112,
100,4900000113,2023,WA,WA,,2023-07-21,2023-07-21,2023-07-21,121800,WHOUSE02,MIGO,REF-4900000113,
100,4900000114,2024,WA,WA,,2024-10-04,2024-10-04,2024-10-04,101000,WHOUSE01,MIGO,REF-4900000114,
100,4900000115,2024,WA,WA,,2024-08-19,2024-08-19,2024-08-19,121000,WHOUSE02,MIGO,REF-4900000115,
100,4900000116,2023,WE,WE,,2023-09-25,2023-09-25,2023-09-25,095800,WHOUSE01,MIGO,REF-4900000116,
100,4900000117,2023,UML,WA,,2023-10-11,2023-10-11,2023-10-11,154300,WHOUSE02,MIGO,REF-4900000117,
100,4900000118,2023,WE,WE,,2023-12-19,2023-12-19,2023-12-19,143000,WHOUSE02,MIGO,REF-4900000118,
100,4900000119,2023,WE,WE,,2023-07-26,2023-07-26,2023-07-26,154100,WHOUSE02,MIGO,REF-4900000119,
100,4900000120,2024,UML,WA,,2024-01-14,2024-01-14,2024-01-14,141500,WHOUSE02,MIGO,REF-4900000120,
100,4900000121,2024,WE,WE,,2024-04-23,2024-04-23,2024-04-23,130900,WHOUSE01,MIGO,REF-4900000121,
100,4900000122,2024,WE,WE,,2024-06-25,2024-06-25,2024-06-25,075700,WHOUSE02,MIGO,REF-4900000122,
100,4900000123,2023,WE,WE,,2023-11-23,2023-11-23,2023-11-23,123700,WHOUSE02,MIGO,REF-4900000123,
100,4900000124,2023,WA,WA,,2023-04-02,2023-04-02,2023-04-02,082900,WHOUSE02,MIGO,REF-4900000124,
100,4900000125,2023,WE,WE,,2023-01-29,2023-01-29,2023-01-29,072900,WHOUSE01,MIGO,REF-4900000125,
100,4900000126,2023,WE,WE,,2023-04-02,2023-04-02,2023-04-02,154500,WHOUSE02,MIGO,REF-4900000126,
100,4900000127,2024,WE,WE,,2024-07-21,2024-07-21,2024-07-21,112900,WHOUSE02,MIGO,REF-4900000127,
100,4900000128,2024,UML,WA,,2024-03-01,2024-03-01,2024-03-01,112000,WHOUSE02,MIGO,REF-4900000128,
100,4900000129,2023,WA,WA,,2023-07-12,2023-07-12,2023-07-12,084300,WHOUSE02,MIGO,REF-4900000129,
100,4900000130,2023,WE,WE,,2023-10-15,2023-10-15,2023-10-15,151200,WHOUSE02,MIGO,REF-4900000130,
100,4900000131,2024,WE,WE,,2024-05-16,2024-05-16,2024-05-16,075400,WHOUSE02,MIGO,REF-4900000131,
100,4900000132,2023,WE,WE,,2023-05-26,2023-05-26,2023-05-26,092400,WHOUSE01,MIGO,REF-4900000132,
100,4900000133,2024,WE,WE,,2024-02-26,2024-02-26,2024-02-26,113000,WHOUSE01,MIGO,REF-4900000133,
100,4900000134,2023,WE,WE,,2023-09-23,2023-09-23,2023-09-23,135100,WHOUSE02,MIGO,REF-4900000134,
100,4900000135,2023,WE,WE,,2023-01-10,2023-01-10,2023-01-10,112100,WHOUSE01,MIGO,REF-4900000135,
100,4900000136,2024,WA,WA,,2024-07-23,2024-07-23,2024-07-23,131900,WHOUSE01,MIGO,REF-4900000136,
100,4900000137,2023,WE,WE,,2023-01-28,2023-01-28,2023-01-28,130200,WHOUSE01,MIGO,REF-4900000137,
100,4900000138,2023,WA,WA,,2023-12-12,2023-12-12,2023-12-12,114600,WHOUSE01,MIGO,REF-4900000138,
100,4900000139,2023,WE,WE,,2023-09-27,2023-09-27,2023-09-27,094400,WHOUSE01,MIGO,REF-4900000139,
100,4900000140,2024,WA,WA,,2024-09-12,2024-09-12,2024-09-12,141000,WHOUSE01,MIGO,REF-4900000140,
100,4900000141,2023,WE,WE,,2023-10-02,2023-10-02,2023-10-02,152000,WHOUSE02,MIGO,REF-4900000141,
100,4900000142,2024,WE,WE,,2024-09-29,2024-09-29,2024-09-29,083100,WHOUSE02,MIGO,REF-4900000142,
100,4900000143,2024,WE,WE,,2024-04-15,2024-04-15,2024-04-15,082500,WHOUSE02,MIGO,REF-4900000143,
100,4900000144,2023,WE,WE,,2023-07-09,2023-07-09,2023-07-09,164900,WHOUSE01,MIGO,REF-4900000144,
100,4900000145,2024,WA,WA,,2024-07-25,2024-07-25,2024-07-25,102500,WHOUSE01,MIGO,REF-4900000145,
100,4900000146,2024,WE,WE,,2024-02-03,2024-02-03,2024-02-03,103100,WHOUSE01,MIGO,REF-4900000146,
100,4900000147,2023,WE,WE,,2023-06-30,2023-06-30,2023-06-30,104700,WHOUSE01,MIGO,REF-4900000147,
100,4900000148,2023,WE,WE,,2023-11-25,2023-11-25,2023-11-25,071100,WHOUSE02,MIGO,REF-4900000148,
100,4900000149,2023,WE,WE,,2023-12-23,2023-12-23,2023-12-23,155200,WHOUSE02,MIGO,REF-4900000149,
100,4900000150,2023,WE,WE,,2023-01-30,2023-01-30,2023-01-30,155200,WHOUSE01,MIGO,REF-4900000150,
100,4900000151,2024,WE,WE,,2024-08-26,2024-08-26,2024-08-26,090400,WHOUSE01,MIGO,REF-4900000151,
100,4900000152,2024,WE,WE,,2024-01-10,2024-01-10,2024-01-10,174900,WHOUSE01,MIGO,REF-4900000152,
100,4900000153,2024,WE,WE,,2024-01-21,2024-01-21,2024-01-21,115000,WHOUSE01,MIGO,REF-4900000153,
100,4900000154,2024,WE,WE,,2024-12-15,2024-12-15,2024-12-15,135600,WHOUSE01,MIGO,REF-4900000154,
100,4900000155,2024,WE,WE,,2024-01-19,2024-01-19,2024-01-19,103400,WHOUSE02,MIGO,REF-4900000155,
100,4900000156,2023,WE,WE,,2023-03-21,2023-03-21,2023-03-21,070400,WHOUSE02,MIGO,REF-4900000156,
100,4900000157,2023,WE,WE,,2023-12-29,2023-12-29,2023-12-29,094000,WHOUSE02,MIGO,REF-4900000157,
100,4900000158,2024,WE,WE,,2024-03-17,2024-03-17,2024-03-17,111900,WHOUSE01,MIGO,REF-4900000158,
100,4900000159,2023,WE,WE,,2023-03-12,2023-03-12,2023-03-12,134600,WHOUSE02,MIGO,REF-4900000159,
100,4900000160,2024,WA,WA,,2024-10-08,2024-10-08,2024-10-08,164000,WHOUSE01,MIGO,REF-4900000160,
100,4900000161,2024,WE,WE,,2024-01-03,2024-01-03,2024-01-03,161900,WHOUSE01,MIGO,REF-4900000161,
100,4900000162,2023,UML,WA,,2023-06-18,2023-06-18,2023-06-18,161200,WHOUSE01,MIGO,REF-4900000162,
100,4900000163,2024,WE,WE,,2024-04-08,2024-04-08,2024-04-08,142800,WHOUSE02,MIGO,REF-4900000163,
100,4900000164,2024,WE,WE,,2024-10-30,2024-10-30,2024-10-30,175800,WHOUSE01,MIGO,REF-4900000164,
100,4900000165,2023,WA,WA,,2023-10-04,2023-10-04,2023-10-04,093200,WHOUSE01,MIGO,REF-4900000165,
100,4900000166,2023,WE,WE,,2023-04-15,2023-04-15,2023-04-15,140600,WHOUSE02,MIGO,REF-4900000166,
100,4900000167,2024,UML,WA,,2024-08-02,2024-08-02,2024-08-02,080800,WHOUSE02,MIGO,REF-4900000167,
100,4900000168,2024,WE,WE,,2024-03-17,2024-03-17,2024-03-17,093000,WHOUSE02,MIGO,REF-4900000168,
100,4900000169,2023,WA,WA,,2023-09-30,2023-09-30,2023-09-30,132700,WHOUSE02,MIGO,REF-4900000169,
100,4900000170,2023,UML,WA,,2023-09-20,2023-09-20,2023-09-20,160900,WHOUSE01,MIGO,REF-4900000170,
100,4900000171,2023,WA,WA,,2023-09-24,2023-09-24,2023-09-24,094600,WHOUSE01,MIGO,REF-4900000171,
100,4900000172,2023,WE,WE,,2023-11-09,2023-11-09,2023-11-09,070300,WHOUSE01,MIGO,REF-4900000172,
100,4900000173,2024,WE,WE,,2024-10-06,2024-10-06,2024-10-06,092500,WHOUSE02,MIGO,REF-4900000173,
100,4900000174,2024,WE,WE,,2024-10-13,2024-10-13,2024-10-13,104900,WHOUSE01,MIGO,REF-4900000174,
100,4900000175,2024,UML,WA,,2024-03-04,2024-03-04,2024-03-04,164100,WHOUSE02,MIGO,REF-4900000175,
100,4900000176,2024,WA,WA,,2024-01-08,2024-01-08,2024-01-08,100700,WHOUSE02,MIGO,REF-4900000176,
100,4900000177,2023,WE,WE,,2023-09-17,2023-09-17,2023-09-17,131100,WHOUSE01,MIGO,REF-4900000177,
100,4900000178,2023,WE,WE,,2023-09-04,2023-09-04,2023-09-04,113000,WHOUSE02,MIGO,REF-4900000178,
100,4900000179,2023,UML,WA,,2023-12-27,2023-12-27,2023-12-27,070900,WHOUSE02,MIGO,REF-4900000179,
100,4900000180,2023,WE,WE,,2023-04-09,2023-04-09,2023-04-09,144200,WHOUSE01,MIGO,REF-4900000180,
100,4900000181,2023,WE,WE,,2023-07-01,2023-07-01,2023-07-01,133500,WHOUSE02,MIGO,REF-4900000181,
100,4900000182,2023,WE,WE,,2023-12-16,2023-12-16,2023-12-16,115100,WHOUSE01,MIGO,REF-4900000182,
100,4900000183,2024,WE,WE,,2024-12-01,2024-12-01,2024-12-01,162900,WHOUSE02,MIGO,REF-4900000183,
100,4900000184,2024,WE,WE,,2024-12-25,2024-12-25,2024-12-25,114800,WHOUSE01,MIGO,REF-4900000184,
100,4900000185,2023,WE,WE,,2023-01-26,2023-01-26,2023-01-26,141300,WHOUSE01,MIGO,REF-4900000185,
100,4900000186,2024,WE,WE,,2024-10-08,2024-10-08,2024-10-08,112200,WHOUSE01,MIGO,REF-4900000186,
100,4900000187,2023,WE,WE,,2023-02-28,2023-02-28,2023-02-28,161300,WHOUSE02,MIGO,REF-4900000187,
100,4900000188,2023,UML,WA,,2023-12-19,2023-12-19,2023-12-19,115600,WHOUSE02,MIGO,REF-4900000188,
100,4900000189,2024,WE,WE,,2024-03-07,2024-03-07,2024-03-07,101000,WHOUSE01,MIGO,REF-4900000189,
100,4900000190,2024,UML,WA,,2024-03-14,2024-03-14,2024-03-14,161900,WHOUSE01,MIGO,REF-4900000190,
100,4900000191,2023,WE,WE,,2023-09-04,2023-09-04,2023-09-04,093600,WHOUSE01,MIGO,REF-4900000191,
100,4900000192,2023,UML,WA,,2023-09-11,2023-09-11,2023-09-11,144800,WHOUSE01,MIGO,REF-4900000192,
100,4900000193,2024,WE,WE,,2024-01-25,2024-01-25,2024-01-25,172700,WHOUSE01,MIGO,REF-4900000193,
100,4900000194,2023,WE,WE,,2023-12-30,2023-12-30,2023-12-30,170400,WHOUSE01,MIGO,REF-4900000194,
100,4900000195,2023,WE,WE,,2023-02-27,2023-02-27,2023-02-27,171400,WHOUSE02,MIGO,REF-4900000195,
100,4900000196,2023,WE,WE,,2023-02-05,2023-02-05,2023-02-05,135100,WHOUSE02,MIGO,REF-4900000196,
100,4900000197,2023,WE,WE,,2023-06-14,2023-06-14,2023-06-14,175400,WHOUSE01,MIGO,REF-4900000197,
100,4900000198,2023,WE,WE,,2023-05-22,2023-05-22,2023-05-22,075700,WHOUSE02,MIGO,REF-4900000198,
100,4900000199,2023,WA,WA,,2023-06-03,2023-06-03,2023-06-03,112500,WHOUSE01,MIGO,REF-4900000199,
100,4900000200,2024,WE,WE,,2024-07-18,2024-07-18,2024-07-18,071400,WHOUSE02,MIGO,REF-4900000200,
100,4900000201,2023,WE,WE,,2023-05-16,2023-05-16,2023-05-16,152300,WHOUSE02,MIGO,REF-4900000201,
100,4900000202,2024,WE,WE,,2024-06-07,2024-06-07,2024-06-07,170300,WHOUSE01,MIGO,REF-4900000202,
100,4900000203,2023,WE,WE,,2023-08-22,2023-08-22,2023-08-22,141700,WHOUSE01,MIGO,REF-4900000203,
100,4900000204,2023,WA,WA,,2023-10-04,2023-10-04,2023-10-04,082200,WHOUSE02,MIGO,REF-4900000204,
100,4900000205,2024,WE,WE,,2024-08-30,2024-08-30,2024-08-30,100500,WHOUSE01,MIGO,REF-4900000205,
100,4900000206,2023,WA,WA,,2023-04-28,2023-04-28,2023-04-28,172400,WHOUSE01,MIGO,REF-4900000206,
100,4900000207,2023,WE,WE,,2023-05-04,2023-05-04,2023-05-04,155600,WHOUSE02,MIGO,REF-4900000207,
100,4900000208,2023,WE,WE,,2023-11-06,2023-11-06,2023-11-06,175200,WHOUSE01,MIGO,REF-4900000208,
100,4900000209,2023,WE,WE,,2023-09-16,2023-09-16,2023-09-16,124900,WHOUSE01,MIGO,REF-4900000209,
100,4900000210,2024,WE,WE,,2024-03-23,2024-03-23,2024-03-23,075300,WHOUSE02,MIGO,REF-4900000210,
100,4900000211,2023,WE,WE,,2023-08-07,2023-08-07,2023-08-07,154300,WHOUSE01,MIGO,REF-4900000211,
100,4900000212,2024,WA,WA,,2024-08-01,2024-08-01,2024-08-01,110000,WHOUSE01,MIGO,REF-4900000212,
100,4900000213,2024,WE,WE,,2024-12-23,2024-12-23,2024-12-23,172100,WHOUSE02,MIGO,REF-4900000213,
100,4900000214,2023,UML,WA,,2023-11-01,2023-11-01,2023-11-01,115600,WHOUSE02,MIGO,REF-4900000214,
100,4900000215,2023,WE,WE,,2023-01-20,2023-01-20,2023-01-20,152000,WHOUSE02,MIGO,REF-4900000215,
100,4900000216,2024,WA,WA,,2024-02-02,2024-02-02,2024-02-02,144700,WHOUSE02,MIGO,REF-4900000216,
100,4900000217,2023,UML,WA,,2023-09-06,2023-09-06,2023-09-06,170900,WHOUSE02,MIGO,REF-4900000217,
100,4900000218,2024,UML,WA,,2024-12-08,2024-12-08,2024-12-08,123100,WHOUSE02,MIGO,REF-4900000218,
