MANDT,BUKRS,BELNR,GJAHR,BLART,BLDAT,BUDAT,MONAT,CPUDT,USNAM,TCODE,WAERS,KURSF,BSTAT,GLVOR,AWTYP,AWKEY,HWAER,CPUTM
100,1000,6000000018,2024,RV,2024-05-21,2024-05-21,05,2024-05-21,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000018,USD,084659
100,1000,6000000020,2024,RV,2024-04-11,2024-04-11,04,2024-04-11,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000020,USD,144258
100,1000,6000000021,2024,RV,2024-06-14,2024-06-14,06,2024-06-14,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000021,USD,085355
100,1000,6000000022,2024,RV,2024-02-09,2024-02-09,02,2024-02-09,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000022,USD,150430
100,1000,6000000023,2024,RV,2024-02-10,2024-02-10,02,2024-02-10,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000023,USD,090018
100,1000,6000000025,2024,RV,2024-05-03,2024-05-03,05,2024-05-03,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000025,USD,110541
100,1000,6000000026,2024,RV,2024-10-24,2024-10-24,10,2024-10-24,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000026,USD,155418
100,1000,6000000027,2024,RV,2024-05-23,2024-05-23,05,2024-05-23,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000027,USD,130000
100,1000,6000000028,2024,RV,2024-06-07,2024-06-07,06,2024-06-07,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000028,USD,091430
100,1000,6000000029,2024,RV,2024-09-16,2024-09-16,09,2024-09-16,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000029,USD,121056
100,1000,6000000030,2024,RV,2024-09-03,2024-09-03,09,2024-09-03,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000030,USD,163917
100,1000,6000000031,2024,RV,2024-10-05,2024-10-05,10,2024-10-05,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000031,USD,103447
100,1000,6000000032,2024,RV,2024-07-11,2024-07-11,07,2024-07-11,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000032,USD,102435
100,1000,6000000033,2024,RV,2024-08-02,2024-08-02,08,2024-08-02,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000033,USD,135756
100,1000,6000000034,2024,RV,2024-03-17,2024-03-17,03,2024-03-17,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000034,USD,150715
100,1000,6000000035,2024,RV,2024-10-18,2024-10-18,10,2024-10-18,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000035,USD,172127
100,1000,6000000036,2024,RV,2024-03-18,2024-03-18,03,2024-03-18,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000036,USD,162120
100,1000,6000000038,2024,RV,2024-02-26,2024-02-26,02,2024-02-26,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000038,USD,144247
100,1000,6000000039,2024,RV,2024-02-24,2024-02-24,02,2024-02-24,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000039,USD,175555
100,1000,6000000040,2024,RV,2024-05-02,2024-05-02,05,2024-05-02,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000040,USD,091249
100,1000,6000000041,2024,RV,2024-08-16,2024-08-16,08,2024-08-16,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000041,USD,082357
100,1000,6000000042,2024,RV,2024-08-28,2024-08-28,08,2024-08-28,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000042,USD,153313
100,1000,6000000043,2024,RV,2024-05-24,2024-05-24,05,2024-05-24,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000043,USD,080611
100,1000,6000000044,2024,RV,2024-08-14,2024-08-14,08,2024-08-14,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000044,USD,162524
100,1000,6000000045,2024,RV,2024-11-04,2024-11-04,11,2024-11-04,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000045,USD,155444
100,1000,6000000046,2024,RV,2024-06-28,2024-06-28,06,2024-06-28,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000046,USD,135703
100,1000,6000000048,2024,RV,2024-10-17,2024-10-17,10,2024-10-17,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000048,USD,161408
100,1000,6000000050,2024,RV,2024-01-30,2024-01-30,01,2024-01-30,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000050,USD,142412
100,1000,6000000051,2024,RV,2024-07-10,2024-07-10,07,2024-07-10,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000051,USD,141831
100,1000,6000000052,2024,RV,2024-02-25,2024-02-25,02,2024-02-25,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000052,USD,095525
100,1000,6000000053,2024,RV,2024-04-26,2024-04-26,04,2024-04-26,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000053,USD,160330
100,1000,6000000055,2024,RV,2024-07-26,2024-07-26,07,2024-07-26,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000055,USD,115252
100,1000,6000000056,2024,RV,2024-04-21,2024-04-21,04,2024-04-21,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000056,USD,145848
100,1000,6000000058,2024,RV,2024-10-18,2024-10-18,10,2024-10-18,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000058,USD,095540
100,1000,6000000059,2024,RV,2024-05-10,2024-05-10,05,2024-05-10,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000059,USD,081646
100,1000,6000000061,2024,RV,2024-06-21,2024-06-21,06,2024-06-21,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000061,USD,140233
100,1000,6000000062,2024,RV,2024-06-06,2024-06-06,06,2024-06-06,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000062,USD,140233
100,1000,6000000064,2024,RV,2024-04-28,2024-04-28,04,2024-04-28,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000064,USD,081319
100,1000,6000000065,2024,RV,2024-07-15,2024-07-15,07,2024-07-15,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000065,USD,130333
100,1000,6000000066,2024,RV,2024-05-15,2024-05-15,05,2024-05-15,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000066,USD,091608
100,1000,6000000067,2024,RV,2024-07-11,2024-07-11,07,2024-07-11,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000067,USD,133232
100,1000,6000000068,2024,RV,2024-02-04,2024-02-04,02,2024-02-04,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000068,USD,134506
100,1000,6000000069,2024,RV,2024-02-21,2024-02-21,02,2024-02-21,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000069,USD,154051
100,1000,6000000070,2024,RV,2024-10-01,2024-10-01,10,2024-10-01,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000070,USD,120030
100,1000,6000000071,2024,RV,2024-03-03,2024-03-03,03,2024-03-03,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000071,USD,171842
100,1000,6000000072,2024,RV,2024-06-07,2024-06-07,06,2024-06-07,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000072,USD,104051
100,1000,6000000075,2024,RV,2024-07-17,2024-07-17,07,2024-07-17,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000075,USD,091238
100,1000,6000000076,2024,RV,2024-04-07,2024-04-07,04,2024-04-07,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000076,USD,134406
100,1000,6000000077,2024,RV,2024-04-02,2024-04-02,04,2024-04-02,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000077,USD,130245
100,1000,6000000078,2024,RV,2024-09-16,2024-09-16,09,2024-09-16,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000078,USD,102535
100,1000,6000000079,2024,RV,2024-04-13,2024-04-13,04,2024-04-13,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000079,USD,142150
100,1000,6000000080,2024,RV,2024-05-22,2024-05-22,05,2024-05-22,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000080,USD,141731
100,1000,6000000081,2024,RV,2024-01-28,2024-01-28,01,2024-01-28,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000081,USD,103239
100,1000,6000000082,2024,RV,2024-03-03,2024-03-03,03,2024-03-03,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000082,USD,124544
100,1000,6000000083,2024,RV,2024-09-25,2024-09-25,09,2024-09-25,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000083,USD,132505
100,1000,6000000084,2024,RV,2024-03-12,2024-03-12,03,2024-03-12,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000084,USD,104506
100,1000,6000000086,2024,RV,2024-10-07,2024-10-07,10,2024-10-07,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000086,USD,133547
100,1000,6000000088,2024,RV,2024-10-03,2024-10-03,10,2024-10-03,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000088,USD,135003
100,1000,6000000091,2024,RV,2024-05-17,2024-05-17,05,2024-05-17,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000091,USD,114240
100,1000,6000000093,2024,RV,2024-10-10,2024-10-10,10,2024-10-10,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000093,USD,130607
100,1000,6000000094,2024,RV,2024-10-24,2024-10-24,10,2024-10-24,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000094,USD,101812
100,1000,6000000096,2024,RV,2024-02-15,2024-02-15,02,2024-02-15,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000096,USD,154451
100,1000,6000000097,2024,RV,2024-08-30,2024-08-30,08,2024-08-30,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000097,USD,100722
100,1000,6000000098,2024,RV,2024-01-18,2024-01-18,01,2024-01-18,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000098,USD,094910
100,1000,6000000099,2024,RV,2024-08-24,2024-08-24,08,2024-08-24,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000099,USD,090137
100,1000,6000000100,2024,RV,2024-03-30,2024-03-30,03,2024-03-30,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000100,USD,103247
100,1000,6000000101,2024,RV,2024-05-03,2024-05-03,05,2024-05-03,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000101,USD,090652
100,1000,6000000102,2024,RV,2024-07-19,2024-07-19,07,2024-07-19,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000102,USD,133928
100,1000,6000000104,2024,RV,2024-08-16,2024-08-16,08,2024-08-16,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000104,USD,110003
100,1000,6000000107,2024,RV,2024-02-01,2024-02-01,02,2024-02-01,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000107,USD,110941
100,1000,6000000108,2024,RV,2024-05-05,2024-05-05,05,2024-05-05,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000108,USD,084032
100,1000,6000000109,2024,RV,2024-04-22,2024-04-22,04,2024-04-22,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000109,USD,100130
100,1000,6000000111,2024,RV,2024-06-21,2024-06-21,06,2024-06-21,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000111,USD,151627
100,1000,6000000112,2024,RV,2024-10-06,2024-10-06,10,2024-10-06,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000112,USD,140545
100,1000,6000000113,2024,RV,2024-08-26,2024-08-26,08,2024-08-26,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000113,USD,124903
100,1000,6000000114,2024,RV,2024-03-08,2024-03-08,03,2024-03-08,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000114,USD,163243
100,1000,6000000116,2024,RV,2024-08-17,2024-08-17,08,2024-08-17,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000116,USD,093739
100,1000,6000000120,2024,RV,2024-08-19,2024-08-19,08,2024-08-19,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000120,USD,084710
100,1000,6000000121,2024,RV,2024-08-30,2024-08-30,08,2024-08-30,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000121,USD,084806
100,1000,6000000122,2024,RV,2024-04-28,2024-04-28,04,2024-04-28,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000122,USD,105737
100,1000,6000000123,2024,RV,2024-04-06,2024-04-06,04,2024-04-06,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000123,USD,081849
100,1000,6000000124,2024,RV,2024-06-28,2024-06-28,06,2024-06-28,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000124,USD,115237
100,1000,6000000125,2024,RV,2024-06-28,2024-06-28,06,2024-06-28,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000125,USD,132142
100,1000,6000000126,2024,RV,2024-07-15,2024-07-15,07,2024-07-15,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000126,USD,085510
100,1000,6000000127,2024,RV,2024-09-11,2024-09-11,09,2024-09-11,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000127,USD,163617
100,1000,6000000128,2024,RV,2024-06-10,2024-06-10,06,2024-06-10,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000128,USD,095510
100,1000,6000000129,2024,RV,2024-09-21,2024-09-21,09,2024-09-21,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000129,USD,112316
100,1000,6000000130,2024,RV,2024-07-26,2024-07-26,07,2024-07-26,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000130,USD,163139
100,1000,6000000132,2024,RV,2024-10-18,2024-10-18,10,2024-10-18,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000132,USD,092057
100,1000,6000000134,2024,RV,2024-06-19,2024-06-19,06,2024-06-19,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000134,USD,103405
100,1000,6000000136,2024,RV,2024-06-07,2024-06-07,06,2024-06-07,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000136,USD,140615
100,1000,6000000137,2024,RV,2024-05-20,2024-05-20,05,2024-05-20,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000137,USD,103354
100,1000,6000000138,2024,RV,2024-07-14,2024-07-14,07,2024-07-14,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000138,USD,154651
100,1000,6000000139,2024,RV,2024-08-08,2024-08-08,08,2024-08-08,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000139,USD,144929
100,1000,6000000140,2024,RV,2024-06-20,2024-06-20,06,2024-06-20,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000140,USD,104540
100,1000,6000000141,2024,RV,2024-01-30,2024-01-30,01,2024-01-30,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000141,USD,092527
100,1000,6000000142,2024,RV,2024-03-28,2024-03-28,03,2024-03-28,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000142,USD,163958
100,1000,6000000143,2024,RV,2024-07-07,2024-07-07,07,2024-07-07,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000143,USD,132412
100,1000,6000000144,2024,RV,2024-06-25,2024-06-25,06,2024-06-25,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000144,USD,105618
100,1000,6000000145,2024,RV,2024-09-06,2024-09-06,09,2024-09-06,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000145,USD,112546
100,1000,6000000146,2024,RV,2024-07-25,2024-07-25,07,2024-07-25,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000146,USD,095522
100,1000,6000000148,2024,RV,2024-04-22,2024-04-22,04,2024-04-22,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000148,USD,103739
100,1000,6000000149,2024,RV,2024-09-01,2024-09-01,09,2024-09-01,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000149,USD,165307
100,1000,6000000150,2024,RV,2024-09-16,2024-09-16,09,2024-09-16,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000150,USD,122435
100,1000,6000000152,2024,RV,2024-06-22,2024-06-22,06,2024-06-22,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000152,USD,104202
100,1000,6000000153,2024,RV,2024-03-17,2024-03-17,03,2024-03-17,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000153,USD,110434
100,1000,6000000154,2024,RV,2024-09-02,2024-09-02,09,2024-09-02,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000154,USD,101716
100,1000,6000000155,2024,RV,2024-08-11,2024-08-11,08,2024-08-11,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000155,USD,124243
100,1000,6000000156,2024,RV,2024-05-17,2024-05-17,05,2024-05-17,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000156,USD,175629
100,1000,6000000157,2024,RV,2024-08-02,2024-08-02,08,2024-08-02,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000157,USD,083354
100,1000,6000000160,2024,RV,2024-10-04,2024-10-04,10,2024-10-04,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000160,USD,131716
100,1000,6000000161,2024,RV,2024-05-11,2024-05-11,05,2024-05-11,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000161,USD,081827
100,1000,6000000162,2024,RV,2024-07-07,2024-07-07,07,2024-07-07,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000162,USD,110452
100,1000,6000000164,2024,RV,2024-01-22,2024-01-22,01,2024-01-22,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000164,USD,103928
100,1000,6000000165,2024,RV,2024-07-14,2024-07-14,07,2024-07-14,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000165,USD,134402
100,1000,6000000166,2024,RV,2024-07-18,2024-07-18,07,2024-07-18,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000166,USD,095641
100,1000,6000000167,2024,RV,2024-04-30,2024-04-30,04,2024-04-30,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000167,USD,100838
100,1000,6000000168,2024,RV,2024-03-28,2024-03-28,03,2024-03-28,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000168,USD,141126
100,1000,6000000169,2024,RV,2024-03-21,2024-03-21,03,2024-03-21,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000169,USD,121015
100,1000,6000000170,2024,RV,2024-03-23,2024-03-23,03,2024-03-23,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000170,USD,101508
100,1000,6000000171,2024,RV,2024-03-08,2024-03-08,03,2024-03-08,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000171,USD,091038
100,1000,6000000173,2024,RV,2024-08-06,2024-08-06,08,2024-08-06,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000173,USD,121816
100,1000,6000000174,2024,RV,2024-04-27,2024-04-27,04,2024-04-27,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000174,USD,113839
100,1000,6000000175,2024,RV,2024-03-07,2024-03-07,03,2024-03-07,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000175,USD,155240
100,1000,6000000177,2024,RV,2024-06-24,2024-06-24,06,2024-06-24,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000177,USD,110519
100,1000,6000000178,2024,RV,2024-04-10,2024-04-10,04,2024-04-10,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000178,USD,092127
100,1000,6000000179,2024,RV,2024-08-11,2024-08-11,08,2024-08-11,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000179,USD,131515
100,1000,6000000180,2024,RV,2024-06-18,2024-06-18,06,2024-06-18,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000180,USD,102053
100,1000,6000000181,2024,RV,2024-06-22,2024-06-22,06,2024-06-22,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000181,USD,115503
100,1000,6000000182,2024,RV,2024-04-28,2024-04-28,04,2024-04-28,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000182,USD,114714
100,1000,6000000183,2024,RV,2024-08-11,2024-08-11,08,2024-08-11,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000183,USD,150152
100,1000,6000000184,2024,RV,2024-10-14,2024-10-14,10,2024-10-14,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000184,USD,160938
100,1000,6000000186,2024,RV,2024-06-12,2024-06-12,06,2024-06-12,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000186,USD,100908
100,1000,6000000187,2024,RV,2024-05-18,2024-05-18,05,2024-05-18,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000187,USD,130537
100,1000,6000000188,2024,RV,2024-07-02,2024-07-02,07,2024-07-02,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000188,USD,164640
100,1000,6000000191,2024,RV,2024-05-25,2024-05-25,05,2024-05-25,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000191,USD,093435
100,1000,6000000192,2024,RV,2024-06-08,2024-06-08,06,2024-06-08,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000192,USD,095352
100,1000,6000000194,2024,RV,2024-06-27,2024-06-27,06,2024-06-27,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000194,USD,154125
100,1000,6000000195,2024,RV,2024-05-15,2024-05-15,05,2024-05-15,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000195,USD,105103
100,1000,6000000196,2024,RV,2024-06-09,2024-06-09,06,2024-06-09,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000196,USD,142535
100,1000,6000000198,2024,RV,2024-09-14,2024-09-14,09,2024-09-14,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000198,USD,132816
100,1000,6000000199,2024,RV,2024-03-20,2024-03-20,03,2024-03-20,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000199,USD,170426
100,1000,6000000200,2024,RV,2024-03-08,2024-03-08,03,2024-03-08,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000200,USD,161126
100,1000,6000000201,2024,RV,2024-09-30,2024-09-30,09,2024-09-30,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000201,USD,084859
100,1000,6000000202,2024,RV,2024-07-10,2024-07-10,07,2024-07-10,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000202,USD,135559
100,1000,6000000203,2024,RV,2024-06-14,2024-06-14,06,2024-06-14,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000203,USD,091034
100,1000,6000000205,2024,RV,2024-06-17,2024-06-17,06,2024-06-17,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000205,USD,163447
100,1000,6000000206,2024,RV,2024-10-04,2024-10-04,10,2024-10-04,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000206,USD,151642
100,1000,6000000207,2024,RV,2024-02-29,2024-02-29,02,2024-02-29,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000207,USD,130637
100,1000,6000000208,2024,RV,2024-09-21,2024-09-21,09,2024-09-21,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000208,USD,141919
100,1000,6000000210,2024,RV,2024-02-06,2024-02-06,02,2024-02-06,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000210,USD,080849
100,1000,6000000211,2024,RV,2024-02-16,2024-02-16,02,2024-02-16,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000211,USD,154429
100,1000,6000000214,2024,RV,2024-03-12,2024-03-12,03,2024-03-12,FINANCE01,VF01,USD,1.00,,RFBU,VBRK,9000000214,USD,130419
100,1000,6000000215,2024,RV,2024-07-06,2024-07-06,07,2024-07-06,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000215,USD,111908
100,1000,6000000216,2024,RV,2024-07-07,2024-07-07,07,2024-07-07,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000216,USD,150218
100,1000,6000000217,2024,RV,2024-08-28,2024-08-28,08,2024-08-28,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000217,USD,081338
100,1000,6000000218,2024,RV,2024-10-28,2024-10-28,10,2024-10-28,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000218,USD,150826
100,1000,6000000219,2024,RV,2024-08-19,2024-08-19,08,2024-08-19,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000219,USD,164651
100,1000,6000000220,2024,RV,2024-07-16,2024-07-16,07,2024-07-16,FINANCE02,VF01,USD,1.00,,RFBU,VBRK,9000000220,USD,080211
