MANDT,MATNR,BWKEY,BWTAR,VPRSV,VERPR,STPRS,PEINH,BKLAS,SALK3,LBKUM,LFGJA,LFMON,VKSAL
100,MAT00021,P003,,S,215.13,215.13,1,3000,98744.67,459.0,2024,12,128368.07
100,MAT00022,P001,,S,497.57,497.57,1,3000,109962.97,221.0,2024,12,142951.86
100,MAT00022,P002,,S,150.41,150.41,1,3000,22110.27,147.0,2024,12,28743.35
100,MAT00022,P003,,S,167.32,167.32,1,3000,55382.92,331.0,2024,12,71997.8
100,MAT00023,P001,,S,225.73,225.73,1,3000,165234.36,732.0,2024,12,214804.67
100,MAT00023,P002,,S,87.49,87.49,1,3000,41295.28,472.0,2024,12,53683.86
100,MAT00023,P003,,S,226.33,226.33,1,3000,167484.2,740.0,2024,12,217729.46
100,MAT00024,P001,,S,456.25,456.25,1,3000,289262.5,634.0,2024,12,376041.25
100,MAT00024,P002,,S,220.3,220.3,1,3000,144737.1,657.0,2024,12,188158.23
100,MAT00024,P003,,S,396.78,396.78,1,3000,41265.12,104.0,2024,12,53644.66
100,MAT00025,P001,,S,337.24,337.24,1,3000,147036.64,436.0,2024,12,191147.63
100,MAT00025,P002,,S,258.98,258.98,1,3000,197342.76,762.0,2024,12,256545.59
100,MAT00025,P003,,S,84.19,84.19,1,3000,6735.2,80.0,2024,12,8755.76
100,MAT00026,P001,,S,425.09,425.09,1,3000,295012.46,694.0,2024,12,383516.2
100,MAT00026,P002,,S,221.9,221.9,1,3000,37723.0,170.0,2024,12,49039.9
100,MAT00026,P003,,S,121.82,121.82,1,3000,80766.66,663.0,2024,12,104996.66
100,MAT00027,P001,,S,184.26,184.26,1,3000,175415.52,952.0,2024,12,228040.18
100,MAT00027,P002,,S,21.03,21.03,1,3000,4121.88,196.0,2024,12,5358.44
100,MAT00027,P003,,S,227.71,227.71,1,3000,91539.42,402.0,2024,12,119001.25
100,MAT00028,P001,,S,224.75,224.75,1,3000,27644.25,123.0,2024,12,35937.53
100,MAT00028,P002,,S,73.16,73.16,1,3000,29190.84,399.0,2024,12,37948.09
100,MAT00028,P003,,S,160.62,160.62,1,3000,50595.3,315.0,2024,12,65773.89
100,MAT00029,P001,,S,480.46,480.46,1,3000,36034.5,75.0,2024,12,46844.85
100,MAT00029,P002,,S,97.09,97.09,1,3000,52622.78,542.0,2024,12,68409.61
100,MAT00029,P003,,S,457.2,457.2,1,3000,74066.4,162.0,2024,12,96286.32
100,MAT00030,P001,,S,388.61,388.61,1,3000,279410.59,719.0,2024,12,363233.77
100,MAT00030,P002,,S,111.21,111.21,1,3000,70173.51,631.0,2024,12,91225.56
100,MAT00030,P003,,S,348.52,348.52,1,3000,348171.48,999.0,2024,12,452622.92
100,MAT00031,P001,,S,104.09,104.09,1,3000,18632.11,179.0,2024,12,24221.74
100,MAT00031,P002,,S,41.66,41.66,1,3000,8915.24,214.0,2024,12,11589.81
100,MAT00031,P003,,S,358.12,358.12,1,3000,357045.64,997.0,2024,12,464159.33
100,MAT00032,P001,,S,406.2,406.2,1,3000,393607.8,969.0,2024,12,511690.14
100,MAT00032,P002,,S,493.35,493.35,1,3000,337451.4,684.0,2024,12,438686.82
100,MAT00032,P003,,S,356.22,356.22,1,3000,203757.84,572.0,2024,12,264885.19
100,MAT00033,P001,,S,148.73,148.73,1,3000,49824.55,335.0,2024,12,64771.91
100,MAT00033,P002,,S,82.97,82.97,1,3000,60070.28,724.0,2024,12,78091.36
100,MAT00033,P003,,S,351.61,351.61,1,3000,75596.15,215.0,2024,12,98275.0
100,MAT00034,P001,,S,183.94,183.94,1,3000,48376.22,263.0,2024,12,62889.09
100,MAT00034,P002,,S,492.64,492.64,1,3000,395097.28,802.0,2024,12,513626.46
100,MAT00034,P003,,S,122.18,122.18,1,3000,63411.42,519.0,2024,12,82434.85
100,MAT00035,P001,,S,183.64,183.64,1,3000,109082.16,594.0,2024,12,141806.81
100,MAT00035,P002,,S,236.37,236.37,1,3000,232588.08,984.0,2024,12,302364.5
100,MAT00035,P003,,S,69.24,69.24,1,3000,61623.6,890.0,2024,12,80110.68
100,MAT00036,P001,,S,37.55,37.55,1,3000,16071.4,428.0,2024,12,20892.82
100,MAT00036,P002,,S,359.88,359.88,1,3000,181739.4,505.0,2024,12,236261.22
100,MAT00036,P003,,S,208.34,208.34,1,3000,91461.26,439.0,2024,12,118899.64
