MANDT,VBELN,GBSTK,LFSTK,FKSTK,ABSTK,WBSTK,LVSTK,BUCHK,CMGST,UVALL,UVFAK,UVALS,BESTK
100,1000000071,C,C,C,A,A,A,,A,,,,
100,1000000072,C,C,C,A,A,A,,A,,,,A
100,1000000073,C,C,C,A,A,A,,A,,,,C
100,1000000074,C,C,C,A,A,A,,A,,,,C
100,1000000075,C,C,C,A,A,A,,A,,,,C
100,1000000076,C,C,C,A,A,A,,A,,,,
100,1000000077,C,C,C,A,A,A,,A,,,,
100,1000000078,C,C,C,A,A,A,,A,,,,B
100,1000000079,C,C,C,A,A,A,,A,,,,B
100,1000000080,C,C,C,A,A,A,,A,,,,B
100,1000000081,C,C,C,A,A,A,,A,,,,B
100,1000000082,C,C,C,A,A,A,,A,,,,A
100,1000000083,C,C,C,A,A,A,,A,,,,B
100,1000000084,C,C,C,A,A,A,,A,,,,C
100,1000000085,B,C,A,A,A,A,,A,,,,C
100,1000000086,C,C,C,A,A,A,,A,,,,C
100,1000000087,B,C,A,A,A,A,,A,,,,
100,1000000088,C,C,C,A,A,A,,A,,,,
100,1000000089,C,C,C,A,A,A,,A,,,,A
100,1000000090,C,C,C,A,A,A,,A,,,,A
100,1000000091,C,C,C,A,A,A,,A,,,,
100,1000000092,C,A,A,A,A,A,,A,,,,B
100,1000000093,C,C,C,A,A,A,,A,,,,B
100,1000000094,C,C,C,A,A,A,,A,,,,C
100,1000000095,C,C,C,A,A,A,,A,,,,C
100,1000000096,C,C,C,A,A,A,,A,,,,C
100,1000000097,C,C,C,A,A,A,,A,,,,B
100,1000000098,C,C,C,A,A,A,,A,,,,
100,1000000099,C,C,C,A,A,A,,A,,,,C
100,1000000100,C,C,C,A,A,A,,A,,,,A
100,1000000101,C,C,C,A,A,A,,A,,,,
100,1000000102,C,C,C,A,A,A,,A,,,,
100,1000000103,B,C,A,A,A,A,,A,,,,A
100,1000000104,C,C,C,A,A,A,,A,,,,C
100,1000000105,B,C,A,A,A,A,,A,,,,B
100,1000000106,C,C,C,A,A,A,,A,,,,A
100,1000000107,C,C,C,A,A,A,,A,,,,A
100,1000000108,C,C,C,A,A,A,,A,,,,B
100,1000000109,C,C,C,A,A,A,,A,,,,A
100,1000000110,C,A,A,A,A,A,,A,,,,B
100,1000000111,C,C,C,A,A,A,,A,,,,B
100,1000000112,C,C,C,A,A,A,,A,,,,A
100,1000000113,C,C,C,A,A,A,,A,,,,A
100,1000000114,C,C,C,A,A,A,,A,,,,B
100,1000000115,C,A,A,A,A,A,,A,,,,
100,1000000116,C,C,C,A,A,A,,A,,,,A
100,1000000117,C,A,A,A,A,A,,A,,,,
100,1000000118,B,C,A,A,A,A,,A,,,,B
100,1000000119,C,C,C,A,A,A,,A,,,,B
100,1000000120,C,C,C,A,A,A,,A,,,,B
100,1000000121,C,C,C,A,A,A,,A,,,,C
100,1000000122,C,C,C,A,A,A,,A,,,,
100,1000000123,C,C,C,A,A,A,,A,,,,A
100,1000000124,C,C,C,A,A,A,,A,,,,C
100,1000000125,C,C,C,A,A,A,,A,,,,A
100,1000000126,C,C,C,A,A,A,,A,,,,A
100,1000000127,C,C,C,A,A,A,,A,,,,A
100,1000000128,C,C,C,A,A,A,,A,,,,A
100,1000000129,C,C,C,A,A,A,,A,,,,C
100,1000000130,C,C,C,A,A,A,,A,,,,B
100,1000000131,C,C,C,A,A,A,,A,,,,B
100,1000000132,C,C,C,A,A,A,,A,,,,
100,1000000133,B,C,A,A,A,A,,A,,,,C
100,1000000134,C,C,C,A,A,A,,A,,,,B
100,1000000135,B,C,A,A,A,A,,A,,,,C
100,1000000136,C,C,C,A,A,A,,A,,,,
100,1000000137,C,C,C,A,A,A,,A,,,,
100,1000000138,C,C,C,A,A,A,,A,,,,A
100,1000000139,C,C,C,A,A,A,,A,,,,B
100,1000000140,C,C,C,A,A,A,,A,,,,
100,1000000141,C,C,C,A,A,A,,A,,,,
100,1000000142,C,C,C,A,A,A,,A,,,,B
100,1000000143,C,C,C,A,A,A,,A,,,,
100,1000000144,C,C,C,A,A,A,,A,,,,A
100,1000000145,C,C,C,A,A,A,,A,,,,C
100,1000000146,C,C,C,A,A,A,,A,,,,
100,1000000147,C,C,C,A,A,A,,A,,,,C
100,1000000148,C,C,C,A,A,A,,A,,,,
100,1000000149,C,C,C,A,A,A,,A,,,,C
100,1000000150,C,C,C,A,A,A,,A,,,,
100,1000000151,C,C,C,A,A,A,,A,,,,C
100,1000000152,C,C,C,A,A,A,,A,,,,C
100,1000000153,C,C,C,A,A,A,,A,,,,
100,1000000154,C,C,C,A,A,A,,A,,,,C
100,1000000155,C,C,C,A,A,A,,A,,,,C
100,1000000156,C,C,C,A,A,A,,A,,,,C
100,1000000157,C,C,C,A,A,A,,A,,,,C
100,1000000158,B,C,A,A,A,A,,A,,,,A
100,1000000159,C,A,A,A,A,A,,A,,,,C
100,1000000160,C,C,C,A,A,A,,A,,,,C
100,1000000161,C,C,C,A,A,A,,A,,,,B
100,1000000162,C,C,C,A,A,A,,A,,,,
100,1000000163,C,C,C,A,A,A,,A,,,,B
100,1000000164,C,C,C,A,A,A,,A,,,,A
100,1000000165,C,C,C,A,A,A,,A,,,,
100,1000000166,C,C,C,A,A,A,,A,,,,A
100,1000000167,C,C,C,A,A,A,,A,,,,C
100,1000000168,C,C,C,A,A,A,,A,,,,C
100,1000000169,C,C,C,A,A,A,,A,,,,C
100,1000000170,C,C,C,A,A,A,,A,,,,A
100,1000000171,C,C,C,A,A,A,,A,,,,B
100,1000000172,C,A,A,A,A,A,,A,,,,C
100,1000000173,C,C,C,A,A,A,,A,,,,B
100,1000000174,C,C,C,A,A,A,,A,,,,C
100,1000000175,C,C,C,A,A,A,,A,,,,B
100,1000000176,B,C,A,A,A,A,,A,,,,C
100,1000000177,C,C,C,A,A,A,,A,,,,B
100,1000000178,C,C,C,A,A,A,,A,,,,A
100,1000000179,C,C,C,A,A,A,,A,,,,
100,1000000180,C,C,C,A,A,A,,A,,,,B
100,1000000181,C,C,C,A,A,A,,A,,,,A
100,1000000182,C,C,C,A,A,A,,A,,,,
100,1000000183,C,C,C,A,A,A,,A,,,,C
100,1000000184,C,C,C,A,A,A,,A,,,,A
100,1000000185,C,C,C,A,A,A,,A,,,,A
100,1000000186,C,C,C,A,A,A,,A,,,,B
100,1000000187,C,C,C,A,A,A,,A,,,,A
100,1000000188,C,C,C,A,A,A,,A,,,,C
100,1000000189,C,A,A,A,A,A,,A,,,,C
100,1000000190,C,A,A,A,A,A,,A,,,,
100,1000000191,C,C,C,A,A,A,,A,,,,C
100,1000000192,C,C,C,A,A,A,,A,,,,C
100,1000000193,C,A,A,A,A,A,,A,,,,C
100,1000000194,C,C,C,A,A,A,,A,,,,B
100,1000000195,C,C,C,A,A,A,,A,,,,A
100,1000000196,C,C,C,A,A,A,,A,,,,B
100,1000000197,C,A,A,A,A,A,,A,,,,A
100,1000000198,C,C,C,A,A,A,,A,,,,B
100,1000000199,C,C,C,A,A,A,,A,,,,
100,1000000200,C,C,C,A,A,A,,A,,,,
100,1000000201,C,C,C,A,A,A,,A,,,,C
100,1000000202,C,C,C,A,A,A,,A,,,,
100,1000000203,C,C,C,A,A,A,,A,,,,B
100,1000000204,C,A,A,A,A,A,,A,,,,A
100,1000000205,C,C,C,A,A,A,,A,,,,B
100,1000000206,C,C,C,A,A,A,,A,,,,C
100,1000000207,C,C,C,A,A,A,,A,,,,A
100,1000000208,C,C,C,A,A,A,,A,,,,B
100,1000000209,B,C,A,A,A,A,,A,,,,C
100,1000000210,C,C,C,A,A,A,,A,,,,B
100,1000000211,C,C,C,A,A,A,,A,,,,B
100,1000000212,C,A,A,A,A,A,,A,,,,A
100,1000000213,B,C,A,A,A,A,,A,,,,B
100,1000000214,C,C,C,A,A,A,,A,,,,C
100,1000000215,C,C,C,A,A,A,,A,,,,C
100,1000000216,C,C,C,A,A,A,,A,,,,A
100,1000000217,C,C,C,A,A,A,,A,,,,B
100,1000000218,C,C,C,A,A,A,,A,,,,B
100,1000000219,C,C,C,A,A,A,,A,,,,
100,1000000220,C,C,C,A,A,A,,A,,,,B
100,1000000221,C,C,C,A,A,A,,A,,,,C
100,1000000222,C,C,C,A,A,A,,A,,,,A
100,1000000223,C,C,C,A,A,A,,A,,,,C
100,1000000224,C,C,C,A,A,A,,A,,,,A
100,1000000225,C,C,C,A,A,A,,A,,,,B
100,1000000226,C,C,C,A,A,A,,A,,,,A
100,1000000227,C,A,A,A,A,A,,A,,,,A
100,1000000228,C,C,C,A,A,A,,A,,,,C
100,1000000229,C,C,C,A,A,A,,A,,,,B
100,1000000230,C,C,C,A,A,A,,A,,,,C
100,1000000231,C,C,C,A,A,A,,A,,,,
100,1000000232,C,C,C,A,A,A,,A,,,,C
100,1000000233,C,C,C,A,A,A,,A,,,,A
100,1000000234,C,C,C,A,A,A,,A,,,,A
100,1000000235,C,C,C,A,A,A,,A,,,,C
100,1000000236,C,C,C,A,A,A,,A,,,,
100,1000000237,C,C,C,A,A,A,,A,,,,C
100,1000000238,C,C,C,A,A,A,,A,,,,A
100,1000000239,C,C,C,A,A,A,,A,,,,B
100,1000000240,C,C,C,A,A,A,,A,,,,B
100,1000000241,C,C,C,A,A,A,,A,,,,B
100,1000000242,C,C,C,A,A,A,,A,,,,C
100,1000000243,C,C,C,A,A,A,,A,,,,C
100,1000000244,C,C,C,A,A,A,,A,,,,
100,1000000245,C,C,C,A,A,A,,A,,,,A
100,1000000246,C,C,C,A,A,A,,A,,,,A
100,1000000247,C,C,C,A,A,A,,A,,,,A
100,1000000248,C,C,C,A,A,A,,A,,,,A
100,1000000249,C,C,C,A,A,A,,A,,,,B
100,1000000250,C,C,C,A,A,A,,A,,,,C
100,1000000251,C,C,C,A,A,A,,A,,,,B
100,1000000252,C,C,C,A,A,A,,A,,,,C
100,1000000253,C,C,C,A,A,A,,A,,,,C
100,1000000254,C,C,C,A,A,A,,A,,,,
100,1000000255,C,C,C,A,A,A,,A,,,,A
100,1000000256,B,C,A,A,A,A,,A,,,,B
100,1000000257,C,C,C,A,A,A,,A,,,,B
100,1000000258,C,C,C,A,A,A,,A,,,,
100,1000000259,C,C,C,A,A,A,,A,,,,B
100,1000000260,C,C,C,A,A,A,,A,,,,
100,1000000261,B,C,A,A,A,A,,A,,,,
100,1000000262,C,C,C,A,A,A,,A,,,,
100,1000000263,C,C,C,A,A,A,,A,,,,A
100,1000000264,C,C,C,A,A,A,,A,,,,B
100,1000000265,C,C,C,A,A,A,,A,,,,
100,1000000266,C,C,C,A,A,A,,A,,,,B
100,1000000267,B,C,A,A,A,A,,A,,,,C
100,1000000268,C,C,C,A,A,A,,A,,,,B
100,1000000269,C,C,C,A,A,A,,A,,,,A
100,1000000270,C,C,C,A,A,A,,A,,,,A
100,1000000271,C,C,C,A,A,A,,A,,,,B
100,1000000272,B,C,A,A,A,A,,A,,,,A
100,1000000273,C,A,A,A,A,A,,A,,,,B
100,1000000274,C,C,C,A,A,A,,A,,,,A
100,1000000275,C,C,C,A,A,A,,A,,,,B
100,1000000276,C,C,C,A,A,A,,A,,,,A
100,1000000277,C,C,C,A,A,A,,A,,,,B
100,1000000278,C,C,C,A,A,A,,A,,,,A
100,1000000279,C,C,C,A,A,A,,A,,,,A
100,1000000280,C,C,C,A,A,A,,A,,,,C
100,1000000281,C,C,C,A,A,A,,A,,,,C
100,1000000282,C,C,C,A,A,A,,A,,,,A
100,1000000283,C,C,C,A,A,A,,A,,,,B
100,1000000284,C,C,C,A,A,A,,A,,,,A
100,1000000285,C,C,C,A,A,A,,A,,,,A
100,1000000286,C,C,C,A,A,A,,A,,,,
100,1000000287,C,C,C,A,A,A,,A,,,,
100,1000000288,C,C,C,A,A,A,,A,,,,C
100,1000000289,C,C,C,A,A,A,,A,,,,C
100,1000000290,C,C,C,A,A,A,,A,,,,B
100,1000000291,C,C,C,A,A,A,,A,,,,B
100,1000000292,C,C,C,A,A,A,,A,,,,A
100,1000000293,C,C,C,A,A,A,,A,,,,A
100,1000000294,C,C,C,A,A,A,,A,,,,A
100,1000000295,C,C,C,A,A,A,,A,,,,B
100,1000000296,C,C,C,A,A,A,,A,,,,A
100,1000000297,C,C,C,A,A,A,,A,,,,B
100,1000000298,C,C,C,A,A,A,,A,,,,B
100,1000000299,C,C,C,A,A,A,,A,,,,C
100,1000000300,C,C,C,A,A,A,,A,,,,
100,1000000301,C,C,C,A,A,A,,A,,,,B
100,1000000302,C,C,C,A,A,A,,A,,,,A
100,1000000303,C,C,C,A,A,A,,A,,,,
100,1000000304,C,C,C,A,A,A,,A,,,,B
100,1000000305,C,C,C,A,A,A,,A,,,,B
100,1000000306,C,C,C,A,A,A,,A,,,,
100,1000000307,C,C,C,A,A,A,,A,,,,
100,1000000308,C,C,C,A,A,A,,A,,,,
100,1000000309,C,C,C,A,A,A,,A,,,,A
100,1000000310,C,C,C,A,A,A,,A,,,,C
100,1000000311,C,C,C,A,A,A,,A,,,,A
100,1000000312,C,C,C,A,A,A,,A,,,,
100,1000000313,C,C,C,A,A,A,,A,,,,A
100,1000000314,C,C,C,A,A,A,,A,,,,A
100,1000000315,C,C,C,A,A,A,,A,,,,B
100,1000000316,C,C,C,A,A,A,,A,,,,A
100,1000000317,C,C,C,A,A,A,,A,,,,A
100,1000000318,C,C,C,A,A,A,,A,,,,
100,1000000319,C,C,C,A,A,A,,A,,,,C
100,1000000320,C,C,C,A,A,A,,A,,,,A
100,1000000321,C,C,C,A,A,A,,A,,,,C
100,1000000322,C,C,C,A,A,A,,A,,,,A
100,1000000323,C,C,C,A,A,A,,A,,,,A
100,1000000324,C,C,C,A,A,A,,A,,,,B
100,1000000325,C,C,C,A,A,A,,A,,,,B
100,1000000326,C,C,C,A,A,A,,A,,,,B
100,1000000327,B,C,A,A,A,A,,A,,,,A
100,1000000328,C,C,C,A,A,A,,A,,,,B
100,1000000329,C,C,C,A,A,A,,A,,,,C
100,1000000330,C,C,C,A,A,A,,A,,,,C
100,1000000331,C,C,C,A,A,A,,A,,,,C
100,1000000332,C,C,C,A,A,A,,A,,,,
100,1000000333,C,C,C,A,A,A,,A,,,,A
100,1000000334,C,A,A,A,A,A,,A,,,,
100,1000000335,C,A,A,A,A,A,,A,,,,A
100,1000000336,B,C,A,A,A,A,,A,,,,C
100,1000000337,C,C,C,A,A,A,,A,,,,
100,1000000338,C,C,C,A,A,A,,A,,,,
100,1000000339,C,C,C,A,A,A,,A,,,,C
100,1000000340,B,C,A,A,A,A,,A,,,,A
100,1000000341,B,C,A,A,A,A,,A,,,,
100,1000000342,C,C,C,A,A,A,,A,,,,
100,1000000343,C,C,C,A,A,A,,A,,,,C
100,1000000344,B,C,A,A,A,A,,A,,,,B
100,1000000345,C,C,C,A,A,A,,A,,,,C
100,1000000346,C,C,C,A,A,A,,A,,,,
100,1000000347,C,C,C,A,A,A,,A,,,,B
100,1000000348,C,C,C,A,A,A,,A,,,,B
100,1000000349,C,C,C,A,A,A,,A,,,,A
100,1000000350,C,C,C,A,A,A,,A,,,,
100,1000000351,C,C,C,A,A,A,,A,,,,B
100,1000000352,C,C,C,A,A,A,,A,,,,A
100,1000000353,C,C,C,A,A,A,,A,,,,
100,1000000354,C,C,C,A,A,A,,A,,,,A
100,1000000355,C,C,C,A,A,A,,A,,,,B
100,1000000356,C,C,C,A,A,A,,A,,,,
100,1000000357,C,C,C,A,A,A,,A,,,,A
100,1000000358,C,C,C,A,A,A,,A,,,,A
100,1000000359,C,C,C,A,A,A,,A,,,,A
100,1000000360,C,C,C,A,A,A,,A,,,,C
100,1000000361,B,C,A,A,A,A,,A,,,,
100,1000000362,C,C,C,A,A,A,,A,,,,A
100,1000000363,C,C,C,A,A,A,,A,,,,B
100,1000000364,C,C,C,A,A,A,,A,,,,
100,1000000365,C,C,C,A,A,A,,A,,,,B
100,1000000366,C,C,C,A,A,A,,A,,,,A
100,1000000367,C,C,C,A,A,A,,A,,,,
100,1000000368,C,A,A,A,A,A,,A,,,,
100,1000000369,C,A,A,A,A,A,,A,,,,
100,1000000370,C,C,C,A,A,A,,A,,,,A
100,1000000371,C,C,C,A,A,A,,A,,,,A
100,1000000372,C,C,C,A,A,A,,A,,,,C
100,1000000373,C,C,C,A,A,A,,A,,,,C
100,1000000374,C,C,C,A,A,A,,A,,,,
100,1000000375,C,C,C,A,A,A,,A,,,,
100,1000000376,C,C,C,A,A,A,,A,,,,
100,1000000377,C,C,C,A,A,A,,A,,,,B
100,1000000378,B,C,A,A,A,A,,A,,,,B
100,1000000379,C,C,C,A,A,A,,A,,,,B
100,1000000380,B,C,A,A,A,A,,A,,,,B
100,1000000381,C,C,C,A,A,A,,A,,,,
100,1000000382,B,C,A,A,A,A,,A,,,,A
100,1000000383,B,C,A,A,A,A,,A,,,,A
100,1000000384,C,C,C,A,A,A,,A,,,,
100,1000000385,B,C,A,A,A,A,,A,,,,A
100,1000000386,C,C,C,A,A,A,,A,,,,C
100,1000000387,C,C,C,A,A,A,,A,,,,A
100,1000000388,C,C,C,A,A,A,,A,,,,A
100,1000000389,C,C,C,A,A,A,,A,,,,
100,1000000390,C,C,C,A,A,A,,A,,,,A
100,1000000391,C,C,C,A,A,A,,A,,,,C
100,1000000392,C,C,C,A,A,A,,A,,,,A
100,1000000393,C,C,C,A,A,A,,A,,,,
100,1000000394,C,A,A,A,A,A,,A,,,,B
100,1000000395,C,C,C,A,A,A,,A,,,,B
100,1000000396,C,C,C,A,A,A,,A,,,,B
100,1000000397,C,C,C,A,A,A,,A,,,,B
100,1000000398,C,C,C,A,A,A,,A,,,,C
100,1000000399,C,C,C,A,A,A,,A,,,,B
100,1000000400,C,C,C,A,A,A,,A,,,,A
100,1000000401,B,C,A,A,A,A,,A,,,,
100,1000000402,C,C,C,A,A,A,,A,,,,C
100,1000000403,C,C,C,A,A,A,,A,,,,
100,1000000404,B,C,A,A,A,A,,A,,,,C
100,1000000405,C,C,C,A,A,A,,A,,,,C
100,1000000406,C,C,C,A,A,A,,A,,,,B
100,1000000407,C,C,C,A,A,A,,A,,,,B
100,1000000408,C,C,C,A,A,A,,A,,,,B
100,1000000409,C,C,C,A,A,A,,A,,,,
100,1000000410,C,C,C,A,A,A,,A,,,,C
100,1000000411,C,C,C,A,A,A,,A,,,,A
100,1000000412,B,C,A,A,A,A,,A,,,,
100,1000000413,C,C,C,A,A,A,,A,,,,B
100,1000000414,C,C,C,A,A,A,,A,,,,B
100,1000000415,C,A,A,A,A,A,,A,,,,C
100,1000000416,C,A,A,A,A,A,,A,,,,B
100,1000000417,C,C,C,A,A,A,,A,,,,C
100,1000000418,C,C,C,A,A,A,,A,,,,C
100,1000000419,C,C,C,A,A,A,,A,,,,C
100,1000000420,C,C,C,A,A,A,,A,,,,C
100,1000000421,C,A,A,A,A,A,,A,,,,C
100,1000000422,C,C,C,A,A,A,,A,,,,A
100,1000000423,C,C,C,A,A,A,,A,,,,B
100,1000000424,C,C,C,A,A,A,,A,,,,A
100,1000000425,C,C,C,A,A,A,,A,,,,
100,1000000426,C,C,C,A,A,A,,A,,,,A
100,1000000427,C,C,C,A,A,A,,A,,,,B
100,1000000428,C,C,C,A,A,A,,A,,,,C
100,1000000429,C,C,C,A,A,A,,A,,,,B
100,1000000430,C,C,C,A,A,A,,A,,,,B
100,1000000431,C,C,C,A,A,A,,A,,,,
100,1000000432,C,C,C,A,A,A,,A,,,,
100,1000000433,C,C,C,A,A,A,,A,,,,B
100,1000000434,C,C,C,A,A,A,,A,,,,
100,1000000435,B,C,A,A,A,A,,A,,,,B
100,1000000436,C,C,C,A,A,A,,A,,,,
100,1000000437,C,A,A,A,A,A,,A,,,,B
100,1000000438,C,A,A,A,A,A,,A,,,,B
100,1000000439,C,C,C,A,A,A,,A,,,,B
100,1000000440,B,C,A,A,A,A,,A,,,,A
100,1000000441,B,C,A,A,A,A,,A,,,,A
100,1000000442,C,C,C,A,A,A,,A,,,,C
100,1000000443,B,C,A,A,A,A,,A,,,,B
100,1000000444,C,C,C,A,A,A,,A,,,,
100,1000000445,C,C,C,A,A,A,,A,,,,C
100,1000000446,C,C,C,A,A,A,,A,,,,
100,1000000447,C,A,A,A,A,A,,A,,,,C
100,1000000448,C,C,C,A,A,A,,A,,,,C
100,1000000449,C,C,C,A,A,A,,A,,,,
100,1000000450,C,A,A,A,A,A,,A,,,,
100,1000000451,C,C,C,A,A,A,,A,,,,C
100,1000000452,C,C,C,A,A,A,,A,,,,
100,1000000453,C,C,C,A,A,A,,A,,,,
100,1000000454,C,C,C,A,A,A,,A,,,,C
100,1000000455,C,C,C,A,A,A,,A,,,,A
100,1000000456,C,C,C,A,A,A,,A,,,,
100,1000000457,C,C,C,A,A,A,,A,,,,B
100,1000000458,C,C,C,A,A,A,,A,,,,
100,1000000459,C,C,C,A,A,A,,A,,,,A
100,1000000460,C,C,C,A,A,A,,A,,,,B
100,1000000461,C,C,C,A,A,A,,A,,,,A
100,1000000462,C,C,C,A,A,A,,A,,,,
100,1000000463,C,C,C,A,A,A,,A,,,,B
100,1000000464,C,C,C,A,A,A,,A,,,,A
100,1000000465,C,C,C,A,A,A,,A,,,,
100,1000000466,C,C,C,A,A,A,,A,,,,C
100,1000000467,C,C,C,A,A,A,,A,,,,C
100,1000000468,C,C,C,A,A,A,,A,,,,B
100,1000000469,C,C,C,A,A,A,,A,,,,
100,1000000470,C,C,C,A,A,A,,A,,,,
100,1000000471,C,C,C,A,A,A,,A,,,,
100,1000000472,C,A,A,A,A,A,,A,,,,A
100,1000000473,C,C,C,A,A,A,,A,,,,A
100,1000000474,C,C,C,A,A,A,,A,,,,C
100,1000000475,C,C,C,A,A,A,,A,,,,C
100,1000000476,C,C,C,A,A,A,,A,,,,C
100,1000000477,B,C,A,A,A,A,,A,,,,A
100,1000000478,C,C,C,A,A,A,,A,,,,A
100,1000000479,C,C,C,A,A,A,,A,,,,A
100,1000000480,C,C,C,A,A,A,,A,,,,C
100,1000000481,C,C,C,A,A,A,,A,,,,C
100,1000000482,C,C,C,A,A,A,,A,,,,A
100,1000000483,C,C,C,A,A,A,,A,,,,C
100,1000000484,C,C,C,A,A,A,,A,,,,
100,1000000485,C,C,C,A,A,A,,A,,,,B
100,1000000486,B,C,A,A,A,A,,A,,,,A
100,1000000487,C,C,C,A,A,A,,A,,,,C
100,1000000488,C,C,C,A,A,A,,A,,,,B
100,1000000489,C,C,C,A,A,A,,A,,,,
100,1000000490,C,C,C,A,A,A,,A,,,,A
100,1000000491,C,C,C,A,A,A,,A,,,,A
100,1000000492,C,C,C,A,A,A,,A,,,,
100,1000000493,C,C,C,A,A,A,,A,,,,
100,1000000494,C,C,C,A,A,A,,A,,,,A
100,1000000495,C,C,C,A,A,A,,A,,,,A
100,1000000496,C,C,C,A,A,A,,A,,,,C
100,1000000497,C,C,C,A,A,A,,A,,,,
100,1000000498,C,C,C,A,A,A,,A,,,,A
100,1000000499,C,C,C,A,A,A,,A,,,,B
