MANDT,MATNR,WERKS,PSTAT,LVORM,BWTTY,MAABC,DISMM,DISPO,MINBE,EISBE,BSTMI,BSTMA,WEBAZ,PLIFZ,LGPRO,IPRKZ,KZECH,MTVFP,MMSTD,AUSDT,NFMAT,BESKZ,DISGR,DZEIT,LGRAD,STRGR
100,MAT00004,P003,,,,A,PD,BUYER02,151.0,75.5,45,755.0,9,9,SL01,,,2,2024-12-29,2024-12-31,,F,,8.0,95,S30
100,MAT00005,P001,,,,C,VB,BUYER02,49.0,24.5,15,245.0,24,24,SL01,,,2,2024-12-26,2024-12-31,,F,2,9.5,97,
100,MAT00005,P002,,,,C,PD,BUYER01,182.0,91.0,55,910.0,19,19,SL01,,,2,2024-12-26,2024-12-31,,F,2,19.6,95,S20
100,MAT00005,P003,,,,B,VB,BUYER01,18.0,9.0,5,90.0,20,20,SL01,,,2,2024-12-31,2024-12-31,,X,1,22.5,99,S40
100,MAT00006,P001,,,,B,VB,BUYER03,41.0,20.5,12,205.0,19,19,SL01,,,2,2024-12-29,2024-12-31,,F,2,15.2,95,
100,MAT00006,P002,,,,C,PD,BUYER03,31.0,15.5,9,155.0,3,3,SL01,,,2,2024-12-27,2024-12-31,,X,2,1.9,99,
100,MAT00006,P003,,,,B,ND,BUYER03,17.0,8.5,5,85.0,37,37,SL01,,,2,2024-12-30,2024-12-31,,F,3,26.2,97,
100,MAT00007,P001,,,,B,PD,BUYER01,18.0,9.0,5,90.0,11,11,SL01,,,2,2024-12-28,2024-12-31,,F,2,17.1,97,
100,MAT00007,P002,,,,C,VB,BUYER02,140.0,70.0,42,700.0,16,16,SL01,,,2,2024-12-30,2024-12-31,,E,,12.0,97,S40
100,MAT00007,P003,,,,C,VB,BUYER01,195.0,97.5,58,975.0,29,29,SL01,,,2,2024-12-29,2024-12-31,,F,,5.9,95,S20
100,MAT00008,P001,,,,A,VB,BUYER03,177.0,88.5,53,885.0,14,14,SL01,,,2,2024-12-26,2024-12-31,,F,,3.1,97,S40
100,MAT00008,P002,,,,C,ND,BUYER01,162.0,81.0,49,810.0,29,29,SL01,,,2,2024-12-29,2024-12-31,,E,,14.8,97,
100,MAT00008,P003,,,,A,PD,BUYER02,83.0,41.5,25,415.0,9,9,SL01,,,2,2024-12-29,2024-12-31,,F,3,21.7,97,S40
100,MAT00009,P001,,,,C,PD,BUYER01,76.0,38.0,23,380.0,32,32,SL01,,,2,2024-12-29,2024-12-31,,F,,20.0,95,S10
100,MAT00009,P002,,,,B,PD,BUYER01,47.0,23.5,14,235.0,45,45,SL01,,,2,2024-12-31,2024-12-31,,F,2,2.8,95,
100,MAT00009,P003,,,,C,ND,BUYER03,77.0,38.5,23,385.0,20,20,SL01,,,2,2024-12-26,2024-12-31,,F,3,25.6,95,S20
100,MAT00010,P001,,,,A,ND,BUYER02,73.0,36.5,22,365.0,37,37,SL01,,,2,2024-12-28,2024-12-31,,E,1,18.6,95,
100,MAT00010,P002,,,,C,PD,BUYER02,17.0,8.5,5,85.0,19,19,SL01,,,2,2024-12-28,2024-12-31,,F,,12.2,97,S40
100,MAT00010,P003,,,,C,VB,BUYER01,93.0,46.5,28,465.0,23,23,SL01,,,2,2024-12-27,2024-12-31,,E,1,8.2,97,
100,MAT00011,P001,,,,A,PD,BUYER02,46.0,23.0,14,230.0,39,39,SL01,,,2,2024-12-25,2024-12-31,,F,1,2.2,97,
100,MAT00011,P002,,,,C,PD,BUYER03,141.0,70.5,42,705.0,37,37,SL01,,,2,2024-12-25,2024-12-31,,F,1,10.5,95,
100,MAT00011,P003,,,,C,VB,BUYER02,92.0,46.0,28,460.0,26,26,SL01,,,2,2024-12-29,2024-12-31,,X,2,19.4,95,
100,MAT00012,P001,,,,C,VB,BUYER02,171.0,85.5,51,855.0,45,45,SL01,,,2,2024-12-26,2024-12-31,,X,3,2.0,95,S10
100,MAT00012,P002,,,,B,PD,BUYER02,88.0,44.0,26,440.0,45,45,SL01,,,2,2024-12-27,2024-12-31,,X,1,18.7,99,S40
100,MAT00012,P003,,,,C,PD,BUYER03,90.0,45.0,27,450.0,15,15,SL01,,,2,2024-12-28,2024-12-31,,E,1,24.0,99,
100,MAT00013,P001,,,,B,VB,BUYER03,127.0,63.5,38,635.0,14,14,SL01,,,2,2024-12-28,2024-12-31,,F,3,7.7,99,S40
100,MAT00013,P002,,,,B,VB,BUYER03,65.0,32.5,20,325.0,22,22,SL01,,,2,2024-12-25,2024-12-31,,E,3,21.9,99,
100,MAT00013,P003,,,,B,VB,BUYER01,98.0,49.0,29,490.0,23,23,SL01,,,2,2024-12-27,2024-12-31,,F,,15.6,95,S10
100,MAT00014,P001,,,,B,PD,BUYER03,135.0,67.5,40,675.0,13,13,SL01,,,2,2024-12-29,2024-12-31,,F,1,5.2,95,S30
100,MAT00014,P002,,,,C,VB,BUYER01,28.0,14.0,8,140.0,24,24,SL01,,,2,2024-12-26,2024-12-31,,E,1,19.1,95,S10
100,MAT00014,P003,,,,A,VB,BUYER01,163.0,81.5,49,815.0,17,17,SL01,,,2,2024-12-29,2024-12-31,,F,1,7.7,99,S30
100,MAT00015,P001,,,,C,PD,BUYER02,126.0,63.0,38,630.0,33,33,SL01,,,2,2024-12-27,2024-12-31,,F,1,25.6,99,
100,MAT00015,P002,,,,C,PD,BUYER02,119.0,59.5,36,595.0,43,43,SL01,,,2,2024-12-30,2024-12-31,,X,,26.6,95,S40
100,MAT00015,P003,,,,C,PD,BUYER01,38.0,19.0,11,190.0,18,18,SL01,,,2,2024-12-30,2024-12-31,,X,,1.3,95,S20
100,MAT00016,P001,,,,C,VB,BUYER03,43.0,21.5,13,215.0,17,17,SL01,,,2,2024-12-31,2024-12-31,,F,,25.9,95,S30
100,MAT00016,P002,,,,C,PD,BUYER02,57.0,28.5,17,285.0,38,38,SL01,,,2,2024-12-30,2024-12-31,,F,,26.0,98,S40
100,MAT00016,P003,,,,C,PD,BUYER03,137.0,68.5,41,685.0,32,32,SL01,,,2,2024-12-31,2024-12-31,,F,2,23.8,97,S10
100,MAT00017,P001,,,,C,PD,BUYER03,126.0,63.0,38,630.0,31,31,SL01,,,2,2024-12-29,2024-12-31,,X,2,22.5,98,
100,MAT00017,P002,,,,A,PD,BUYER02,95.0,47.5,28,475.0,38,38,SL01,,,2,2024-12-28,2024-12-31,,F,1,15.9,99,S40
100,MAT00017,P003,,,,B,PD,BUYER03,170.0,85.0,51,850.0,18,18,SL01,,,2,2024-12-29,2024-12-31,,E,2,21.7,95,S40
100,MAT00018,P001,,,,A,PD,BUYER02,62.0,31.0,19,310.0,18,18,SL01,,,2,2024-12-29,2024-12-31,,E,3,12.5,98,S10
100,MAT00018,P002,,,,C,PD,BUYER01,71.0,35.5,21,355.0,24,24,SL01,,,2,2024-12-25,2024-12-31,,F,,14.8,95,
100,MAT00018,P003,,,,C,PD,BUYER01,142.0,71.0,43,710.0,27,27,SL01,,,2,2024-12-26,2024-12-31,,F,1,9.3,97,S20
100,MAT00019,P001,,,,B,PD,BUYER01,113.0,56.5,34,565.0,24,24,SL01,,,2,2024-12-30,2024-12-31,,F,3,27.2,98,S20
100,MAT00019,P002,,,,C,VB,BUYER03,182.0,91.0,55,910.0,27,27,SL01,,,2,2024-12-31,2024-12-31,,X,,25.4,98,S10
100,MAT00019,P003,,,,A,PD,BUYER02,82.0,41.0,25,410.0,39,39,SL01,,,2,2024-12-30,2024-12-31,,X,2,11.0,97,S10
100,MAT00020,P001,,,,C,PD,BUYER02,172.0,86.0,52,860.0,27,27,SL01,,,2,2024-12-27,2024-12-31,,F,,6.0,95,S20
100,MAT00020,P002,,,,C,PD,BUYER02,162.0,81.0,49,810.0,37,37,SL01,,,2,2024-12-27,2024-12-31,,F,3,8.4,95,S40
100,MAT00020,P003,,,,B,PD,BUYER03,102.0,51.0,31,510.0,30,30,SL01,,,2,2024-12-26,2024-12-31,,F,2,27.6,99,S30
100,MAT00021,P001,,,,C,VB,BUYER01,148.0,74.0,44,740.0,28,28,SL01,,,2,2024-12-27,2024-12-31,,X,,28.7,98,S40
100,MAT00021,P002,,,,B,ND,BUYER03,15.0,7.5,4,75.0,37,37,SL01,,,2,2024-12-27,2024-12-31,,X,1,8.6,99,
100,MAT00021,P003,,,,A,VB,BUYER02,132.0,66.0,40,660.0,8,8,SL01,,,2,2024-12-28,2024-12-31,,F,2,13.4,97,
100,MAT00022,P001,,,,B,PD,BUYER02,82.0,41.0,25,410.0,19,19,SL01,,,2,2024-12-25,2024-12-31,,F,1,24.9,97,
100,MAT00022,P002,,,,C,PD,BUYER02,63.0,31.5,19,315.0,27,27,SL01,,,2,2024-12-31,2024-12-31,,F,2,7.1,98,S20
100,MAT00022,P003,,,,C,PD,BUYER01,99.0,49.5,30,495.0,8,8,SL01,,,2,2024-12-26,2024-12-31,,F,1,16.5,98,S40
100,MAT00023,P001,,,,A,ND,BUYER03,53.0,26.5,16,265.0,25,25,SL01,,,2,2024-12-25,2024-12-31,,E,2,11.5,99,S10
100,MAT00023,P002,,,,A,PD,BUYER01,190.0,95.0,57,950.0,4,4,SL01,,,2,2024-12-31,2024-12-31,,E,3,2.9,98,S30
100,MAT00023,P003,,,,C,VB,BUYER03,34.0,17.0,10,170.0,18,18,SL01,,,2,2024-12-28,2024-12-31,,F,2,18.5,95,S10
100,MAT00024,P001,,,,C,ND,BUYER01,36.0,18.0,11,180.0,32,32,SL01,,,2,2024-12-31,2024-12-31,,X,,7.3,95,
100,MAT00024,P002,,,,A,VB,BUYER02,40.0,20.0,12,200.0,10,10,SL01,,,2,2024-12-31,2024-12-31,,X,3,21.4,95,S10
100,MAT00024,P003,,,,C,PD,BUYER02,47.0,23.5,14,235.0,4,4,SL01,,,2,2024-12-31,2024-12-31,,E,2,17.0,97,
100,MAT00025,P001,,,,C,PD,BUYER03,8.0,4.0,2,40.0,15,15,SL01,,,2,2024-12-26,2024-12-31,,E,,1.5,95,S30
100,MAT00025,P002,,,,C,PD,BUYER01,43.0,21.5,13,215.0,22,22,SL01,,,2,2024-12-28,2024-12-31,,E,3,20.9,99,S20
100,MAT00025,P003,,,,B,VB,BUYER02,40.0,20.0,12,200.0,39,39,SL01,,,2,2024-12-28,2024-12-31,,E,,22.9,99,S10
100,MAT00026,P001,,,,B,VB,BUYER02,28.0,14.0,8,140.0,7,7,SL01,,,2,2024-12-29,2024-12-31,,F,1,24.2,97,S40
100,MAT00026,P002,,,,B,VB,BUYER02,25.0,12.5,8,125.0,9,9,SL01,,,2,2024-12-30,2024-12-31,,F,,20.4,95,S30
100,MAT00026,P003,,,,C,VB,BUYER03,13.0,6.5,4,65.0,30,30,SL01,,,2,2024-12-30,2024-12-31,,E,3,8.0,98,S30
100,MAT00027,P001,,,,B,PD,BUYER03,40.0,20.0,12,200.0,37,37,SL01,,,2,2024-12-29,2024-12-31,,F,2,18.3,98,
100,MAT00027,P002,,,,C,PD,BUYER01,43.0,21.5,13,215.0,23,23,SL01,,,2,2024-12-26,2024-12-31,,F,3,5.3,98,S30
100,MAT00027,P003,,,,B,PD,BUYER03,16.0,8.0,5,80.0,31,31,SL01,,,2,2024-12-28,2024-12-31,,F,3,14.2,99,S10
100,MAT00028,P001,,,,C,VB,BUYER01,6.0,3.0,2,30.0,24,24,SL01,,,2,2024-12-31,2024-12-31,,F,2,15.6,99,S40
100,MAT00028,P002,,,,B,PD,BUYER03,41.0,20.5,12,205.0,25,25,SL01,,,2,2024-12-29,2024-12-31,,F,3,20.2,95,S40
100,MAT00028,P003,,,,C,VB,BUYER01,30.0,15.0,9,150.0,20,20,SL01,,,2,2024-12-29,2024-12-31,,E,2,26.3,98,S40
100,MAT00029,P001,,,,C,PD,BUYER03,27.0,13.5,8,135.0,29,29,SL01,,,2,2024-12-30,2024-12-31,,F,1,22.3,95,S30
100,MAT00029,P002,,,,A,PD,BUYER02,25.0,12.5,8,125.0,34,34,SL01,,,2,2024-12-28,2024-12-31,,E,2,24.3,95,S10
100,MAT00029,P003,,,,C,PD,BUYER02,19.0,9.5,6,95.0,18,18,SL01,,,2,2024-12-31,2024-12-31,,E,3,17.5,99,S20
100,MAT00030,P001,,,,C,PD,BUYER02,24.0,12.0,7,120.0,25,25,SL01,,,2,2024-12-26,2024-12-31,,F,3,13.3,99,S40
100,MAT00030,P002,,,,B,PD,BUYER01,17.0,8.5,5,85.0,32,32,SL01,,,2,2024-12-30,2024-12-31,,X,3,18.0,99,S30
100,MAT00030,P003,,,,C,VB,BUYER03,10.0,5.0,3,50.0,23,23,SL01,,,2,2024-12-31,2024-12-31,,F,3,15.9,99,S40
100,MAT00031,P001,,,,B,PD,BUYER03,38.0,19.0,11,190.0,16,16,SL01,,,2,2024-12-29,2024-12-31,,X,1,5.5,98,
100,MAT00031,P002,,,,C,ND,BUYER01,32.0,16.0,10,160.0,36,36,SL01,,,2,2024-12-26,2024-12-31,,E,1,26.7,95,S20
100,MAT00031,P003,,,,A,PD,BUYER03,13.0,6.5,4,65.0,26,26,SL01,,,2,2024-12-28,2024-12-31,,F,,21.0,95,S10
100,MAT00032,P001,,,,C,PD,BUYER03,49.0,24.5,15,245.0,5,5,SL01,,,2,2024-12-29,2024-12-31,,F,3,2.8,95,S10
100,MAT00032,P002,,,,B,ND,BUYER01,44.0,22.0,13,220.0,43,43,SL01,,,2,2024-12-25,2024-12-31,,F,3,29.8,99,
100,MAT00032,P003,,,,B,PD,BUYER01,27.0,13.5,8,135.0,33,33,SL01,,,2,2024-12-26,2024-12-31,,F,3,10.1,98,
100,MAT00033,P001,,,,A,PD,BUYER02,10.0,5.0,3,50.0,33,33,SL01,,,2,2024-12-31,2024-12-31,,X,3,17.8,98,S20
100,MAT00033,P002,,,,A,PD,BUYER03,36.0,18.0,11,180.0,43,43,SL01,,,2,2024-12-29,2024-12-31,,X,,4.9,95,S30
100,MAT00033,P003,,,,A,ND,BUYER02,50.0,25.0,15,250.0,8,8,SL01,,,2,2024-12-29,2024-12-31,,F,3,14.9,95,S10
100,MAT00034,P001,,,,C,VB,BUYER02,15.0,7.5,4,75.0,42,42,SL01,,,2,2024-12-28,2024-12-31,,E,2,9.0,97,
100,MAT00034,P002,,,,C,ND,BUYER02,44.0,22.0,13,220.0,22,22,SL01,,,2,2024-12-26,2024-12-31,,F,2,14.0,98,
100,MAT00034,P003,,,,C,PD,BUYER01,32.0,16.0,10,160.0,6,6,SL01,,,2,2024-12-27,2024-12-31,,F,1,5.0,95,S40
100,MAT00035,P001,,,,A,VB,BUYER01,35.0,17.5,10,175.0,19,19,SL01,,,2,2024-12-25,2024-12-31,,F,1,11.9,99,S20
100,MAT00035,P002,,,,B,PD,BUYER03,5.0,2.5,2,25.0,13,13,SL01,,,2,2024-12-27,2024-12-31,,F,2,2.1,98,S40
100,MAT00035,P003,,,,C,PD,BUYER03,15.0,7.5,4,75.0,5,5,SL01,,,2,2024-12-26,2024-12-31,,E,2,3.6,95,S30
100,MAT00036,P001,,,,C,VB,BUYER03,36.0,18.0,11,180.0,7,7,SL01,,,2,2024-12-25,2024-12-31,,E,2,22.1,99,S20
100,MAT00036,P002,,,,C,PD,BUYER03,24.0,12.0,7,120.0,15,15,SL01,,,2,2024-12-30,2024-12-31,,F,,18.3,98,S20
100,MAT00036,P003,,,,A,PD,BUYER01,42.0,21.0,13,210.0,20,20,SL01,,,2,2024-12-25,2024-12-31,,F,3,22.7,99,S20
