MANDT,TKNUM,SHTYP,TPLST,VSTEL,ROUTE,SIGNI,ERDAT,ERNAM,ERZET,ABFTZ,ANZPK,NTGEW,GEWEI,VOLUM,VOLEH,LFART,INCO1,INCO2,TDLNR,TRAID,TRATY,DISTZ,MEDST,STAFO,VSBED,DAUER,TNSTA,DLSTA,PDSTA,LDSTA,TRSTA
100,5000000055,0001,TP01,SP01,R0002,5000000055,2024-03-10,WHOUSE01,163906,2024-03-10,1,3610.0,KG,23.53,M3,LF,DAP,Destination,CAR004,TRK-000055,01,107,KM,,,5,C,C,C,C,C
100,5000000056,0001,TP02,SP02,R0002,5000000056,2024-03-11,WHOUSE01,120522,2024-03-11,2,2988.4,KG,27.93,M3,LF,DAP,Destination,CAR004,TRK-000056,01,1480,KM,,,5,C,C,C,C,C
100,5000000057,0001,TP01,SP03,R0002,5000000057,2024-03-18,WHOUSE01,100218,2024-03-18,4,3439.4,KG,36.28,M3,LF,DAP,Destination,CAR001,TRK-000057,01,465,KM,,,2,C,C,C,C,C
100,5000000058,0001,TP01,SP03,R0002,5000000058,2024-03-25,WHOUSE02,135722,2024-03-25,4,4605.5,KG,41.98,M3,LF,DAP,Destination,CAR005,TRK-000058,01,1379,KM,,,5,C,C,C,C,C
100,5000000059,0001,TP01,SP01,R0002,5000000059,2024-04-03,WHOUSE02,113809,2024-04-03,4,3023.4,KG,44.17,M3,LF,DAP,Destination,CAR001,TRK-000059,01,1485,KM,,,2,C,C,C,C,C
100,5000000060,0001,TP02,SP02,R0002,5000000060,2024-04-09,WHOUSE02,110426,2024-04-09,2,1048.1,KG,42.88,M3,LF,DAP,Destination,CAR001,TRK-000060,01,929,KM,,,1,C,C,C,C,C
100,5000000061,0001,TP01,SP03,R0002,5000000061,2024-04-17,WHOUSE01,100445,2024-04-17,3,1329.5,KG,22.57,M3,LF,DAP,Destination,CAR002,TRK-000061,01,1282,KM,,,1,C,C,C,C,C
100,5000000062,0001,TP01,SP03,R0002,5000000062,2024-04-18,WHOUSE01,101312,2024-04-18,1,2597.7,KG,16.95,M3,LF,DAP,Destination,CAR003,TRK-000062,01,1197,KM,,,4,C,C,C,C,C
100,5000000063,0001,TP01,SP03,R0002,5000000063,2024-04-24,WHOUSE02,164158,2024-04-24,3,4481.0,KG,3.25,M3,LF,DAP,Destination,CAR005,TRK-000063,01,800,KM,,,3,C,C,C,C,C
100,5000000064,0001,TP01,SP01,R0002,5000000064,2024-04-25,WHOUSE01,124951,2024-04-25,1,574.5,KG,16.98,M3,LF,DAP,Destination,CAR002,TRK-000064,01,1622,KM,,,4,C,C,C,C,C
100,5000000065,0001,TP01,SP03,R0002,5000000065,2024-04-29,WHOUSE01,172916,2024-04-29,3,4180.8,KG,31.95,M3,LF,DAP,Destination,CAR003,TRK-000065,01,901,KM,,,1,C,C,C,C,C
100,5000000066,0001,TP02,SP02,R0002,5000000066,2024-05-07,WHOUSE02,135803,2024-05-07,5,2114.6,KG,4.34,M3,LF,DAP,Destination,CAR002,TRK-000066,01,941,KM,,,3,C,C,C,C,C
100,5000000067,0001,TP01,SP01,R0002,5000000067,2024-05-14,WHOUSE02,172446,2024-05-14,4,2861.0,KG,26.23,M3,LF,DAP,Destination,CAR001,TRK-000067,01,1606,KM,,,2,C,C,C,C,C
100,5000000068,0001,TP01,SP01,R0002,5000000068,2024-05-21,WHOUSE01,112624,2024-05-21,4,661.2,KG,37.77,M3,LF,DAP,Destination,CAR005,TRK-000068,01,1917,KM,,,4,C,C,C,C,C
100,5000000069,0001,TP01,SP03,R0002,5000000069,2024-06-01,WHOUSE02,083554,2024-06-01,2,2625.4,KG,23.36,M3,LF,DAP,Destination,CAR005,TRK-000069,01,1030,KM,,,1,C,C,C,C,C
100,5000000070,0001,TP02,SP02,R0002,5000000070,2024-06-03,WHOUSE01,171538,2024-06-03,2,4730.8,KG,22.41,M3,LF,DAP,Destination,CAR004,TRK-000070,01,1124,KM,,,1,C,C,C,C,C
100,5000000071,0001,TP01,SP01,R0002,5000000071,2024-06-03,WHOUSE01,103547,2024-06-03,2,4381.9,KG,32.2,M3,LF,DAP,Destination,CAR004,TRK-000071,01,1075,KM,,,2,C,C,C,C,C
100,5000000072,0001,TP01,SP03,R0002,5000000072,2024-06-13,WHOUSE02,070645,2024-06-13,5,2581.1,KG,30.77,M3,LF,DAP,Destination,CAR004,TRK-000072,01,1328,KM,,,1,C,C,C,C,C
100,5000000073,0001,TP01,SP01,R0002,5000000073,2024-06-16,WHOUSE01,171212,2024-06-16,1,3295.5,KG,29.06,M3,LF,DAP,Destination,CAR004,TRK-000073,01,1679,KM,,,3,C,C,C,C,C
100,5000000074,0001,TP01,SP03,R0002,5000000074,2024-06-17,WHOUSE02,085622,2024-06-17,4,146.9,KG,38.12,M3,LF,DAP,Destination,CAR004,TRK-000074,01,1929,KM,,,2,C,C,C,C,C
100,5000000075,0001,TP01,SP01,R0002,5000000075,2024-06-24,WHOUSE01,090341,2024-06-24,2,1052.6,KG,3.07,M3,LF,DAP,Destination,CAR002,TRK-000075,01,430,KM,,,5,C,C,C,C,C
100,5000000076,0001,TP02,SP02,R0002,5000000076,2024-06-24,WHOUSE02,093339,2024-06-24,2,1948.9,KG,40.3,M3,LF,DAP,Destination,CAR003,TRK-000076,01,410,KM,,,5,C,C,C,C,C
100,5000000077,0001,TP01,SP01,R0002,5000000077,2024-07-01,WHOUSE01,145029,2024-07-01,2,3274.4,KG,3.05,M3,LF,DAP,Destination,CAR003,TRK-000077,01,1696,KM,,,2,C,C,C,C,C
100,5000000078,0001,TP01,SP01,R0002,5000000078,2024-07-07,WHOUSE01,142342,2024-07-07,1,2448.5,KG,42.85,M3,LF,DAP,Destination,CAR001,TRK-000078,01,1890,KM,,,2,C,C,C,C,C
100,5000000079,0001,TP01,SP01,R0002,5000000079,2024-07-15,WHOUSE01,074514,2024-07-15,2,1148.4,KG,21.13,M3,LF,DAP,Destination,CAR004,TRK-000079,01,1253,KM,,,4,C,C,C,C,C
100,5000000080,0001,TP02,SP02,R0002,5000000080,2024-07-26,WHOUSE02,092454,2024-07-26,1,3440.1,KG,36.73,M3,LF,DAP,Destination,CAR002,TRK-000080,01,1585,KM,,,3,C,C,C,C,C
100,5000000081,0001,TP01,SP01,R0002,5000000081,2024-08-05,WHOUSE01,132931,2024-08-05,5,1541.6,KG,23.51,M3,LF,DAP,Destination,CAR002,TRK-000081,01,970,KM,,,4,C,C,C,C,C
100,5000000082,0001,TP01,SP03,R0002,5000000082,2024-08-16,WHOUSE01,163609,2024-08-16,2,1990.6,KG,12.93,M3,LF,DAP,Destination,CAR002,TRK-000082,01,1453,KM,,,4,C,C,C,C,C
100,5000000083,0001,TP01,SP03,R0002,5000000083,2024-08-20,WHOUSE01,164332,2024-08-20,2,4389.7,KG,11.53,M3,LF,DAP,Destination,CAR005,TRK-000083,01,1757,KM,,,2,C,C,C,C,C
100,5000000084,0001,TP02,SP02,R0002,5000000084,2024-08-24,WHOUSE02,112338,2024-08-24,3,784.7,KG,15.52,M3,LF,DAP,Destination,CAR001,TRK-000084,01,638,KM,,,2,C,C,C,C,C
100,5000000085,0001,TP01,SP03,R0002,5000000085,2024-08-23,WHOUSE02,125133,2024-08-23,2,4977.9,KG,31.41,M3,LF,DAP,Destination,CAR004,TRK-000085,01,1936,KM,,,3,C,C,C,C,C
100,5000000086,0001,TP01,SP03,R0002,5000000086,2024-08-26,WHOUSE01,100700,2024-08-26,2,4087.0,KG,10.55,M3,LF,DAP,Destination,CAR004,TRK-000086,01,1883,KM,,,2,C,C,C,C,C
100,5000000087,0001,TP02,SP02,R0002,5000000087,2024-08-26,WHOUSE02,095006,2024-08-26,1,1629.3,KG,20.68,M3,LF,DAP,Destination,CAR001,TRK-000087,01,1245,KM,,,4,C,C,C,C,C
100,5000000088,0001,TP02,SP02,R0002,5000000088,2024-09-02,WHOUSE02,070511,2024-09-02,2,1441.9,KG,11.36,M3,LF,DAP,Destination,CAR002,TRK-000088,01,864,KM,,,1,C,C,C,C,C
100,5000000089,0001,TP01,SP03,R0002,5000000089,2024-09-02,WHOUSE01,100619,2024-09-02,1,4701.7,KG,14.22,M3,LF,DAP,Destination,CAR002,TRK-000089,01,1761,KM,,,2,C,C,C,C,C
100,5000000090,0001,TP01,SP03,R0002,5000000090,2024-09-10,WHOUSE02,125233,2024-09-10,2,3155.5,KG,25.0,M3,LF,DAP,Destination,CAR002,TRK-000090,01,1975,KM,,,4,C,C,C,C,C
100,5000000091,0001,TP01,SP03,R0002,5000000091,2024-09-09,WHOUSE01,095452,2024-09-09,3,4427.0,KG,25.24,M3,LF,DAP,Destination,CAR002,TRK-000091,01,205,KM,,,2,C,C,C,C,C
100,5000000092,0001,TP01,SP03,R0002,5000000092,2024-09-17,WHOUSE02,132246,2024-09-17,3,3350.3,KG,10.8,M3,LF,DAP,Destination,CAR004,TRK-000092,01,988,KM,,,5,C,C,C,C,C
100,5000000093,0001,TP02,SP02,R0002,5000000093,2024-09-27,WHOUSE02,122750,2024-09-27,3,1534.7,KG,40.45,M3,LF,DAP,Destination,CAR004,TRK-000093,01,1684,KM,,,4,C,C,C,C,C
100,5000000094,0001,TP01,SP01,R0002,5000000094,2024-10-01,WHOUSE01,064055,2024-10-01,5,1639.6,KG,20.29,M3,LF,DAP,Destination,CAR002,TRK-000094,01,1030,KM,,,3,C,C,C,C,C
100,5000000095,0001,TP01,SP01,R0002,5000000095,2024-10-01,WHOUSE01,153116,2024-10-01,2,4726.3,KG,15.93,M3,LF,DAP,Destination,CAR002,TRK-000095,01,772,KM,,,4,C,C,C,C,C
100,5000000096,0001,TP01,SP03,R0002,5000000096,2024-10-06,WHOUSE02,134013,2024-10-06,1,878.0,KG,37.78,M3,LF,DAP,Destination,CAR005,TRK-000096,01,600,KM,,,4,C,C,C,C,C
100,5000000097,0001,TP02,SP02,R0002,5000000097,2024-10-09,WHOUSE01,092831,2024-10-09,3,233.9,KG,30.19,M3,LF,DAP,Destination,CAR003,TRK-000097,01,182,KM,,,4,C,C,C,C,C
100,5000000098,0001,TP01,SP03,R0002,5000000098,2024-10-18,WHOUSE02,084936,2024-10-18,1,1995.2,KG,19.43,M3,LF,DAP,Destination,CAR003,TRK-000098,01,191,KM,,,2,C,C,C,C,C
100,5000000099,0001,TP02,SP02,R0002,5000000099,2024-10-25,WHOUSE02,105544,2024-10-25,1,4232.3,KG,10.07,M3,LF,DAP,Destination,CAR005,TRK-000099,01,1583,KM,,,2,C,C,C,C,C
100,5000000100,0002,TP01,SP01,R0003,5000000100,2024-01-19,WHOUSE02,142216,2024-01-19,2,3869.2,KG,38.73,M3,LF,DAP,Destination,CAR001,TRK-000100,01,1309,KM,,,4,C,C,C,C,C
100,5000000101,0002,TP01,SP01,R0003,5000000101,2024-01-26,WHOUSE01,133936,2024-01-26,2,363.8,KG,43.79,M3,LF,DAP,Destination,CAR004,TRK-000101,01,1736,KM,,,1,C,C,C,C,C
100,5000000102,0002,TP01,SP01,R0003,5000000102,2024-01-31,WHOUSE02,142012,2024-01-31,1,758.0,KG,13.83,M3,LF,DAP,Destination,CAR003,TRK-000102,01,1104,KM,,,3,C,C,C,C,C
100,5000000103,0002,TP01,SP03,R0003,5000000103,2024-02-07,WHOUSE01,063358,2024-02-07,1,1836.5,KG,22.44,M3,LF,DAP,Destination,CAR005,TRK-000103,01,1589,KM,,,3,C,C,C,C,C
100,5000000104,0002,TP01,SP01,R0003,5000000104,2024-02-13,WHOUSE01,073116,2024-02-13,2,3263.1,KG,12.02,M3,LF,DAP,Destination,CAR003,TRK-000104,01,656,KM,,,3,C,C,C,C,C
100,5000000105,0002,TP02,SP02,R0003,5000000105,2024-02-13,WHOUSE02,165603,2024-02-13,2,3444.4,KG,29.96,M3,LF,DAP,Destination,CAR005,TRK-000105,01,655,KM,,,2,C,C,C,C,C
100,5000000106,0002,TP02,SP02,R0003,5000000106,2024-02-19,WHOUSE02,101000,2024-02-19,4,2651.4,KG,28.35,M3,LF,DAP,Destination,CAR002,TRK-000106,01,1495,KM,,,2,C,C,C,C,C
100,5000000107,0002,TP02,SP02,R0003,5000000107,2024-02-23,WHOUSE01,125348,2024-02-23,1,1226.9,KG,3.72,M3,LF,DAP,Destination,CAR002,TRK-000107,01,796,KM,,,2,C,C,C,C,C
100,5000000108,0002,TP01,SP03,R0003,5000000108,2024-02-26,WHOUSE02,060419,2024-02-26,2,705.5,KG,40.2,M3,LF,DAP,Destination,CAR001,TRK-000108,01,1216,KM,,,2,C,C,C,C,C
100,5000000109,0002,TP01,SP01,R0003,5000000109,2024-03-05,WHOUSE01,102850,2024-03-05,4,3456.8,KG,49.82,M3,LF,DAP,Destination,CAR003,TRK-000109,01,500,KM,,,4,C,C,C,C,C
100,5000000110,0002,TP01,SP01,R0003,5000000110,2024-03-12,WHOUSE02,091757,2024-03-12,5,2190.1,KG,22.18,M3,LF,DAP,Destination,CAR003,TRK-000110,01,89,KM,,,5,C,C,C,C,C
100,5000000111,0002,TP01,SP03,R0003,5000000111,2024-03-13,WHOUSE01,123402,2024-03-13,1,1174.6,KG,33.01,M3,LF,DAP,Destination,CAR002,TRK-000111,01,1006,KM,,,5,C,C,C,C,C
100,5000000112,0002,TP01,SP03,R0003,5000000112,2024-03-20,WHOUSE01,112246,2024-03-20,2,1227.3,KG,1.59,M3,LF,DAP,Destination,CAR005,TRK-000112,01,1850,KM,,,3,C,C,C,C,C
100,5000000113,0002,TP02,SP02,R0003,5000000113,2024-03-20,WHOUSE01,105559,2024-03-20,2,4274.1,KG,47.03,M3,LF,DAP,Destination,CAR002,TRK-000113,01,737,KM,,,5,C,C,C,C,C
100,5000000114,0002,TP01,SP03,R0003,5000000114,2024-03-25,WHOUSE02,143847,2024-03-25,1,4660.0,KG,14.39,M3,LF,DAP,Destination,CAR002,TRK-000114,01,450,KM,,,4,C,C,C,C,C
100,5000000115,0002,TP01,SP03,R0003,5000000115,2024-04-01,WHOUSE01,102554,2024-04-01,3,1418.7,KG,17.7,M3,LF,DAP,Destination,CAR005,TRK-000115,01,1662,KM,,,2,C,C,C,C,C
100,5000000116,0002,TP01,SP01,R0003,5000000116,2024-04-09,WHOUSE01,104258,2024-04-09,4,634.6,KG,3.87,M3,LF,DAP,Destination,CAR005,TRK-000116,01,957,KM,,,3,C,C,C,C,C
100,5000000117,0002,TP01,SP03,R0003,5000000117,2024-04-20,WHOUSE02,131019,2024-04-20,1,3716.4,KG,35.96,M3,LF,DAP,Destination,CAR003,TRK-000117,01,532,KM,,,4,C,C,C,C,C
100,5000000118,0002,TP01,SP01,R0003,5000000118,2024-04-26,WHOUSE01,081527,2024-04-26,2,1745.6,KG,41.27,M3,LF,DAP,Destination,CAR004,TRK-000118,01,1853,KM,,,1,C,C,C,C,C
100,5000000119,0002,TP01,SP01,R0003,5000000119,2024-04-23,WHOUSE01,075159,2024-04-23,1,4065.4,KG,11.19,M3,LF,DAP,Destination,CAR003,TRK-000119,01,1025,KM,,,5,C,C,C,C,C
100,5000000120,0002,TP01,SP03,R0003,5000000120,2024-04-29,WHOUSE01,094736,2024-04-29,4,3331.0,KG,41.29,M3,LF,DAP,Destination,CAR004,TRK-000120,01,804,KM,,,1,C,C,C,C,C
