MANDT,OBJNR,STAT,INACT,CHGNR,UDATE,UTIME,USNAM,STSMA,VORGNG,VORZUSTAND,CDTCODE
100,OR1000000006000010,E0004,,36,2024-05-26,06:46:40,FINANCE02,,,,VF01
100,OR1000000006000010,E0005,,37,2024-05-27,10:38:32,FINANCE01,,,,VF02
100,OR1000000006000020,E0001,,38,2024-05-11,08:06:37,SALEUSER3,,,,VA01
100,OR1000000006000020,E0002,,39,2024-05-21,12:02:41,WHOUSE01,,,,VL01N
100,OR1000000006000020,E0003,,40,2024-05-23,10:58:07,WHOUSE01,,,,VL02N
100,OR1000000006000020,E0004,,41,2024-05-26,11:19:12,FINANCE01,,,,VF01
100,OR1000000006000020,E0005,,42,2024-05-29,07:23:27,AUTOCLR,,,,VF02
100,OR1000000007000010,E0001,,43,2024-06-14,16:57:18,SALEUSER1,,,,VA01
100,OR1000000007000010,E0002,,44,2024-06-25,08:03:41,WHOUSE02,,,,VL01N
100,OR1000000007000010,E0003,,45,2024-06-25,14:05:07,WHOUSE02,,,,VL02N
100,OR1000000007000010,E0004,,46,2024-06-28,08:41:43,FINANCE01,,,,VF01
100,OR1000000007000010,E0005,,47,2024-06-30,11:22:31,AUTOCLR,,,,VF02
100,OR1000000007000020,E0001,,48,2024-06-14,10:01:30,SALEUSER1,,,,VA01
100,OR1000000007000020,E0002,,49,2024-06-25,08:50:55,WHOUSE01,,,,VL01N
100,OR1000000007000020,E0003,,50,2024-06-25,17:26:01,WHOUSE01,,,,VL02N
100,OR1000000007000020,E0004,,51,2024-06-28,16:59:22,FINANCE02,,,,VF01
100,OR1000000007000020,E0005,,52,2024-06-30,15:14:42,AUTOCLR,,,,VF02
100,OR1000000008000010,E0001,,53,2024-02-14,11:04:07,SALEUSER2,,,,VA01
100,OR1000000008000010,E0002,,54,2024-03-03,11:15:57,WHOUSE02,,,,VL01N
100,OR1000000008000010,E0003,,55,2024-03-05,16:17:46,WHOUSE02,,,,VL02N
100,OR1000000008000010,E0004,,56,2024-03-07,10:18:31,FINANCE02,,,,VF01
100,OR1000000008000010,E0005,,57,2024-03-10,15:59:11,FINANCE01,,,,VF02
100,OR1000000009000010,E0001,,58,2024-08-15,15:26:35,SALEUSER2,,,,VA01
100,OR1000000009000010,E0002,,59,2024-08-24,15:23:42,WHOUSE02,,,,VL01N
100,OR1000000009000010,E0003,,60,2024-08-25,09:43:02,WHOUSE01,,,,VL02N
100,OR1000000009000010,E0004,,61,2024-08-28,16:08:45,FINANCE01,,,,VF01
100,OR1000000009000010,E0005,,62,2024-08-30,15:41:17,FINANCE01,,,,VF02
100,OR1000000010000010,E0001,,63,2024-02-26,14:07:49,SALEUSER1,,,,VA01
100,OR1000000010000010,E0002,,64,2024-03-13,09:06:52,WHOUSE01,,,,VL01N
100,OR1000000010000010,E0003,,65,2024-03-13,09:34:43,WHOUSE02,,,,VL02N
100,OR1000000010000010,E0004,,66,2024-03-18,10:16:19,FINANCE02,,,,VF01
100,OR1000000010000010,E0005,,67,2024-03-21,10:46:44,AUTOCLR,,,,VF02
100,OR1000000010000020,E0001,,68,2024-02-26,15:44:17,SALEUSER1,,,,VA01
100,OR1000000010000020,E0002,,69,2024-03-13,11:16:46,WHOUSE01,,,,VL01N
100,OR1000000010000020,E0003,,70,2024-03-14,16:25:16,WHOUSE01,,,,VL02N
100,OR1000000010000020,E0004,,71,2024-03-18,17:47:10,FINANCE02,,,,VF01
100,OR1000000010000020,E0005,,72,2024-03-19,15:29:28,AUTOCLR,,,,VF02
100,OR1000000011000010,E0001,,73,2024-02-28,06:19:19,SALEUSER3,,,,VA01
100,OR1000000011000010,E0002,,74,2024-03-22,10:59:56,WHOUSE02,,,,VL01N
100,OR1000000011000010,E0003,,75,2024-03-24,09:34:05,WHOUSE02,,,,VL02N
100,OR1000000011000010,E0004,,76,2024-03-27,09:08:04,FINANCE01,,,,VF01
100,OR1000000011000010,E0005,,77,2024-03-30,06:12:19,FINANCE01,,,,VF02
100,OR1000000012000010,E0001,,78,2024-04-25,09:31:43,SALEUSER2,,,,VA01
100,OR1000000012000010,E0002,,79,2024-05-05,06:15:19,WHOUSE02,,,,VL01N
100,OR1000000012000010,E0003,,80,2024-05-05,09:09:00,WHOUSE01,,,,VL02N
100,OR1000000012000010,E0004,,81,2024-05-09,12:05:26,FINANCE02,,,,VF01
100,OR1000000012000010,E0005,,82,2024-05-12,17:04:11,FINANCE01,,,,VF02
100,OR1000000013000010,E0001,,83,2024-06-08,16:50:29,SALEUSER2,,,,VA01
100,OR1000000013000010,E0002,,84,2024-06-26,11:37:32,WHOUSE01,,,,VL01N
100,OR1000000013000010,E0003,,85,2024-06-27,17:47:02,WHOUSE01,,,,VL02N
100,OR1000000013000010,E0004,,86,2024-06-29,10:10:08,FINANCE01,,,,VF01
100,OR1000000013000010,E0005,,87,2024-07-01,17:34:05,FINANCE01,,,,VF02
100,OR1000000014000010,E0001,,88,2024-05-13,17:40:21,SALEUSER2,,,,VA01
100,OR1000000014000010,E0002,,89,2024-06-08,08:51:44,WHOUSE02,,,,VL01N
100,OR1000000014000010,E0003,,90,2024-06-08,11:16:31,WHOUSE01,,,,VL02N
100,OR1000000014000010,E0004,,91,2024-06-10,12:06:26,FINANCE01,,,,VF01
100,OR1000000014000010,E0005,,92,2024-06-11,14:48:33,FINANCE01,,,,VF02
100,OR1000000015000010,E0001,,93,2024-02-16,13:26:27,SALEUSER2,,,,VA01
100,OR1000000015000010,E0002,,94,2024-02-23,06:03:18,WHOUSE02,,,,VL01N
100,OR1000000015000010,E0003,,95,2024-02-24,15:58:33,WHOUSE01,,,,VL02N
100,OR1000000015000010,E0004,,96,2024-02-27,17:04:34,FINANCE01,,,,VF01
100,OR1000000015000010,E0005,,97,2024-02-29,14:34:05,AUTOCLR,,,,VF02
100,OR1000000016000010,E0001,,98,2024-03-02,06:51:25,SALEUSER2,,,,VA01
100,OR1000000016000010,E0002,,99,2024-03-18,07:16:08,WHOUSE02,,,,VL01N
100,OR1000000016000010,E0003,,100,2024-03-20,16:09:41,WHOUSE02,,,,VL02N
100,OR1000000016000010,E0004,,101,2024-03-22,17:05:49,FINANCE01,,,,VF01
100,OR1000000016000010,E0005,,102,2024-03-23,08:06:26,FINANCE01,,,,VF02
100,OR1000000016000020,E0001,,103,2024-03-02,09:21:01,SALEUSER2,,,,VA01
100,OR1000000016000020,E0002,,104,2024-03-18,15:25:09,WHOUSE01,,,,VL01N
100,OR1000000016000020,E0003,,105,2024-03-18,12:25:20,WHOUSE01,,,,VL02N
100,OR1000000016000020,E0004,,106,2024-03-22,16:05:11,FINANCE01,,,,VF01
100,OR1000000016000020,E0005,,107,2024-03-25,07:21:57,AUTOCLR,,,,VF02
100,OR1000000017000010,E0001,,108,2024-09-04,13:51:10,SALEUSER3,,,,VA01
100,OR1000000017000010,E0002,,109,2024-09-17,15:59:52,WHOUSE01,,,,VL01N
100,OR1000000017000010,E0003,,110,2024-09-18,17:21:23,WHOUSE02,,,,VL02N
100,OR1000000017000010,E0004,,111,2024-09-19,16:45:21,FINANCE02,,,,VF01
100,OR1000000017000010,E0005,,112,2024-09-20,07:56:22,AUTOCLR,,,,VF02
100,OR1000000018000010,E0001,,113,2024-04-02,15:54:29,SALEUSER2,,,,VA01
100,OR1000000018000010,E0002,,114,2024-05-18,13:31:39,WHOUSE02,,,,VL01N
100,OR1000000018000010,E0003,,115,2024-05-18,09:21:12,WHOUSE01,,,,VL02N
100,OR1000000018000010,E0004,,116,2024-05-21,09:10:45,FINANCE01,,,,VF01
100,OR1000000018000010,E0005,,117,2024-05-22,15:24:20,FINANCE01,,,,VF02
100,OR1000000018000020,E0001,,118,2024-04-02,07:24:46,SALEUSER2,,,,VA01
100,OR1000000018000020,E0002,,119,2024-05-18,11:14:00,WHOUSE01,,,,VL01N
100,OR1000000018000020,E0003,,120,2024-05-19,10:24:46,WHOUSE01,,,,VL02N
100,OR1000000018000020,E0004,,121,2024-05-21,08:00:03,FINANCE01,,,,VF01
100,OR1000000018000020,E0005,,122,2024-05-22,06:12:00,FINANCE01,,,,VF02
100,OR1000000019000010,E0001,,123,2024-03-13,14:35:54,SALEUSER3,,,,VA01
100,OR1000000019000010,E0006,,124,2024-03-18,13:08:00,SALEUSER1,,,,VA02
100,OR1000000020000010,E0001,,125,2024-03-14,10:28:58,SALEUSER3,,,,VA01
100,OR1000000020000010,E0002,,126,2024-04-10,08:04:00,WHOUSE01,,,,VL01N
100,OR1000000020000010,E0003,,127,2024-04-11,08:56:07,WHOUSE02,,,,VL02N
100,OR1000000020000010,E0004,,128,2024-04-11,14:11:08,FINANCE02,,,,VF01
100,OR1000000020000010,E0005,,129,2024-04-12,11:45:17,AUTOCLR,,,,VF02
100,OR1000000021000010,E0001,,130,2024-04-30,17:30:28,SALEUSER2,,,,VA01
100,OR1000000021000010,E0002,,131,2024-06-11,13:16:27,WHOUSE02,,,,VL01N
100,OR1000000021000010,E0003,,132,2024-06-11,08:21:01,WHOUSE01,,,,VL02N
100,OR1000000021000010,E0004,,133,2024-06-14,10:37:51,FINANCE02,,,,VF01
100,OR1000000021000010,E0005,,134,2024-06-17,11:40:25,FINANCE01,,,,VF02
100,OR1000000022000010,E0001,,135,2024-01-12,15:22:23,SALEUSER2,,,,VA01
100,OR1000000022000010,E0002,,136,2024-02-05,12:15:30,WHOUSE01,,,,VL01N
100,OR1000000022000010,E0003,,137,2024-02-07,08:12:27,WHOUSE01,,,,VL02N
100,OR1000000022000010,E0004,,138,2024-02-09,14:33:05,FINANCE01,,,,VF01
100,OR1000000022000010,E0005,,139,2024-02-11,12:40:58,FINANCE01,,,,VF02
100,OR1000000023000010,E0001,,140,2024-01-21,09:31:35,SALEUSER1,,,,VA01
100,OR1000000023000010,E0002,,141,2024-02-08,07:43:55,WHOUSE01,,,,VL01N
100,OR1000000023000010,E0003,,142,2024-02-09,11:10:41,WHOUSE01,,,,VL02N
100,OR1000000023000010,E0004,,143,2024-02-10,13:36:47,FINANCE01,,,,VF01
100,OR1000000023000010,E0005,,144,2024-02-13,09:37:32,FINANCE01,,,,VF02
100,OR1000000024000010,E0001,,145,2024-08-04,09:55:18,SALEUSER1,,,,VA01
100,OR1000000024000010,I0002,,146,2024-08-05,06:30:43,SALEUSER1,,,,VA02
100,OR1000000024000010,E0002,,147,2024-09-02,11:40:55,WHOUSE02,,,,VL01N
100,OR1000000024000010,E0003,,148,2024-09-04,08:26:09,WHOUSE02,,,,VL02N
100,OR1000000024000020,E0001,,149,2024-08-04,12:37:32,SALEUSER1,,,,VA01
100,OR1000000024000020,I0002,,150,2024-08-05,15:50:06,SALEUSER1,,,,VA02
100,OR1000000024000020,I0002,X,151,2024-08-10,17:16:49,SALEUSER1,,,,VA02
100,OR1000000024000020,E0002,,152,2024-09-02,07:12:00,WHOUSE01,,,,VL01N
100,OR1000000024000020,E0003,,153,2024-09-03,07:18:16,WHOUSE01,,,,VL02N
100,OR1000000025000010,E0001,,154,2024-04-02,08:03:52,SALEUSER1,,,,VA01
100,OR1000000025000010,E0002,,155,2024-04-28,10:56:41,WHOUSE02,,,,VL01N
100,OR1000000025000010,E0003,,156,2024-04-28,10:28:13,WHOUSE02,,,,VL02N
100,OR1000000025000010,E0004,,157,2024-05-03,16:48:55,FINANCE02,,,,VF01
100,OR1000000025000010,E0005,,158,2024-05-06,07:39:47,AUTOCLR,,,,VF02
100,OR1000000026000010,E0001,,159,2024-09-07,14:50:03,SALEUSER1,,,,VA01
100,OR1000000026000010,E0002,,160,2024-10-19,15:53:03,WHOUSE01,,,,VL01N
100,OR1000000026000010,E0003,,161,2024-10-19,11:41:13,WHOUSE01,,,,VL02N
100,OR1000000026000010,E0004,,162,2024-10-24,13:57:48,FINANCE01,,,,VF01
100,OR1000000026000010,E0005,,163,2024-10-25,09:06:07,FINANCE01,,,,VF02
100,OR1000000027000010,E0001,,164,2024-04-24,17:12:00,SALEUSER3,,,,VA01
100,OR1000000027000010,E0002,,165,2024-05-21,11:45:17,WHOUSE02,,,,VL01N
100,OR1000000027000010,E0003,,166,2024-05-22,07:06:37,WHOUSE02,,,,VL02N
100,OR1000000027000010,E0004,,167,2024-05-23,14:56:18,FINANCE01,,,,VF01
100,OR1000000027000010,E0005,,168,2024-05-26,13:08:30,AUTOCLR,,,,VF02
100,OR1000000028000010,E0001,,169,2024-05-18,11:07:34,SALEUSER1,,,,VA01
100,OR1000000028000010,I0001,,170,2024-05-19,14:57:14,SALEUSER2,,,,VA02
100,OR1000000028000010,E0002,,171,2024-06-05,08:41:13,WHOUSE02,,,,VL01N
100,OR1000000028000010,E0003,,172,2024-06-05,16:51:48,WHOUSE01,,,,VL02N
100,OR1000000028000010,E0004,,173,2024-06-07,13:05:22,FINANCE01,,,,VF01
100,OR1000000029000010,E0001,,174,2024-08-19,08:41:58,SALEUSER1,,,,VA01
100,OR1000000029000010,E0002,,175,2024-09-11,08:06:56,WHOUSE02,,,,VL01N
100,OR1000000029000010,E0003,,176,2024-09-11,06:06:49,WHOUSE02,,,,VL02N
100,OR1000000029000010,E0004,,177,2024-09-16,12:44:29,FINANCE01,,,,VF01
100,OR1000000029000010,E0005,,178,2024-09-19,08:10:08,AUTOCLR,,,,VF02
100,OR1000000029000020,E0001,,179,2024-08-19,09:32:54,SALEUSER1,,,,VA01
100,OR1000000029000020,E0002,,180,2024-09-11,10:26:50,WHOUSE01,,,,VL01N
100,OR1000000029000020,E0003,,181,2024-09-13,07:10:04,WHOUSE02,,,,VL02N
100,OR1000000029000020,E0004,,182,2024-09-16,08:21:05,FINANCE02,,,,VF01
100,OR1000000029000020,E0005,,183,2024-09-19,15:22:12,AUTOCLR,,,,VF02
100,OR1000000030000010,E0001,,184,2024-08-11,09:01:45,SALEUSER2,,,,VA01
100,OR1000000030000010,E0002,,185,2024-09-01,06:17:53,WHOUSE02,,,,VL01N
100,OR1000000030000010,E0003,,186,2024-09-02,15:48:55,WHOUSE01,,,,VL02N
100,OR1000000030000010,E0004,,187,2024-09-03,08:31:46,FINANCE02,,,,VF01
100,OR1000000030000010,E0005,,188,2024-09-04,17:05:56,FINANCE01,,,,VF02
100,OR1000000031000010,E0001,,189,2024-09-25,14:01:45,SALEUSER1,,,,VA01
100,OR1000000031000010,E0002,,190,2024-10-01,13:43:36,WHOUSE01,,,,VL01N
100,OR1000000031000010,E0003,,191,2024-10-01,08:04:34,WHOUSE01,,,,VL02N
100,OR1000000031000010,E0004,,192,2024-10-05,14:44:36,FINANCE02,,,,VF01
100,OR1000000031000010,E0005,,193,2024-10-07,13:49:55,AUTOCLR,,,,VF02
100,OR1000000032000010,E0001,,194,2024-06-27,12:43:40,SALEUSER1,,,,VA01
100,OR1000000032000010,E0002,,195,2024-07-08,10:15:04,WHOUSE02,,,,VL01N
100,OR1000000032000010,E0003,,196,2024-07-10,06:04:15,WHOUSE02,,,,VL02N
100,OR1000000032000010,E0004,,197,2024-07-11,12:23:23,FINANCE01,,,,VF01
100,OR1000000032000010,E0005,,198,2024-07-13,09:29:35,FINANCE01,,,,VF02
100,OR1000000033000010,E0001,,199,2024-07-13,10:19:46,SALEUSER1,,,,VA01
100,OR1000000033000010,E0002,,200,2024-07-30,07:45:32,WHOUSE01,,,,VL01N
100,OR1000000033000010,E0003,,201,2024-08-01,16:37:09,WHOUSE02,,,,VL02N
100,OR1000000033000010,E0004,,202,2024-08-02,17:59:33,FINANCE02,,,,VF01
100,OR1000000033000010,E0005,,203,2024-08-03,07:00:18,FINANCE01,,,,VF02
100,OR1000000034000010,E0001,,204,2024-02-15,16:33:58,SALEUSER2,,,,VA01
100,OR1000000034000010,E0002,,205,2024-03-13,13:52:33,WHOUSE02,,,,VL01N
100,OR1000000034000010,E0003,,206,2024-03-15,17:50:59,WHOUSE02,,,,VL02N
100,OR1000000034000010,E0004,,207,2024-03-17,06:51:51,FINANCE01,,,,VF01
100,OR1000000034000010,E0005,,208,2024-03-19,08:51:36,AUTOCLR,,,,VF02
100,OR1000000035000010,E0001,,209,2024-09-15,09:51:40,SALEUSER3,,,,VA01
100,OR1000000035000010,E0002,,210,2024-10-13,09:16:16,WHOUSE02,,,,VL01N
100,OR1000000035000010,E0003,,211,2024-10-15,09:57:18,WHOUSE01,,,,VL02N
100,OR1000000035000010,E0004,,212,2024-10-18,08:36:09,FINANCE02,,,,VF01
100,OR1000000035000010,E0005,,213,2024-10-20,12:57:18,AUTOCLR,,,,VF02
100,OR1000000036000010,E0001,,214,2024-02-16,17:09:23,SALEUSER1,,,,VA01
100,OR1000000036000010,E0002,,215,2024-03-13,10:29:16,WHOUSE01,,,,VL01N
100,OR1000000036000010,E0003,,216,2024-03-14,16:14:08,WHOUSE01,,,,VL02N
100,OR1000000036000010,E0004,,217,2024-03-18,08:49:59,FINANCE02,,,,VF01
100,OR1000000036000010,E0005,,218,2024-03-20,09:58:37,FINANCE01,,,,VF02
100,OR1000000036000020,E0001,,219,2024-02-16,12:30:50,SALEUSER1,,,,VA01
100,OR1000000036000020,E0002,,220,2024-03-13,07:33:20,WHOUSE01,,,,VL01N
100,OR1000000036000020,E0003,,221,2024-03-14,06:37:17,WHOUSE01,,,,VL02N
100,OR1000000036000020,E0004,,222,2024-03-18,11:04:26,FINANCE02,,,,VF01
100,OR1000000036000020,E0005,,223,2024-03-20,10:58:33,AUTOCLR,,,,VF02
100,OR1000000037000010,E0001,,224,2024-04-25,08:57:41,SALEUSER2,,,,VA01
100,OR1000000037000010,I0002,,225,2024-04-26,10:52:40,SALEUSER2,,,,VA02
100,OR1000000037000010,I0002,X,226,2024-05-04,15:16:53,SALEUSER2,,,,VA02
100,OR1000000037000010,E0002,,227,2024-05-09,07:51:06,WHOUSE01,,,,VL01N
100,OR1000000037000010,E0003,,228,2024-05-11,16:19:31,WHOUSE02,,,,VL02N
100,OR1000000038000010,E0001,,229,2024-02-18,16:29:50,SALEUSER2,,,,VA01
100,OR1000000038000010,E0002,,230,2024-02-25,11:43:51,WHOUSE02,,,,VL01N
100,OR1000000038000010,E0003,,231,2024-02-25,06:01:26,WHOUSE01,,,,VL02N
100,OR1000000038000010,E0004,,232,2024-02-26,10:53:03,FINANCE01,,,,VF01
100,OR1000000038000010,E0005,,233,2024-02-29,16:58:52,AUTOCLR,,,,VF02
100,OR1000000038000020,E0001,,234,2024-02-18,15:24:39,SALEUSER2,,,,VA01
100,OR1000000038000020,E0002,,235,2024-02-25,14:12:19,WHOUSE01,,,,VL01N
100,OR1000000038000020,E0003,,236,2024-02-27,10:27:27,WHOUSE01,,,,VL02N
100,OR1000000038000020,E0004,,237,2024-02-26,06:48:29,FINANCE01,,,,VF01
100,OR1000000038000020,E0005,,238,2024-02-28,13:24:31,AUTOCLR,,,,VF02
100,OR1000000039000010,E0001,,239,2024-01-26,17:41:10,SALEUSER1,,,,VA01
100,OR1000000039000010,E0002,,240,2024-02-19,13:43:06,WHOUSE01,,,,VL01N
100,OR1000000039000010,E0003,,241,2024-02-19,07:09:53,WHOUSE02,,,,VL02N
100,OR1000000039000010,E0004,,242,2024-02-24,08:24:39,FINANCE02,,,,VF01
100,OR1000000039000010,E0005,,243,2024-02-27,16:38:17,AUTOCLR,,,,VF02
100,OR1000000040000010,E0001,,244,2024-04-17,14:48:59,SALEUSER1,,,,VA01
100,OR1000000040000010,E0002,,245,2024-05-01,07:38:51,WHOUSE02,,,,VL01N
100,OR1000000040000010,E0003,,246,2024-05-03,12:23:50,WHOUSE01,,,,VL02N
100,OR1000000040000010,E0004,,247,2024-05-02,14:41:13,FINANCE01,,,,VF01
100,OR1000000040000010,E0005,,248,2024-05-03,14:54:10,FINANCE01,,,,VF02
100,OR1000000041000010,E0001,,249,2024-06-29,09:15:08,SALEUSER3,,,,VA01
100,OR1000000041000010,I0001,,250,2024-06-30,11:01:03,SALEUSER2,,,,VA02
100,OR1000000041000010,I0001,X,251,2024-07-04,17:44:55,SALEUSER1,,,,VA02
100,OR1000000041000010,E0002,,252,2024-08-11,06:21:46,WHOUSE02,,,,VL01N
100,OR1000000041000010,E0003,,253,2024-08-13,15:55:10,WHOUSE02,,,,VL02N
100,OR1000000041000010,E0004,,254,2024-08-16,07:01:15,FINANCE02,,,,VF01
100,OR1000000042000010,E0001,,255,2024-07-07,07:30:31,SALEUSER3,,,,VA01
100,OR1000000042000010,E0002,,256,2024-08-26,16:52:25,WHOUSE01,,,,VL01N
100,OR1000000042000010,E0003,,257,2024-08-27,10:24:20,WHOUSE02,,,,VL02N
100,OR1000000042000010,E0004,,258,2024-08-28,12:30:58,FINANCE01,,,,VF01
100,OR1000000042000010,E0005,,259,2024-08-31,13:32:17,FINANCE01,,,,VF02
100,OR1000000043000010,E0001,,260,2024-04-27,17:46:02,SALEUSER2,,,,VA01
100,OR1000000043000010,E0002,,261,2024-05-20,16:50:55,WHOUSE01,,,,VL01N
100,OR1000000043000010,E0003,,262,2024-05-22,15:06:45,WHOUSE01,,,,VL02N
100,OR1000000043000010,E0004,,263,2024-05-24,07:56:03,FINANCE02,,,,VF01
100,OR1000000043000010,E0005,,264,2024-05-25,09:24:16,AUTOCLR,,,,VF02
100,OR1000000044000010,E0001,,265,2024-07-16,06:47:40,SALEUSER1,,,,VA01
100,OR1000000044000010,I0001,,266,2024-07-17,07:59:33,SALEUSER2,,,,VA02
100,OR1000000044000010,I0001,X,267,2024-07-20,10:55:07,FINANCE01,,,,VA02
100,OR1000000044000010,E0002,,268,2024-08-09,14:31:24,WHOUSE02,,,,VL01N
100,OR1000000044000010,E0003,,269,2024-08-11,08:15:38,WHOUSE01,,,,VL02N
100,OR1000000044000010,E0004,,270,2024-08-14,14:08:04,FINANCE02,,,,VF01
100,OR1000000045000010,E0001,,271,2024-09-19,16:59:26,SALEUSER3,,,,VA01
100,OR1000000045000010,E0002,,272,2024-10-29,11:41:58,WHOUSE02,,,,VL01N
100,OR1000000045000010,E0003,,273,2024-10-31,10:13:12,WHOUSE01,,,,VL02N
100,OR1000000045000010,E0004,,274,2024-11-04,09:33:32,FINANCE02,,,,VF01
100,OR1000000045000010,E0005,,275,2024-11-06,15:59:44,AUTOCLR,,,,VF02
100,OR1000000046000010,E0001,,276,2024-05-29,15:21:08,SALEUSER3,,,,VA01
100,OR1000000046000010,E0002,,277,2024-06-24,12:04:41,WHOUSE02,,,,VL01N
100,OR1000000046000010,E0003,,278,2024-06-24,06:49:21,WHOUSE01,,,,VL02N
100,OR1000000046000010,E0004,,279,2024-06-28,06:18:49,FINANCE02,,,,VF01
100,OR1000000046000010,E0005,,280,2024-07-01,13:01:56,FINANCE01,,,,VF02
100,OR1000000047000010,E0001,,281,2024-08-10,15:26:54,SALEUSER2,,,,VA01
100,OR1000000047000010,E0006,,282,2024-08-11,16:59:14,SALEUSER1,,,,VA02
100,OR1000000048000010,E0001,,283,2024-09-23,07:57:48,SALEUSER2,,,,VA01
100,OR1000000048000010,E0002,,284,2024-10-12,10:58:18,WHOUSE01,,,,VL01N
100,OR1000000048000010,E0003,,285,2024-10-14,12:13:15,WHOUSE01,,,,VL02N
100,OR1000000048000010,E0004,,286,2024-10-17,08:53:59,FINANCE02,,,,VF01
100,OR1000000048000010,E0005,,287,2024-10-19,16:53:22,AUTOCLR,,,,VF02
100,OR1000000049000010,E0001,,288,2024-02-12,08:07:11,SALEUSER2,,,,VA01
100,OR1000000049000010,I0002,,289,2024-02-13,13:34:24,SALEUSER2,,,,VA02
100,OR1000000049000010,I0002,X,290,2024-02-23,08:22:16,SALEUSER2,,,,VA02
100,OR1000000049000010,E0002,,291,2024-03-07,13:31:01,WHOUSE02,,,,VL01N
100,OR1000000049000010,E0003,,292,2024-03-09,13:34:02,WHOUSE01,,,,VL02N
100,OR1000000050000010,E0001,,293,2024-01-14,06:00:03,SALEUSER1,,,,VA01
100,OR1000000050000010,E0002,,294,2024-01-25,09:40:32,WHOUSE02,,,,VL01N
100,OR1000000050000010,E0003,,295,2024-01-27,06:32:17,WHOUSE01,,,,VL02N
100,OR1000000050000010,E0004,,296,2024-01-30,08:38:06,FINANCE01,,,,VF01
100,OR1000000050000010,E0005,,297,2024-01-31,16:48:14,AUTOCLR,,,,VF02
100,OR1000000051000010,E0001,,298,2024-06-14,13:19:46,SALEUSER1,,,,VA01
100,OR1000000051000010,E0002,,299,2024-07-07,15:59:07,WHOUSE02,,,,VL01N
100,OR1000000051000010,E0003,,300,2024-07-09,17:00:37,WHOUSE02,,,,VL02N
