MANDT,MATNR,BWKEY,BWTAR,LFGJA,LFMON,LBKUM,SALK3,STPRS,VPRSV,PEINH,VKSAL
100,MAT00001,P002,,2024,02,544.0,19605.76,36.04,S,1,25487.49
100,MAT00001,P002,,2024,03,614.0,22128.56,36.04,S,1,28767.13
100,MAT00001,P002,,2024,04,762.0,27462.48,36.04,S,1,35701.22
100,MAT00001,P002,,2024,05,692.0,24939.68,36.04,S,1,32421.58
100,MAT00001,P002,,2024,06,669.0,24110.76,36.04,S,1,31343.99
100,MAT00001,P002,,2024,07,701.0,25264.04,36.04,S,1,32843.25
100,MAT00001,P002,,2024,08,799.0,28795.96,36.04,S,1,37434.75
100,MAT00001,P002,,2024,09,947.0,34129.88,36.04,S,1,44368.84
100,MAT00001,P002,,2024,10,1052.0,37914.08,36.04,S,1,49288.3
100,MAT00001,P002,,2024,11,976.0,35175.04,36.04,S,1,45727.55
100,MAT00001,P002,,2024,12,1067.0,38454.68,36.04,S,1,49991.08
100,MAT00001,P003,,2023,01,714.0,16721.88,23.42,S,1,21738.44
100,MAT00001,P003,,2023,02,662.0,15504.04,23.42,S,1,20155.25
100,MAT00001,P003,,2023,03,807.0,18899.94,23.42,S,1,24569.92
100,MAT00001,P003,,2023,04,725.0,16979.5,23.42,S,1,22073.35
100,MAT00001,P003,,2023,05,705.0,16511.1,23.42,S,1,21464.43
100,MAT00001,P003,,2023,06,770.0,18033.4,23.42,S,1,23443.42
100,MAT00001,P003,,2023,07,681.0,15949.02,23.42,S,1,20733.73
100,MAT00001,P003,,2023,08,772.0,18080.24,23.42,S,1,23504.31
100,MAT00001,P003,,2023,09,672.0,15738.24,23.42,S,1,20459.71
100,MAT00001,P003,,2023,10,616.0,14426.72,23.42,S,1,18754.74
100,MAT00001,P003,,2023,11,735.0,17213.7,23.42,S,1,22377.81
100,MAT00001,P003,,2023,12,646.0,15129.32,23.42,S,1,19668.12
100,MAT00001,P003,,2024,01,763.0,17869.46,23.42,S,1,23230.3
100,MAT00001,P003,,2024,02,703.0,16464.26,23.42,S,1,21403.54
100,MAT00001,P003,,2024,03,699.0,16370.58,23.42,S,1,21281.75
100,MAT00001,P003,,2024,04,674.0,15785.08,23.42,S,1,20520.6
100,MAT00001,P003,,2024,05,737.0,17260.54,23.42,S,1,22438.7
100,MAT00001,P003,,2024,06,795.0,18618.9,23.42,S,1,24204.57
100,MAT00001,P003,,2024,07,738.0,17283.96,23.42,S,1,22469.15
100,MAT00001,P003,,2024,08,703.0,16464.26,23.42,S,1,21403.54
100,MAT00001,P003,,2024,09,725.0,16979.5,23.42,S,1,22073.35
100,MAT00001,P003,,2024,10,853.0,19977.26,23.42,S,1,25970.44
100,MAT00001,P003,,2024,11,873.0,20445.66,23.42,S,1,26579.36
100,MAT00001,P003,,2024,12,935.0,21897.7,23.42,S,1,28467.01
100,MAT00002,P001,,2023,01,456.0,158501.04,347.59,S,1,206051.35
100,MAT00002,P001,,2023,02,554.0,192564.86,347.59,S,1,250334.32
100,MAT00002,P001,,2023,03,570.0,198126.3,347.59,S,1,257564.19
100,MAT00002,P001,,2023,04,707.0,245746.13,347.59,S,1,319469.97
100,MAT00002,P001,,2023,05,748.0,259997.32,347.59,S,1,337996.52
100,MAT00002,P001,,2023,06,838.0,291280.42,347.59,S,1,378664.55
100,MAT00002,P001,,2023,07,762.0,264863.58,347.59,S,1,344322.65
100,MAT00002,P001,,2023,08,772.0,268339.48,347.59,S,1,348841.32
100,MAT00002,P001,,2023,09,891.0,309702.69,347.59,S,1,402613.5
100,MAT00002,P001,,2023,10,793.0,275638.87,347.59,S,1,358330.53
100,MAT00002,P001,,2023,11,742.0,257911.78,347.59,S,1,335285.31
100,MAT00002,P001,,2023,12,735.0,255478.65,347.59,S,1,332122.24
100,MAT00002,P001,,2024,01,844.0,293365.96,347.59,S,1,381375.75
100,MAT00002,P001,,2024,02,813.0,282590.67,347.59,S,1,367367.87
100,MAT00002,P001,,2024,03,877.0,304836.43,347.59,S,1,396287.36
100,MAT00002,P001,,2024,04,988.0,343418.92,347.59,S,1,446444.6
100,MAT00002,P001,,2024,05,990.0,344114.1,347.59,S,1,447348.33
100,MAT00002,P001,,2024,06,1064.0,369835.76,347.59,S,1,480786.49
100,MAT00002,P001,,2024,07,971.0,337509.89,347.59,S,1,438762.86
100,MAT00002,P001,,2024,08,1038.0,360798.42,347.59,S,1,469037.95
100,MAT00002,P001,,2024,09,1114.0,387215.26,347.59,S,1,503379.84
100,MAT00002,P001,,2024,10,1149.0,399380.91,347.59,S,1,519195.18
100,MAT00002,P001,,2024,11,1051.0,365317.09,347.59,S,1,474912.22
100,MAT00002,P001,,2024,12,1073.0,372964.07,347.59,S,1,484853.29
100,MAT00002,P002,,2023,01,654.0,217114.92,331.98,S,1,282249.4
100,MAT00002,P002,,2023,02,586.0,194540.28,331.98,S,1,252902.36
100,MAT00002,P002,,2023,03,730.0,242345.4,331.98,S,1,315049.02
100,MAT00002,P002,,2023,04,744.0,246993.12,331.98,S,1,321091.06
100,MAT00002,P002,,2023,05,837.0,277867.26,331.98,S,1,361227.44
100,MAT00002,P002,,2023,06,759.0,251972.82,331.98,S,1,327564.67
100,MAT00002,P002,,2023,07,797.0,264588.06,331.98,S,1,343964.48
100,MAT00002,P002,,2023,08,723.0,240021.54,331.98,S,1,312028.0
100,MAT00002,P002,,2023,09,658.0,218442.84,331.98,S,1,283975.69
100,MAT00002,P002,,2023,10,740.0,245665.2,331.98,S,1,319364.76
100,MAT00002,P002,,2023,11,786.0,260936.28,331.98,S,1,339217.16
100,MAT00002,P002,,2023,12,811.0,269235.78,331.98,S,1,350006.51
100,MAT00002,P002,,2024,01,718.0,238361.64,331.98,S,1,309870.13
100,MAT00002,P002,,2024,02,824.0,273551.52,331.98,S,1,355616.98
100,MAT00002,P002,,2024,03,902.0,299445.96,331.98,S,1,389279.75
100,MAT00002,P002,,2024,04,805.0,267243.9,331.98,S,1,347417.07
100,MAT00002,P002,,2024,05,797.0,264588.06,331.98,S,1,343964.48
100,MAT00002,P002,,2024,06,846.0,280855.08,331.98,S,1,365111.6
100,MAT00002,P002,,2024,07,824.0,273551.52,331.98,S,1,355616.98
100,MAT00002,P002,,2024,08,829.0,275211.42,331.98,S,1,357774.85
100,MAT00002,P002,,2024,09,768.0,254960.64,331.98,S,1,331448.83
100,MAT00002,P002,,2024,10,860.0,285502.8,331.98,S,1,371153.64
100,MAT00002,P002,,2024,11,829.0,275211.42,331.98,S,1,357774.85
100,MAT00002,P002,,2024,12,954.0,316708.92,331.98,S,1,411721.6
100,MAT00002,P003,,2023,01,772.0,280683.76,363.58,S,1,364888.89
100,MAT00002,P003,,2023,02,738.0,268322.04,363.58,S,1,348818.65
100,MAT00002,P003,,2023,03,682.0,247961.56,363.58,S,1,322350.03
100,MAT00002,P003,,2023,04,621.0,225783.18,363.58,S,1,293518.13
100,MAT00002,P003,,2023,05,725.0,263595.5,363.58,S,1,342674.15
100,MAT00002,P003,,2023,06,703.0,255596.74,363.58,S,1,332275.76
100,MAT00002,P003,,2023,07,666.0,242144.28,363.58,S,1,314787.56
100,MAT00002,P003,,2023,08,607.0,220693.06,363.58,S,1,286900.98
100,MAT00002,P003,,2023,09,751.0,273048.58,363.58,S,1,354963.15
100,MAT00002,P003,,2023,10,752.0,273412.16,363.58,S,1,355435.81
100,MAT00002,P003,,2023,11,744.0,270503.52,363.58,S,1,351654.58
100,MAT00002,P003,,2023,12,805.0,292681.9,363.58,S,1,380486.47
100,MAT00002,P003,,2024,01,718.0,261050.44,363.58,S,1,339365.57
100,MAT00002,P003,,2024,02,648.0,235599.84,363.58,S,1,306279.79
100,MAT00002,P003,,2024,03,772.0,280683.76,363.58,S,1,364888.89
100,MAT00002,P003,,2024,04,722.0,262504.76,363.58,S,1,341256.19
100,MAT00002,P003,,2024,05,864.0,314133.12,363.58,S,1,408373.06
100,MAT00002,P003,,2024,06,772.0,280683.76,363.58,S,1,364888.89
100,MAT00002,P003,,2024,07,707.0,257051.06,363.58,S,1,334166.38
100,MAT00002,P003,,2024,08,807.0,293409.06,363.58,S,1,381431.78
100,MAT00002,P003,,2024,09,944.0,343219.52,363.58,S,1,446185.38
100,MAT00002,P003,,2024,10,928.0,337402.24,363.58,S,1,438622.91
100,MAT00002,P003,,2024,11,982.0,357035.56,363.58,S,1,464146.23
100,MAT00002,P003,,2024,12,1102.0,400665.16,363.58,S,1,520864.71
100,MAT00003,P001,,2023,01,332.0,23764.56,71.58,S,1,30893.93
100,MAT00003,P001,,2023,02,471.0,33714.18,71.58,S,1,43828.43
100,MAT00003,P001,,2023,03,436.0,31208.88,71.58,S,1,40571.54
100,MAT00003,P001,,2023,04,386.0,27629.88,71.58,S,1,35918.84
100,MAT00003,P001,,2023,05,499.0,35718.42,71.58,S,1,46433.95
100,MAT00003,P001,,2023,06,459.0,32855.22,71.58,S,1,42711.79
100,MAT00003,P001,,2023,07,454.0,32497.32,71.58,S,1,42246.52
100,MAT00003,P001,,2023,08,602.0,43091.16,71.58,S,1,56018.51
100,MAT00003,P001,,2023,09,527.0,37722.66,71.58,S,1,49039.46
100,MAT00003,P001,,2023,10,510.0,36505.8,71.58,S,1,47457.54
100,MAT00003,P001,,2023,11,600.0,42948.0,71.58,S,1,55832.4
100,MAT00003,P001,,2023,12,512.0,36648.96,71.58,S,1,47643.65
100,MAT00003,P001,,2024,01,538.0,38510.04,71.58,S,1,50063.05
100,MAT00003,P001,,2024,02,642.0,45954.36,71.58,S,1,59740.67
100,MAT00003,P001,,2024,03,723.0,51752.34,71.58,S,1,67278.04
100,MAT00003,P001,,2024,04,712.0,50964.96,71.58,S,1,66254.45
100,MAT00003,P001,,2024,05,845.0,60485.1,71.58,S,1,78630.63
100,MAT00003,P001,,2024,06,776.0,55546.08,71.58,S,1,72209.9
100,MAT00003,P001,,2024,07,735.0,52611.3,71.58,S,1,68394.69
100,MAT00003,P001,,2024,08,820.0,58695.6,71.58,S,1,76304.28
100,MAT00003,P001,,2024,09,873.0,62489.34,71.58,S,1,81236.14
100,MAT00003,P001,,2024,10,927.0,66354.66,71.58,S,1,86261.06
100,MAT00003,P001,,2024,11,867.0,62059.86,71.58,S,1,80677.82
100,MAT00003,P001,,2024,12,835.0,59769.3,71.58,S,1,77700.09
100,MAT00003,P002,,2023,01,705.0,128366.4,182.08,S,1,166876.32
100,MAT00003,P002,,2023,02,794.0,144571.52,182.08,S,1,187942.98
100,MAT00003,P002,,2023,03,912.0,166056.96,182.08,S,1,215874.05
100,MAT00003,P002,,2023,04,844.0,153675.52,182.08,S,1,199778.18
100,MAT00003,P002,,2023,05,774.0,140929.92,182.08,S,1,183208.9
100,MAT00003,P002,,2023,06,907.0,165146.56,182.08,S,1,214690.53
100,MAT00003,P002,,2023,07,840.0,152947.2,182.08,S,1,198831.36
100,MAT00003,P002,,2023,08,885.0,161140.8,182.08,S,1,209483.04
100,MAT00003,P002,,2023,09,955.0,173886.4,182.08,S,1,226052.32
100,MAT00003,P002,,2023,10,1040.0,189363.2,182.08,S,1,246172.16
100,MAT00003,P002,,2023,11,1039.0,189181.12,182.08,S,1,245935.46
100,MAT00003,P002,,2023,12,1029.0,187360.32,182.08,S,1,243568.42
100,MAT00003,P002,,2024,01,1117.0,203383.36,182.08,S,1,264398.37
100,MAT00003,P002,,2024,02,1188.0,216311.04,182.08,S,1,281204.35
100,MAT00003,P002,,2024,03,1301.0,236886.08,182.08,S,1,307951.9
100,MAT00003,P002,,2024,04,1314.0,239253.12,182.08,S,1,311029.06
100,MAT00003,P002,,2024,05,1238.0,225415.04,182.08,S,1,293039.55
100,MAT00003,P002,,2024,06,1197.0,217949.76,182.08,S,1,283334.69
100,MAT00003,P002,,2024,07,1189.0,216493.12,182.08,S,1,281441.06
100,MAT00003,P002,,2024,08,1305.0,237614.4,182.08,S,1,308898.72
100,MAT00003,P002,,2024,09,1228.0,223594.24,182.08,S,1,290672.51
100,MAT00003,P002,,2024,10,1233.0,224504.64,182.08,S,1,291856.03
100,MAT00003,P002,,2024,11,1133.0,206296.64,182.08,S,1,268185.63
100,MAT00003,P002,,2024,12,1097.0,199741.76,182.08,S,1,259664.29
100,MAT00003,P003,,2023,01,92.0,9220.24,100.22,S,1,11986.31
100,MAT00003,P003,,2023,02,34.0,3407.48,100.22,S,1,4429.72
100,MAT00003,P003,,2023,03,88.0,8819.36,100.22,S,1,11465.17
100,MAT00003,P003,,2023,04,87.0,8719.14,100.22,S,1,11334.88
100,MAT00003,P003,,2023,05,147.0,14732.34,100.22,S,1,19152.04
100,MAT00003,P003,,2023,06,167.0,16736.74,100.22,S,1,21757.76
100,MAT00003,P003,,2023,07,281.0,28161.82,100.22,S,1,36610.37
100,MAT00003,P003,,2023,08,390.0,39085.8,100.22,S,1,50811.54
100,MAT00003,P003,,2023,09,431.0,43194.82,100.22,S,1,56153.27
100,MAT00003,P003,,2023,10,496.0,49709.12,100.22,S,1,64621.86
100,MAT00003,P003,,2023,11,404.0,40488.88,100.22,S,1,52635.54
100,MAT00003,P003,,2023,12,451.0,45199.22,100.22,S,1,58758.99
100,MAT00003,P003,,2024,01,356.0,35678.32,100.22,S,1,46381.82
100,MAT00003,P003,,2024,02,317.0,31769.74,100.22,S,1,41300.66
100,MAT00003,P003,,2024,03,371.0,37181.62,100.22,S,1,48336.11
100,MAT00003,P003,,2024,04,398.0,39887.56,100.22,S,1,51853.83
100,MAT00003,P003,,2024,05,333.0,33373.26,100.22,S,1,43385.24
100,MAT00003,P003,,2024,06,341.0,34175.02,100.22,S,1,44427.53
100,MAT00003,P003,,2024,07,270.0,27059.4,100.22,S,1,35177.22
100,MAT00003,P003,,2024,08,182.0,18240.04,100.22,S,1,23712.05
100,MAT00003,P003,,2024,09,261.0,26157.42,100.22,S,1,34004.65
100,MAT00003,P003,,2024,10,262.0,26257.64,100.22,S,1,34134.93
100,MAT00003,P003,,2024,11,291.0,29164.02,100.22,S,1,37913.23
100,MAT00003,P003,,2024,12,392.0,39286.24,100.22,S,1,51072.11
100,MAT00004,P001,,2023,01,758.0,137357.18,181.21,S,1,178564.33
100,MAT00004,P001,,2023,02,725.0,131377.25,181.21,S,1,170790.43
100,MAT00004,P001,,2023,03,763.0,138263.23,181.21,S,1,179742.2
100,MAT00004,P001,,2023,04,692.0,125397.32,181.21,S,1,163016.52
100,MAT00004,P001,,2023,05,815.0,147686.15,181.21,S,1,191991.99
100,MAT00004,P001,,2023,06,867.0,157109.07,181.21,S,1,204241.79
100,MAT00004,P001,,2023,07,790.0,143155.9,181.21,S,1,186102.67
100,MAT00004,P001,,2023,08,893.0,161820.53,181.21,S,1,210366.69
100,MAT00004,P001,,2023,09,987.0,178854.27,181.21,S,1,232510.55
100,MAT00004,P001,,2023,10,1045.0,189364.45,181.21,S,1,246173.79
100,MAT00004,P001,,2023,11,1179.0,213646.59,181.21,S,1,277740.57
100,MAT00004,P001,,2023,12,1241.0,224881.61,181.21,S,1,292346.09
100,MAT00004,P001,,2024,01,1184.0,214552.64,181.21,S,1,278918.43
100,MAT00004,P001,,2024,02,1235.0,223794.35,181.21,S,1,290932.66
100,MAT00004,P001,,2024,03,1334.0,241734.14,181.21,S,1,314254.38
100,MAT00004,P001,,2024,04,1236.0,223975.56,181.21,S,1,291168.23
100,MAT00004,P001,,2024,05,1222.0,221438.62,181.21,S,1,287870.21
100,MAT00004,P001,,2024,06,1300.0,235573.0,181.21,S,1,306244.9
100,MAT00004,P001,,2024,07,1206.0,218539.26,181.21,S,1,284101.04
100,MAT00004,P001,,2024,08,1265.0,229230.65,181.21,S,1,297999.85
100,MAT00004,P001,,2024,09,1311.0,237566.31,181.21,S,1,308836.2
100,MAT00004,P001,,2024,10,1369.0,248076.49,181.21,S,1,322499.44
100,MAT00004,P001,,2024,11,1435.0,260036.35,181.21,S,1,338047.26
100,MAT00004,P001,,2024,12,1339.0,242640.19,181.21,S,1,315432.25
100,MAT00004,P002,,2023,01,648.0,56395.44,87.03,S,1,73314.07
100,MAT00004,P002,,2023,02,728.0,63357.84,87.03,S,1,82365.19
100,MAT00004,P002,,2023,03,872.0,75890.16,87.03,S,1,98657.21
100,MAT00004,P002,,2023,04,872.0,75890.16,87.03,S,1,98657.21
100,MAT00004,P002,,2023,05,922.0,80241.66,87.03,S,1,104314.16
100,MAT00004,P002,,2023,06,944.0,82156.32,87.03,S,1,106803.22
100,MAT00004,P002,,2023,07,965.0,83983.95,87.03,S,1,109179.13
100,MAT00004,P002,,2023,08,901.0,78414.03,87.03,S,1,101938.24
100,MAT00004,P002,,2023,09,1037.0,90250.11,87.03,S,1,117325.14
100,MAT00004,P002,,2023,10,1039.0,90424.17,87.03,S,1,117551.42
100,MAT00004,P002,,2023,11,1158.0,100780.74,87.03,S,1,131014.96
100,MAT00004,P002,,2023,12,1277.0,111137.31,87.03,S,1,144478.5
100,MAT00004,P002,,2024,01,1276.0,111050.28,87.03,S,1,144365.36
100,MAT00004,P002,,2024,02,1191.0,103652.73,87.03,S,1,134748.55
100,MAT00004,P002,,2024,03,1100.0,95733.0,87.03,S,1,124452.9
100,MAT00004,P002,,2024,04,1093.0,95123.79,87.03,S,1,123660.93
100,MAT00004,P002,,2024,05,1073.0,93383.19,87.03,S,1,121398.15
100,MAT00004,P002,,2024,06,1090.0,94862.7,87.03,S,1,123321.51
100,MAT00004,P002,,2024,07,1205.0,104871.15,87.03,S,1,136332.49
100,MAT00004,P002,,2024,08,1298.0,112964.94,87.03,S,1,146854.42
100,MAT00004,P002,,2024,09,1328.0,115575.84,87.03,S,1,150248.59
100,MAT00004,P002,,2024,10,1262.0,109831.86,87.03,S,1,142781.42
100,MAT00004,P002,,2024,11,1201.0,104523.03,87.03,S,1,135879.94
100,MAT00004,P002,,2024,12,1131.0,98430.93,87.03,S,1,127960.21
100,MAT00004,P003,,2023,01,654.0,53889.6,82.4,S,1,70056.48
100,MAT00004,P003,,2023,02,762.0,62788.8,82.4,S,1,81625.44
100,MAT00004,P003,,2023,03,703.0,57927.2,82.4,S,1,75305.36
100,MAT00004,P003,,2023,04,643.0,52983.2,82.4,S,1,68878.16
100,MAT00004,P003,,2023,05,773.0,63695.2,82.4,S,1,82803.76
100,MAT00004,P003,,2023,06,863.0,71111.2,82.4,S,1,92444.56
100,MAT00004,P003,,2023,07,952.0,78444.8,82.4,S,1,101978.24
100,MAT00004,P003,,2023,08,968.0,79763.2,82.4,S,1,103692.16
100,MAT00004,P003,,2023,09,1022.0,84212.8,82.4,S,1,109476.64
100,MAT00004,P003,,2023,10,977.0,80504.8,82.4,S,1,104656.24
100,MAT00004,P003,,2023,11,941.0,77538.4,82.4,S,1,100799.92
100,MAT00004,P003,,2023,12,958.0,78939.2,82.4,S,1,102620.96
100,MAT00004,P003,,2024,01,1006.0,82894.4,82.4,S,1,107762.72
100,MAT00004,P003,,2024,02,957.0,78856.8,82.4,S,1,102513.84
100,MAT00004,P003,,2024,03,992.0,81740.8,82.4,S,1,106263.04
100,MAT00004,P003,,2024,04,1123.0,92535.2,82.4,S,1,120295.76
100,MAT00004,P003,,2024,05,1264.0,104153.6,82.4,S,1,135399.68
100,MAT00004,P003,,2024,06,1400.0,115360.0,82.4,S,1,149968.0
100,MAT00004,P003,,2024,07,1385.0,114124.0,82.4,S,1,148361.2
100,MAT00004,P003,,2024,08,1467.0,120880.8,82.4,S,1,157145.04
100,MAT00004,P003,,2024,09,1525.0,125660.0,82.4,S,1,163358.0
100,MAT00004,P003,,2024,10,1583.0,130439.2,82.4,S,1,169570.96
100,MAT00004,P003,,2024,11,1639.0,135053.6,82.4,S,1,175569.68
100,MAT00004,P003,,2024,12,1591.0,131098.4,82.4,S,1,170427.92
100,MAT00005,P001,,2023,01,883.0,175284.33,198.51,S,1,227869.63
100,MAT00005,P001,,2023,02,882.0,175085.82,198.51,S,1,227611.57
100,MAT00005,P001,,2023,03,1022.0,202877.22,198.51,S,1,263740.39
100,MAT00005,P001,,2023,04,1122.0,222728.22,198.51,S,1,289546.69
100,MAT00005,P001,,2023,05,1260.0,250122.6,198.51,S,1,325159.38
100,MAT00005,P001,,2023,06,1280.0,254092.8,198.51,S,1,330320.64
100,MAT00005,P001,,2023,07,1193.0,236822.43,198.51,S,1,307869.16
100,MAT00005,P001,,2023,08,1179.0,234043.29,198.51,S,1,304256.28
100,MAT00005,P001,,2023,09,1309.0,259849.59,198.51,S,1,337804.47
100,MAT00005,P001,,2023,10,1453.0,288435.03,198.51,S,1,374965.54
100,MAT00005,P001,,2023,11,1599.0,317417.49,198.51,S,1,412642.74
100,MAT00005,P001,,2023,12,1606.0,318807.06,198.51,S,1,414449.18
100,MAT00005,P001,,2024,01,1693.0,336077.43,198.51,S,1,436900.66
100,MAT00005,P001,,2024,02,1648.0,327144.48,198.51,S,1,425287.82
100,MAT00005,P001,,2024,03,1551.0,307889.01,198.51,S,1,400255.71
100,MAT00005,P001,,2024,04,1480.0,293794.8,198.51,S,1,381933.24
100,MAT00005,P001,,2024,05,1503.0,298360.53,198.51,S,1,387868.69
100,MAT00005,P001,,2024,06,1453.0,288435.03,198.51,S,1,374965.54
100,MAT00005,P001,,2024,07,1413.0,280494.63,198.51,S,1,364643.02
100,MAT00005,P001,,2024,08,1546.0,306896.46,198.51,S,1,398965.4
100,MAT00005,P001,,2024,09,1464.0,290618.64,198.51,S,1,377804.23
100,MAT00005,P001,,2024,10,1440.0,285854.4,198.51,S,1,371610.72
100,MAT00005,P001,,2024,11,1417.0,281288.67,198.51,S,1,365675.27
100,MAT00005,P001,,2024,12,1497.0,297169.47,198.51,S,1,386320.31
100,MAT00005,P002,,2023,01,391.0,79689.71,203.81,S,1,103596.62
100,MAT00005,P002,,2023,02,369.0,75205.89,203.81,S,1,97767.66
100,MAT00005,P002,,2023,03,333.0,67868.73,203.81,S,1,88229.35
100,MAT00005,P002,,2023,04,378.0,77040.18,203.81,S,1,100152.23
100,MAT00005,P002,,2023,05,525.0,107000.25,203.81,S,1,139100.33
100,MAT00005,P002,,2023,06,534.0,108834.54,203.81,S,1,141484.9
100,MAT00005,P002,,2023,07,537.0,109445.97,203.81,S,1,142279.76
100,MAT00005,P002,,2023,08,552.0,112503.12,203.81,S,1,146254.06
100,MAT00005,P002,,2023,09,568.0,115764.08,203.81,S,1,150493.3
100,MAT00005,P002,,2023,10,586.0,119432.66,203.81,S,1,155262.46
100,MAT00005,P002,,2023,11,585.0,119228.85,203.81,S,1,154997.51
100,MAT00005,P002,,2023,12,704.0,143482.24,203.81,S,1,186526.91
100,MAT00005,P002,,2024,01,651.0,132680.31,203.81,S,1,172484.4
100,MAT00005,P002,,2024,02,731.0,148985.11,203.81,S,1,193680.64
100,MAT00005,P002,,2024,03,817.0,166512.77,203.81,S,1,216466.6
100,MAT00005,P002,,2024,04,852.0,173646.12,203.81,S,1,225739.96
100,MAT00005,P002,,2024,05,893.0,182002.33,203.81,S,1,236603.03
100,MAT00005,P002,,2024,06,895.0,182409.95,203.81,S,1,237132.94
100,MAT00005,P002,,2024,07,967.0,197084.27,203.81,S,1,256209.55
100,MAT00005,P002,,2024,08,1006.0,205032.86,203.81,S,1,266542.72
100,MAT00005,P002,,2024,09,927.0,188931.87,203.81,S,1,245611.43
100,MAT00005,P002,,2024,10,917.0,186893.77,203.81,S,1,242961.9
100,MAT00005,P002,,2024,11,1057.0,215427.17,203.81,S,1,280055.32
100,MAT00005,P002,,2024,12,1172.0,238865.32,203.81,S,1,310524.92
100,MAT00005,P003,,2023,01,335.0,122097.45,364.47,S,1,158726.69
100,MAT00005,P003,,2023,02,306.0,111527.82,364.47,S,1,144986.17
100,MAT00005,P003,,2023,03,381.0,138863.07,364.47,S,1,180521.99
100,MAT00005,P003,,2023,04,496.0,180777.12,364.47,S,1,235010.26
100,MAT00005,P003,,2023,05,613.0,223420.11,364.47,S,1,290446.14
100,MAT00005,P003,,2023,06,628.0,228887.16,364.47,S,1,297553.31
100,MAT00005,P003,,2023,07,554.0,201916.38,364.47,S,1,262491.29
100,MAT00005,P003,,2023,08,558.0,203374.26,364.47,S,1,264386.54
100,MAT00005,P003,,2023,09,562.0,204832.14,364.47,S,1,266281.78
100,MAT00005,P003,,2023,10,462.0,168385.14,364.47,S,1,218900.68
100,MAT00005,P003,,2023,11,370.0,134853.9,364.47,S,1,175310.07
100,MAT00005,P003,,2023,12,373.0,135947.31,364.47,S,1,176731.5
100,MAT00005,P003,,2024,01,486.0,177132.42,364.47,S,1,230272.15
100,MAT00005,P003,,2024,02,488.0,177861.36,364.47,S,1,231219.77
100,MAT00005,P003,,2024,03,576.0,209934.72,364.47,S,1,272915.14
100,MAT00005,P003,,2024,04,497.0,181141.59,364.47,S,1,235484.07
100,MAT00005,P003,,2024,05,446.0,162553.62,364.47,S,1,211319.71
