MANDT,MATNR,WERKS,LGORT,LFGJA,LFMON,LABST,UMLME,INSME,SPEME,LBKUM
100,MAT00001,P003,SL01,2024,05,215.0,0,0,0,215.0
100,MAT00001,P003,SL01,2024,06,209.0,0,0,0,209.0
100,MAT00001,P003,SL01,2024,07,165.0,0,0,0,165.0
100,MAT00001,P003,SL01,2024,08,222.0,0,0,0,222.0
100,MAT00001,P003,SL01,2024,09,309.0,0,0,0,309.0
100,MAT00001,P003,SL01,2024,10,342.0,0,0,0,342.0
100,MAT00001,P003,SL01,2024,11,308.0,0,0,0,308.0
100,MAT00001,P003,SL01,2024,12,382.0,0,0,0,382.0
100,MAT00002,P001,SL01,2023,01,416.0,0,0,0,416.0
100,MAT00002,P001,SL01,2023,02,462.0,0,0,0,462.0
100,MAT00002,P001,SL01,2023,03,775.0,0,0,0,775.0
100,MAT00002,P001,SL01,2023,04,851.0,0,0,0,851.0
100,MAT00002,P001,SL01,2023,05,1042.0,0,0,0,1042.0
100,MAT00002,P001,SL01,2023,06,1268.0,0,0,0,1268.0
100,MAT00002,P001,SL01,2023,07,1305.0,0,0,0,1305.0
100,MAT00002,P001,SL01,2023,08,1497.0,0,0,0,1497.0
100,MAT00002,P001,SL01,2023,09,1485.0,0,0,0,1485.0
100,MAT00002,P001,SL01,2023,10,1599.0,0,0,0,1599.0
100,MAT00002,P001,SL01,2023,11,1725.0,0,0,0,1725.0
100,MAT00002,P001,SL01,2023,12,1740.0,0,0,0,1740.0
100,MAT00002,P001,SL01,2024,01,1808.0,0,0,0,1808.0
100,MAT00002,P001,SL01,2024,02,1907.0,0,0,0,1907.0
100,MAT00002,P001,SL01,2024,03,2061.0,0,0,0,2061.0
100,MAT00002,P001,SL01,2024,04,2073.0,0,0,0,2073.0
100,MAT00002,P001,SL01,2024,05,2111.0,0,0,0,2111.0
100,MAT00002,P001,SL01,2024,06,2204.0,0,0,0,2204.0
100,MAT00002,P001,SL01,2024,07,2410.0,0,0,0,2410.0
100,MAT00002,P001,SL01,2024,08,2410.0,0,0,0,2410.0
100,MAT00002,P001,SL01,2024,09,2414.0,0,0,0,2414.0
100,MAT00002,P001,SL01,2024,10,2476.0,0,0,0,2476.0
100,MAT00002,P001,SL01,2024,11,2674.0,0,0,0,2674.0
100,MAT00002,P001,SL01,2024,12,2905.0,0,0,0,2905.0
100,MAT00002,P002,SL01,2023,01,127.0,0,0,0,127.0
100,MAT00002,P002,SL01,2023,02,71.0,0,0,0,71.0
100,MAT00002,P002,SL01,2023,03,133.0,0,0,0,133.0
100,MAT00002,P002,SL01,2023,04,162.0,0,0,0,162.0
100,MAT00002,P002,SL01,2023,05,154.0,0,0,0,154.0
100,MAT00002,P002,SL01,2023,06,205.0,0,0,0,205.0
100,MAT00002,P002,SL01,2023,07,250.0,0,0,0,250.0
100,MAT00002,P002,SL01,2023,08,345.0,0,0,0,345.0
100,MAT00002,P002,SL01,2023,09,450.0,0,0,0,450.0
100,MAT00002,P002,SL01,2023,10,496.0,0,0,0,496.0
100,MAT00002,P002,SL01,2023,11,543.0,0,0,0,543.0
100,MAT00002,P002,SL01,2023,12,488.0,0,0,0,488.0
100,MAT00002,P002,SL01,2024,01,408.0,0,0,0,408.0
100,MAT00002,P002,SL01,2024,02,358.0,0,0,0,358.0
100,MAT00002,P002,SL01,2024,03,390.0,0,0,0,390.0
100,MAT00002,P002,SL01,2024,04,476.0,0,0,0,476.0
100,MAT00002,P002,SL01,2024,05,533.0,0,0,0,533.0
100,MAT00002,P002,SL01,2024,06,525.0,0,0,0,525.0
100,MAT00002,P002,SL01,2024,07,500.0,0,0,0,500.0
100,MAT00002,P002,SL01,2024,08,602.0,0,0,0,602.0
100,MAT00002,P002,SL01,2024,09,529.0,0,0,0,529.0
100,MAT00002,P002,SL01,2024,10,640.0,0,0,0,640.0
100,MAT00002,P002,SL01,2024,11,717.0,0,0,0,717.0
100,MAT00002,P002,SL01,2024,12,671.0,0,0,0,671.0
100,MAT00002,P003,SL02,2023,01,457.0,0,0,0,457.0
100,MAT00002,P003,SL02,2023,02,524.0,0,0,0,524.0
100,MAT00002,P003,SL02,2023,03,641.0,0,0,0,641.0
100,MAT00002,P003,SL02,2023,04,633.0,0,0,0,633.0
100,MAT00002,P003,SL02,2023,05,569.0,0,0,0,569.0
100,MAT00002,P003,SL02,2023,06,576.0,0,0,0,576.0
100,MAT00002,P003,SL02,2023,07,631.0,0,0,0,631.0
100,MAT00002,P003,SL02,2023,08,747.0,0,0,0,747.0
100,MAT00002,P003,SL02,2023,09,731.0,0,0,0,731.0
100,MAT00002,P003,SL02,2023,10,771.0,0,0,0,771.0
100,MAT00002,P003,SL02,2023,11,714.0,0,0,0,714.0
100,MAT00002,P003,SL02,2023,12,668.0,0,0,0,668.0
100,MAT00002,P003,SL02,2024,01,633.0,0,0,0,633.0
100,MAT00002,P003,SL02,2024,02,727.0,0,0,0,727.0
100,MAT00002,P003,SL02,2024,03,714.0,0,0,0,714.0
100,MAT00002,P003,SL02,2024,04,795.0,0,0,0,795.0
100,MAT00002,P003,SL02,2024,05,865.0,0,0,0,865.0
100,MAT00002,P003,SL02,2024,06,982.0,0,0,0,982.0
100,MAT00002,P003,SL02,2024,07,911.0,0,0,0,911.0
100,MAT00002,P003,SL02,2024,08,849.0,0,0,0,849.0
100,MAT00002,P003,SL02,2024,09,840.0,0,0,0,840.0
100,MAT00002,P003,SL02,2024,10,818.0,0,0,0,818.0
100,MAT00002,P003,SL02,2024,11,923.0,0,0,0,923.0
100,MAT00002,P003,SL02,2024,12,935.0,0,0,0,935.0
100,MAT00003,P001,SL02,2023,01,0,0,0,0,0
100,MAT00003,P001,SL02,2023,02,44.0,0,0,0,44.0
100,MAT00003,P001,SL02,2023,03,18.0,0,0,0,18.0
100,MAT00003,P001,SL02,2023,04,123.0,0,0,0,123.0
100,MAT00003,P001,SL02,2023,05,240.0,0,0,0,240.0
100,MAT00003,P001,SL02,2023,06,175.0,0,0,0,175.0
100,MAT00003,P001,SL02,2023,07,230.0,0,0,0,230.0
100,MAT00003,P001,SL02,2023,08,248.0,0,0,0,248.0
100,MAT00003,P001,SL02,2023,09,257.0,0,0,0,257.0
100,MAT00003,P001,SL02,2023,10,340.0,0,0,0,340.0
100,MAT00003,P001,SL02,2023,11,264.0,0,0,0,264.0
100,MAT00003,P001,SL02,2023,12,191.0,0,0,0,191.0
100,MAT00003,P001,SL02,2024,01,155.0,0,0,0,155.0
100,MAT00003,P001,SL02,2024,02,257.0,0,0,0,257.0
100,MAT00003,P001,SL02,2024,03,185.0,0,0,0,185.0
100,MAT00003,P001,SL02,2024,04,185.0,0,0,0,185.0
100,MAT00003,P001,SL02,2024,05,170.0,0,0,0,170.0
100,MAT00003,P001,SL02,2024,06,257.0,0,0,0,257.0
100,MAT00003,P001,SL02,2024,07,231.0,0,0,0,231.0
100,MAT00003,P001,SL02,2024,08,270.0,0,0,0,270.0
100,MAT00003,P001,SL02,2024,09,235.0,0,0,0,235.0
100,MAT00003,P001,SL02,2024,10,309.0,0,0,0,309.0
100,MAT00003,P001,SL02,2024,11,376.0,0,0,0,376.0
100,MAT00003,P001,SL02,2024,12,345.0,0,0,0,345.0
100,MAT00003,P002,SL02,2023,01,550.0,0,0,0,550.0
100,MAT00003,P002,SL02,2023,02,511.0,0,0,0,511.0
100,MAT00003,P002,SL02,2023,03,626.0,0,0,0,626.0
100,MAT00003,P002,SL02,2023,04,620.0,0,0,0,620.0
100,MAT00003,P002,SL02,2023,05,625.0,0,0,0,625.0
100,MAT00003,P002,SL02,2023,06,654.0,0,0,0,654.0
100,MAT00003,P002,SL02,2023,07,646.0,0,0,0,646.0
100,MAT00003,P002,SL02,2023,08,721.0,0,0,0,721.0
100,MAT00003,P002,SL02,2023,09,698.0,0,0,0,698.0
100,MAT00003,P002,SL02,2023,10,641.0,0,0,0,641.0
100,MAT00003,P002,SL02,2023,11,569.0,0,0,0,569.0
100,MAT00003,P002,SL02,2023,12,681.0,0,0,0,681.0
100,MAT00003,P002,SL02,2024,01,766.0,0,0,0,766.0
100,MAT00003,P002,SL02,2024,02,752.0,0,0,0,752.0
100,MAT00003,P002,SL02,2024,03,869.0,0,0,0,869.0
100,MAT00003,P002,SL02,2024,04,840.0,0,0,0,840.0
100,MAT00003,P002,SL02,2024,05,768.0,0,0,0,768.0
100,MAT00003,P002,SL02,2024,06,796.0,0,0,0,796.0
100,MAT00003,P002,SL02,2024,07,815.0,0,0,0,815.0
100,MAT00003,P002,SL02,2024,08,782.0,0,0,0,782.0
100,MAT00003,P002,SL02,2024,09,846.0,0,0,0,846.0
100,MAT00003,P002,SL02,2024,10,928.0,0,0,0,928.0
100,MAT00003,P002,SL02,2024,11,1041.0,0,0,0,1041.0
100,MAT00003,P002,SL02,2024,12,1090.0,0,0,0,1090.0
100,MAT00003,P003,SL02,2023,01,124.0,0,0,0,124.0
100,MAT00003,P003,SL02,2023,02,151.0,0,0,0,151.0
100,MAT00003,P003,SL02,2023,03,194.0,0,0,0,194.0
100,MAT00003,P003,SL02,2023,04,194.0,0,0,0,194.0
100,MAT00003,P003,SL02,2023,05,266.0,0,0,0,266.0
100,MAT00003,P003,SL02,2023,06,264.0,0,0,0,264.0
100,MAT00003,P003,SL02,2023,07,191.0,0,0,0,191.0
100,MAT00003,P003,SL02,2023,08,255.0,0,0,0,255.0
100,MAT00003,P003,SL02,2023,09,241.0,0,0,0,241.0
100,MAT00003,P003,SL02,2023,10,308.0,0,0,0,308.0
100,MAT00003,P003,SL02,2023,11,391.0,0,0,0,391.0
100,MAT00003,P003,SL02,2023,12,460.0,0,0,0,460.0
100,MAT00003,P003,SL02,2024,01,467.0,0,0,0,467.0
100,MAT00003,P003,SL02,2024,02,505.0,0,0,0,505.0
100,MAT00003,P003,SL02,2024,03,454.0,0,0,0,454.0
100,MAT00003,P003,SL02,2024,04,447.0,0,0,0,447.0
100,MAT00003,P003,SL02,2024,05,506.0,0,0,0,506.0
100,MAT00003,P003,SL02,2024,06,469.0,0,0,0,469.0
100,MAT00003,P003,SL02,2024,07,560.0,0,0,0,560.0
100,MAT00003,P003,SL02,2024,08,488.0,0,0,0,488.0
100,MAT00003,P003,SL02,2024,09,587.0,0,0,0,587.0
100,MAT00003,P003,SL02,2024,10,559.0,0,0,0,559.0
100,MAT00003,P003,SL02,2024,11,650.0,0,0,0,650.0
100,MAT00003,P003,SL02,2024,12,715.0,0,0,0,715.0
100,MAT00004,P001,SL03,2023,01,148.0,0,0,0,148.0
100,MAT00004,P001,SL03,2023,02,122.0,0,0,0,122.0
100,MAT00004,P001,SL03,2023,03,133.0,0,0,0,133.0
100,MAT00004,P001,SL03,2023,04,146.0,0,0,0,146.0
100,MAT00004,P001,SL03,2023,05,132.0,0,0,0,132.0
100,MAT00004,P001,SL03,2023,06,228.0,0,0,0,228.0
100,MAT00004,P001,SL03,2023,07,254.0,0,0,0,254.0
100,MAT00004,P001,SL03,2023,08,314.0,0,0,0,314.0
100,MAT00004,P001,SL03,2023,09,257.0,0,0,0,257.0
100,MAT00004,P001,SL03,2023,10,322.0,0,0,0,322.0
100,MAT00004,P001,SL03,2023,11,272.0,0,0,0,272.0
100,MAT00004,P001,SL03,2023,12,244.0,0,0,0,244.0
100,MAT00004,P001,SL03,2024,01,338.0,0,0,0,338.0
100,MAT00004,P001,SL03,2024,02,404.0,0,0,0,404.0
100,MAT00004,P001,SL03,2024,03,333.0,0,0,0,333.0
100,MAT00004,P001,SL03,2024,04,440.0,0,0,0,440.0
100,MAT00004,P001,SL03,2024,05,436.0,0,0,0,436.0
100,MAT00004,P001,SL03,2024,06,447.0,0,0,0,447.0
100,MAT00004,P001,SL03,2024,07,499.0,0,0,0,499.0
100,MAT00004,P001,SL03,2024,08,521.0,0,0,0,521.0
100,MAT00004,P001,SL03,2024,09,494.0,0,0,0,494.0
100,MAT00004,P001,SL03,2024,10,452.0,0,0,0,452.0
100,MAT00004,P001,SL03,2024,11,529.0,0,0,0,529.0
100,MAT00004,P001,SL03,2024,12,624.0,0,0,0,624.0
100,MAT00004,P002,SL03,2023,01,239.0,0,0,0,239.0
100,MAT00004,P002,SL03,2023,02,194.0,0,0,0,194.0
100,MAT00004,P002,SL03,2023,03,256.0,0,0,0,256.0
100,MAT00004,P002,SL03,2023,04,178.0,0,0,0,178.0
100,MAT00004,P002,SL03,2023,05,287.0,0,0,0,287.0
100,MAT00004,P002,SL03,2023,06,234.0,0,0,0,234.0
100,MAT00004,P002,SL03,2023,07,306.0,0,0,0,306.0
100,MAT00004,P002,SL03,2023,08,410.0,0,0,0,410.0
100,MAT00004,P002,SL03,2023,09,488.0,0,0,0,488.0
100,MAT00004,P002,SL03,2023,10,408.0,0,0,0,408.0
100,MAT00004,P002,SL03,2023,11,335.0,0,0,0,335.0
100,MAT00004,P002,SL03,2023,12,393.0,0,0,0,393.0
100,MAT00004,P002,SL03,2024,01,470.0,0,0,0,470.0
100,MAT00004,P002,SL03,2024,02,417.0,0,0,0,417.0
100,MAT00004,P002,SL03,2024,03,381.0,0,0,0,381.0
100,MAT00004,P002,SL03,2024,04,421.0,0,0,0,421.0
100,MAT00004,P002,SL03,2024,05,379.0,0,0,0,379.0
100,MAT00004,P002,SL03,2024,06,396.0,0,0,0,396.0
100,MAT00004,P002,SL03,2024,07,469.0,0,0,0,469.0
100,MAT00004,P002,SL03,2024,08,516.0,0,0,0,516.0
100,MAT00004,P002,SL03,2024,09,605.0,0,0,0,605.0
100,MAT00004,P002,SL03,2024,10,722.0,0,0,0,722.0
100,MAT00004,P002,SL03,2024,11,782.0,0,0,0,782.0
100,MAT00004,P002,SL03,2024,12,786.0,0,0,0,786.0
100,MAT00004,P003,SL01,2023,01,393.0,0,0,0,393.0
100,MAT00004,P003,SL01,2023,02,346.0,0,0,0,346.0
100,MAT00004,P003,SL01,2023,03,394.0,0,0,0,394.0
100,MAT00004,P003,SL01,2023,04,342.0,0,0,0,342.0
100,MAT00004,P003,SL01,2023,05,378.0,0,0,0,378.0
100,MAT00004,P003,SL01,2023,06,402.0,0,0,0,402.0
100,MAT00004,P003,SL01,2023,07,467.0,0,0,0,467.0
100,MAT00004,P003,SL01,2023,08,497.0,0,0,0,497.0
100,MAT00004,P003,SL01,2023,09,484.0,0,0,0,484.0
100,MAT00004,P003,SL01,2023,10,488.0,0,0,0,488.0
100,MAT00004,P003,SL01,2023,11,483.0,0,0,0,483.0
100,MAT00004,P003,SL01,2023,12,465.0,0,0,0,465.0
100,MAT00004,P003,SL01,2024,01,426.0,0,0,0,426.0
100,MAT00004,P003,SL01,2024,02,371.0,0,0,0,371.0
100,MAT00004,P003,SL01,2024,03,417.0,0,0,0,417.0
100,MAT00004,P003,SL01,2024,04,430.0,0,0,0,430.0
100,MAT00004,P003,SL01,2024,05,366.0,0,0,0,366.0
100,MAT00004,P003,SL01,2024,06,336.0,0,0,0,336.0
100,MAT00004,P003,SL01,2024,07,379.0,0,0,0,379.0
100,MAT00004,P003,SL01,2024,08,348.0,0,0,0,348.0
100,MAT00004,P003,SL01,2024,09,362.0,0,0,0,362.0
100,MAT00004,P003,SL01,2024,10,302.0,0,0,0,302.0
100,MAT00004,P003,SL01,2024,11,265.0,0,0,0,265.0
100,MAT00004,P003,SL01,2024,12,253.0,0,0,0,253.0
100,MAT00005,P001,SL03,2023,01,350.0,0,0,0,350.0
100,MAT00005,P001,SL03,2023,02,421.0,0,0,0,421.0
100,MAT00005,P001,SL03,2023,03,374.0,0,0,0,374.0
100,MAT00005,P001,SL03,2023,04,394.0,0,0,0,394.0
100,MAT00005,P001,SL03,2023,05,391.0,0,0,0,391.0
100,MAT00005,P001,SL03,2023,06,506.0,0,0,0,506.0
100,MAT00005,P001,SL03,2023,07,579.0,0,0,0,579.0
100,MAT00005,P001,SL03,2023,08,576.0,0,0,0,576.0
100,MAT00005,P001,SL03,2023,09,555.0,0,0,0,555.0
100,MAT00005,P001,SL03,2023,10,596.0,0,0,0,596.0
100,MAT00005,P001,SL03,2023,11,623.0,0,0,0,623.0
100,MAT00005,P001,SL03,2023,12,601.0,0,0,0,601.0
100,MAT00005,P001,SL03,2024,01,565.0,0,0,0,565.0
100,MAT00005,P001,SL03,2024,02,638.0,0,0,0,638.0
100,MAT00005,P001,SL03,2024,03,637.0,0,0,0,637.0
100,MAT00005,P001,SL03,2024,04,688.0,0,0,0,688.0
100,MAT00005,P001,SL03,2024,05,804.0,0,0,0,804.0
100,MAT00005,P001,SL03,2024,06,746.0,0,0,0,746.0
100,MAT00005,P001,SL03,2024,07,755.0,0,0,0,755.0
100,MAT00005,P001,SL03,2024,08,770.0,0,0,0,770.0
100,MAT00005,P001,SL03,2024,09,788.0,0,0,0,788.0
100,MAT00005,P001,SL03,2024,10,783.0,0,0,0,783.0
100,MAT00005,P001,SL03,2024,11,752.0,0,0,0,752.0
100,MAT00005,P001,SL03,2024,12,785.0,0,0,0,785.0
100,MAT00005,P002,SL03,2023,01,231.0,0,0,0,231.0
100,MAT00005,P002,SL03,2023,02,252.0,0,0,0,252.0
100,MAT00005,P002,SL03,2023,03,250.0,0,0,0,250.0
100,MAT00005,P002,SL03,2023,04,312.0,0,0,0,312.0
100,MAT00005,P002,SL03,2023,05,374.0,0,0,0,374.0
100,MAT00005,P002,SL03,2023,06,313.0,0,0,0,313.0
100,MAT00005,P002,SL03,2023,07,242.0,0,0,0,242.0
100,MAT00005,P002,SL03,2023,08,278.0,0,0,0,278.0
100,MAT00005,P002,SL03,2023,09,234.0,0,0,0,234.0
100,MAT00005,P002,SL03,2023,10,177.0,0,0,0,177.0
100,MAT00005,P002,SL03,2023,11,217.0,0,0,0,217.0
100,MAT00005,P002,SL03,2023,12,223.0,0,0,0,223.0
100,MAT00005,P002,SL03,2024,01,189.0,0,0,0,189.0
100,MAT00005,P002,SL03,2024,02,266.0,0,0,0,266.0
100,MAT00005,P002,SL03,2024,03,368.0,0,0,0,368.0
100,MAT00005,P002,SL03,2024,04,337.0,0,0,0,337.0
100,MAT00005,P002,SL03,2024,05,261.0,0,0,0,261.0
100,MAT00005,P002,SL03,2024,06,238.0,0,0,0,238.0
100,MAT00005,P002,SL03,2024,07,357.0,0,0,0,357.0
100,MAT00005,P002,SL03,2024,08,338.0,0,0,0,338.0
100,MAT00005,P002,SL03,2024,09,444.0,0,0,0,444.0
100,MAT00005,P002,SL03,2024,10,542.0,0,0,0,542.0
100,MAT00005,P002,SL03,2024,11,479.0,0,0,0,479.0
100,MAT00005,P002,SL03,2024,12,498.0,0,0,0,498.0
100,MAT00005,P003,SL01,2023,01,365.0,0,0,0,365.0
100,MAT00005,P003,SL01,2023,02,370.0,0,0,0,370.0
100,MAT00005,P003,SL01,2023,03,305.0,0,0,0,305.0
100,MAT00005,P003,SL01,2023,04,366.0,0,0,0,366.0
100,MAT00005,P003,SL01,2023,05,464.0,0,0,0,464.0
100,MAT00005,P003,SL01,2023,06,436.0,0,0,0,436.0
100,MAT00005,P003,SL01,2023,07,256.0,0,0,0,256.0
100,MAT00005,P003,SL01,2023,08,206.0,0,0,0,206.0
100,MAT00005,P003,SL01,2023,09,20.0,0,0,0,20.0
100,MAT00005,P003,SL01,2023,10,42.0,0,0,0,42.0
100,MAT00005,P003,SL01,2023,11,0,0,0,0,0
100,MAT00005,P003,SL01,2023,12,0,0,0,0,0
100,MAT00005,P003,SL01,2024,01,0,0,0,0,0
100,MAT00005,P003,SL01,2024,02,88.0,0,0,0,88.0
100,MAT00005,P003,SL01,2024,03,113.0,0,0,0,113.0
100,MAT00005,P003,SL01,2024,04,130.0,0,0,0,130.0
100,MAT00005,P003,SL01,2024,05,71.0,0,0,0,71.0
100,MAT00005,P003,SL01,2024,06,19.0,0,0,0,19.0
100,MAT00005,P003,SL01,2024,07,0,0,0,0,0
100,MAT00005,P003,SL01,2024,08,0,0,0,0,0
100,MAT00005,P003,SL01,2024,09,0,0,0,0,0
100,MAT00005,P003,SL01,2024,10,0,0,0,0,0
100,MAT00005,P003,SL01,2024,11,0,0,0,0,0
100,MAT00005,P003,SL01,2024,12,0,0,0,0,0
100,MAT00006,P001,SL03,2023,01,529.0,0,0,0,529.0
100,MAT00006,P001,SL03,2023,02,526.0,0,0,0,526.0
100,MAT00006,P001,SL03,2023,03,646.0,0,0,0,646.0
100,MAT00006,P001,SL03,2023,04,714.0,0,0,0,714.0
100,MAT00006,P001,SL03,2023,05,688.0,0,0,0,688.0
100,MAT00006,P001,SL03,2023,06,706.0,0,0,0,706.0
100,MAT00006,P001,SL03,2023,07,722.0,0,0,0,722.0
100,MAT00006,P001,SL03,2023,08,663.0,0,0,0,663.0
100,MAT00006,P001,SL03,2023,09,760.0,0,0,0,760.0
100,MAT00006,P001,SL03,2023,10,819.0,0,0,0,819.0
100,MAT00006,P001,SL03,2023,11,861.0,0,0,0,861.0
100,MAT00006,P001,SL03,2023,12,965.0,0,0,0,965.0
100,MAT00006,P001,SL03,2024,01,1024.0,0,0,0,1024.0
100,MAT00006,P001,SL03,2024,02,1019.0,0,0,0,1019.0
100,MAT00006,P001,SL03,2024,03,1127.0,0,0,0,1127.0
100,MAT00006,P001,SL03,2024,04,1126.0,0,0,0,1126.0
100,MAT00006,P001,SL03,2024,05,1046.0,0,0,0,1046.0
100,MAT00006,P001,SL03,2024,06,1103.0,0,0,0,1103.0
100,MAT00006,P001,SL03,2024,07,1132.0,0,0,0,1132.0
100,MAT00006,P001,SL03,2024,08,1179.0,0,0,0,1179.0
100,MAT00006,P001,SL03,2024,09,1147.0,0,0,0,1147.0
100,MAT00006,P001,SL03,2024,10,1266.0,0,0,0,1266.0
100,MAT00006,P001,SL03,2024,11,1364.0,0,0,0,1364.0
100,MAT00006,P001,SL03,2024,12,1468.0,0,0,0,1468.0
100,MAT00006,P002,SL01,2023,01,117.0,0,0,0,117.0
100,MAT00006,P002,SL01,2023,02,225.0,0,0,0,225.0
100,MAT00006,P002,SL01,2023,03,182.0,0,0,0,182.0
100,MAT00006,P002,SL01,2023,04,279.0,0,0,0,279.0
100,MAT00006,P002,SL01,2023,05,373.0,0,0,0,373.0
100,MAT00006,P002,SL01,2023,06,351.0,0,0,0,351.0
100,MAT00006,P002,SL01,2023,07,379.0,0,0,0,379.0
100,MAT00006,P002,SL01,2023,08,398.0,0,0,0,398.0
100,MAT00006,P002,SL01,2023,09,506.0,0,0,0,506.0
100,MAT00006,P002,SL01,2023,10,539.0,0,0,0,539.0
100,MAT00006,P002,SL01,2023,11,557.0,0,0,0,557.0
100,MAT00006,P002,SL01,2023,12,518.0,0,0,0,518.0
100,MAT00006,P002,SL01,2024,01,550.0,0,0,0,550.0
100,MAT00006,P002,SL01,2024,02,517.0,0,0,0,517.0
100,MAT00006,P002,SL01,2024,03,479.0,0,0,0,479.0
100,MAT00006,P002,SL01,2024,04,431.0,0,0,0,431.0
100,MAT00006,P002,SL01,2024,05,408.0,0,0,0,408.0
100,MAT00006,P002,SL01,2024,06,366.0,0,0,0,366.0
100,MAT00006,P002,SL01,2024,07,290.0,0,0,0,290.0
100,MAT00006,P002,SL01,2024,08,350.0,0,0,0,350.0
100,MAT00006,P002,SL01,2024,09,437.0,0,0,0,437.0
100,MAT00006,P002,SL01,2024,10,515.0,0,0,0,515.0
