MANDT,BUKRS,BELNR,GJAHR,BUZEI,KOART,KUNNR,LIFNR,HKONT,SHKZG,DMBTR,WRBTR,WAERS,ZFBDT,ZTERM,AUGDT,AUGBL,AUGGJ,BSCHL
100,1000,6000000013,2024,0001,D,C00013,,0000130000,S,9836.48,9836.48,USD,2024-06-29,N030,2024-09-07,CL6000000013,2024,01
100,1000,6000000013,2024,0002,S,,,0000800000,H,9836.48,9836.48,USD,,,,,,50
100,1000,6000000014,2024,0001,D,C00010,,0000130000,S,19870.62,19870.62,USD,2024-06-10,2/10N30,2024-09-05,CL6000000014,2024,01
100,1000,6000000014,2024,0002,S,,,0000800000,H,19870.62,19870.62,USD,,,,,,50
100,1000,6000000015,2024,0001,D,C00009,,0000130000,S,7748.1,7748.1,USD,2024-02-27,N030,,,,01
100,1000,6000000015,2024,0002,S,,,0000800000,H,7748.1,7748.1,USD,,,,,,50
100,1000,6000000016,2024,0001,D,C00012,,0000130000,S,149340.4,149340.4,USD,2024-03-22,N060,,,,01
100,1000,6000000016,2024,0002,S,,,0000800000,H,149340.4,149340.4,USD,,,,,,50
100,1000,6000000017,2024,0001,D,C00012,,0000130000,S,184397.59,184397.59,USD,2024-09-19,N060,2024-12-15,CL6000000017,2024,01
100,1000,6000000017,2024,0002,S,,,0000800000,H,184397.59,184397.59,USD,,,,,,50
100,1000,6000000018,2024,0001,D,C00003,,0000130000,S,174253.91,174253.91,USD,2024-05-21,2/10N30,2024-07-24,CL6000000018,2024,01
100,1000,6000000018,2024,0002,S,,,0000800000,H,174253.91,174253.91,USD,,,,,,50
100,1000,6000000020,2024,0001,D,C00004,,0000130000,S,57262.8,57262.8,USD,2024-04-11,2/10N30,2024-06-27,CL6000000020,2024,01
100,1000,6000000020,2024,0002,S,,,0000800000,H,57262.8,57262.8,USD,,,,,,50
100,1000,6000000021,2024,0001,D,C00005,,0000130000,S,308600.76,308600.76,USD,2024-06-14,N030,2024-07-02,CL6000000021,2024,01
100,1000,6000000021,2024,0002,S,,,0000800000,H,308600.76,308600.76,USD,,,,,,50
100,1000,6000000022,2024,0001,D,C00011,,0000130000,S,7123.43,7123.43,USD,2024-02-09,N030,2024-03-09,CL6000000022,2024,01
100,1000,6000000022,2024,0002,S,,,0000800000,H,7123.43,7123.43,USD,,,,,,50
100,1000,6000000023,2024,0001,D,C00003,,0000130000,S,319518.4,319518.4,USD,2024-02-10,2/10N30,2024-03-27,CL6000000023,2024,01
100,1000,6000000023,2024,0002,S,,,0000800000,H,319518.4,319518.4,USD,,,,,,50
100,1000,6000000025,2024,0001,D,C00008,,0000130000,S,41336.04,41336.04,USD,2024-05-03,N030,2024-06-02,CL6000000025,2024,01
100,1000,6000000025,2024,0002,S,,,0000800000,H,41336.04,41336.04,USD,,,,,,50
100,1000,6000000026,2024,0001,D,C00013,,0000130000,S,19884.42,19884.42,USD,2024-10-24,N014,2025-01-01,CL6000000026,2025,01
100,1000,6000000026,2024,0002,S,,,0000800000,H,19884.42,19884.42,USD,,,,,,50
100,1000,6000000027,2024,0001,D,C00013,,0000130000,S,16855.36,16855.36,USD,2024-05-23,N014,,,,01
100,1000,6000000027,2024,0002,S,,,0000800000,H,16855.36,16855.36,USD,,,,,,50
100,1000,6000000028,2024,0001,D,C00012,,0000130000,S,176290.12,176290.12,USD,2024-06-07,N014,2024-07-22,CL6000000028,2024,01
100,1000,6000000028,2024,0002,S,,,0000800000,H,176290.12,176290.12,USD,,,,,,50
100,1000,6000000029,2024,0001,D,C00010,,0000130000,S,291671.28,291671.28,USD,2024-09-16,2/10N30,2024-10-11,CL6000000029,2024,01
100,1000,6000000029,2024,0002,S,,,0000800000,H,291671.28,291671.28,USD,,,,,,50
100,1000,6000000030,2024,0001,D,C00007,,0000130000,S,13450.08,13450.08,USD,2024-09-03,N060,2024-10-27,CL6000000030,2024,01
100,1000,6000000030,2024,0002,S,,,0000800000,H,13450.08,13450.08,USD,,,,,,50
100,1000,6000000031,2024,0001,D,C00001,,0000130000,S,120549.2,120549.2,USD,2024-10-05,N060,,,,01
100,1000,6000000031,2024,0002,S,,,0000800000,H,120549.2,120549.2,USD,,,,,,50
100,1000,6000000032,2024,0001,D,C00002,,0000130000,S,10192.0,10192.0,USD,2024-07-11,N060,2024-09-27,CL6000000032,2024,01
100,1000,6000000032,2024,0002,S,,,0000800000,H,10192.0,10192.0,USD,,,,,,50
100,1000,6000000033,2024,0001,D,C00002,,0000130000,S,329965.36,329965.36,USD,2024-08-02,2/10N30,2024-09-02,CL6000000033,2024,01
100,1000,6000000033,2024,0002,S,,,0000800000,H,329965.36,329965.36,USD,,,,,,50
100,1000,6000000034,2024,0001,D,C00011,,0000130000,S,336084.45,336084.45,USD,2024-03-17,N030,2024-06-05,CL6000000034,2024,01
100,1000,6000000034,2024,0002,S,,,0000800000,H,336084.45,336084.45,USD,,,,,,50
100,1000,6000000035,2024,0001,D,C00003,,0000130000,S,46559.04,46559.04,USD,2024-10-18,2/10N30,2024-12-12,CL6000000035,2024,01
100,1000,6000000035,2024,0002,S,,,0000800000,H,46559.04,46559.04,USD,,,,,,50
100,1000,6000000036,2024,0001,D,C00006,,0000130000,S,318265.42,318265.42,USD,2024-03-18,2/10N30,2024-05-21,CL6000000036,2024,01
100,1000,6000000036,2024,0002,S,,,0000800000,H,318265.42,318265.42,USD,,,,,,50
100,1000,6000000038,2024,0001,D,C00014,,0000130000,S,130133.16,130133.16,USD,2024-02-26,N030,2024-04-01,CL6000000038,2024,01
100,1000,6000000038,2024,0002,S,,,0000800000,H,130133.16,130133.16,USD,,,,,,50
100,1000,6000000039,2024,0001,D,C00015,,0000130000,S,84549.76,84549.76,USD,2024-02-24,2/10N30,2024-04-08,CL6000000039,2024,01
100,1000,6000000039,2024,0002,S,,,0000800000,H,84549.76,84549.76,USD,,,,,,50
100,1000,6000000040,2024,0001,D,C00012,,0000130000,S,8876.72,8876.72,USD,2024-05-02,N060,2024-07-28,CL6000000040,2024,01
100,1000,6000000040,2024,0002,S,,,0000800000,H,8876.72,8876.72,USD,,,,,,50
100,1000,6000000041,2024,0001,D,C00012,,0000130000,S,32255.52,32255.52,USD,2024-08-16,N014,,,,01
100,1000,6000000041,2024,0002,S,,,0000800000,H,32255.52,32255.52,USD,,,,,,50
100,1000,6000000042,2024,0001,D,C00013,,0000130000,S,113163.0,113163.0,USD,2024-08-28,2/10N30,2024-10-21,CL6000000042,2024,01
100,1000,6000000042,2024,0002,S,,,0000800000,H,113163.0,113163.0,USD,,,,,,50
100,1000,6000000043,2024,0001,D,C00003,,0000130000,S,126110.4,126110.4,USD,2024-05-24,N060,2024-06-30,CL6000000043,2024,01
100,1000,6000000043,2024,0002,S,,,0000800000,H,126110.4,126110.4,USD,,,,,,50
100,1000,6000000044,2024,0001,D,C00013,,0000130000,S,44496.15,44496.15,USD,2024-08-14,2/10N30,,,,01
100,1000,6000000044,2024,0002,S,,,0000800000,H,44496.15,44496.15,USD,,,,,,50
100,1000,6000000045,2024,0001,D,C00013,,0000130000,S,247585.85,247585.85,USD,2024-11-04,N030,2024-12-15,CL6000000045,2024,01
100,1000,6000000045,2024,0002,S,,,0000800000,H,247585.85,247585.85,USD,,,,,,50
100,1000,6000000046,2024,0001,D,C00012,,0000130000,S,49379.9,49379.9,USD,2024-06-28,N030,,,,01
100,1000,6000000046,2024,0002,S,,,0000800000,H,49379.9,49379.9,USD,,,,,,50
100,1000,6000000048,2024,0001,D,C00013,,0000130000,S,212345.72,212345.72,USD,2024-10-17,N030,,,,01
100,1000,6000000048,2024,0002,S,,,0000800000,H,212345.72,212345.72,USD,,,,,,50
100,1000,6000000050,2024,0001,D,C00009,,0000130000,S,46023.95,46023.95,USD,2024-01-30,N030,2024-03-25,CL6000000050,2024,01
100,1000,6000000050,2024,0002,S,,,0000800000,H,46023.95,46023.95,USD,,,,,,50
100,1000,6000000051,2024,0001,D,C00001,,0000130000,S,195902.0,195902.0,USD,2024-07-10,N014,2024-07-29,CL6000000051,2024,01
100,1000,6000000051,2024,0002,S,,,0000800000,H,195902.0,195902.0,USD,,,,,,50
100,1000,6000000052,2024,0001,D,C00009,,0000130000,S,28165.5,28165.5,USD,2024-02-25,2/10N30,2024-05-17,CL6000000052,2024,01
100,1000,6000000052,2024,0002,S,,,0000800000,H,28165.5,28165.5,USD,,,,,,50
100,1000,6000000053,2024,0001,D,C00001,,0000130000,S,325296.03,325296.03,USD,2024-04-26,N014,,,,01
100,1000,6000000053,2024,0002,S,,,0000800000,H,325296.03,325296.03,USD,,,,,,50
100,1000,6000000055,2024,0001,D,C00014,,0000130000,S,49105.56,49105.56,USD,2024-07-26,N014,2024-10-10,CL6000000055,2024,01
100,1000,6000000055,2024,0002,S,,,0000800000,H,49105.56,49105.56,USD,,,,,,50
100,1000,6000000056,2024,0001,D,C00012,,0000130000,S,11128.48,11128.48,USD,2024-04-21,N030,2024-05-19,CL6000000056,2024,01
100,1000,6000000056,2024,0002,S,,,0000800000,H,11128.48,11128.48,USD,,,,,,50
100,1000,6000000058,2024,0001,D,C00011,,0000130000,S,44282.83,44282.83,USD,2024-10-18,2/10N30,2024-12-11,CL6000000058,2024,01
100,1000,6000000058,2024,0002,S,,,0000800000,H,44282.83,44282.83,USD,,,,,,50
100,1000,6000000059,2024,0001,D,C00015,,0000130000,S,173222.5,173222.5,USD,2024-05-10,N014,2024-05-31,CL6000000059,2024,01
100,1000,6000000059,2024,0002,S,,,0000800000,H,173222.5,173222.5,USD,,,,,,50
100,1000,6000000061,2024,0001,D,C00005,,0000130000,S,28916.37,28916.37,USD,2024-06-21,N060,2024-07-24,CL6000000061,2024,01
100,1000,6000000061,2024,0002,S,,,0000800000,H,28916.37,28916.37,USD,,,,,,50
100,1000,6000000062,2024,0001,D,C00014,,0000130000,S,86595.4,86595.4,USD,2024-06-06,2/10N30,2024-08-17,CL6000000062,2024,01
100,1000,6000000062,2024,0002,S,,,0000800000,H,86595.4,86595.4,USD,,,,,,50
100,1000,6000000064,2024,0001,D,C00005,,0000130000,S,13755.96,13755.96,USD,2024-04-28,N060,,,,01
100,1000,6000000064,2024,0002,S,,,0000800000,H,13755.96,13755.96,USD,,,,,,50
100,1000,6000000065,2024,0001,D,C00009,,0000130000,S,276605.6,276605.6,USD,2024-07-15,N060,2024-07-28,CL6000000065,2024,01
100,1000,6000000065,2024,0002,S,,,0000800000,H,276605.6,276605.6,USD,,,,,,50
100,1000,6000000066,2024,0001,D,C00002,,0000130000,S,122494.64,122494.64,USD,2024-05-15,2/10N30,,,,01
100,1000,6000000066,2024,0002,S,,,0000800000,H,122494.64,122494.64,USD,,,,,,50
100,1000,6000000067,2024,0001,D,C00008,,0000130000,S,91403.8,91403.8,USD,2024-07-11,N060,,,,01
100,1000,6000000067,2024,0002,S,,,0000800000,H,91403.8,91403.8,USD,,,,,,50
100,1000,6000000068,2024,0001,D,C00009,,0000130000,S,38388.24,38388.24,USD,2024-02-04,2/10N30,2024-02-29,CL6000000068,2024,01
100,1000,6000000068,2024,0002,S,,,0000800000,H,38388.24,38388.24,USD,,,,,,50
100,1000,6000000069,2024,0001,D,C00014,,0000130000,S,299864.7,299864.7,USD,2024-02-21,N014,2024-05-07,CL6000000069,2024,01
100,1000,6000000069,2024,0002,S,,,0000800000,H,299864.7,299864.7,USD,,,,,,50
100,1000,6000000070,2024,0001,D,C00001,,0000130000,S,18754.43,18754.43,USD,2024-10-01,2/10N30,2024-12-08,CL6000000070,2024,01
100,1000,6000000070,2024,0002,S,,,0000800000,H,18754.43,18754.43,USD,,,,,,50
100,1000,6000000071,2024,0001,D,C00014,,0000130000,S,161227.5,161227.5,USD,2024-03-03,2/10N30,2024-04-01,CL6000000071,2024,01
100,1000,6000000071,2024,0002,S,,,0000800000,H,161227.5,161227.5,USD,,,,,,50
100,1000,6000000072,2024,0001,D,C00003,,0000130000,S,154268.64,154268.64,USD,2024-06-07,N060,,,,01
100,1000,6000000072,2024,0002,S,,,0000800000,H,154268.64,154268.64,USD,,,,,,50
100,1000,6000000075,2024,0001,D,C00004,,0000130000,S,68505.36,68505.36,USD,2024-07-17,N060,2024-08-08,CL6000000075,2024,01
100,1000,6000000075,2024,0002,S,,,0000800000,H,68505.36,68505.36,USD,,,,,,50
100,1000,6000000076,2024,0001,D,C00008,,0000130000,S,199520.55,199520.55,USD,2024-04-07,N014,2024-06-30,CL6000000076,2024,01
100,1000,6000000076,2024,0002,S,,,0000800000,H,199520.55,199520.55,USD,,,,,,50
100,1000,6000000077,2024,0001,D,C00015,,0000130000,S,33172.67,33172.67,USD,2024-04-02,N060,2024-05-30,CL6000000077,2024,01
100,1000,6000000077,2024,0002,S,,,0000800000,H,33172.67,33172.67,USD,,,,,,50
100,1000,6000000078,2024,0001,D,C00006,,0000130000,S,70915.2,70915.2,USD,2024-09-16,N060,,,,01
100,1000,6000000078,2024,0002,S,,,0000800000,H,70915.2,70915.2,USD,,,,,,50
100,1000,6000000079,2024,0001,D,C00006,,0000130000,S,173146.94,173146.94,USD,2024-04-13,2/10N30,2024-06-16,CL6000000079,2024,01
100,1000,6000000079,2024,0002,S,,,0000800000,H,173146.94,173146.94,USD,,,,,,50
100,1000,6000000080,2024,0001,D,C00014,,0000130000,S,7876.8,7876.8,USD,2024-05-22,2/10N30,2024-06-04,CL6000000080,2024,01
100,1000,6000000080,2024,0002,S,,,0000800000,H,7876.8,7876.8,USD,,,,,,50
100,1000,6000000081,2024,0001,D,C00012,,0000130000,S,43066.45,43066.45,USD,2024-01-28,N060,,,,01
100,1000,6000000081,2024,0002,S,,,0000800000,H,43066.45,43066.45,USD,,,,,,50
100,1000,6000000082,2024,0001,D,C00014,,0000130000,S,108889.95,108889.95,USD,2024-03-03,2/10N30,2024-05-26,CL6000000082,2024,01
100,1000,6000000082,2024,0002,S,,,0000800000,H,108889.95,108889.95,USD,,,,,,50
100,1000,6000000083,2024,0001,D,C00004,,0000130000,S,124620.08,124620.08,USD,2024-09-25,N060,,,,01
100,1000,6000000083,2024,0002,S,,,0000800000,H,124620.08,124620.08,USD,,,,,,50
100,1000,6000000084,2024,0001,D,C00006,,0000130000,S,223204.83,223204.83,USD,2024-03-12,N060,,,,01
100,1000,6000000084,2024,0002,S,,,0000800000,H,223204.83,223204.83,USD,,,,,,50
100,1000,6000000086,2024,0001,D,C00004,,0000130000,S,299628.9,299628.9,USD,2024-10-07,2/10N30,,,,01
100,1000,6000000086,2024,0002,S,,,0000800000,H,299628.9,299628.9,USD,,,,,,50
100,1000,6000000088,2024,0001,D,C00011,,0000130000,S,352807.94,352807.94,USD,2024-10-03,2/10N30,2024-11-16,CL6000000088,2024,01
100,1000,6000000088,2024,0002,S,,,0000800000,H,352807.94,352807.94,USD,,,,,,50
100,1000,6000000091,2024,0001,D,C00007,,0000130000,S,446446.03,446446.03,USD,2024-05-17,N014,2024-07-18,CL6000000091,2024,01
100,1000,6000000091,2024,0002,S,,,0000800000,H,446446.03,446446.03,USD,,,,,,50
100,1000,6000000093,2024,0001,D,C00001,,0000130000,S,30453.92,30453.92,USD,2024-10-10,N030,2024-11-12,CL6000000093,2024,01
100,1000,6000000093,2024,0002,S,,,0000800000,H,30453.92,30453.92,USD,,,,,,50
100,1000,6000000094,2024,0001,D,C00008,,0000130000,S,96989.01,96989.01,USD,2024-10-24,2/10N30,2025-01-07,CL6000000094,2025,01
100,1000,6000000094,2024,0002,S,,,0000800000,H,96989.01,96989.01,USD,,,,,,50
100,1000,6000000096,2024,0001,D,C00007,,0000130000,S,114902.64,114902.64,USD,2024-02-15,N014,2024-04-26,CL6000000096,2024,01
100,1000,6000000096,2024,0002,S,,,0000800000,H,114902.64,114902.64,USD,,,,,,50
100,1000,6000000097,2024,0001,D,C00008,,0000130000,S,70124.82,70124.82,USD,2024-08-30,N060,2024-11-18,CL6000000097,2024,01
100,1000,6000000097,2024,0002,S,,,0000800000,H,70124.82,70124.82,USD,,,,,,50
100,1000,6000000098,2024,0001,D,C00001,,0000130000,S,160186.14,160186.14,USD,2024-01-18,N030,2024-04-15,CL6000000098,2024,01
100,1000,6000000098,2024,0002,S,,,0000800000,H,160186.14,160186.14,USD,,,,,,50
100,1000,6000000099,2024,0001,D,C00015,,0000130000,S,420156.32,420156.32,USD,2024-08-24,N014,2024-10-26,CL6000000099,2024,01
100,1000,6000000099,2024,0002,S,,,0000800000,H,420156.32,420156.32,USD,,,,,,50
100,1000,6000000100,2024,0001,D,C00015,,0000130000,S,180072.03,180072.03,USD,2024-03-30,N030,2024-06-15,CL6000000100,2024,01
100,1000,6000000100,2024,0002,S,,,0000800000,H,180072.03,180072.03,USD,,,,,,50
100,1000,6000000101,2024,0001,D,C00008,,0000130000,S,14035.54,14035.54,USD,2024-05-03,2/10N30,2024-07-19,CL6000000101,2024,01
100,1000,6000000101,2024,0002,S,,,0000800000,H,14035.54,14035.54,USD,,,,,,50
100,1000,6000000102,2024,0001,D,C00004,,0000130000,S,233025.98,233025.98,USD,2024-07-19,2/10N30,,,,01
100,1000,6000000102,2024,0002,S,,,0000800000,H,233025.98,233025.98,USD,,,,,,50
100,1000,6000000104,2024,0001,D,C00002,,0000130000,S,231166.8,231166.8,USD,2024-08-16,N014,2024-10-23,CL6000000104,2024,01
100,1000,6000000104,2024,0002,S,,,0000800000,H,231166.8,231166.8,USD,,,,,,50
100,1000,6000000107,2024,0001,D,C00011,,0000130000,S,67411.8,67411.8,USD,2024-02-01,2/10N30,2024-02-16,CL6000000107,2024,01
100,1000,6000000107,2024,0002,S,,,0000800000,H,67411.8,67411.8,USD,,,,,,50
100,1000,6000000108,2024,0001,D,C00014,,0000130000,S,24598.5,24598.5,USD,2024-05-05,N014,2024-07-03,CL6000000108,2024,01
100,1000,6000000108,2024,0002,S,,,0000800000,H,24598.5,24598.5,USD,,,,,,50
100,1000,6000000109,2024,0001,D,C00011,,0000130000,S,239318.4,239318.4,USD,2024-04-22,N060,,,,01
100,1000,6000000109,2024,0002,S,,,0000800000,H,239318.4,239318.4,USD,,,,,,50
100,1000,6000000111,2024,0001,D,C00002,,0000130000,S,45719.18,45719.18,USD,2024-06-21,N030,,,,01
100,1000,6000000111,2024,0002,S,,,0000800000,H,45719.18,45719.18,USD,,,,,,50
100,1000,6000000112,2024,0001,D,C00009,,0000130000,S,74843.98,74843.98,USD,2024-10-06,N030,,,,01
100,1000,6000000112,2024,0002,S,,,0000800000,H,74843.98,74843.98,USD,,,,,,50
100,1000,6000000113,2024,0001,D,C00013,,0000130000,S,143243.09,143243.09,USD,2024-08-26,2/10N30,2024-11-05,CL6000000113,2024,01
100,1000,6000000113,2024,0002,S,,,0000800000,H,143243.09,143243.09,USD,,,,,,50
100,1000,6000000114,2024,0001,D,C00015,,0000130000,S,72342.27,72342.27,USD,2024-03-08,N014,2024-03-23,CL6000000114,2024,01
100,1000,6000000114,2024,0002,S,,,0000800000,H,72342.27,72342.27,USD,,,,,,50
100,1000,6000000116,2024,0001,D,C00013,,0000130000,S,41099.52,41099.52,USD,2024-08-17,N030,2024-10-06,CL6000000116,2024,01
100,1000,6000000116,2024,0002,S,,,0000800000,H,41099.52,41099.52,USD,,,,,,50
100,1000,6000000120,2024,0001,D,C00006,,0000130000,S,99098.44,99098.44,USD,2024-08-19,N030,,,,01
100,1000,6000000120,2024,0002,S,,,0000800000,H,99098.44,99098.44,USD,,,,,,50
100,1000,6000000121,2024,0001,D,C00012,,0000130000,S,127728.0,127728.0,USD,2024-08-30,N014,2024-11-22,CL6000000121,2024,01
100,1000,6000000121,2024,0002,S,,,0000800000,H,127728.0,127728.0,USD,,,,,,50
100,1000,6000000122,2024,0001,D,C00008,,0000130000,S,30131.67,30131.67,USD,2024-04-28,N060,2024-07-24,CL6000000122,2024,01
100,1000,6000000122,2024,0002,S,,,0000800000,H,30131.67,30131.67,USD,,,,,,50
100,1000,6000000123,2024,0001,D,C00006,,0000130000,S,78857.46,78857.46,USD,2024-04-06,N060,2024-06-20,CL6000000123,2024,01
100,1000,6000000123,2024,0002,S,,,0000800000,H,78857.46,78857.46,USD,,,,,,50
100,1000,6000000124,2024,0001,D,C00008,,0000130000,S,8998.7,8998.7,USD,2024-06-28,2/10N30,,,,01
100,1000,6000000124,2024,0002,S,,,0000800000,H,8998.7,8998.7,USD,,,,,,50
100,1000,6000000125,2024,0001,D,C00014,,0000130000,S,165627.88,165627.88,USD,2024-06-28,2/10N30,2024-08-31,CL6000000125,2024,01
100,1000,6000000125,2024,0002,S,,,0000800000,H,165627.88,165627.88,USD,,,,,,50
100,1000,6000000126,2024,0001,D,C00010,,0000130000,S,15674.67,15674.67,USD,2024-07-15,N014,,,,01
100,1000,6000000126,2024,0002,S,,,0000800000,H,15674.67,15674.67,USD,,,,,,50
100,1000,6000000127,2024,0001,D,C00006,,0000130000,S,81363.48,81363.48,USD,2024-09-11,N030,,,,01
100,1000,6000000127,2024,0002,S,,,0000800000,H,81363.48,81363.48,USD,,,,,,50
100,1000,6000000128,2024,0001,D,C00008,,0000130000,S,190263.31,190263.31,USD,2024-06-10,2/10N30,2024-08-03,CL6000000128,2024,01
100,1000,6000000128,2024,0002,S,,,0000800000,H,190263.31,190263.31,USD,,,,,,50
100,1000,6000000129,2024,0001,D,C00009,,0000130000,S,72450.7,72450.7,USD,2024-09-21,N014,2024-10-28,CL6000000129,2024,01
100,1000,6000000129,2024,0002,S,,,0000800000,H,72450.7,72450.7,USD,,,,,,50
100,1000,6000000130,2024,0001,D,C00002,,0000130000,S,315321.4,315321.4,USD,2024-07-26,N014,2024-08-08,CL6000000130,2024,01
100,1000,6000000130,2024,0002,S,,,0000800000,H,315321.4,315321.4,USD,,,,,,50
100,1000,6000000132,2024,0001,D,C00006,,0000130000,S,88271.16,88271.16,USD,2024-10-18,N030,2024-11-12,CL6000000132,2024,01
100,1000,6000000132,2024,0002,S,,,0000800000,H,88271.16,88271.16,USD,,,,,,50
100,1000,6000000134,2024,0001,D,C00011,,0000130000,S,35299.88,35299.88,USD,2024-06-19,2/10N30,2024-08-25,CL6000000134,2024,01
100,1000,6000000134,2024,0002,S,,,0000800000,H,35299.88,35299.88,USD,,,,,,50
100,1000,6000000136,2024,0001,D,C00003,,0000130000,S,81337.52,81337.52,USD,2024-06-07,N060,2024-07-31,CL6000000136,2024,01
100,1000,6000000136,2024,0002,S,,,0000800000,H,81337.52,81337.52,USD,,,,,,50
100,1000,6000000137,2024,0001,D,C00003,,0000130000,S,249124.77,249124.77,USD,2024-05-20,N060,2024-07-25,CL6000000137,2024,01
100,1000,6000000137,2024,0002,S,,,0000800000,H,249124.77,249124.77,USD,,,,,,50
100,1000,6000000138,2024,0001,D,C00010,,0000130000,S,136795.56,136795.56,USD,2024-07-14,N014,2024-08-15,CL6000000138,2024,01
100,1000,6000000138,2024,0002,S,,,0000800000,H,136795.56,136795.56,USD,,,,,,50
100,1000,6000000139,2024,0001,D,C00015,,0000130000,S,95053.77,95053.77,USD,2024-08-08,2/10N30,2024-09-20,CL6000000139,2024,01
100,1000,6000000139,2024,0002,S,,,0000800000,H,95053.77,95053.77,USD,,,,,,50
100,1000,6000000140,2024,0001,D,C00001,,0000130000,S,178551.08,178551.08,USD,2024-06-20,N014,,,,01
100,1000,6000000140,2024,0002,S,,,0000800000,H,178551.08,178551.08,USD,,,,,,50
100,1000,6000000141,2024,0001,D,C00015,,0000130000,S,124910.24,124910.24,USD,2024-01-30,N014,2024-03-16,CL6000000141,2024,01
100,1000,6000000141,2024,0002,S,,,0000800000,H,124910.24,124910.24,USD,,,,,,50
100,1000,6000000142,2024,0001,D,C00011,,0000130000,S,51435.2,51435.2,USD,2024-03-28,N030,,,,01
100,1000,6000000142,2024,0002,S,,,0000800000,H,51435.2,51435.2,USD,,,,,,50
100,1000,6000000143,2024,0001,D,C00005,,0000130000,S,206337.48,206337.48,USD,2024-07-07,N014,2024-08-07,CL6000000143,2024,01
100,1000,6000000143,2024,0002,S,,,0000800000,H,206337.48,206337.48,USD,,,,,,50
100,1000,6000000144,2024,0001,D,C00006,,0000130000,S,85528.56,85528.56,USD,2024-06-25,N030,2024-07-23,CL6000000144,2024,01
100,1000,6000000144,2024,0002,S,,,0000800000,H,85528.56,85528.56,USD,,,,,,50
100,1000,6000000145,2024,0001,D,C00015,,0000130000,S,7797.14,7797.14,USD,2024-09-06,2/10N30,2024-11-19,CL6000000145,2024,01
100,1000,6000000145,2024,0002,S,,,0000800000,H,7797.14,7797.14,USD,,,,,,50
100,1000,6000000146,2024,0001,D,C00015,,0000130000,S,160203.0,160203.0,USD,2024-07-25,2/10N30,2024-10-11,CL6000000146,2024,01
100,1000,6000000146,2024,0002,S,,,0000800000,H,160203.0,160203.0,USD,,,,,,50
100,1000,6000000148,2024,0001,D,C00001,,0000130000,S,42218.52,42218.52,USD,2024-04-22,N014,2024-06-10,CL6000000148,2024,01
100,1000,6000000148,2024,0002,S,,,0000800000,H,42218.52,42218.52,USD,,,,,,50
100,1000,6000000149,2024,0001,D,C00014,,0000130000,S,173602.85,173602.85,USD,2024-09-01,N030,2024-10-17,CL6000000149,2024,01
100,1000,6000000149,2024,0002,S,,,0000800000,H,173602.85,173602.85,USD,,,,,,50
