MANDT,BUKRS,KUNNR,UMSKS,UMSKZ,AUGDT,AUGBL,ZUONR,GJAHR,BELNR,BUZEI,BUDAT,BLDAT,ZFBDT,SHKZG,DMBTR,WRBTR,WAERS,ZTERM,HKONT
100,1000,C00011,,,,,,2024,6000000109,0001,2024-04-22,2024-04-22,2024-04-22,S,239318.4,239318.4,USD,N060,0000130000
100,1000,C00002,,,,,,2024,6000000111,0001,2024-06-21,2024-06-21,2024-06-21,S,45719.18,45719.18,USD,N030,0000130000
100,1000,C00009,,,,,,2024,6000000112,0001,2024-10-06,2024-10-06,2024-10-06,S,74843.98,74843.98,USD,N030,0000130000
100,1000,C00006,,,,,,2024,6000000120,0001,2024-08-19,2024-08-19,2024-08-19,S,99098.44,99098.44,USD,N030,0000130000
100,1000,C00008,,,,,,2024,6000000124,0001,2024-06-28,2024-06-28,2024-06-28,S,8998.7,8998.7,USD,2/10N30,0000130000
100,1000,C00010,,,,,,2024,6000000126,0001,2024-07-15,2024-07-15,2024-07-15,S,15674.67,15674.67,USD,N014,0000130000
100,1000,C00006,,,,,,2024,6000000127,0001,2024-09-11,2024-09-11,2024-09-11,S,81363.48,81363.48,USD,N030,0000130000
100,1000,C00001,,,,,,2024,6000000140,0001,2024-06-20,2024-06-20,2024-06-20,S,178551.08,178551.08,USD,N014,0000130000
100,1000,C00011,,,,,,2024,6000000142,0001,2024-03-28,2024-03-28,2024-03-28,S,51435.2,51435.2,USD,N030,0000130000
100,1000,C00004,,,,,,2024,6000000152,0001,2024-06-22,2024-06-22,2024-06-22,S,52412.9,52412.9,USD,N060,0000130000
100,1000,C00006,,,,,,2024,6000000157,0001,2024-08-02,2024-08-02,2024-08-02,S,268163.17,268163.17,USD,N014,0000130000
100,1000,C00002,,,,,,2024,6000000160,0001,2024-10-04,2024-10-04,2024-10-04,S,56450.46,56450.46,USD,N060,0000130000
100,1000,C00008,,,,,,2024,6000000166,0001,2024-07-18,2024-07-18,2024-07-18,S,57437.76,57437.76,USD,N060,0000130000
100,1000,C00010,,,,,,2024,6000000167,0001,2024-04-30,2024-04-30,2024-04-30,S,351172.2,351172.2,USD,N060,0000130000
100,1000,C00008,,,,,,2024,6000000171,0001,2024-03-08,2024-03-08,2024-03-08,S,70078.51,70078.51,USD,N030,0000130000
100,1000,C00004,,,,,,2024,6000000178,0001,2024-04-10,2024-04-10,2024-04-10,S,176559.88,176559.88,USD,2/10N30,0000130000
100,1000,C00013,,,,,,2024,6000000180,0001,2024-06-18,2024-06-18,2024-06-18,S,303703.2,303703.2,USD,2/10N30,0000130000
100,1000,C00006,,,,,,2024,6000000181,0001,2024-06-22,2024-06-22,2024-06-22,S,94412.36,94412.36,USD,N060,0000130000
100,1000,C00001,,,,,,2024,6000000187,0001,2024-05-18,2024-05-18,2024-05-18,S,127238.88,127238.88,USD,N060,0000130000
100,1000,C00007,,,,,,2024,6000000188,0001,2024-07-02,2024-07-02,2024-07-02,S,94082.52,94082.52,USD,N030,0000130000
100,1000,C00013,,,,,,2024,6000000192,0001,2024-06-08,2024-06-08,2024-06-08,S,140655.24,140655.24,USD,N014,0000130000
100,1000,C00006,,,,,,2024,6000000195,0001,2024-05-15,2024-05-15,2024-05-15,S,114799.67,114799.67,USD,2/10N30,0000130000
100,1000,C00013,,,,,,2024,6000000200,0001,2024-03-08,2024-03-08,2024-03-08,S,43651.74,43651.74,USD,2/10N30,0000130000
100,1000,C00014,,,,,,2024,6000000206,0001,2024-10-04,2024-10-04,2024-10-04,S,69176.38,69176.38,USD,N060,0000130000
100,1000,C00004,,,,,,2024,6000000210,0001,2024-02-06,2024-02-06,2024-02-06,S,285147.42,285147.42,USD,N014,0000130000
100,1000,C00005,,,,,,2024,6000000214,0001,2024-03-12,2024-03-12,2024-03-12,S,71585.44,71585.44,USD,2/10N30,0000130000
100,1000,C00010,,,,,,2024,6000000218,0001,2024-10-28,2024-10-28,2024-10-28,S,87624.66,87624.66,USD,2/10N30,0000130000
100,1000,C00006,,,,,,2024,6000000222,0001,2024-04-20,2024-04-20,2024-04-20,S,26202.4,26202.4,USD,N060,0000130000
100,1000,C00014,,,,,,2024,6000000225,0001,2024-05-24,2024-05-24,2024-05-24,S,113454.0,113454.0,USD,2/10N30,0000130000
100,1000,C00004,,,,,,2024,6000000228,0001,2024-02-15,2024-02-15,2024-02-15,S,45778.88,45778.88,USD,N014,0000130000
100,1000,C00001,,,,,,2024,6000000236,0001,2024-09-23,2024-09-23,2024-09-23,S,157222.0,157222.0,USD,N014,0000130000
100,1000,C00009,,,,,,2024,6000000254,0001,2024-10-16,2024-10-16,2024-10-16,S,21755.8,21755.8,USD,N030,0000130000
100,1000,C00008,,,,,,2024,6000000270,0001,2024-07-20,2024-07-20,2024-07-20,S,112461.68,112461.68,USD,N030,0000130000
100,1000,C00007,,,,,,2024,6000000274,0001,2024-07-27,2024-07-27,2024-07-27,S,128239.49,128239.49,USD,N030,0000130000
100,1000,C00014,,,,,,2024,6000000275,0001,2024-04-23,2024-04-23,2024-04-23,S,25804.46,25804.46,USD,2/10N30,0000130000
100,1000,C00004,,,,,,2024,6000000283,0001,2024-08-18,2024-08-18,2024-08-18,S,98557.09,98557.09,USD,2/10N30,0000130000
100,1000,C00002,,,,,,2024,6000000286,0001,2024-03-07,2024-03-07,2024-03-07,S,182876.19,182876.19,USD,N030,0000130000
100,1000,C00012,,,,,,2024,6000000294,0001,2024-06-18,2024-06-18,2024-06-18,S,325526.36,325526.36,USD,2/10N30,0000130000
100,1000,C00007,,,,,,2024,6000000304,0001,2024-06-11,2024-06-11,2024-06-11,S,87207.68,87207.68,USD,N060,0000130000
100,1000,C00013,,,,,,2024,6000000313,0001,2024-08-18,2024-08-18,2024-08-18,S,138198.49,138198.49,USD,2/10N30,0000130000
100,1000,C00007,,,,,,2024,6000000331,0001,2024-05-11,2024-05-11,2024-05-11,S,49368.0,49368.0,USD,N060,0000130000
100,1000,C00013,,,,,,2024,6000000332,0001,2024-03-30,2024-03-30,2024-03-30,S,168376.32,168376.32,USD,N060,0000130000
100,1000,C00010,,,,,,2024,6000000337,0001,2024-04-09,2024-04-09,2024-04-09,S,4101.34,4101.34,USD,N030,0000130000
100,1000,C00002,,,,,,2024,6000000338,0001,2024-07-20,2024-07-20,2024-07-20,S,111648.67,111648.67,USD,N060,0000130000
100,1000,C00010,,,,,,2024,6000000343,0001,2024-01-29,2024-01-29,2024-01-29,S,17053.75,17053.75,USD,2/10N30,0000130000
100,1000,C00015,,,,,,2024,6000000350,0001,2024-07-08,2024-07-08,2024-07-08,S,76239.0,76239.0,USD,2/10N30,0000130000
100,1000,C00015,,,,,,2024,6000000360,0001,2024-02-03,2024-02-03,2024-02-03,S,214412.4,214412.4,USD,N030,0000130000
100,1000,C00003,,,,,,2024,6000000375,0001,2024-03-06,2024-03-06,2024-03-06,S,374346.51,374346.51,USD,N030,0000130000
100,1000,C00012,,,,,,2024,6000000392,0001,2024-07-12,2024-07-12,2024-07-12,S,49355.25,49355.25,USD,N014,0000130000
100,1000,C00014,,,,,,2024,6000000397,0001,2024-01-30,2024-01-30,2024-01-30,S,293773.17,293773.17,USD,N014,0000130000
100,1000,C00012,,,,,,2024,6000000417,0001,2024-06-23,2024-06-23,2024-06-23,S,1136.06,1136.06,USD,2/10N30,0000130000
100,1000,C00009,,,,,,2024,6000000418,0001,2024-07-10,2024-07-10,2024-07-10,S,11488.08,11488.08,USD,2/10N30,0000130000
100,1000,C00012,,,,,,2024,6000000423,0001,2024-02-24,2024-02-24,2024-02-24,S,137530.96,137530.96,USD,N060,0000130000
100,1000,C00006,,,,,,2024,6000000428,0001,2024-03-29,2024-03-29,2024-03-29,S,294300.68,294300.68,USD,2/10N30,0000130000
100,1000,C00013,,,,,,2024,6000000431,0001,2024-04-16,2024-04-16,2024-04-16,S,314130.32,314130.32,USD,2/10N30,0000130000
100,1000,C00005,,,,,,2024,6000000432,0001,2024-08-26,2024-08-26,2024-08-26,S,105303.35,105303.35,USD,N030,0000130000
100,1000,C00006,,,,,,2024,6000000434,0001,2024-02-10,2024-02-10,2024-02-10,S,41992.08,41992.08,USD,N030,0000130000
100,1000,C00010,,,,,,2024,6000000444,0001,2024-03-25,2024-03-25,2024-03-25,S,237389.16,237389.16,USD,N014,0000130000
100,1000,C00003,,,,,,2024,6000000452,0001,2024-06-19,2024-06-19,2024-06-19,S,31395.06,31395.06,USD,N060,0000130000
100,1000,C00001,,,,,,2024,6000000453,0001,2024-05-28,2024-05-28,2024-05-28,S,247537.5,247537.5,USD,N030,0000130000
100,1000,C00001,,,,,,2024,6000000457,0001,2024-05-11,2024-05-11,2024-05-11,S,326067.26,326067.26,USD,2/10N30,0000130000
100,1000,C00010,,,,,,2024,6000000470,0001,2024-09-10,2024-09-10,2024-09-10,S,245897.08,245897.08,USD,N060,0000130000
100,1000,C00015,,,,,,2024,6000000475,0001,2024-08-12,2024-08-12,2024-08-12,S,203078.68,203078.68,USD,N060,0000130000
100,1000,C00005,,,,,,2024,6000000479,0001,2024-06-22,2024-06-22,2024-06-22,S,57930.48,57930.48,USD,N014,0000130000
100,1000,C00015,,,,,,2024,6000000487,0001,2024-06-18,2024-06-18,2024-06-18,S,28221.04,28221.04,USD,2/10N30,0000130000
