MANDT,VBELN,ERDAT,ERZET,ERNAM,FKART,FKTYP,VBTYP,FKDAT,KNUMV,NETWR,WAERK,KUNAG,KUNRG,VKORG,BUKRS,BELNR,GJAHR,RFBSK
100,9000000036,2024-03-18,110000,FINANCE01,F2,L,M,2024-03-18,5800000036,318265.42,USD,C00006,C00006,1000,1000,6000000036,FY2024,C
100,9000000038,2024-02-26,110000,FINANCE02,F2,L,M,2024-02-26,5800000038,130133.16,USD,C00014,C00014,1000,1000,6000000038,FY2024,C
100,9000000039,2024-02-24,110000,FINANCE01,F2,L,M,2024-02-24,5800000039,84549.76,USD,C00015,C00015,1000,1000,6000000039,FY2024,C
100,9000000040,2024-05-02,110000,FINANCE02,F2,L,M,2024-05-02,5800000040,8876.72,USD,C00012,C00012,1000,1000,6000000040,FY2024,C
100,9000000041,2024-08-16,110000,FINANCE01,F2,L,M,2024-08-16,5800000041,32255.52,USD,C00012,C00012,1000,1000,6000000041,FY2024,C
100,9000000042,2024-08-28,110000,FINANCE02,F2,L,M,2024-08-28,5800000042,113163.0,USD,C00013,C00013,1000,1000,6000000042,FY2024,C
100,9000000043,2024-05-24,110000,FINANCE01,F2,L,M,2024-05-24,5800000043,126110.4,USD,C00003,C00003,1000,1000,6000000043,FY2024,C
100,9000000044,2024-08-14,110000,FINANCE02,F2,L,M,2024-08-14,5800000044,44496.15,USD,C00013,C00013,1000,1000,6000000044,FY2024,C
100,9000000045,2024-11-04,110000,FINANCE02,F2,L,M,2024-11-04,5800000045,247585.85,USD,C00013,C00013,1000,1000,6000000045,FY2024,C
100,9000000046,2024-06-28,110000,FINANCE02,F2,L,M,2024-06-28,5800000046,49379.9,USD,C00012,C00012,1000,1000,6000000046,FY2024,C
100,9000000048,2024-10-17,110000,FINANCE01,F2,L,M,2024-10-17,5800000048,212345.72,USD,C00013,C00013,1000,1000,6000000048,FY2024,C
100,9000000050,2024-01-30,110000,FINANCE02,F2,L,M,2024-01-30,5800000050,46023.95,USD,C00009,C00009,1000,1000,6000000050,FY2024,C
100,9000000051,2024-07-10,110000,FINANCE01,F2,L,M,2024-07-10,5800000051,195902.0,USD,C00001,C00001,1000,1000,6000000051,FY2024,C
100,9000000052,2024-02-25,110000,FINANCE02,F2,L,M,2024-02-25,5800000052,28165.5,USD,C00009,C00009,1000,1000,6000000052,FY2024,C
100,9000000053,2024-04-26,110000,FINANCE01,F2,L,M,2024-04-26,5800000053,325296.03,USD,C00001,C00001,1000,1000,6000000053,FY2024,C
100,9000000055,2024-07-26,110000,FINANCE02,F2,L,M,2024-07-26,5800000055,49105.56,USD,C00014,C00014,1000,1000,6000000055,FY2024,C
100,9000000056,2024-04-21,110000,FINANCE02,F2,L,M,2024-04-21,5800000056,11128.48,USD,C00012,C00012,1000,1000,6000000056,FY2024,C
100,9000000058,2024-10-18,110000,FINANCE01,F2,L,M,2024-10-18,5800000058,44282.83,USD,C00011,C00011,1000,1000,6000000058,FY2024,C
100,9000000059,2024-05-10,110000,FINANCE02,F2,L,M,2024-05-10,5800000059,173222.5,USD,C00015,C00015,1000,1000,6000000059,FY2024,C
100,9000000061,2024-06-21,110000,FINANCE02,F2,L,M,2024-06-21,5800000061,28916.37,USD,C00005,C00005,1000,1000,6000000061,FY2024,C
100,9000000062,2024-06-06,110000,FINANCE01,F2,L,M,2024-06-06,5800000062,86595.4,USD,C00014,C00014,1000,1000,6000000062,FY2024,C
100,9000000064,2024-04-28,110000,FINANCE01,F2,L,M,2024-04-28,5800000064,13755.96,USD,C00005,C00005,1000,1000,6000000064,FY2024,C
100,9000000065,2024-07-15,110000,FINANCE02,F2,L,M,2024-07-15,5800000065,276605.6,USD,C00009,C00009,1000,1000,6000000065,FY2024,C
100,9000000066,2024-05-15,110000,FINANCE02,F2,L,M,2024-05-15,5800000066,122494.64,USD,C00002,C00002,1000,1000,6000000066,FY2024,C
100,9000000067,2024-07-11,110000,FINANCE02,F2,L,M,2024-07-11,5800000067,91403.8,USD,C00008,C00008,1000,1000,6000000067,FY2024,C
100,9000000068,2024-02-04,110000,FINANCE02,F2,L,M,2024-02-04,5800000068,38388.24,USD,C00009,C00009,1000,1000,6000000068,FY2024,C
100,9000000069,2024-02-21,110000,FINANCE01,F2,L,M,2024-02-21,5800000069,299864.7,USD,C00014,C00014,1000,1000,6000000069,FY2024,C
100,9000000070,2024-10-01,110000,FINANCE01,F2,L,M,2024-10-01,5800000070,18754.43,USD,C00001,C00001,1000,1000,6000000070,FY2024,C
100,9000000071,2024-03-03,110000,FINANCE01,F2,L,M,2024-03-03,5800000071,161227.5,USD,C00014,C00014,1000,1000,6000000071,FY2024,C
100,9000000072,2024-06-07,110000,FINANCE01,F2,L,M,2024-06-07,5800000072,154268.64,USD,C00003,C00003,1000,1000,6000000072,FY2024,C
100,9000000075,2024-07-17,110000,FINANCE02,F2,L,M,2024-07-17,5800000075,68505.36,USD,C00004,C00004,1000,1000,6000000075,FY2024,C
100,9000000076,2024-04-07,110000,FINANCE01,F2,L,M,2024-04-07,5800000076,199520.55,USD,C00008,C00008,1000,1000,6000000076,FY2024,C
100,9000000077,2024-04-02,110000,FINANCE01,F2,L,M,2024-04-02,5800000077,33172.67,USD,C00015,C00015,1000,1000,6000000077,FY2024,C
100,9000000078,2024-09-16,110000,FINANCE01,F2,L,M,2024-09-16,5800000078,70915.2,USD,C00006,C00006,1000,1000,6000000078,FY2024,C
100,9000000079,2024-04-13,110000,FINANCE01,F2,L,M,2024-04-13,5800000079,173146.94,USD,C00006,C00006,1000,1000,6000000079,FY2024,C
100,9000000080,2024-05-22,110000,FINANCE02,F2,L,M,2024-05-22,5800000080,7876.8,USD,C00014,C00014,1000,1000,6000000080,FY2024,C
100,9000000081,2024-01-28,110000,FINANCE02,F2,L,M,2024-01-28,5800000081,43066.45,USD,C00012,C00012,1000,1000,6000000081,FY2024,C
100,9000000082,2024-03-03,110000,FINANCE02,F2,L,M,2024-03-03,5800000082,108889.95,USD,C00014,C00014,1000,1000,6000000082,FY2024,C
100,9000000083,2024-09-25,110000,FINANCE01,F2,L,M,2024-09-25,5800000083,124620.08,USD,C00004,C00004,1000,1000,6000000083,FY2024,C
100,9000000084,2024-03-12,110000,FINANCE01,F2,L,M,2024-03-12,5800000084,223204.83,USD,C00006,C00006,1000,1000,6000000084,FY2024,C
100,9000000086,2024-10-07,110000,FINANCE01,F2,L,M,2024-10-07,5800000086,299628.9,USD,C00004,C00004,1000,1000,6000000086,FY2024,C
100,9000000088,2024-10-03,110000,FINANCE02,F2,L,M,2024-10-03,5800000088,352807.94,USD,C00011,C00011,1000,1000,6000000088,FY2024,C
100,9000000091,2024-05-17,110000,FINANCE01,F2,L,M,2024-05-17,5800000091,446446.03,USD,C00007,C00007,1000,1000,6000000091,FY2024,C
100,9000000093,2024-10-10,110000,FINANCE01,F2,L,M,2024-10-10,5800000093,30453.92,USD,C00001,C00001,1000,1000,6000000093,FY2024,C
100,9000000094,2024-10-24,110000,FINANCE01,F2,L,M,2024-10-24,5800000094,96989.01,USD,C00008,C00008,1000,1000,6000000094,FY2024,C
100,9000000096,2024-02-15,110000,FINANCE01,F2,L,M,2024-02-15,5800000096,114902.64,USD,C00007,C00007,1000,1000,6000000096,FY2024,C
100,9000000097,2024-08-30,110000,FINANCE02,F2,L,M,2024-08-30,5800000097,70124.82,USD,C00008,C00008,1000,1000,6000000097,FY2024,C
100,9000000098,2024-01-18,110000,FINANCE01,F2,L,M,2024-01-18,5800000098,160186.14,USD,C00001,C00001,1000,1000,6000000098,FY2024,C
100,9000000099,2024-08-24,110000,FINANCE01,F2,L,M,2024-08-24,5800000099,420156.32,USD,C00015,C00015,1000,1000,6000000099,FY2024,C
100,9000000100,2024-03-30,110000,FINANCE02,F2,L,M,2024-03-30,5800000100,180072.03,USD,C00015,C00015,1000,1000,6000000100,FY2024,C
100,9000000101,2024-05-03,110000,FINANCE01,F2,L,M,2024-05-03,5800000101,14035.54,USD,C00008,C00008,1000,1000,6000000101,FY2024,C
100,9000000102,2024-07-19,110000,FINANCE02,F2,L,M,2024-07-19,5800000102,233025.98,USD,C00004,C00004,1000,1000,6000000102,FY2024,C
100,9000000104,2024-08-16,110000,FINANCE01,F2,L,M,2024-08-16,5800000104,231166.8,USD,C00002,C00002,1000,1000,6000000104,FY2024,C
100,9000000107,2024-02-01,110000,FINANCE02,F2,L,M,2024-02-01,5800000107,67411.8,USD,C00011,C00011,1000,1000,6000000107,FY2024,C
100,9000000108,2024-05-05,110000,FINANCE02,F2,L,M,2024-05-05,5800000108,24598.5,USD,C00014,C00014,1000,1000,6000000108,FY2024,C
100,9000000109,2024-04-22,110000,FINANCE02,F2,L,M,2024-04-22,5800000109,239318.4,USD,C00011,C00011,1000,1000,6000000109,FY2024,C
100,9000000111,2024-06-21,110000,FINANCE01,F2,L,M,2024-06-21,5800000111,45719.18,USD,C00002,C00002,1000,1000,6000000111,FY2024,C
100,9000000112,2024-10-06,110000,FINANCE02,F2,L,M,2024-10-06,5800000112,74843.98,USD,C00009,C00009,1000,1000,6000000112,FY2024,C
100,9000000113,2024-08-26,110000,FINANCE02,F2,L,M,2024-08-26,5800000113,143243.09,USD,C00013,C00013,1000,1000,6000000113,FY2024,C
100,9000000114,2024-03-08,110000,FINANCE02,F2,L,M,2024-03-08,5800000114,72342.27,USD,C00015,C00015,1000,1000,6000000114,FY2024,C
100,9000000116,2024-08-17,110000,FINANCE02,F2,L,M,2024-08-17,5800000116,41099.52,USD,C00013,C00013,1000,1000,6000000116,FY2024,C
100,9000000120,2024-08-19,110000,FINANCE01,F2,L,M,2024-08-19,5800000120,99098.44,USD,C00006,C00006,1000,1000,6000000120,FY2024,C
100,9000000121,2024-08-30,110000,FINANCE02,F2,L,M,2024-08-30,5800000121,127728.0,USD,C00012,C00012,1000,1000,6000000121,FY2024,C
100,9000000122,2024-04-28,110000,FINANCE02,F2,L,M,2024-04-28,5800000122,30131.67,USD,C00008,C00008,1000,1000,6000000122,FY2024,C
100,9000000123,2024-04-06,110000,FINANCE01,F2,L,M,2024-04-06,5800000123,78857.46,USD,C00006,C00006,1000,1000,6000000123,FY2024,C
100,9000000124,2024-06-28,110000,FINANCE01,F2,L,M,2024-06-28,5800000124,8998.7,USD,C00008,C00008,1000,1000,6000000124,FY2024,C
100,9000000125,2024-06-28,110000,FINANCE02,F2,L,M,2024-06-28,5800000125,165627.88,USD,C00014,C00014,1000,1000,6000000125,FY2024,C
100,9000000126,2024-07-15,110000,FINANCE02,F2,L,M,2024-07-15,5800000126,15674.67,USD,C00010,C00010,1000,1000,6000000126,FY2024,C
100,9000000127,2024-09-11,110000,FINANCE02,F2,L,M,2024-09-11,5800000127,81363.48,USD,C00006,C00006,1000,1000,6000000127,FY2024,C
100,9000000128,2024-06-10,110000,FINANCE02,F2,L,M,2024-06-10,5800000128,190263.31,USD,C00008,C00008,1000,1000,6000000128,FY2024,C
100,9000000129,2024-09-21,110000,FINANCE01,F2,L,M,2024-09-21,5800000129,72450.7,USD,C00009,C00009,1000,1000,6000000129,FY2024,C
100,9000000130,2024-07-26,110000,FINANCE02,F2,L,M,2024-07-26,5800000130,315321.4,USD,C00002,C00002,1000,1000,6000000130,FY2024,C
100,9000000132,2024-10-18,110000,FINANCE01,F2,L,M,2024-10-18,5800000132,88271.16,USD,C00006,C00006,1000,1000,6000000132,FY2024,C
100,9000000134,2024-06-19,110000,FINANCE01,F2,L,M,2024-06-19,5800000134,35299.88,USD,C00011,C00011,1000,1000,6000000134,FY2024,C
100,9000000136,2024-06-07,110000,FINANCE01,F2,L,M,2024-06-07,5800000136,81337.52,USD,C00003,C00003,1000,1000,6000000136,FY2024,C
100,9000000137,2024-05-20,110000,FINANCE02,F2,L,M,2024-05-20,5800000137,249124.77,USD,C00003,C00003,1000,1000,6000000137,FY2024,C
100,9000000138,2024-07-14,110000,FINANCE01,F2,L,M,2024-07-14,5800000138,136795.56,USD,C00010,C00010,1000,1000,6000000138,FY2024,C
100,9000000139,2024-08-08,110000,FINANCE01,F2,L,M,2024-08-08,5800000139,95053.77,USD,C00015,C00015,1000,1000,6000000139,FY2024,C
100,9000000140,2024-06-20,110000,FINANCE01,F2,L,M,2024-06-20,5800000140,178551.08,USD,C00001,C00001,1000,1000,6000000140,FY2024,C
100,9000000141,2024-01-30,110000,FINANCE02,F2,L,M,2024-01-30,5800000141,124910.24,USD,C00015,C00015,1000,1000,6000000141,FY2024,C
100,9000000142,2024-03-28,110000,FINANCE02,F2,L,M,2024-03-28,5800000142,51435.2,USD,C00011,C00011,1000,1000,6000000142,FY2024,C
100,9000000143,2024-07-07,110000,FINANCE02,F2,L,M,2024-07-07,5800000143,206337.48,USD,C00005,C00005,1000,1000,6000000143,FY2024,C
100,9000000144,2024-06-25,110000,FINANCE01,F2,L,M,2024-06-25,5800000144,85528.56,USD,C00006,C00006,1000,1000,6000000144,FY2024,C
100,9000000145,2024-09-06,110000,FINANCE01,F2,L,M,2024-09-06,5800000145,7797.14,USD,C00015,C00015,1000,1000,6000000145,FY2024,C
100,9000000146,2024-07-25,110000,FINANCE02,F2,L,M,2024-07-25,5800000146,160203.0,USD,C00015,C00015,1000,1000,6000000146,FY2024,C
100,9000000148,2024-04-22,110000,FINANCE02,F2,L,M,2024-04-22,5800000148,42218.52,USD,C00001,C00001,1000,1000,6000000148,FY2024,C
100,9000000149,2024-09-01,110000,FINANCE01,F2,L,M,2024-09-01,5800000149,173602.85,USD,C00014,C00014,1000,1000,6000000149,FY2024,C
100,9000000150,2024-09-16,110000,FINANCE01,F2,L,M,2024-09-16,5800000150,43091.0,USD,C00006,C00006,1000,1000,6000000150,FY2024,C
100,9000000152,2024-06-22,110000,FINANCE02,F2,L,M,2024-06-22,5800000152,52412.9,USD,C00004,C00004,1000,1000,6000000152,FY2024,C
100,9000000153,2024-03-17,110000,FINANCE01,F2,L,M,2024-03-17,5800000153,443169.91,USD,C00014,C00014,1000,1000,6000000153,FY2024,C
100,9000000154,2024-09-02,110000,FINANCE02,F2,L,M,2024-09-02,5800000154,75909.54,USD,C00012,C00012,1000,1000,6000000154,FY2024,C
100,9000000155,2024-08-11,110000,FINANCE02,F2,L,M,2024-08-11,5800000155,123477.42,USD,C00006,C00006,1000,1000,6000000155,FY2024,C
100,9000000156,2024-05-17,110000,FINANCE01,F2,L,M,2024-05-17,5800000156,231460.32,USD,C00008,C00008,1000,1000,6000000156,FY2024,C
100,9000000157,2024-08-02,110000,FINANCE02,F2,L,M,2024-08-02,5800000157,268163.17,USD,C00006,C00006,1000,1000,6000000157,FY2024,C
100,9000000160,2024-10-04,110000,FINANCE01,F2,L,M,2024-10-04,5800000160,56450.46,USD,C00002,C00002,1000,1000,6000000160,FY2024,C
100,9000000161,2024-05-11,110000,FINANCE02,F2,L,M,2024-05-11,5800000161,78817.99,USD,C00008,C00008,1000,1000,6000000161,FY2024,C
100,9000000162,2024-07-07,110000,FINANCE02,F2,L,M,2024-07-07,5800000162,42442.32,USD,C00012,C00012,1000,1000,6000000162,FY2024,C
100,9000000164,2024-01-22,110000,FINANCE01,F2,L,M,2024-01-22,5800000164,50384.46,USD,C00003,C00003,1000,1000,6000000164,FY2024,C
100,9000000165,2024-07-14,110000,FINANCE02,F2,L,M,2024-07-14,5800000165,21850.5,USD,C00007,C00007,1000,1000,6000000165,FY2024,C
100,9000000166,2024-07-18,110000,FINANCE02,F2,L,M,2024-07-18,5800000166,57437.76,USD,C00008,C00008,1000,1000,6000000166,FY2024,C
100,9000000167,2024-04-30,110000,FINANCE02,F2,L,M,2024-04-30,5800000167,351172.2,USD,C00010,C00010,1000,1000,6000000167,FY2024,C
100,9000000168,2024-03-28,110000,FINANCE01,F2,L,M,2024-03-28,5800000168,99245.23,USD,C00007,C00007,1000,1000,6000000168,FY2024,C
100,9000000169,2024-03-21,110000,FINANCE02,F2,L,M,2024-03-21,5800000169,52374.92,USD,C00011,C00011,1000,1000,6000000169,FY2024,C
100,9000000170,2024-03-23,110000,FINANCE02,F2,L,M,2024-03-23,5800000170,84283.68,USD,C00015,C00015,1000,1000,6000000170,FY2024,C
100,9000000171,2024-03-08,110000,FINANCE01,F2,L,M,2024-03-08,5800000171,70078.51,USD,C00008,C00008,1000,1000,6000000171,FY2024,C
100,9000000173,2024-08-06,110000,FINANCE01,F2,L,M,2024-08-06,5800000173,14539.49,USD,C00007,C00007,1000,1000,6000000173,FY2024,C
100,9000000174,2024-04-27,110000,FINANCE02,F2,L,M,2024-04-27,5800000174,52987.2,USD,C00003,C00003,1000,1000,6000000174,FY2024,C
100,9000000175,2024-03-07,110000,FINANCE01,F2,L,M,2024-03-07,5800000175,22785.78,USD,C00007,C00007,1000,1000,6000000175,FY2024,C
100,9000000177,2024-06-24,110000,FINANCE01,F2,L,M,2024-06-24,5800000177,197430.3,USD,C00004,C00004,1000,1000,6000000177,FY2024,C
100,9000000178,2024-04-10,110000,FINANCE01,F2,L,M,2024-04-10,5800000178,176559.88,USD,C00004,C00004,1000,1000,6000000178,FY2024,C
100,9000000179,2024-08-11,110000,FINANCE02,F2,L,M,2024-08-11,5800000179,162468.66,USD,C00001,C00001,1000,1000,6000000179,FY2024,C
100,9000000180,2024-06-18,110000,FINANCE02,F2,L,M,2024-06-18,5800000180,303703.2,USD,C00013,C00013,1000,1000,6000000180,FY2024,C
100,9000000181,2024-06-22,110000,FINANCE02,F2,L,M,2024-06-22,5800000181,94412.36,USD,C00006,C00006,1000,1000,6000000181,FY2024,C
100,9000000182,2024-04-28,110000,FINANCE01,F2,L,M,2024-04-28,5800000182,17332.56,USD,C00001,C00001,1000,1000,6000000182,FY2024,C
100,9000000183,2024-08-11,110000,FINANCE02,F2,L,M,2024-08-11,5800000183,94.31,USD,C00006,C00006,1000,1000,6000000183,FY2024,C
100,9000000184,2024-10-14,110000,FINANCE01,F2,L,M,2024-10-14,5800000184,254746.76,USD,C00015,C00015,1000,1000,6000000184,FY2024,C
100,9000000186,2024-06-12,110000,FINANCE01,F2,L,M,2024-06-12,5800000186,105938.16,USD,C00004,C00004,1000,1000,6000000186,FY2024,C
100,9000000187,2024-05-18,110000,FINANCE02,F2,L,M,2024-05-18,5800000187,127238.88,USD,C00001,C00001,1000,1000,6000000187,FY2024,C
100,9000000188,2024-07-02,110000,FINANCE01,F2,L,M,2024-07-02,5800000188,94082.52,USD,C00007,C00007,1000,1000,6000000188,FY2024,C
100,9000000191,2024-05-25,110000,FINANCE02,F2,L,M,2024-05-25,5800000191,131953.17,USD,C00001,C00001,1000,1000,6000000191,FY2024,C
100,9000000192,2024-06-08,110000,FINANCE01,F2,L,M,2024-06-08,5800000192,140655.24,USD,C00013,C00013,1000,1000,6000000192,FY2024,C
100,9000000194,2024-06-27,110000,FINANCE01,F2,L,M,2024-06-27,5800000194,40992.0,USD,C00013,C00013,1000,1000,6000000194,FY2024,C
100,9000000195,2024-05-15,110000,FINANCE02,F2,L,M,2024-05-15,5800000195,114799.67,USD,C00006,C00006,1000,1000,6000000195,FY2024,C
100,9000000196,2024-06-09,110000,FINANCE02,F2,L,M,2024-06-09,5800000196,56984.85,USD,C00006,C00006,1000,1000,6000000196,FY2024,C
100,9000000198,2024-09-14,110000,FINANCE02,F2,L,M,2024-09-14,5800000198,56957.04,USD,C00006,C00006,1000,1000,6000000198,FY2024,C
100,9000000199,2024-03-20,110000,FINANCE02,F2,L,M,2024-03-20,5800000199,144521.16,USD,C00015,C00015,1000,1000,6000000199,FY2024,C
100,9000000200,2024-03-08,110000,FINANCE01,F2,L,M,2024-03-08,5800000200,43651.74,USD,C00013,C00013,1000,1000,6000000200,FY2024,C
100,9000000201,2024-09-30,110000,FINANCE01,F2,L,M,2024-09-30,5800000201,59073.84,USD,C00011,C00011,1000,1000,6000000201,FY2024,C
100,9000000202,2024-07-10,110000,FINANCE01,F2,L,M,2024-07-10,5800000202,115897.4,USD,C00013,C00013,1000,1000,6000000202,FY2024,C
100,9000000203,2024-06-14,110000,FINANCE01,F2,L,M,2024-06-14,5800000203,146681.94,USD,C00008,C00008,1000,1000,6000000203,FY2024,C
100,9000000205,2024-06-17,110000,FINANCE02,F2,L,M,2024-06-17,5800000205,15252.48,USD,C00004,C00004,1000,1000,6000000205,FY2024,C
100,9000000206,2024-10-04,110000,FINANCE02,F2,L,M,2024-10-04,5800000206,69176.38,USD,C00014,C00014,1000,1000,6000000206,FY2024,C
100,9000000207,2024-02-29,110000,FINANCE02,F2,L,M,2024-02-29,5800000207,25501.7,USD,C00004,C00004,1000,1000,6000000207,FY2024,C
100,9000000208,2024-09-21,110000,FINANCE01,F2,L,M,2024-09-21,5800000208,20708.4,USD,C00015,C00015,1000,1000,6000000208,FY2024,C
100,9000000210,2024-02-06,110000,FINANCE01,F2,L,M,2024-02-06,5800000210,285147.42,USD,C00004,C00004,1000,1000,6000000210,FY2024,C
100,9000000211,2024-02-16,110000,FINANCE02,F2,L,M,2024-02-16,5800000211,234468.61,USD,C00007,C00007,1000,1000,6000000211,FY2024,C
100,9000000214,2024-03-12,110000,FINANCE01,F2,L,M,2024-03-12,5800000214,71585.44,USD,C00005,C00005,1000,1000,6000000214,FY2024,C
100,9000000215,2024-07-06,110000,FINANCE01,F2,L,M,2024-07-06,5800000215,290536.4,USD,C00002,C00002,1000,1000,6000000215,FY2024,C
100,9000000216,2024-07-07,110000,FINANCE01,F2,L,M,2024-07-07,5800000216,71315.66,USD,C00003,C00003,1000,1000,6000000216,FY2024,C
100,9000000217,2024-08-28,110000,FINANCE02,F2,L,M,2024-08-28,5800000217,110675.4,USD,C00015,C00015,1000,1000,6000000217,FY2024,C
100,9000000218,2024-10-28,110000,FINANCE02,F2,L,M,2024-10-28,5800000218,87624.66,USD,C00010,C00010,1000,1000,6000000218,FY2024,C
100,9000000219,2024-08-19,110000,FINANCE01,F2,L,M,2024-08-19,5800000219,4507.32,USD,C00003,C00003,1000,1000,6000000219,FY2024,C
100,9000000220,2024-07-16,110000,FINANCE01,F2,L,M,2024-07-16,5800000220,176712.0,USD,C00002,C00002,1000,1000,6000000220,FY2024,C
100,9000000221,2024-07-02,110000,FINANCE02,F2,L,M,2024-07-02,5800000221,4561.3,USD,C00004,C00004,1000,1000,6000000221,FY2024,C
100,9000000222,2024-04-20,110000,FINANCE02,F2,L,M,2024-04-20,5800000222,26202.4,USD,C00006,C00006,1000,1000,6000000222,FY2024,C
100,9000000223,2024-06-15,110000,FINANCE01,F2,L,M,2024-06-15,5800000223,39601.53,USD,C00014,C00014,1000,1000,6000000223,FY2024,C
100,9000000224,2024-06-13,110000,FINANCE02,F2,L,M,2024-06-13,5800000224,204575.44,USD,C00015,C00015,1000,1000,6000000224,FY2024,C
100,9000000225,2024-05-24,110000,FINANCE02,F2,L,M,2024-05-24,5800000225,113454.0,USD,C00014,C00014,1000,1000,6000000225,FY2024,C
