MANDT,CHANGENR,USERNAME,UDATE,UTIME,OBJECTCLAS,OBJECTID,TCODE,PLANCL,MANDANT
100,CH9000000026,FINANCE01,2024-05-08,16:01:00,EINKBEHR,5100000091,MIRO,,100
100,CH9000000027,BUYER02,2024-08-25,08:28:00,EINKBELEG,4500000098,ME22N,,100
100,CH9000000028,FINANCE02,2024-06-06,16:36:00,EINKBEHR,5100000101,MIRO,,100
100,CH9000000029,BUYER02,2024-09-28,14:07:00,EINKBELEG,4500000112,ME22N,,100
100,CH9000000030,BUYER01,2024-05-06,08:03:00,EINKBELEG,4500000120,ME22N,,100
100,CH9000000031,BUYER01,2024-09-20,11:26:00,EINKBELEG,4500000121,ME22N,,100
100,CH9000000032,BUYER01,2024-02-28,14:12:00,EINKBELEG,4500000124,ME22N,,100
100,CH9000000033,BUYER02,2024-07-06,14:38:00,EINKBELEG,4500000126,ME22N,,100
100,CH9000000034,BUYER02,2024-09-19,17:28:00,EINKBELEG,4500000127,ME22N,,100
100,CH9000000035,BUYER03,2024-04-05,08:30:00,EINKBELEG,4500000128,ME22N,,100
100,CH9000000036,BUYER01,2024-05-29,13:48:00,EINKBELEG,4500000134,ME22N,,100
100,CH9000000037,FINANCE01,2024-06-13,08:43:00,EINKBEHR,5100000134,MIRO,,100
100,CH9000000038,BUYER02,2024-06-28,12:49:00,EINKBELEG,4500000135,ME22N,,100
100,CH9000000039,FINANCE01,2024-03-20,14:53:00,EINKBEHR,5100000136,MIRO,,100
100,CH9000000040,BUYER02,2024-09-18,13:27:00,EINKBELEG,4500000138,ME22N,,100
100,CH9000000041,BUYER02,2024-06-29,10:52:00,EINKBELEG,4500000143,ME22N,,100
100,CH9000000042,FINANCE02,2024-04-07,16:34:00,EINKBEHR,5100000150,MIRO,,100
100,CH9000000043,BUYER03,2024-06-28,12:01:00,EINKBELEG,4500000151,ME22N,,100
100,CH9000000044,BUYER03,2024-02-04,14:41:00,EINKBELEG,4500000152,ME22N,,100
100,CH9000000045,FINANCE01,2024-02-10,08:29:00,EINKBEHR,5100000152,MIRO,,100
100,CH9000000046,BUYER01,2024-10-01,16:18:00,EINKBELEG,4500000169,ME22N,,100
100,CH9000000047,FINANCE02,2024-01-22,14:17:00,EINKBEHR,5100000174,MIRO,,100
100,CH9000000048,BUYER01,2024-04-26,11:40:00,EINKBELEG,4500000185,ME22N,,100
100,CH9000000049,BUYER01,2024-07-25,08:36:00,EINKBELEG,4500000189,ME22N,,100
100,CH9000000050,FINANCE02,2024-05-14,14:48:00,EINKBEHR,5100000191,MIRO,,100
100,CH9000000051,BUYER01,2024-06-06,13:34:00,EINKBELEG,4500000194,ME22N,,100
100,CH9000000052,BUYER02,2024-02-09,09:25:00,EINKBELEG,4500000195,ME22N,,100
100,CH9000000053,BUYER02,2024-08-24,15:30:00,EINKBELEG,4500000197,ME22N,,100
100,CH9000000054,BUYER02,2024-10-05,12:28:00,EINKBELEG,4500000202,ME22N,,100
100,CH9000000055,BUYER01,2024-03-18,16:34:00,EINKBELEG,4500000204,ME22N,,100
100,CH9000000056,BUYER01,2024-06-17,11:37:00,EINKBELEG,4500000207,ME22N,,100
100,CH9000000057,BUYER01,2024-03-12,09:28:00,EINKBELEG,4500000213,ME22N,,100
100,CH9000000058,BUYER01,2024-07-04,15:36:00,EINKBELEG,4500000216,ME22N,,100
100,CH9000000059,BUYER01,2024-05-01,17:06:00,EINKBELEG,4500000219,ME22N,,100
100,CH9000000060,FINANCE02,2024-01-27,11:11:00,EINKBEHR,5100000222,MIRO,,100
100,CH9000000061,BUYER02,2024-01-20,14:49:00,EINKBELEG,4500000225,ME22N,,100
100,CH9000000062,BUYER03,2024-05-21,15:22:00,EINKBELEG,4500000227,ME22N,,100
100,CH9000000063,BUYER01,2024-08-08,17:46:00,EINKBELEG,4500000229,ME22N,,100
100,CH9000000064,BUYER02,2024-08-24,17:02:00,EINKBELEG,4500000232,ME22N,,100
100,CH9000000065,FINANCE01,2024-09-05,08:11:00,EINKBEHR,5100000232,MIRO,,100
100,CH9000000066,BUYER01,2024-04-10,17:11:00,EINKBELEG,4500000233,ME22N,,100
100,CH9000000067,BUYER02,2024-04-11,14:44:00,EINKBELEG,4500000234,ME22N,,100
100,CH9000000068,BUYER01,2024-05-23,17:23:00,EINKBELEG,4500000235,ME22N,,100
100,CH9000000069,BUYER02,2024-05-03,15:15:00,EINKBELEG,4500000239,ME22N,,100
100,CH9000000070,BUYER01,2024-02-17,16:45:00,EINKBELEG,4500000241,ME22N,,100
100,CH9000000071,BUYER02,2024-03-16,10:22:00,EINKBELEG,4500000251,ME22N,,100
100,CH9000000072,BUYER01,2024-07-09,16:37:00,EINKBELEG,4500000252,ME22N,,100
100,CH9000000073,BUYER02,2024-09-16,13:08:00,EINKBELEG,4500000253,ME22N,,100
100,CH9000000074,BUYER03,2024-03-11,13:22:00,EINKBELEG,4500000255,ME22N,,100
100,CH9000000075,FINANCE01,2024-02-20,13:24:00,EINKBEHR,5100000256,MIRO,,100
100,CH9000000076,BUYER01,2024-04-25,09:16:00,EINKBELEG,4500000259,ME22N,,100
100,CH9000000077,FINANCE02,2024-05-08,11:40:00,EINKBEHR,5100000259,MIRO,,100
100,CH9000000078,BUYER03,2024-09-25,13:51:00,EINKBELEG,4500000260,ME22N,,100
100,CH9000000079,BUYER02,2024-04-02,09:27:00,EINKBELEG,4500000262,ME22N,,100
100,CH9000000080,BUYER01,2024-01-25,12:55:00,EINKBELEG,4500000270,ME22N,,100
100,CH9000000081,FINANCE01,2024-09-01,08:25:00,EINKBEHR,5100000271,MIRO,,100
100,CH9000000082,FINANCE02,2024-10-02,09:00:00,EINKBEHR,5100000274,MIRO,,100
100,CH9000000083,BUYER02,2024-05-02,14:42:00,EINKBELEG,4500000275,ME22N,,100
100,CH9000000084,FINANCE02,2024-04-25,08:12:00,EINKBEHR,5100000276,MIRO,,100
100,CH9000000085,BUYER01,2024-05-20,12:11:00,EINKBELEG,4500000277,ME22N,,100
100,CH9000000086,BUYER02,2024-09-08,09:25:00,EINKBELEG,4500000279,ME22N,,100
100,CH9000000087,BUYER01,2024-04-11,11:30:00,EINKBELEG,4500000283,ME22N,,100
100,CH9000000088,BUYER02,2024-07-23,11:13:00,EINKBELEG,4500000287,ME22N,,100
100,CH9000000089,BUYER02,2024-06-03,16:22:00,EINKBELEG,4500000293,ME22N,,100
100,CH9000000090,BUYER03,2024-08-28,12:35:00,EINKBELEG,4500000298,ME22N,,100
100,CH9000000091,BUYER02,2024-02-09,17:02:00,EINKBELEG,4500000299,ME22N,,100
100,CH9000000092,BUYER01,2024-01-27,08:45:00,EINKBELEG,4500000300,ME22N,,100
100,CH9000000093,BUYER01,2024-08-05,10:23:00,EINKBELEG,4500000301,ME22N,,100
100,CH9000000094,BUYER03,2024-06-23,15:43:00,EINKBELEG,4500000304,ME22N,,100
100,CH9000000095,BUYER02,2024-04-15,08:17:00,EINKBELEG,4500000305,ME22N,,100
100,CH9000000096,BUYER03,2024-05-09,09:50:00,EINKBELEG,4500000309,ME22N,,100
100,CH9000000097,FINANCE01,2024-08-26,16:37:00,EINKBEHR,5100000311,MIRO,,100
100,CH9000000098,BUYER01,2024-05-08,17:58:00,EINKBELEG,4500000313,ME22N,,100
100,CH9000000099,BUYER02,2024-06-02,15:15:00,EINKBELEG,4500000314,ME22N,,100
100,CH9000000100,BUYER01,2024-02-10,12:55:00,EINKBELEG,4500000315,ME22N,,100
100,CH9000000101,FINANCE01,2024-10-16,15:28:00,EINKBEHR,5100000320,MIRO,,100
100,CH9000000102,BUYER01,2024-03-15,13:36:00,EINKBELEG,4500000321,ME22N,,100
100,CH9000000103,BUYER02,2024-08-28,15:04:00,EINKBELEG,4500000326,ME22N,,100
100,CH9000000104,FINANCE01,2024-09-12,16:13:00,EINKBEHR,5100000327,MIRO,,100
100,CH9000000105,FINANCE01,2024-07-04,11:56:00,EINKBEHR,5100000328,MIRO,,100
100,CH9000000106,BUYER01,2024-08-12,14:13:00,EINKBELEG,4500000329,ME22N,,100
100,CH9000000107,BUYER03,2024-07-13,09:19:00,EINKBELEG,4500000330,ME22N,,100
100,CH9000000108,BUYER01,2024-04-13,08:37:00,EINKBELEG,4500000348,ME22N,,100
100,CH9000000109,BUYER02,2024-04-15,09:33:00,EINKBELEG,4500000349,ME22N,,100
100,CH9000000110,BUYER01,2024-01-08,10:19:00,EINKBELEG,4500000351,ME22N,,100
100,CH9000000111,BUYER03,2024-09-17,10:42:00,EINKBELEG,4500000354,ME22N,,100
100,CH9000000112,FINANCE02,2024-03-22,09:45:00,EINKBEHR,5100000368,MIRO,,100
100,CH9000000113,BUYER01,2024-06-11,15:14:00,EINKBELEG,4500000369,ME22N,,100
100,CH9000000114,FINANCE02,2024-06-21,11:37:00,EINKBEHR,5100000369,MIRO,,100
100,CH9000000115,BUYER03,2024-07-14,08:08:00,EINKBELEG,4500000370,ME22N,,100
100,CH9000000116,BUYER01,2024-02-28,10:49:00,EINKBELEG,4500000381,ME22N,,100
100,CH9000000117,BUYER01,2024-03-20,15:06:00,EINKBELEG,4500000382,ME22N,,100
100,CH9000000118,FINANCE01,2024-10-11,14:55:00,EINKBEHR,5100000384,MIRO,,100
100,CH9000000119,BUYER01,2024-09-04,16:09:00,EINKBELEG,4500000385,ME22N,,100
100,CH9000000120,BUYER01,2024-01-28,13:26:00,EINKBELEG,4500000386,ME22N,,100
100,CH9000000121,FINANCE02,2024-09-01,16:37:00,EINKBEHR,5100000390,MIRO,,100
100,CH9000000122,BUYER01,2024-06-25,08:39:00,EINKBELEG,4500000393,ME22N,,100
100,CH9000000123,FINANCE01,2024-07-08,17:24:00,EINKBEHR,5100000393,MIRO,,100
100,CH9000000124,BUYER03,2024-07-12,09:06:00,EINKBELEG,4500000394,ME22N,,100
100,CH9000000125,BUYER01,2024-04-27,16:16:00,EINKBELEG,4500000398,ME22N,,100
100,CH9000000126,FINANCE02,2024-05-14,12:38:00,EINKBEHR,5100000398,MIRO,,100
100,CH9000000127,BUYER01,2024-05-02,12:21:00,EINKBELEG,4500000402,ME22N,,100
100,CH9000000128,BUYER03,2024-09-02,09:09:00,EINKBELEG,4500000405,ME22N,,100
100,CH9000000129,BUYER03,2024-09-10,08:59:00,EINKBELEG,4500000422,ME22N,,100
100,CH9000000130,FINANCE01,2024-06-23,16:14:00,EINKBEHR,5100000430,MIRO,,100
100,CH9000000131,BUYER03,2024-07-20,12:21:00,EINKBELEG,4500000433,ME22N,,100
100,CH9000000132,BUYER02,2024-05-30,16:13:00,EINKBELEG,4500000434,ME22N,,100
100,CH9000000133,BUYER03,2024-08-08,17:39:00,EINKBELEG,4500000440,ME22N,,100
100,CH9000000134,BUYER03,2024-06-07,13:17:00,EINKBELEG,4500000444,ME22N,,100
100,CH9000000135,FINANCE02,2024-06-22,12:08:00,EINKBEHR,5100000445,MIRO,,100
100,CH9000000136,FINANCE01,2024-07-09,17:39:00,EINKBEHR,5100000448,MIRO,,100
100,CH9000000137,BUYER01,2024-01-20,09:06:00,EINKBELEG,4500000452,ME22N,,100
100,CH9000000138,FINANCE02,2024-03-31,11:48:00,EINKBEHR,5100000453,MIRO,,100
100,CH9000000139,BUYER01,2024-10-04,10:32:00,EINKBELEG,4500000458,ME22N,,100
100,CH9000000140,BUYER02,2024-06-17,15:44:00,EINKBELEG,4500000459,ME22N,,100
100,CH9000000141,BUYER01,2024-09-15,12:56:00,EINKBELEG,4500000467,ME22N,,100
100,CH9000000142,FINANCE01,2024-09-29,17:48:00,EINKBEHR,5100000467,MIRO,,100
100,CH9000000143,BUYER02,2024-06-22,11:48:00,EINKBELEG,4500000468,ME22N,,100
100,CH9000000144,FINANCE01,2024-05-19,10:20:00,EINKBEHR,5100000470,MIRO,,100
100,CH9000000145,BUYER02,2024-09-17,16:48:00,EINKBELEG,4500000471,ME22N,,100
100,CH9000000146,FINANCE02,2024-06-02,08:34:00,EINKBEHR,5100000472,MIRO,,100
100,CH9000000147,BUYER01,2024-08-25,14:16:00,EINKBELEG,4500000482,ME22N,,100
100,CH9000000148,BUYER03,2024-06-16,16:47:00,EINKBELEG,4500000485,ME22N,,100
100,CH9000000149,FINANCE01,2024-06-09,11:30:00,EINKBEHR,5100000488,MIRO,,100
100,CH9000000150,BUYER01,2024-08-23,08:14:00,EINKBELEG,4500000497,ME22N,,100
100,CH9000000151,FINANCE02,2024-09-03,10:16:00,EINKBEHR,5100000497,MIRO,,100
