MANDT,VBELN,POSNR,FKIMG,MEINS,MATNR,NETWR,WAERK,VGBEL,VGPOS,AUBEL,AUPOS,WERKS,ERNAM,ERDAT,ERZET,VGTYP,VRKME
100,9000000046,10,62.0,EA,MAT00025,49379.9,USD,8000000046,10,1000000046,10,P001,FINANCE02,2024-06-28,08:56:48,J,ST
100,9000000048,10,118.0,EA,MAT00016,212345.72,USD,8000000048,10,1000000048,10,P001,FINANCE01,2024-10-17,14:33:50,J,PC
100,9000000050,10,35.0,EA,MAT00018,46023.95,USD,8000000050,10,1000000050,10,P003,FINANCE02,2024-01-30,08:16:49,J,ST
100,9000000051,10,95.0,EA,MAT00027,120390.65,USD,8000000051,10,1000000051,10,P002,FINANCE01,2024-07-10,15:08:19,J,KG
100,9000000051,20,93.0,EA,MAT00031,75511.35,USD,8000000051,20,1000000051,20,P002,FINANCE01,2024-07-10,16:44:02,J,PC
100,9000000052,10,66.0,EA,MAT00018,28165.5,USD,8000000052,10,1000000052,10,P002,FINANCE02,2024-02-25,16:57:18,M,PC
100,9000000053,10,23.0,EA,MAT00021,28074.03,USD,8000000053,10,1000000053,10,P003,FINANCE01,2024-04-26,11:53:33,J,KG
100,9000000053,20,200.0,EA,MAT00022,297222.0,USD,8000000053,20,1000000053,20,P003,FINANCE01,2024-04-26,07:47:02,M,PC
100,9000000055,10,159.0,EA,MAT00024,49105.56,USD,8000000055,10,1000000055,10,P001,FINANCE02,2024-07-26,16:30:05,J,ST
100,9000000056,10,8.0,EA,MAT00018,11128.48,USD,8000000056,10,1000000056,10,P001,FINANCE02,2024-04-21,08:53:25,M,KG
100,9000000058,10,173.0,EA,MAT00032,13487.08,USD,8000000058,10,1000000058,10,P002,FINANCE01,2024-10-18,08:10:23,M,ST
100,9000000058,20,25.0,EA,MAT00021,30795.75,USD,8000000058,20,1000000058,20,P002,FINANCE01,2024-10-18,07:07:45,J,ST
100,9000000059,10,190.0,EA,MAT00027,155473.2,USD,8000000059,10,1000000059,10,P003,FINANCE02,2024-05-10,10:59:33,J,PC
100,9000000059,20,10.0,EA,MAT00024,17749.3,USD,8000000059,20,1000000059,20,P003,FINANCE02,2024-05-10,07:33:28,M,ST
100,9000000061,10,147.0,EA,MAT00024,28916.37,USD,8000000061,10,1000000061,10,P002,FINANCE02,2024-06-21,09:21:57,J,ST
100,9000000062,10,155.0,EA,MAT00020,86595.4,USD,8000000062,10,1000000062,10,P003,FINANCE01,2024-06-06,09:06:19,J,PC
100,9000000064,10,12.0,EA,MAT00031,13755.96,USD,8000000064,10,1000000064,10,P003,FINANCE01,2024-04-28,14:46:06,J,EA
100,9000000065,10,20.0,EA,MAT00027,22617.6,USD,8000000065,10,1000000065,10,P003,FINANCE02,2024-07-15,16:04:34,M,ST
100,9000000065,20,143.0,EA,MAT00020,190418.8,USD,8000000065,20,1000000065,20,P003,FINANCE02,2024-07-15,07:22:35,M,EA
100,9000000066,10,129.0,EA,MAT00026,6852.48,USD,8000000066,10,1000000066,10,P001,FINANCE02,2024-05-15,06:10:23,J,PC
100,9000000066,20,68.0,EA,MAT00018,115642.16,USD,8000000066,20,1000000066,20,P001,FINANCE02,2024-05-15,12:54:07,J,ST
100,9000000067,10,53.0,EA,MAT00021,91403.8,USD,8000000067,10,1000000067,10,P001,FINANCE02,2024-07-11,11:43:32,M,PC
100,9000000068,10,132.0,EA,MAT00016,38388.24,USD,8000000068,10,1000000068,10,P001,FINANCE02,2024-02-04,07:50:48,M,ST
100,9000000069,10,45.0,EA,MAT00026,58533.3,USD,8000000069,10,1000000069,10,P003,FINANCE01,2024-02-21,08:07:07,M,ST
100,9000000069,20,180.0,EA,MAT00016,241331.4,USD,8000000069,20,1000000069,20,P003,FINANCE01,2024-02-21,07:27:46,M,ST
100,9000000070,10,23.0,EA,MAT00027,18754.43,USD,8000000070,10,1000000070,10,P003,FINANCE01,2024-10-01,10:38:21,M,EA
100,9000000071,10,125.0,EA,MAT00022,161227.5,USD,8000000071,10,1000000071,10,P001,FINANCE01,2024-03-03,06:41:21,J,ST
100,9000000072,10,149.0,EA,MAT00021,154268.64,USD,8000000072,10,1000000072,10,P001,FINANCE01,2024-06-07,08:20:01,J,EA
100,9000000075,10,44.0,EA,MAT00020,68505.36,USD,8000000075,10,1000000075,10,P001,FINANCE02,2024-07-17,16:41:10,J,KG
100,9000000076,10,135.0,EA,MAT00021,199520.55,USD,8000000076,10,1000000076,10,P001,FINANCE01,2024-04-07,12:55:10,J,ST
100,9000000077,10,23.0,EA,MAT00028,33172.67,USD,8000000077,10,1000000077,10,P001,FINANCE01,2024-04-02,12:58:37,M,KG
100,9000000078,10,89.0,EA,MAT00031,70915.2,USD,8000000078,10,1000000078,10,P001,FINANCE01,2024-09-16,08:01:37,M,PC
100,9000000079,10,97.0,EA,MAT00032,173146.94,USD,8000000079,10,1000000079,10,P002,FINANCE01,2024-04-13,06:20:35,M,KG
100,9000000080,10,4.0,EA,MAT00016,7876.8,USD,8000000080,10,1000000080,10,P001,FINANCE02,2024-05-22,12:04:34,M,ST
100,9000000081,10,18.0,EA,MAT00018,23089.68,USD,8000000081,10,1000000081,10,P002,FINANCE02,2024-01-28,09:22:46,J,EA
100,9000000081,20,24.0,EA,MAT00018,4184.88,USD,8000000081,20,1000000081,20,P002,FINANCE02,2024-01-28,09:55:55,J,KG
100,9000000082,10,195.0,EA,MAT00032,108889.95,USD,8000000082,10,1000000082,10,P002,FINANCE02,2024-03-03,09:42:17,M,KG
100,9000000083,10,104.0,EA,MAT00024,124620.08,USD,8000000083,10,1000000083,10,P003,FINANCE01,2024-09-25,09:51:55,J,ST
100,9000000084,10,157.0,EA,MAT00030,169005.79,USD,8000000084,10,1000000084,10,P001,FINANCE01,2024-03-12,10:19:46,M,EA
100,9000000084,20,161.0,EA,MAT00022,54199.04,USD,8000000084,20,1000000084,20,P001,FINANCE01,2024-03-12,10:23:46,M,ST
100,9000000086,10,112.0,EA,MAT00027,170876.16,USD,8000000086,10,1000000086,10,P003,FINANCE01,2024-10-07,15:32:05,M,PC
100,9000000086,20,178.0,EA,MAT00017,128752.74,USD,8000000086,20,1000000086,20,P003,FINANCE01,2024-10-07,12:17:16,M,EA
100,9000000088,10,176.0,EA,MAT00032,284262.88,USD,8000000088,10,1000000088,10,P002,FINANCE02,2024-10-03,08:05:04,J,ST
100,9000000088,20,46.0,EA,MAT00030,68545.06,USD,8000000088,20,1000000088,20,P002,FINANCE02,2024-10-03,07:57:44,J,EA
100,9000000091,10,185.0,EA,MAT00028,95102.95,USD,8000000091,10,1000000091,10,P002,FINANCE01,2024-05-17,16:59:59,M,EA
100,9000000091,20,187.0,EA,MAT00016,351343.08,USD,8000000091,20,1000000091,20,P002,FINANCE01,2024-05-17,17:31:24,M,PC
100,9000000093,10,112.0,EA,MAT00029,30453.92,USD,8000000093,10,1000000093,10,P002,FINANCE01,2024-10-10,17:54:33,M,KG
100,9000000094,10,41.0,EA,MAT00017,62271.21,USD,8000000094,10,1000000094,10,P001,FINANCE01,2024-10-24,12:07:07,J,ST
100,9000000094,20,30.0,EA,MAT00019,34717.8,USD,8000000094,20,1000000094,20,P001,FINANCE01,2024-10-24,06:15:23,J,EA
100,9000000096,10,105.0,EA,MAT00029,59373.3,USD,8000000096,10,1000000096,10,P001,FINANCE01,2024-02-15,07:47:17,M,ST
100,9000000096,20,43.0,EA,MAT00027,55529.34,USD,8000000096,20,1000000096,20,P001,FINANCE01,2024-02-15,06:54:22,J,EA
100,9000000097,10,137.0,EA,MAT00027,70124.82,USD,8000000097,10,1000000097,10,P003,FINANCE02,2024-08-30,07:40:58,M,PC
100,9000000098,10,118.0,EA,MAT00019,108631.98,USD,8000000098,10,1000000098,10,P003,FINANCE01,2024-01-18,15:14:49,M,ST
100,9000000099,10,122.0,EA,MAT00023,228110.72,USD,8000000099,10,1000000099,10,P002,FINANCE01,2024-08-24,09:48:51,M,ST
100,9000000099,20,68.0,EA,MAT00033,96973.44,USD,8000000099,20,1000000099,20,P002,FINANCE01,2024-08-24,10:58:44,J,EA
100,9000000100,10,127.0,EA,MAT00018,180072.03,USD,8000000100,10,1000000100,10,P002,FINANCE02,2024-03-30,15:03:41,M,KG
100,9000000101,10,13.0,EA,MAT00023,10733.06,USD,8000000101,10,1000000101,10,P001,FINANCE01,2024-05-03,13:28:24,J,EA
100,9000000102,10,112.0,EA,MAT00028,209478.08,USD,8000000102,10,1000000102,10,P001,FINANCE02,2024-07-19,11:48:48,J,ST
100,9000000102,20,159.0,EA,MAT00019,23547.9,USD,8000000102,20,1000000102,20,P001,FINANCE02,2024-07-19,13:14:57,J,ST
100,9000000104,10,180.0,EA,MAT00024,231166.8,USD,8000000104,10,1000000104,10,P003,FINANCE01,2024-08-16,17:22:35,M,PC
100,9000000107,10,153.0,EA,MAT00028,67411.8,USD,8000000107,10,1000000107,10,P003,FINANCE02,2024-02-01,17:58:52,J,ST
100,9000000108,10,115.0,EA,MAT00021,24598.5,USD,8000000108,10,1000000108,10,P001,FINANCE02,2024-05-05,15:56:52,J,PC
100,9000000109,10,192.0,EA,MAT00024,239318.4,USD,8000000109,10,1000000109,10,P001,FINANCE02,2024-04-22,06:30:20,M,EA
100,9000000111,10,22.0,EA,MAT00030,38685.46,USD,8000000111,10,1000000111,10,P003,FINANCE01,2024-06-21,15:26:46,J,KG
100,9000000112,10,146.0,EA,MAT00033,74843.98,USD,8000000112,10,1000000112,10,P002,FINANCE02,2024-10-06,07:32:35,M,ST
100,9000000113,10,137.0,EA,MAT00030,143243.09,USD,8000000113,10,1000000113,10,P003,FINANCE02,2024-08-26,11:38:43,J,KG
100,9000000114,10,143.0,EA,MAT00021,72342.27,USD,8000000114,10,1000000114,10,P001,FINANCE02,2024-03-08,07:33:13,M,EA
100,9000000116,10,56.0,EA,MAT00018,41099.52,USD,8000000116,10,1000000116,10,P002,FINANCE02,2024-08-17,12:25:50,M,KG
100,9000000120,10,68.0,EA,MAT00027,99098.44,USD,8000000120,10,1000000120,10,P003,FINANCE01,2024-08-19,14:50:59,J,PC
100,9000000121,10,120.0,EA,MAT00022,127728.0,USD,8000000121,10,1000000121,10,P002,FINANCE02,2024-08-30,06:48:03,J,KG
100,9000000122,10,59.0,EA,MAT00021,21005.77,USD,8000000122,10,1000000122,10,P002,FINANCE02,2024-04-28,14:46:47,J,PC
100,9000000122,20,35.0,EA,MAT00022,9125.9,USD,8000000122,20,1000000122,20,P002,FINANCE02,2024-04-28,08:36:24,M,KG
100,9000000123,10,99.0,EA,MAT00032,78857.46,USD,8000000123,10,1000000123,10,P001,FINANCE01,2024-04-06,08:33:58,J,PC
100,9000000124,10,107.0,EA,MAT00024,8998.7,USD,8000000124,10,1000000124,10,P002,FINANCE01,2024-06-28,17:08:49,M,PC
100,9000000125,10,101.0,EA,MAT00022,165627.88,USD,8000000125,10,1000000125,10,P002,FINANCE02,2024-06-28,09:54:59,M,EA
100,9000000126,10,71.0,EA,MAT00017,15674.67,USD,8000000126,10,1000000126,10,P003,FINANCE02,2024-07-15,07:38:13,J,ST
100,9000000127,10,58.0,EA,MAT00020,44519.64,USD,8000000127,10,1000000127,10,P001,FINANCE02,2024-09-11,06:46:06,J,EA
100,9000000128,10,89.0,EA,MAT00022,41674.25,USD,8000000128,10,1000000128,10,P002,FINANCE02,2024-06-10,16:48:44,J,EA
100,9000000128,20,89.0,EA,MAT00017,148589.06,USD,8000000128,20,1000000128,20,P002,FINANCE02,2024-06-10,06:56:07,J,EA
100,9000000129,10,145.0,EA,MAT00033,72450.7,USD,8000000129,10,1000000129,10,P002,FINANCE01,2024-09-21,13:32:35,J,PC
100,9000000130,10,185.0,EA,MAT00018,315321.4,USD,8000000130,10,1000000130,10,P003,FINANCE02,2024-07-26,16:44:29,M,EA
100,9000000132,10,134.0,EA,MAT00024,88271.16,USD,8000000132,10,1000000132,10,P002,FINANCE01,2024-10-18,14:29:54,J,ST
100,9000000134,10,22.0,EA,MAT00026,35299.88,USD,8000000134,10,1000000134,10,P002,FINANCE01,2024-06-19,14:50:10,M,EA
100,9000000136,10,44.0,EA,MAT00026,81337.52,USD,8000000136,10,1000000136,10,P003,FINANCE01,2024-06-07,11:33:39,M,EA
100,9000000137,10,171.0,EA,MAT00018,249124.77,USD,8000000137,10,1000000137,10,P003,FINANCE02,2024-05-20,15:51:06,M,ST
100,9000000138,10,186.0,EA,MAT00020,136795.56,USD,8000000138,10,1000000138,10,P001,FINANCE01,2024-07-14,13:05:56,J,EA
100,9000000139,10,57.0,EA,MAT00019,95053.77,USD,8000000139,10,1000000139,10,P002,FINANCE01,2024-08-08,12:43:21,M,ST
100,9000000140,10,194.0,EA,MAT00030,172791.92,USD,8000000140,10,1000000140,10,P002,FINANCE01,2024-06-20,12:55:29,M,ST
100,9000000140,20,3.0,EA,MAT00021,5759.16,USD,8000000140,20,1000000140,20,P002,FINANCE01,2024-06-20,17:33:32,J,EA
100,9000000141,10,91.0,EA,MAT00017,124910.24,USD,8000000141,10,1000000141,10,P001,FINANCE02,2024-01-30,12:21:08,M,PC
100,9000000142,10,124.0,EA,MAT00020,51435.2,USD,8000000142,10,1000000142,10,P003,FINANCE02,2024-03-28,17:04:41,M,KG
100,9000000143,10,159.0,EA,MAT00031,206337.48,USD,8000000143,10,1000000143,10,P001,FINANCE02,2024-07-07,14:01:11,M,EA
100,9000000144,10,56.0,EA,MAT00028,60627.84,USD,8000000144,10,1000000144,10,P003,FINANCE01,2024-06-25,08:48:06,J,ST
100,9000000145,10,13.0,EA,MAT00030,7797.14,USD,8000000145,10,1000000145,10,P003,FINANCE01,2024-09-06,12:01:45,M,ST
100,9000000146,10,100.0,EA,MAT00020,160203.0,USD,8000000146,10,1000000146,10,P003,FINANCE02,2024-07-25,17:44:40,J,EA
100,9000000148,10,101.0,EA,MAT00024,34667.24,USD,8000000148,10,1000000148,10,P003,FINANCE02,2024-04-22,17:30:39,M,EA
100,9000000149,10,41.0,EA,MAT00033,57831.32,USD,8000000149,10,1000000149,10,P003,FINANCE01,2024-09-01,07:30:16,J,ST
100,9000000149,20,119.0,EA,MAT00029,115771.53,USD,8000000149,20,1000000149,20,P003,FINANCE01,2024-09-01,09:03:41,J,PC
100,9000000150,10,44.0,EA,MAT00033,23122.0,USD,8000000150,10,1000000150,10,P002,FINANCE01,2024-09-16,10:11:38,J,EA
100,9000000152,10,127.0,EA,MAT00025,52412.9,USD,8000000152,10,1000000152,10,P002,FINANCE02,2024-06-22,17:18:19,J,PC
100,9000000153,10,174.0,EA,MAT00033,141613.38,USD,8000000153,10,1000000153,10,P003,FINANCE01,2024-03-17,07:06:30,M,KG
100,9000000153,20,191.0,EA,MAT00021,301556.53,USD,8000000153,20,1000000153,20,P003,FINANCE01,2024-03-17,15:32:58,J,KG
100,9000000154,10,149.0,EA,MAT00024,75909.54,USD,8000000154,10,1000000154,10,P001,FINANCE02,2024-09-02,13:33:20,M,ST
100,9000000155,10,66.0,EA,MAT00019,123477.42,USD,8000000155,10,1000000155,10,P002,FINANCE02,2024-08-11,17:48:51,M,PC
100,9000000156,10,168.0,EA,MAT00029,231460.32,USD,8000000156,10,1000000156,10,P001,FINANCE01,2024-05-17,14:56:18,M,ST
100,9000000157,10,190.0,EA,MAT00029,119570.8,USD,8000000157,10,1000000157,10,P003,FINANCE02,2024-08-02,17:32:24,J,ST
100,9000000157,20,111.0,EA,MAT00026,148592.37,USD,8000000157,20,1000000157,20,P003,FINANCE02,2024-08-02,13:44:06,M,ST
100,9000000160,10,41.0,EA,MAT00017,35067.71,USD,8000000160,10,1000000160,10,P001,FINANCE01,2024-10-04,12:14:19,M,KG
100,9000000161,10,41.0,EA,MAT00029,78817.99,USD,8000000161,10,1000000161,10,P001,FINANCE02,2024-05-11,10:16:12,J,PC
100,9000000162,10,178.0,EA,MAT00026,42442.32,USD,8000000162,10,1000000162,10,P003,FINANCE02,2024-07-07,12:11:08,M,ST
100,9000000164,10,21.0,EA,MAT00026,25192.23,USD,8000000164,10,1000000164,10,P003,FINANCE01,2024-01-22,12:19:08,J,EA
100,9000000165,10,35.0,EA,MAT00024,21850.5,USD,8000000165,10,1000000165,10,P001,FINANCE02,2024-07-14,10:18:23,J,EA
100,9000000166,10,48.0,EA,MAT00016,57437.76,USD,8000000166,10,1000000166,10,P002,FINANCE02,2024-07-18,15:47:29,J,PC
100,9000000167,10,197.0,EA,MAT00019,351172.2,USD,8000000167,10,1000000167,10,P002,FINANCE02,2024-04-30,08:00:22,M,EA
100,9000000168,10,69.0,EA,MAT00033,76799.07,USD,8000000168,10,1000000168,10,P001,FINANCE01,2024-03-28,06:27:24,M,EA
100,9000000168,20,92.0,EA,MAT00030,22446.16,USD,8000000168,20,1000000168,20,P001,FINANCE01,2024-03-28,14:44:06,J,EA
100,9000000169,10,52.0,EA,MAT00032,52374.92,USD,8000000169,10,1000000169,10,P003,FINANCE02,2024-03-21,10:18:08,J,EA
100,9000000170,10,52.0,EA,MAT00031,84283.68,USD,8000000170,10,1000000170,10,P001,FINANCE02,2024-03-23,17:42:06,J,EA
100,9000000171,10,2.0,EA,MAT00016,3831.16,USD,8000000171,10,1000000171,10,P003,FINANCE01,2024-03-08,16:05:07,M,ST
100,9000000171,20,39.0,EA,MAT00021,66247.35,USD,8000000171,20,1000000171,20,P003,FINANCE01,2024-03-08,12:04:15,M,EA
100,9000000173,10,53.0,EA,MAT00018,14539.49,USD,8000000173,10,1000000173,10,P002,FINANCE01,2024-08-06,16:17:23,J,EA
100,9000000174,10,112.0,EA,MAT00033,52987.2,USD,8000000174,10,1000000174,10,P002,FINANCE02,2024-04-27,08:03:33,M,ST
100,9000000175,10,24.0,EA,MAT00033,2787.36,USD,8000000175,10,1000000175,10,P002,FINANCE01,2024-03-07,10:13:08,J,PC
100,9000000175,20,26.0,EA,MAT00033,19998.42,USD,8000000175,20,1000000175,20,P002,FINANCE01,2024-03-07,17:47:29,M,EA
100,9000000177,10,159.0,EA,MAT00016,197430.3,USD,8000000177,10,1000000177,10,P003,FINANCE01,2024-06-24,16:28:01,J,KG
100,9000000178,10,124.0,EA,MAT00032,176559.88,USD,8000000178,10,1000000178,10,P003,FINANCE01,2024-04-10,07:06:26,M,EA
100,9000000179,10,141.0,EA,MAT00019,162468.66,USD,8000000179,10,1000000179,10,P003,FINANCE02,2024-08-11,16:08:34,J,PC
100,9000000180,10,180.0,EA,MAT00032,303703.2,USD,8000000180,10,1000000180,10,P002,FINANCE02,2024-06-18,17:32:13,J,EA
100,9000000181,10,38.0,EA,MAT00020,57865.64,USD,8000000181,10,1000000181,10,P002,FINANCE02,2024-06-22,10:17:42,J,KG
100,9000000182,10,24.0,EA,MAT00019,17332.56,USD,8000000182,10,1000000182,10,P002,FINANCE01,2024-04-28,12:07:34,M,PC
100,9000000183,10,1.0,EA,MAT00016,94.31,USD,8000000183,10,1000000183,10,P003,FINANCE02,2024-08-11,15:17:19,M,PC
100,9000000184,10,81.0,EA,MAT00032,156974.76,USD,8000000184,10,1000000184,10,P002,FINANCE01,2024-10-14,06:29:13,M,ST
100,9000000184,20,200.0,EA,MAT00032,97772.0,USD,8000000184,20,1000000184,20,P002,FINANCE01,2024-10-14,10:34:13,M,KG
100,9000000186,10,174.0,EA,MAT00033,105938.16,USD,8000000186,10,1000000186,10,P002,FINANCE01,2024-06-12,16:41:25,J,KG
100,9000000187,10,68.0,EA,MAT00026,127238.88,USD,8000000187,10,1000000187,10,P002,FINANCE02,2024-05-18,13:48:03,J,KG
100,9000000188,10,124.0,EA,MAT00026,94082.52,USD,8000000188,10,1000000188,10,P001,FINANCE01,2024-07-02,06:35:43,M,EA
100,9000000191,10,123.0,EA,MAT00023,131953.17,USD,8000000191,10,1000000191,10,P001,FINANCE02,2024-05-25,10:47:21,M,EA
100,9000000192,10,132.0,EA,MAT00017,140655.24,USD,8000000192,10,1000000192,10,P003,FINANCE01,2024-06-08,10:02:22,M,EA
100,9000000194,10,61.0,EA,MAT00033,23814.4,USD,8000000194,10,1000000194,10,P003,FINANCE01,2024-06-27,12:14:23,M,KG
100,9000000195,10,58.0,EA,MAT00033,75904.02,USD,8000000195,10,1000000195,10,P001,FINANCE02,2024-05-15,11:55:03,M,ST
100,9000000195,20,79.0,EA,MAT00029,38895.65,USD,8000000195,20,1000000195,20,P001,FINANCE02,2024-05-15,13:43:17,M,PC
100,9000000196,10,32.0,EA,MAT00022,46756.8,USD,8000000196,10,1000000196,10,P003,FINANCE02,2024-06-09,14:26:01,M,ST
